time,Sentences
2011-11-17,"[""Syria 's allies in Russia called for urgent talks Thursday between Damascus and the opposition , saying an attack by Syrian renegade troops on a government building the previous day looks like the start of a civil war ."", 'Syria "" already looks like a civil war , "" Russian Foreign Minister Sergei Lavrov told reporters in Moscow on Thursday .', 'Syria Sergei Lavrov , Russia Foreign Minister , Sees Attack', 'As Civil War', 'Syria Russia called for all sides in Syria ’s growing civil war to lay down their arms as they compared the situation a "" civil war "" .', ""Sergei Lavrov , the Russian foreign minister , warned that the situation in Syria was ' all looking very much like a civil war ' , but insisted that the opposition was as much to blame as the government Photo : REUTERS""]"
2011-11-18,"['Updated : 11/18/11 07:15 AM ET BEIRUT --', 'Hillary Rodham Clinton Syria conflict could be civil war latimes November 18 , 2011 | 4:28 pm REPORTING FROM BEIRUT --', 'Secretary of State Hillary Rodham Clinton warned Friday that Syria could plummet into a full - fledged civil war , echoing comments by her Russian counterpart a day earlier .', 'U.S. Secretary of State Hillary Clinton said on Friday Syria could slide into civil war but she did not foresee the global community intervening in the same way it did in Libya .', 'Today I saw a television report about some new so - called rebel Free Syrian Army organising an attack on the government building , on the building belonging to Syria \'s armed forces , "" he told reporters .', '"" The situation in Homs has clearly come to resemble a civil war , Russia said this week , a sentiment echoed by Hillary Clinton , the US secretary of state on Friday .', 'But on Friday , Vladimir Putin , the Russian prime minister , signalled that Moscow could accept a resolution if it was not too strong .', 'The Syrian president gave his conditional agreement to the bloc \'s demands on Friday , a concession dismissed by the opposition as a "" time wasting "" tactical manoeuvre .', ': The Arab League comprising of Arab league Member states and Turkey met this week in Rabat to discuss a response to the crackdown in Syria Furthermore , as Amir Taheri explains in the Times today , the League is filling the vacuum left by the collapse of the US under President Obama as a global power broker - most obviously of all in his appeasement of the Islamic Republic of Iran , and also his failure to deal with the Islamist regime in Turkey which is currently eyeing up Syria as a strategic prize .', 'Eleven killed after weekly prayers in Syria on eve of Arab League deadline National Post Syria is seeking changes to a planned mission to monitor its implementation of an Arab League peace initiative , the group ’s chief said on Friday , on the eve of a deadline for Damascus to take steps to end months of bloodshed .', 'Sanctions already imposed by the European Union and the United States are starting to bite : On Friday , French oil major Total said Syria had halted payments for its oil production activities .', 'On Friday activists said security forces shot dead at least 11 people and wounded dozens when they fired to disperse protests in the cities of Deraa , Homs , Hama and the Damascus suburb of Erbin .', 'Russian Prime Minister Vladimir Putin called on Friday for a cautious response from the international community .', 'Photo by Reuters U.S. Secretary of State Hillary Clinton said on Friday Syria could slide into civil war but she did not foresee the global community intervening in the same way it did in Libya .', 'Activists said Syrian security forces killed 11 people after weekly prayers on Friday , in the latest violence in the crackdown on protests , which the United Nations says has killed at least 3,500 people since March .', 'Soldiers who left the al - Assad ’s army to set up an opposition force known as the Free Syrian Army have called for a no - fly zone and two buffer areas with international backing , the group ’s leader , Riad al - As’ad , a former Syrian colonel , said in a Nov. 18 interview .', '"" I think there could be a civil war with a very determined and well - armed and eventually well - financed opposition that is , if not directed by , certainly influenced by defectors from the army , "" Clinton told NBC .', 'Clinton says there could be civil war in Syria WASHINGTON ( Reuters ) -', '"" I think there could be a civil war with a very determined and well - armed and eventually well - financed opposition that is , if not directed by , certainly influenced by defectors from the army , "" Clinton told NBC news in an interview in Indonesia , where she was attending a regional summit .', ""Syria France 's foreign minister Alain Juppe said the time has come to increase sanctions against the Syrian regime , but ruled out military intervention to end eight months of violence against protestors ."", ""Sergei Lavrov , the Russian foreign minister , warned that the situation in Syria was ' all looking very much like a civil war ' , but insisted that the opposition was as much to blame as the government Photo : REUTERS"", 'Russia calls for peace talks in Syria amid fears of a civil war Middle East World The Independent', 'Middle East Arab and European countries circulate UN resolution condemning rights violations , as many more killed in violence .', 'Russia \'s FM Lavrov has described the violence in Syria as "" quite similar to a true civil war "" [ Reuters ] Diplomatic pressure on the Syrian government has escalated as a UN resolution that would condemn the country ’s human rights violations has received support from several Arab nations .', 'Syria David Cameron to meet Syrian opposition as fears grow of civil war David Cameron and William Hague will meet members of the Syrian opposition as fears grow that the country is in the midst of a sectarian civil war .', 'Syrians wave their national flag as they rally in central in Damascus Photo', 'Syria is heading inexorably for a civil war and an appalling bloodbath Mail Online RIGHTMINDS : Drug legalisation ?', 'Maybe also it has been galvanised by the behaviour of the Arab League , which has amazed the world by abandoning its habitual passivity in tacit support of the repressive status quo and instead suspending Syria and threatening sanctions if Assad does not allow international monitors into the country .', 'Activists said security forces killed 11 people after weekly prayers , in the latest violence in the crackdown on protests against President Bashar al - Assad , which the United Nations says has killed at least 3,500 people since March .', '"" I think there could be a civil war with a very determined and well - armed and eventually well - financed opposition that is , if not directed by , certainly influenced by defectors from the army , "" Clinton told NBC news in an interview in Indonesia , where she was attending a regional summit .']"
2011-11-19,"['Israel sees cracks in Syrian power structures amid increasingly violent unrest , and there are signs President Bashar Assad may not be in power for long , Defense Minister Ehud Barak said on Saturday .', 'Activists said security forces killed 11 people after weekly prayers , in the latest violence in the crackdown on protests against President Bashar al - Assad , which the United Nations says has killed at least 3,500 people since March .', ""Barak says sees signs of cracks in Syria 's Assad regime Defense Minister Ehud Barak says Syrian security forces assessing events ; says Assad regime like ‘ a medieval fiefdom,’ its end will benefit entire region .""]"
2011-11-20,"['Former Secretary of State Condoleezza Rice said Sunday that Assad was taking his country to the brink of civil war .', ""Al - Asaad said in a video posted on the group 's Facebook page Sunday evening that Assad 's government was trying to tarnish the image of the revolution ."", ""Al - Asaad said in a video posted on the group 's Facebook page Sunday evening that Assad 's government was trying to tarnish the image of the revolution ."", ""Zebari echoed US , Russian , and Turkish fears of the bloodshed in Syria escalating into civil war , a risk brushed off by Syria 's Foreign Minister Walid Muallem on Sunday ."", ""It said the league rebuffed Syria 's approach in a letter from its Secretary - General Nabil Elaraby to Syria 's foreign minister ."", ""Zebari said his country 's position was reserved on the decision to suspend the membership of Syria in the Arab League and that the situation will have a direct impact on Iraq ."", 'In an interview with GlobalPost , the leader of the Free Syrian Army , Colonel Riad al - Asaad , denied fears that Syria is sliding into civil war after escalating attacks by his men against the Assad regime’ security forces .', 'And though short on weapons and ammunition , Col . Asaad — no relation to the ruling family']"
2011-11-21,"['In an interview with GlobalPost , the leader of the Free Syrian Army , Colonel Riad al - Asaad , denied fears that Syria is sliding into civil war after escalating attacks by his men against the Assad regime’ security forces .', 'The Path to a Civil War in Syria']"
2011-11-22,"[""Yesterday , Syrian soldiers opened fire on at least two buses carrying Turkish citizens in an apparent retaliation for Turkey 's criticism of Assad ."", 'David Cameron urged world leaders to "" engage "" with Syrian opposition groups yesterday as he warned the country was on the brink of a full - scale civil war .', 'Political leaders had held consultations with military and intelligence officials on Tuesday over a protest movement in which 3,500 people have already been killed now taking on the characteristics of an armed conflict , as soldiers desert , with some alarming sectarian overtones .', 'Turkish land forces commander Hayri Kivrikoglu visited the border area on Tuesday , declaring there was "" no special reason for our visit . ""', 'The Path to a Civil War in Syria', ""Syria 's ambassador to the UN accuses Britain of declaring ' a diplomatic war ' New UN resolution calls for Damascus to withdraw tanks from streets , stop attacks on civilians and the release of prisoners ' Syria - phobia ' : Ambassdor Bashar Ja'afari has accused Britain of waging a diplomatic war against his country Syria 's ambassador to the UN accused Britain of declaring political and diplomatic war against his country by sponsoring a resolution that condemns its human rights abuses ."", 'Just when Western leaders – and Qatar – were hounding President Bashar al - Assad for his brutal suppression of opposition demonstrations , along comes the latest crisis in Egyptian cities where security men brutally suppress opposition demonstrators who want the army to obey the orders of a real democratic parliament and to stop posing as the "" guardians "" of a new constitution .']"
2011-11-23,"['His family name is Assad , and his nephew is none other than Syrian President Bashar Assad .']"
2011-11-24,"['Free Syrian Army chief Riyadh al - Asaad on Thursday called for foreign air strikes on “ strategic targets ” in Syria to speed up the fall of the regime , in a telephone interview with AFP .', 'In a radio interview Thursday with France Inter , French Foreign Minister Alain Juppe said he had raised the idea with the United Nations and U.S. Secretary of State Hillary Rodham Clinton and would discuss it with Arab foreign ministers meeting in Cairo this week .', 'But Juppe said Thursday that military intervention in Syria was not under consideration .', 'Syria ’s rebel chief calls for air strikes to speed Assad ’s fall National Post NICOSIA –', '“ We are not in favour of the entry of foreign troops as was the case in Iraq but we want the international community to give us logistical support , ” said FSA chief Colonel Asaad , who is based across the border in Turkey .', 'His family name is Assad , and his nephew is none other than Syrian President Bashar Assad .', 'The emergence of anti - Assad fighters calling themselves the Free Syrian Army , attacking Syrian troops , tanks , and even an intelligence building on the outskirts of Damascus , has led Syria to revive accusations of foreign arms trafficking .']"
2011-11-25,"['The arms market in Lebanon today is frozen .', 'Meanwhile , the Arab League says Syria has until Friday to sign an agreement to allow Arab monitors into the country or risk sanctions .', ""If Syria does not sign a protocol by Friday allowing the league 's observer mission , the statement said , an economic and social panel would meet Saturday to consider a package of sanctions that could include suspending flights to Syria , halting trade and financial transactions with the government , suspending dealings with the country 's central bank and freezing government assets ."", 'The U.N. Human Rights Council is holding an emergency session on Syria Friday following a report by an independent U.N. commission of inquiry that said Syrian forces have committed crimes against humanity including executions , torture and rape .', 'Civil opposition groups , previously ambivalent about an armed uprising , called their November 25 protest the Friday of ‘ May the Free Syrian Army Protect Us’ .', 'The U.N. Human Rights Council is holding an emergency session on Syria Friday following a report by an independent U.N. commission of inquiry that said Syrian forces have committed crimes against humanity including executions , torture and rape .', 'Syrian uprising means good business for gunsmugglers National Post', 'The emergence of anti - Assad fighters calling themselves the Free Syrian Army , attacking Syrian troops , tanks , and even an intelligence building on the outskirts of Damascus , has led Syria to revive accusations of foreign arms trafficking .', ""UN ' Numerous ' reports of child torture by Syria Mideast / N. Africa NBC News >"", '> > amateur video out of syria shows what may be the start of a civil war .', 'a growing number of defectors taking up arms against government troops and tanks .', ""France calls for ' humanitarian corridors ' in Syria"", 'The proposal is aimed at getting aid to besieged areas of Syria .']"
2011-11-26,"['Banque Saudi Fransi ( BSFR ) , a Saudi lender part - owned by Credit Agricole SA , said on Nov. 26 that it will sell its 27 percent stake in bank Bemo Saudi Fransi Syria , citing “ the financial risks ” in the country .', 'The opposition Local Coordination Committees of Syria said at least 40 more people were killed Saturday as the government turned its guns on centers of resistance .', 'United Arab Emirates Foreign Minister Sheikh Abdullah bin Zayed al - Nahayan said he was still hoping Syria would admit observers and avoid sanctions due to be finalized by Saturday .', 'Violence sweeping across Syria killed 25 people on Saturday , most of them in a battle between troops and a growing force of army defectors who have joined the movement to oust the autocratic president , activists said .', ""Arab League ministers meeting in the Gulf nation of Qatar on Saturday to finalize the bloc 's penalties agreed on a list of 19 Syrian officials subject to a travel ban ."", 'The worst violence on Saturday took place in the restive northwestern city of Idlib .', ""Arab League officials at Saturday 's meeting in Qatar said Syria has asked for a meeting to discuss the proposed monitoring team with the league 's secretary - general , Nabil Elaraby ."", 'Arab League slaps Syria with sanctions', ""Unprecedented vote slams Damascus over violence during 8-month uprising Syrians living in Turkey chant slogans as they wave Turkish and Syrian flags during a protest against the government of Syria 's President Bashar al - Assad ."", 'Syria rebels Assad regime recruiting Iranian , Hezbollah mercenaries Israel News Haaretz', 'The spokesman , Ammar al - Wawi , said that in recent months many army and police officers defected , a fact that “ requires the regime to make internal changes in the military ranks .']"
