time,Sentences
2011-01-15,"['The success of Tunisia \'s Jasmine Revolution , which ended the 23-year rule of Zine el Abidine Ben Ali on Jan. 15 , inspired smaller uprisings from Algeria to Yemen , but the drama unfolding in the streets of the most populous Arab nation was of a higher magnitude . ""', ""' First Wikileaks Revolution ' Tunisia descends into anarchy as president flees Mail Online President Ben Ali goes into exile in Saudi Arabia after 23 years in power But his departure does not calm riots as anarchy breaks out Power changes hands for second time in 24 hours as Constitutional Court declares president has left office ' for good ' Published US Embassy cables likened President 's family to a Mafia elite Department of State issues travel alert to avoid the north African country Although there has long been opposition to the corrupt rule of President Ben Ali , protests gathered pace when US embassy cables were published by Wikileaks ."", 'He has gone into exile in Saudi Arabia .', 'Overthrow of Tunisian president jolts Arab region BAGHDAD - Moments after Tunisian president Zine el - Abidine Ben Ali was ejected from his palace , tweets began flying across a region that was at once enthralled and appalled by the specter of an Arab leader being overthrown by his own people . ""', ""Tunisia 's Jasmine Revolution For 23 years , Zine el - Abidine Ben Ali presided over the most tightly run ship in the Arab world .""]"
2011-01-16,"[""About 1,000 Yemeni students march through the streets of the Yemeni capital Sanaa on their way to the Tunisian embassy on Jan. 16 , 2011 , urging Arabs to rise up against their leaders in the wake of Tunisia 's strongman Zine El Abidine Ben Ali 's ouster ."", 'Tunis Hundreds of people marched though the streets of the Yemeni capital , Sanaa , in solidarity with Tunisian protesters .']"
2011-01-17,"['Tunis Hundreds of people marched though the streets of the Yemeni capital , Sanaa , in solidarity with Tunisian protesters .', 'Tunisia crisis live updates']"
2011-01-18,"[""This Facebook video shows Marzouki 's supporters greeting him at the airport today ."", 'Two Egyptian men , possibly inspired by events in Tunisia , attempted to set themselves on fire today in downtown Cairo , just a day after another man burned himself in front of parliament .', ""Tuesday 's incidents come one day after protesters in Mauritania and Algeria set themselves alight in apparent attempts to copycat the fatal self - immolation of a Tunisian man that helped inspire the protests that toppled Tunisia 's authoritarian president ."", 'Videos have emerged of protesters storming the headquarters of the RCD ( the party of the ousted president ) in the southern city of Tataouine today .', 'Mustapha Ben Jaafar , one of the new ministers who resigned today , is a long - time opposition leader who ran for president in 2009 .', 'January 18 - Opposition leader Mustafa Ben Jaafar resigns from the new national unity government in protest over the presence of ministers from the party of Ben Ali .', 'Tunisia crisis live updates', 'Before his arrival they were shouting slogans against the RCD .', ""Hosni Mubarak , the Egyptian president , made no reference to the Tunisian revolt in his opening speech [ EPA ] The head of the Arab League has told the region 's leaders that the recent upheaval in Tunisia is linked to deteriorating economic conditions throughout the Arab world , warning them that their people 's anger has reached unprecedented heights ."", 'TUNISIA Revolution shows hollowness of Arab system in face of people power latimes', 'TUNISIA :', 'Revolution shows hollowness of Arab system in face of people power The citizens’ revolution in Tunisia that forced dictator Zine el Abidine ben Ali to flee the country provides many lessons for the Arab world .']"
2011-01-19,"[""Patrols surround hundreds of students and activists at Sanaa University gates Four opposition party students were arrested and are still in custody , sources say Demonstrators want political and democratic reforms in Yemen , president ousted Sanaa , Yemen ( CNN ) -- Police in Yemen 's capital of Sanaa thwarted a demonstration by students and activists at Sanaa University on Wednesday , the fifth rally since the Tunisian people forced their president to leave office and the country ."", 'Hundreds of college students and activists gathered at the university gates at 10 a.m. , but security patrols surrounded them .', 'On Wednesday , anti - riot police and intelligence officers blanketed the area and were well - prepared to thwart rallies .', ""Arab leaders warn of more revolts amid growing anger Summit agrees $ 2bn aid for region as family of Tunisia 's former president is arrested Tunisia yesterday began the search for the millions of pounds believed to have been stolen by the country 's ousted leader and his family as Arab leaders were warned that dire economic conditions could provoke a Tunisian - style revolt elsewhere in the region ."", 'Protests continued around the country yesterday against members of the embattled new government with links to the old regime .', 'The League also committed to investing in Arab youth – "" the most precious of all our resources and wealth "" said the Egyptian President Hosni Mubarak , who chaired the summit yesterday .', ""During a January 19 meeting with visiting Chief of Staff of the Army General George W. Casey , Jr. , Egyptian military Chief of Staff Sami Enan praised U.S .- Egypt military cooperation and sought support for Egypt 's proposed sale of M1A1 tanks to Iraq ."", ""During a January 19 meeting , Enan praised U.S .- Egypt military cooperation and noted that additional resources were needed to accelerate the pace of Egypt 's modernization plan to replace Soviet - era equipment ."", 'Middle East Arab League chief warns regional leaders that recent political upheaval is linked to deteriorating economic conditions .', ""Hosni Mubarak , the Egyptian president , made no reference to the Tunisian revolt in his opening speech [ EPA ] The head of the Arab League has told the region 's leaders that the recent upheaval in Tunisia is linked to deteriorating economic conditions throughout the Arab world , warning them that their people 's anger has reached unprecedented heights ."", 'Amr Moussa told an Arab economic summit in Egypt that "" the Arab soul is broken by poverty , unemployment and general recession . ""', 'TUNISIA Revolution shows hollowness of Arab system in face of people power latimes', 'TUNISIA :', 'Revolution shows hollowness of Arab system in face of people power The citizens’ revolution in Tunisia that forced dictator Zine el Abidine ben Ali to flee the country provides many lessons for the Arab world .', 'A lost generation of young people of Tunisia discuss grievances that led to their revolution IN TUNIS', 'They grew up in a world of paranoia , fearing the secret police , fearing that their cellphones were tapped .', 'In the Heat of the Tunisian Revolution Re “ More Officials Quit in Tunisia', 'Amid Protests ”', 'A lost generation of young people of Tunisia discuss grievances that led to their revolution IN TUNIS', 'They grew up in a world of paranoia , fearing the secret police , fearing that their cellphones were tapped .', 'Switzerland also moved to freeze assets linked to the former president Zine el - Abidine Ben Ali , and around 40 others linked to the regime .', 'A Day in the Life of a Yemeni Revolutionary "" The second Jasmine Revolution will take place in Yemen , "" Tawakul Karman announces confidently . ""', 'Tawakul , an activist and young mother of three , has been leading student protests at Sanaa University for the past week .']"
2011-01-20,"[""She compares today 's movement to Yemen 's 1962 revolution which overthrew the monarchy ."", ""20 January Following the demonstrations in other Arab countries , protests against President Saleh 's rule erupt in Sanaa and other Yemeni towns ."", 'A lost generation of young people of Tunisia discuss grievances that led to their revolution IN TUNIS', 'In the Heat of the Tunisian Revolution Re “ More Officials Quit in Tunisia', 'Amid Protests ”', 'A lost generation of young people of Tunisia discuss grievances that led to their revolution IN TUNIS', 'Switzerland also moved to freeze assets linked to the former president Zine el - Abidine Ben Ali , and around 40 others linked to the regime .', 'A Day in the Life of a Yemeni Revolutionary "" The second Jasmine Revolution will take place in Yemen , "" Tawakul Karman announces confidently . ""', 'Tawakul , an activist and young mother of three , has been leading student protests at Sanaa University for the past week .']"
2011-01-21,"['The protests calmed by early evening , but organizers said there was more to come Friday .', 'Yemani protesters follow Tunisia and Egypt in AlQaeda hotbed Mail Online Yemen , poorest Arab world country , on brink of collapse Streets in capital Sanaa forced to close by rioters Government opposition urge demonstrations to continue on Friday Tens of thousands of people took to the streets of Yemen in a bid to topple the government of President Ali Abdullah Saleh , spurred on by the popular revolts in Tunisia and then Egypt in recent weeks .', 'and ADEN , Yemen —', 'The protests in Yemen appeared to be the first of their kind .', 'Yemeni students chant slogans calling on their president Ali Abdullah Saleh to leave the government and follow Tunisian ousted President Zine El Abidine Ben Ali into exile during a protest in Sanaa , Yemen .']"
2011-01-22,"[""Drawing inspiration from the revolt in Tunisia , thousands of Yemenis fed up with their president 's 32-year rule demanded his ouster Saturday in a noisy demonstration that appeared to be the first large - scale public challenge to the strongman ."", 'Clashes also broke out Saturday in Algeria , as opposition activists there tried to copy the tactics of their Tunisian neighbors , who forced their longtime leader to flee the country more than a week ago .', ""Thousands demand ouster of Yemen 's president ADEN , Yemen — Drawing inspiration from the revolt in Tunisia , thousands of Yemenis fed up with their president 's 32-year rule demanded his ouster Saturday in a noisy demonstration that appeared to be the first large - scale public challenge to the strongman ."", 'Clashes also broke out Saturday in Algeria , as opposition activists there tried to copy the tactics of their Tunisian neighbors , who forced their longtime leader to flee the country more than a week ago .', ""Thousands demand ouster of Yemen 's president Jan. 22 :"", ""AP ADEN , Yemen – Drawing inspiration from the revolt in Tunisia , thousands of Yemenis fed up with their president 's 32-year rule demanded his ouster Saturday in a noisy demonstration that appeared to be the first large - scale public challenge to the strongman ."", 'Clashes also broke out Saturday in Algeria , as opposition activists there tried to copy the tactics of their Tunisian neighbors , who forced their longtime leader to flee the country more than a week ago .', ""Drawing inspiration from the revolt in Tunisia , thousands of Yemenis fed up with their president 's 32-year rule demanded his ouster Saturday in a noisy demonstration that appeared to be the first large - scale public challenge to the strongman ."", 'Clashes also broke out Saturday in Algeria , as opposition activists there tried to copy the tactics of their Tunisian neighbors , who forced their longtime leader to flee the country more than a week ago .', ""Karman , the head of Women Journalists Without Chains , was arrested Saturday in Sanaa , the capital of Yemen , and is being held in the city 's main prison , according to a report by Reporters Without Borders ."", 'Some protesters demand President Saleh step down ; others urge him to stay One protest banner reads : "" Blessings for the Jasmine Revolution -- it woke us up "" Supporters of the president carry his picture through the streets of Yemen \'s capital ( CNN ) -- Hundreds of students and activists staged rival demonstrations Saturday at Sanaa University in Yemen \'s capital , the editor of the Yemen Post said .', ""Saturday 's demonstrations were the latest in Yemen since the Tunisian people forced their president to leave office and the north African country , according to the Yemen Post 's editor - in - chief , Hakim Almasmari ."", 'One of the banners held up Saturday read , "" If you are threatening that Yemen could be another Somalia , we \'re threatening that Yemen could be another Tunisia . ""', 'Yemen arrests antigovernment activist Tawakul Karman at Saturday ’s protest in Sana’a calling on Yemen ’s president to relinquish power .', ""On Saturday , hundreds of students and activists staged rival demonstrations at Sana'a University in Yemen 's capital ."", 'One of the banners Saturday read , "" If you are threatening that Yemen could be another Somalia , we \'re threatening that Yemen could be another Tunisia . ""', 'Karman , who heads the Women Journalists Without Chains organization in Yemen , said she was arrested Saturday night near her home . ""', 'On Saturday , the chants of 2,500 students and opposition activists could be heard pouring over the walls of Sanaa University where noisy demonstrations , led by Karman , called for the president to step down .', 'and ADEN , Yemen —', 'The protests in Yemen appeared to be the first of their kind .', 'Yemeni students chant slogans calling on their president Ali Abdullah Saleh to leave the government and follow Tunisian ousted President Zine El Abidine Ben Ali into exile during a protest in Sanaa , Yemen .', 'The arrest of journalist Tawakkol Karman has sparked protests in Yemen and more calls for regime change .', ""Yemen ' Tunisian wind ' sweeps through Arab regimes as protests erupt in Yemen Tunisian - style protests erupted in Yemen over the weekend with thousands demanding the downfall of its autocratic president who has joined leaders from Algeria to Jordan in the crosshairs of a regional revolt ."", 'Yemeni activist Tawakul Abdel - Salam Karman , left , chants slogans calling on her president Ali Abdullah Saleh to leave the government Photo :', ""Middle East Leader of student rallies , which called for President Ali Saleh 's ouster , is held by authorities in the capital Sanaa ."", 'Tawakul Karman led two protests at Sanaa University , criticising Arab leaders and calling on Yemenis to topple Ali Abdullah Saleh , the president , by text messaging and email .', 'Students , activists stage rival demonstrations at Yemeni university', 'Some Yemeni demonstrators are demanding that President Ali Abdullah Saleh step down , while others want him to stay .', 'Yemeni protesters demand release of activist The protesters -- many of them students , journalists and lawyers -- demanded the release of Tawakkol Karman .', ""Yemenis urge leader 's exit Middle East Al Jazeera English Thousands of Yemeni students , activists and opposition groups have held protests at Sanaa University , demanding President Ali Abdullah Saleh 's ouster in what appeared to be the first large - scale challenge to the strongman ."", 'Around 2,500 students , activists and opposition groups chanted slogans against the president , comparing him to Tunisia \'s ousted President Zine El Abidine Ben Ali , whose people were similarly enraged by economic woes and government corruption . ""']"
2011-01-23,"['Yemen saw more protests on Sunday , January 23 , 2011 , after the arrest of a journalist .', 'The arrest of journalist and rights activist Tawakkol Karman sparked more protests in Yemen on Sunday as a growing movement pushes for regime change .', 'Hundreds joined the protests on Sunday , and clashes with security officers left one person dead in southern Yemen and about 20 detained in the capital .', 'Yemen police on Sunday arrested Tawakel Karman , a female Islamic activist , who had organised the 2,500-strong demonstration in the grounds of the University of Sanaa .', 'Tunisian police meanwhile announced on Sunday that two former allies of Mr Ben Ali were placed under house arrest .', 'Authorities in Yemen have on Sunday arrested the leader of student rallies against the government in the capital Sanaa .', 'A security source told Reuters news agency on Sunday that Karman , a member of the Islah party , was arrested by orders from the General Prosecution Office .', 'Khaled Abdullah / Reuters Yemen was hit by fresh protests today after the arrest of a prominent female activist who had called for the ousting of President Ali Abdullah Saleh .', 'Yemeni authorities responded with the arrest today of the activist Tawakul Karman , a key orchestrator of the demonstrations .', ""Hundreds of protesters marched through Sana'a , Yemen , on Sunday demanding the release of prominent Yemeni human rights activist Tawakkol Karman , who was arrested on Saturday ."", 'Hakim Almasmari , editor in chief of the Yemen Post , was among the local journalists marching in support of Karman on Sunday .', ""Sunday 's demonstrations were the latest in Yemen since the Tunisian people forced President Zine El Abidine Ben Ali to leave office and the country ."", ""Protests Shake Yemen 's President and Free a Dissident Leader Protesters shout slogans during a protest against the arrest of rights activist Tawakul Karman , outside the Attorny General 's office , in Sanaa , Yemen , January 23 , 2011 ."", 'Yemen has arrested Karman who led student rallies against the government in the capital last week , sparking a new wave of protests on Sunday .', 'Early Sunday morning , Karman was seized by plain - clothed police and taken to jail , according to her organization .', 'Speaking at a conference of the armed forces on Sunday , Saleh said it was wrong to link events in Yemen to those in Tunisia and criticized the protesters . ""', 'Tensions reached a boiling point in Yemen on Sunday when plain - clothed police officers arrested Tawakul Karman , a female activist responsible for organizing the uprising , in the early hours of the morning while driving home with her husband .', 'Tensions reached a boiling point in Yemen on Sunday when plain - clothed police officers arrested Tawakul Karman , a female activist responsible for organizing the uprising , in the early hours of the morning while driving home with her husband .', 'Tensions boiled over on Sunday when plainclothes officers arrested Tawakul Karman , an activist who had helped organise the protest .', 'In a speech on Sunday , the President asked for "" the pardon of Yemeni people , if I have made a mistake or failed in my duty , "" according to state news agency Saba .', ""Essa said the main objective of FM Aboul Gheit and EGIS Chief Soliman 's Jan 23 visit to Sanaa was to show overt support to the Yemeni government , a message the Egyptians want to be received both by the Yemeni people and the international community ."", 'On Jan. 23 , Karman was arrested at her home .', 'Yemen GlobalPost News DeskJanuary 23 , 2011 23:19Updated January 23 , 2011 23:19', 'The arrest of journalist Tawakkol Karman has sparked protests in Yemen and more calls for regime change .', ""Yemen ' Tunisian wind ' sweeps through Arab regimes as protests erupt in Yemen Tunisian - style protests erupted in Yemen over the weekend with thousands demanding the downfall of its autocratic president who has joined leaders from Algeria to Jordan in the crosshairs of a regional revolt ."", 'Yemeni activist Tawakul Abdel - Salam Karman , left , chants slogans calling on her president Ali Abdullah Saleh to leave the government Photo :', ""Middle East Leader of student rallies , which called for President Ali Saleh 's ouster , is held by authorities in the capital Sanaa ."", 'Tawakul Karman led two protests at Sanaa University , criticising Arab leaders and calling on Yemenis to topple Ali Abdullah Saleh , the president , by text messaging and email .', 'Students , activists stage rival demonstrations at Yemeni university', 'Some Yemeni demonstrators are demanding that President Ali Abdullah Saleh step down , while others want him to stay .', 'Yemeni protesters demand release of activist The protesters -- many of them students , journalists and lawyers -- demanded the release of Tawakkol Karman .', ""Yemenis urge leader 's exit Middle East Al Jazeera English Thousands of Yemeni students , activists and opposition groups have held protests at Sanaa University , demanding President Ali Abdullah Saleh 's ouster in what appeared to be the first large - scale challenge to the strongman ."", 'Around 2,500 students , activists and opposition groups chanted slogans against the president , comparing him to Tunisia \'s ousted President Zine El Abidine Ben Ali , whose people were similarly enraged by economic woes and government corruption . ""', 'Oh , Ali , join your friend Ben Ali , "" protesters chanted .', 'Fearing a Tunisia - style revolt , Yemeni President Ali Abdullah Saleh has been desperately trying to appease angry demonstrators and opposition leaders after a week of protests across the country .', ""Yemeni president tries to defuse calls for ouster SANAA , Yemen – Yemen 's president tried to defuse calls for his ouster , forcefully denying claims by opponents that he plans to install his son as his successor and raising salaries for the army ."", ""In several days of protest , student activists and opposition groups in the Arab world 's most impoverished nation — buoyed by the example of the popular revolt in Tunisia — have boldly called for the removal of U.S .- allied President Ali Abdullah Saleh ."", ""The protests are presenting Yemen 's ruler — in power for nearly 32 years — with a new and unpredictable challenge , adding to the threat from an al - Qaida offshoot aiming to topple him , a southern secessionist movement and an on - and - off armed rebellion in the north ."", ""Yemeni activist vows to continue ' revolution ' after release"", ""The Middle East is walking into an anxious week after a busy weekend , one that saw authoritarian regimes from Algeria to Yemen experience the ripple effect of the fall of Tunisia 's President , Zine el Abidine Ben Ali ."", ""Large antigovernment demonstrations broke out in Jordan , Yemen and Algeria , while more men \x97 particularly in Egypt and Algeria \x97 have joined the ranks of self - immolators inspired by Mohammed Bouazizi , the Tunisian whose suicide sparked that country 's revolution ."", 'Yemen Human rights activist and Yemeni journalist Tawakkol Karman delivers a speech during a rally in 2009 .', 'NEW :', 'Karman had initially refused to leave prison until other activists were also freed ( CNN ) --', ""A student uprising forces Yemen 's long - time ruler to make public concessions .""]"
2011-01-24,"['Following the arrest of a number of journalists and human rights activists over the weekend , the Yemeni government suddenly released them Monday morning after demonstrations flared , demanding their freedom .', '"" We will continue this struggle and the Jasmine Revolution until the removal of this corrupt system that looted the wealth of the Yemenis , "" she screamed through a loudspeaker to a crowd of around 1,000 people on Monday , referring to the uprising in Tunisia which toppled president Zine al Abidine Ben Ali earlier this month .', '"" All of Yemen loves her , "" a protester yelled in English at a demonstration outside the General Prosecutors Office on Monday morning .', 'In the latest demonstrations , the main opposition groups on Monday announced a campaign to oust Saleh .', 'A Yemeni rights activist , whose arrest sparked an international outcry and domestic protests , was released from prison Monday and said there is a revolution taking place in her country .', 'Yemen GlobalPost Tom Finn January 24 , 2011 12:36Updated January 24 , 2011 14:31', 'In an apparent effort to quell the violent protests that have persisted for three days straight on the streets of Yemen ’s capital , the country ’s authoritarian ruler , Ali Abdullah Saleh , released a rights activist from prison today .', 'Authorities released Karman earlier today with a commitment from her family that “ she will no longer offend public order and law .', ""Protesters march in attempt to force Yemen 's president out Pprotesters , holding up pictures of detained activist Tawakkol Karman , demonstrate in Sanaa on Jan. 24 , 2011 ."", 'A Yemeni rights activist , whose arrest sparked an international outcry and domestic protests , was released from prison Monday and said there is a revolution taking place in her country .', 'A Yemeni protester holding up pictures of detained political activist Tawakel Karman on Jan. 24 , 2011 outside the public prosecution headquarters in Sanaa in solidarity her .', 'Authorities released Karman on Monday with a commitment from her family that “ she will no longer offend public order and law .', 'She was freed on Monday with a pledge from her family that she would "" no longer offend public order and law "" .', '"" We will continue until the fall of Ali Abdullah Saleh \'s regime , "" said Karman , who was granted parole on Monday after being held over her role in earlier protests calling for political change in Yemen .', ""State TV said Monday 's curfew would be earlier - starting at 3 p.m."", 'The United States plans to start flying out citizens Monday .', ""Yemen activist sees youth revolt against president Tawakul Karman ( L ) , a rights activist and member of Yemen 's main opposition party , Islah , talks to reporters after she was released from jail in Sanaa January 24 , 2011 ."", 'Oil has rallied 9.2 percent since Jan. 24 , the day before the first anti - government protests erupted in Egypt .', 'Inhabitants of the central Tunisia region of Sidi Bouzid who slept overnight near the office of the Tunisian Prime Minister in Tunis on January 24 , 2011 call for the government to resign .', 'Fearing a Tunisia - style revolt , Yemeni President Ali Abdullah Saleh has been desperately trying to appease angry demonstrators and opposition leaders after a week of protests across the country .', ""Yemeni president tries to defuse calls for ouster SANAA , Yemen – Yemen 's president tried to defuse calls for his ouster , forcefully denying claims by opponents that he plans to install his son as his successor and raising salaries for the army ."", ""In several days of protest , student activists and opposition groups in the Arab world 's most impoverished nation — buoyed by the example of the popular revolt in Tunisia — have boldly called for the removal of U.S .- allied President Ali Abdullah Saleh ."", ""The protests are presenting Yemen 's ruler — in power for nearly 32 years — with a new and unpredictable challenge , adding to the threat from an al - Qaida offshoot aiming to topple him , a southern secessionist movement and an on - and - off armed rebellion in the north ."", ""Yemeni activist vows to continue ' revolution ' after release"", 'Egyptians , Inspired by Tunisia , Use Facebook to Set Up Protest March TIME', ""The Middle East is walking into an anxious week after a busy weekend , one that saw authoritarian regimes from Algeria to Yemen experience the ripple effect of the fall of Tunisia 's President , Zine el Abidine Ben Ali ."", ""Large antigovernment demonstrations broke out in Jordan , Yemen and Algeria , while more men \x97 particularly in Egypt and Algeria \x97 have joined the ranks of self - immolators inspired by Mohammed Bouazizi , the Tunisian whose suicide sparked that country 's revolution ."", 'Yemen Human rights activist and Yemeni journalist Tawakkol Karman delivers a speech during a rally in 2009 .', 'Karman had initially refused to leave prison until other activists were also freed ( CNN ) --', ""A student uprising forces Yemen 's long - time ruler to make public concessions ."", 'State of the Union']"
