1999-07-21,"A full - blooded bidding war for Europe 's largest energy market , the International Petroleum Exchange ( IPE ) in London , moved closer yesterday as a high - powered US team threw down the gauntlet to the exchange 's management .
New York Mercantile Exchange ( Nymex ) chairman Daniel Rappaport said : "" We mean to close this transaction "" .
Hinting at an increased offer for control of the exchange , Mr Rappaport and Nymex president Patrick Thompson urged IPE members to vote down a management plan to sell 70 % of the IPE to a five - strong corporate group - BG , Distrigas , America 's Enron , Nordpoool of Scandinavia and Sweden 's OM Gruppen - and instead to throw in their lot with Nymex .
Until now , the cash value of the Nymex bid and the management plan has been identical , valuing the whole of the IPE at £ 35.7 m .
But yesterday , Mr Rappaport left the door open for an increased bid .
Even before any such increase , Nymex was yesterday wooing IPE members with a number of tempting "" extras "" , including a commitment to carry on the IPE 's cherished "" open outcry "" floor trading , in contrast to management plans to shift to electronic screens , and a share of Nymex 's own board seats for IPE members , in addition to the seats to which they would be entitled .
IPE members will vote on the exchange 's future at an extraordinary general meeting on July 30 ."
2000-10-02,"A part - built gas pipeline in Tibet threatens to become a major embarrassment for several multinational oil companies after the Dalai Lama urged them to withdraw their support for Chinese firms involved in the huge project .
The Tibetan government in exile has called for an immediate halt to the construction of several oil and gas schemes that are being backed by multinationals such as BP Amoco , Enron and Agip .
It argues that the pipeline is of no benefit to the Tibetan people and will merely accelerate the influx of Chinese migrants into Tibet .
The exiled administration , based in India and headed by the Dalai Lama , urged the corporations last week to withdraw their investments from "" Chinese entities engaged in these activities "" .
They include China 's two largest oil firms , PetroChina and Sinopec .
This is the first time that the government in exile has taken a position on oil and gas development in Tibet , which was invaded by the Chinese in 1950 .
"" Our position with respect to development is clear : we support projects which benefit the Tibetan people and oppose those which cause harm , "" Kalon TC Tethong , minister for international relations in the Dalai Lama 's government , said .
"" This project represents a significant escalation of China 's exploitation of oil and gas on the Tibetan plateau and will accelerate China 's policy of transferring Chinese settlers into Tibetan areas . "" The controversial 953 km ( 592 mile )
Sebei - Lanzhou pipeline is part of China 's "" western development plan "" .
After pressure from human rights groups and Tibetan supporters worldwide , BP Amoco decided not to participate in a joint venture around the pipeline .
But last month it announced a £ 400 m investment in Sinopec .
The BP Amoco is now the largest foreign oil investor in China , having pumped in $ 2.5bn ( £ 1.7bn ) .
Last night a BP spokesman said the company had no direct interests in Tibet .
But he added : "" China is a very fast - growing market - one of the biggest in the world and an area where we wish to be a significant player . ""
At a press conference in New Delhi on Friday , Mr Tethong said that China 's "" hardline policy "" on Tibet threatened the "" total destruction of an entire civilisation "" .
Beijing 's assumption that the issue of Tibet would resolve itself after the Dalai Lama 's death was "" fatally flawed "" , he added .
The World Bank was forced recently to scrap a contentious $ 160 m ( £ 109 m ) loan to China which would have been used to resettle some 58,000 Chinese farmers in Qinghai province .
Pro -
Tibet campaigners argued that the loan would have had a devastating impact on the region 's remaining 6 m Tibetans , and the prospects for the survival of their ancient culture and Buddhist religion ."
2001-04-29,"Utility giant Scottish Power is considering a move to bolster its American West Coast operations by swooping on Oregon 's Portland General in a deal that could total $ 3bn ( £ 2.17bn ) .
Portland 's owner , Enron , last week broke off talks with US utility Sierra Pacific over a deal said to be worth $ 3.1bn .
This opened the door to Scottish Power .
A City source said Portland , which sells power to 725,000 customers in and around the state capital of Oregon , would be a perfect fit for the Pacificorp business in the north - west US , which Scottish bought in 1999 for £ 4.7bn .
Scottish has consistently said it wants to build up its business in the US .
PacifiCorp has some 1.5 m residential , commercial and industrial customers spread over six states : Oregon , California , Washington , Wyoming , Utah and Idaho . '
Portland sits in the middle of PacifiCorp territory in Oregon , ' he said .
' There would be added customers and big synergies in infrastructure , operations , and head office functions .
It would make sense . '
Scottish Power 's management will be quizzed about the move when it sets out its strategy in the UK and US at a results meeting this week .
There have been concerns over PacifiCorp after the shutdown of the Hunter power plant in Utah forced the company to buy in electricity at prices vastly inflated by the California power shortage .
The problem cost Scottish Power £ 160 million in the first nine months of last year .
It would also come up against regulatory issues if it embarked on a bid .
Earnings from PacifiCorp are expected to come in at around £ 349 m before exceptionals .
Peter Atherton , utilities analyst at Schroder Salomon Smith Barney , said : ' I would expect Scottish Power to be looking very closely at PGE , given their stated strategy of adding to their PacifiCorp assets . '
 Analysts will also be keen on a progress report on the sale of Southern Water , valued at £ 1.7bn with £ 1bn of debt , on Thursday .
They are expecting pre - tax profits to fall from £ 737 m last year to £ 616 m this ."
2001-05-26,"Applicants for jobs on the commission regulating the US energy market have been vetted by the Enron Corporation , the country 's biggest electricity power company and a significant contributor to George Bush 's election campaign , according to a report published yesterday .
Soon after being appointed chairman of the federal energy regulatory commission , Curtis Hébert told the New York Times , he received a telephone call from the Enron president , Kenneth Lay , offering the company 's backing to help him keep his job if he adapted his views on deregulation .
Mr Hébert said he was offended by the approach and turned down the offer .
His appointment as chairman , which was provisional pending the nomination of other members of the commission , has since been called into question by Vice - President Dick Cheney .
Mr Hébert 's chief of staff , Walter Ferguson , confirmed the newspaper account yesterday . ""
[ Mr Hébert ] has always been forthright and he 's been a straight - shooter with folks in the industry , "" he said .
Mr Lay , a close friend of the Bush family , confirmed that the telephone call took place , but said it was Mr Hébert who asked for Enron 's backing to keep his job .
Either way , environmentalists and other critics of President Bush argue , the fact that the conversation took place at all demonstrates the leading role corporations like Enron have in making energy policy in Washington under the new administration .
According to a joint investigation by the New York Times and Public Broadcasting Service ( PBS ) , Mr Lay and other Enron executives interviewed other candidate members of the regulatory commission and supplied the president 's personnel adviser , Clay Johnson , with a list of the company 's preferred candidates .
The two commissioners Mr Bush chose to fill the vacant Republican seats both had the backing of Enron and other power companies .
"" It just confirms what we believed and what we 've been saying , that the Bush - Cheney energy plan is written by corporations and it 's in the interests of the corporations , "" said Kevin Curtis , vice - president for government affairs of the National Environmental Trust , a Washington pressure group .
Enron , a $ 100 billion behemoth in the energy trading market , was a significant backer of Mr Bush in last year 's election .
It contributed $ 1.7 m to Republican candidates , 72 % of its total campaign spending .
It is a strong supporter of deregulation in the electric power market , in particular the opening up of state markets to outside suppliers .
At the time of the phone call from Mr Lay , Mr Hébert had launched an investigation of the pricing policies of big electricity traders , such as Enron . ""
One of our problems is that we do not have the expertise to truly unravel the complex arbitrage activities of a company like Enron , "" he told the New York Times , adding : "" We 're trying to do it now and we may have some results soon . ""
Mr Ferguson confirmed yesterday that the investigation would continue .
The large - scale deregulation of regional electricity markets since 1996 has failed to reduce prices in many states , and since the chaos and power shortages produced by the botched deregulation in California , the pace of market reform has slowed down , much to the frustration of Enron .
In their telephone conversation , a few weeks after Mr Hébert 's appointment , he said Mr Lay told him that "" he and Enron would like to support me as chairman , but we would have to agree on principles "" .
Those principles would involve the pace and nature of deregulation .
Mr Lay said that there was "" never any intent "" to link Mr Hébert 's employment with the commission 's policies .
When Mr Hébert , a former Mississippi state regulator , was given the chairman 's job in January , the White House told him he would keep it at least until Mr Bush 's other nominees , Pat Wood and Nora Brownell , were confirmed by the Senate .
Their appointment was confirmed this week , and Vice - President Cheney told PBS that Mr Wood , head of the Texas public utility commission , should now get Mr Hébert 's job .
Mr Ferguson said yesterday that the president was the only one who could decide whether Mr Hébert should keep his job .
Other candidates for seats on the commission also say that Enron played a role in the selection process .
Joe Garcia , a Florida regulator and now a leader of the Cuban - American National Foundation , an exile pressure group , said he was interviewed by Mr Lay and other Enron officials ."
2001-08-09,"Two men died yesterday and two others were seriously injured when an explosion and fire ripped through a power station .
The blast happened in a transformer room at the Enron power station near Middlesbrough , Teesside , causing fire to break out .
The injured workers were taken to Middlesbrough general hospital with burns .
Hundreds of staff were on site at the time of the blast and they were all evacuated .
Hospital staff said one of the men was in a critical condition with severe burns and the other patient is stable with moderate burns .
The power plant began commercial operations in 1995 and it generates electricity from natural gas and produces steam for companies including BP , Du Pont , ICI and Union Carbide .
It is owned and operated by the US multinational company Enron .
A statement from Enron Teesside Operations said : "" We can confirm there was an explosion and subsequent fire at Teesside power station at around 2.40pm .
Emergency services were called and it is now under control and there is no danger off site .
The area surrounding the power station has been evacuated .
The company has set up an incident room and we are liaising with emergency services .
"" The power station was off - line last night .
An inspector from the health and safety executive is on site and more inspectors will be sent there today .
The HSE said there was no risk to outsiders from the explosion .
If there was a manslaughter case to answer , the investigation would be passed to Cleveland police .
Inspector Sue Coates said the cause of the blast was not yet known .
Damage was confined to a small area of the site and four people were in the area at the time ."
2001-10-04,"BG yesterday put India at the core of its operations by spending $ 388 m ( £ 270 m ) on the purchase of upstream assets there from US energy group , Enron .
The demerged international arm of the former British Gas hopes to solve India 's growing energy shortage by developing new fields as gas demand in that country grows by 50 % over the next 10 years .
The latest deal - which must still be ratified by field partners and the Indian government - involves Enron 's 30 % stake in Tapti gas scheme and the Panna - Mukta oil and gas field north west of Mumbai .
It also involves a 63 % stake in the CB - OS/1 exploration licence in Gujarat .
BG hopes to take over field operatorship from Enron but could face opposition from the local Indian group , Oil and Natural Gas Corporation which bid unsuccessfully for the same assets .
BG chief executive Frank Chapman said the deal "" significantly enhanced BG 's position as a leading player in the large and rapidly growing Indian energy market .
"" It also underlined the company 's desire to build an integrated gas company - involving both upstream and downstream operations - as it has been a distributor of gas in India for 10 years .
In August BG bought a liquified natural gas terminal in Gujarat for $ 80 m .
Analysts broadly welcomed the Enron deal .
They said it was an obvious move at a "" sensible "" price though they warned that India was never an easy place to operate .
Enron has been keen to sell off assets "" not integrated into our wholesale or retail energy businesses "" but the disposal to BG does not include its 65 % holding in the Dabhol Power Company which is owed $ 64 m by the Maharashtra state electricity board .
A dispute over this non - payment has been going on for nine months ."
2001-11-09,"Enron , the debt - stricken energy trading group , could be forced to sell its main British assets under the terms of an $ 8bn takeover being considered by Dynegy , its smaller rival .
The two companies confirmed yesterday that they were in talks about a takeover , which would see Houston firm Dynegy , about a fifth of the size of its target , pay a "" fire - sale "" price worth about a tenth of Enron 's $ 70bn value a year ago .
The outcome would be a humiliation for Enron , America 's largest energy trader , which was reportedly the biggest corporate contributor to the Republican party and the presidential campaign last year .
It has been forlornly courting cash injections from groups such as Shell in the past few days to keep it afloat .
Enron 's shares have lost 90 % of their value this year , going into free fall in the past two weeks as it sacked finance director Andrew Fastow for unusual partnership transactions carried out off - balance sheet .
These forced it to take a $ 1bn charge and cut shareholder equity by $ 1.2bn .
Two other senior officials , including Enron 's treasurer , were fired yesterday following their involvement in the murky Fastow deals , which are being investigated by the securities and exchange commission .
Pressure to conclude the deal swiftly ahead of an important meeting today between Enron and its creditors mounted as the once dominant energy trader was forced to restate its earnings and substantial debts for the past four years , amid fears its bonds would soon be given junk status .
ChevronTexaco , the oil group which owns 27 % of Dynegy , would inject up to $ 2.5bn if the deal goes ahead .
Enron , also based in Houston , owns Wessex Water , for which it paid £ 1.4bn in 1998 , and gas - fired power stations in Britain , including the high - performing 1900MW Teesside plant .
It recently announced deals to run the energy management operations of Sainsbury and Guinness .
Dynegy is paying £ 421 m for BG 's gas storage business , a deal expected to be concluded next month , but , renowned for its "" stingy "" financial management , it has shied away from buying a series of British power stations on offer because of inflated prices ."
2001-11-29,"As recently as March this year , analysts were singing the praises of Enron , the US energy conglomerate .
"" The company is controversial because its valuation is very high , "" said Lawrence Fuller , a money manager at Merrill Lynch .
"" But they have a tremendous lead over their rivals and a mastery of their business . ""
Controversial seems an understatement now .
Last year , Enron was in exalted company , rubbing shoulders with corporate titans such as IBM , Citigroup and General Electric .
It ranked No . 7 on the Fortune 500 , with $ 100bn ( £ 70.2bn ) in revenues .
At its peak share price last year of around $ 90 , Enron had a market value of over $ 66bn .
Now , it is worth about $ 400 m and faces bankruptcy after its smaller rival , Dynegy pulled out of a rescue merger .
Dynegy said that it pulled out of the deal because of "" misrepresentations "" on Enron 's part .
Enron 's fall constitutes one of America 's most spectacular corporate collapses .
Enron started unravelling in October , when it revealed a $ 35 m charge to reflect losses in two complex partnerships set up in 1999 to move debt off its balance sheet and hide losses .
It was also forced to knock $ 1.2bn off shareholder equity .
The company 's share price plunged 60 % .
Worse was to follow when the company acknowledged earlier this month that it had overstated profits by $ 586 m over the past four years .
Formed in 1985 as a result of a merger between Houston Natural Gas and InterNorth of Omaha , Nebraska , Enron was transformed by its chairman , Kenneth Lay , from a regional natural gas pipeline company into the world 's largest energy trading company .
Under Mr Lay , Enron 's market capitalisation shot up from $ 2bn to $ 70bn as the company reached its zenith last year .
It received praise for its "" innovative "" approach in bringing high - tech and complex finance to energy trading .
Enron specialised in contracts to deliver natural gas , electric power and other energy products to industries and utilities in the future .
It also sold financial instruments designed to protect customers against sharp swings in energy prices .
By last year , Enron was involved in a quarter of all electricity and natural gas deals in the world and it had big operations in Brazil and India .
"" When the heat is on literally , "" said one analyst earlier this year , "" people need a company like Enron for physical delivery because it has so many ways to get them that resource .
"" From energy , Enron branched out into trading various industrial and telecommunications products and financial contracts linked to these commodities .
Its aggressive expansion did not impress everyone and its opaque finances set off alarm bells with some financial analysts .
But Enron just brushed off criticisms of its murky finances .
When an analyst once challenged Enron 's chief executive officer , Jeffrey Skilling , in a conference call to produce the company 's balance sheet , Mr Skilling called him an "" asshole "" .
The heir apparent to Mr Lay , Mr Skilling suddenly resigned in August , citing "" entirely personal reasons "" .
In an interview with Business Week , Mr Lay was adamant that there were no "" issues "" behind the resignation .
"" There are no accounting issues , no trading issues , no reserve issues , not previously unknown problem issues .
The company is probably the strongest and best shape that it has ever been in , "" he said .
That has proved be so much tosh and Mr Skilling 's hasty exit was a warning of things to come .
Enron employees have suffered massively as their retirement plans were stuffed with Enron shares .
As Enron 's share price plummeted , employees were forbidden to change their investments .
Those losses contrasted sharply with the profits by top Enron executives , who sold company shares during the last few years .
Mr Lay made $ 20.7 m during the first months of this year by exercising stock options - and more than $ 180 m by exercising stock options during the three previous years .
Calamitous as it is for its employees , Enron 's collapse is not expected to have the same repercussions as the fall , three years ago , of Long - Term Capital Management , the hedge fund .
Individual banks such as Barclays and Royal Bank of Scotland , which hold Enron debt , will take a hit , but the broader effect is limited as much of the debt has been parcelled out in small chunks to many lenders .
But Enron 's collapse will raise questions about the wisdom of letting market forces - in reality a handful of energy companies - manage prices .
At the very least , regulators will have to watch more closely the energy markets and insist on more transparent financial practices to prevent another Enron debacle ."
2001-11-30,"Enron Corporation , the US energy group embroiled in allegations of financial irregularities and saddled with $ 15bn ( £ 10bn ) of debt , was last night poised to file for the biggest bankruptcy reorganisation in corporate history .
The firm employs 4,000 workers in Britain at Wessex Water and power stations on Teesside .
It is a big trader on the London Metal Exchange .
The company , whose main business is energy trading , is in crisis following the termination of a multi - billion pound rescue bid .
Rival company Dynegy pulled out of merger talks to save the debt - ridden company , which has seen its shares collapse by 90 % since mid - October .
As reverberations were felt across the world 's energy and financial markets , administrators were called in at the group 's London - based European arm .
Some markets halted Enron operations and Wall Street braced itself for a blizzard of litigation .
The Houston based group , of which former energy secretary Lord Wakeham is a non - executive director , is facing the prospect of a barrage of lawsuits from investors who fear their savings and pensions will disappear if Enron goes under .
Lord Wakeham , who joined the Enron board in 1994 , was yesterday unavailable for comment .
If Enron is forced under , lawyers said they will target its senior management , accountants and financial advisers in their quest for compensation .
In New York yesterday , Enron shares plunged still further on the expectation that the firm will seek protection from its creditors within days .
In Europe administrators have warned of job losses among 5,000 European workers .
Water watchdog Ofwat said it had been assured it was "" business as usual "" for services delivered by Wessex Water , so customers would see no changes in service .
An official at Wessex Water , which employs 1,400 workers and serves millions of customers in Wiltshire , Dorset , Somerset , Hampshire , Devon and Gloucester , said whatever happened at Enron would have no effect on Wessex 's services or its financial position ."
2001-11-30,"ING , the Dutch financial group , today said it would lose $ 195m(£136 m ) if Enron , the US energy trader , went bankrupt .
Shares in ING fell 1 % after the Dutch group said it has total unsecured exposure to Enron of about $ 195 m , most of it in bank loans .
Enron is expected to file for bankruptcy proceedings next week , and other international financial institutions , including JP Morgan Chase , have already disclosed their exposure to the US group .
ING 's exposure is less than JP Morgan 's $ 500 m , but more than the UK 's Abbey National $ 164 m , and analysts said it was greater than expected .
Meanwhile , hundreds of Enron employees in London were kept on tenderhooks , after accountants PricewaterhouseCoopers said hundreds of jobs in London would be lost by the end of the day following Enron 's financial collapse .
Tony Lomas at PwC , which was appointed administrator yesterday to the European holding company of Enron , said : "" We have to decide if we ask people to come into work next week , whether we can pay them .
There are limited funds available
so it 's inevitable that we shall have to release a large number of people .
""
Enron , which employs 3,700 workers in the UK - in London , at Wessex Water , and power stations on Teesside - faces bankruptcy after Dynegy , a rival company , pulled out of a rescue merger .
Dynegy said that Enron , America 's seventh largest company , had "" made misrepresentations "" .
Enron 's failure would be America 's largest bankruptcy ever .
Mr Lomas was today more reassuring about the group 's jobs in the power stations .
"" There are some businesses in this group that are not in the administration process and those people 's jobs are intact for the time being at least , "" Mr Lomas said .
Enron 's European arm yesterday went into administration , after its parent company cut funding to the trading operation in London .
Meanwhile , Abbey National bank disclosed that it had loans to Enron of £ 115 m .
But the bank said that its retail credit quality remained robust .
Abbey National said it would make a provision of up to £ 95 m for its exposure to Enron in the second half of its financial year . ""
Excluding the impact of Enron , the group 's overall performance is in line with market expectations , "" it said in a trading update ."
