2006-01-11,"The Republicans Roy Blunt of Missouri and John Boehner of Ohio have emerged as the two men vying to replace Tom DeLay as majority leader in the US House of Representatives .
The house majority leader plays a crucial role in shepherding through the legislative agenda , working with the minority leader , the White House and the Senate .
Mr DeLay enjoyed a formidable reputation for getting things done on Capitol Hill .
He stepped down after being indicted for money laundering by a Texas grand jury last October .
He had hoped to get his job back when the house returned from its break at the end of January .
But Mr DeLay 's problems deepened after Jack Abramoff , the super - lobbyist and central figure in an influence - peddling scandal , pleaded guilty to criminal corruption .
With his close ties to Mr Abramoff , Mr DeLay 's position became untenable and he renounced any intention to return to his old job .
Mr Blunt and Mr Boehner are currently busy trying to drum up as much support as possible , releasing the names of supporters in the house , in an effort to quickly wrap up the race .
Some Republicans are not so sure that is a good idea .
Representatives Charles Bass and Jeff Flake , who drew up the petition last week that forced Mr DeLay to step down permanently , have urged their colleagues not to commit themselves publicly to any candidate .
They pointed out that neither of the two candidates had committed themselves to root - and - branch reform of a system that spawned the Abramoff scandal . ""
Elections that appear to be foregone conclusions do not advance the reformist agenda many of us pledged to uphold to our constituents , "" their letter said .
Those concerns are well - placed .
Mr Blunt , 55 , and Mr Boehner , 58 , were both at the heart of the Republican money machine Mr DeLay had built up .
A Bloomberg article provides extensive details of the two men 's extensive ties to lobbyists .
Both men 's political action committees ( Pacs ) , which exist to raise money , employ Jim Ellis , who was indicted along with Mr DeLay .
Both of their Pacs also employed Alexander Strategy , a Washington firm whose partners include former Abramoff and DeLay associates .
Mr Blunt , who has been acting majority leader since Mr DeLay stepped down , has also served as the Republicans ' official liaison to K Street , the favoured location of lobbyists .
As recently as last April , Mr Blunt organised a meeting between some 200 lobbyists to discuss the party 's agenda with top Republicans , including the Senate majority leader , Bill Frist .
Mr Boehner is believed to be closer to lobbyists than Mr Blunt .
Bloomberg reports that in 1995 , Mr Boehner handed out campaign cheques from the tobacco industry to members on the house floor at a time when representatives were considering a tobacco subsidy .
If either Mr Blunt and Mr Boehner succeeds Mr DeLay the question arises whether it would be anything other than business as usual ."
2008-01-24,"Democrats and Republicans in Congress have hammered out a deal for a $ 150bn stimulus package to inject momentum into America 's faltering economy .
Under pressure from the White House for swift action , leaders from both parties have agreed in principle to tax rebates which amount to between $ 300 and $ 600 per person .
The agreement was announced by the Democratic speaker Nancy Pelosi and the Republican leader in the House of Representatives , John Boehner .
It was welcomed by President Bush , who said : "" This package has the right set of policies and is the right size .
It will lead to higher consumer spending and more business incentives this year .
"" The Democrats won a concession that even those too poor to pay income taxes would be included , although they agreed to drop demands for increases in unemployment benefits and food stamps .
Under the details , some 117 m families will get rebate cheques which are expected to be sent out within ten weeks .
But couples with joint incomes of more than $ 175,000 will not be eligible .
In an effort to help homeowners struggling with subprime mortgages , the bipartisan deal includes measures allowing the government - sponsored finance companies Fannie Mae and Freddie Mac to take greater action in refinancing home loans .
The two firms will be allowed to buy loans worth up to $ 625,000 rather than the existing $ 417,000 .
Steny Hoyer , the House majority leader , said the measures would provide an "" immediate shot in the arm "" for the economy .
"" We are disappointed , however , that our Republican colleagues ruled out including an extension of unemployment insurance benefits and increasing food stamps in this package - provisions that would provide an immediate bang for the buck and help stimulate our economy , "" he said .
The AFL - CIO union federation added a voice of concern .
Its legislative director , Bill Samuel , suggested that the process had been "" hijacked by business interests "" and would not help the worst off in society .
The stimulus package contributed to a positive mood on Wall Street .
The Dow Jones Industrial Average closed up 108 points at 12,378 .
However , fresh evidence of the severity of America 's economic problems emerged in annual housing figures which showed the sharpest drop in home sales for 25 years .
The National Association of Realtors reported a 13 % decline in transactions and a 1.8 % fall in house prices during 2007 - the first full - year decline in property prices since records began in 1968 .
Concern continues to surround the fate of leading financial insurance companies such as Ambac and MBIA , which provide guarantees to investors against defaults by trading partners .
Shares in Ambac ended the day down 17 % and MBIA fell by 13 % .
New York state 's insurance superintendent , Eric Dinallo , is brokering a bail - out package to prevent the firms from losing their credit status .
But he warned that it would be a slow process : "" it must be understood that these are complicated issues involving a number of parties and any effective plan will take some time to finalize . """
2008-09-29,"Angry Republican leaders blamed Nancy Pelosi , the Democratic Speaker of the House of Representatives , last night for shattering a mood of bipartisan cooperation and destroying the US government 's $ 700bn financial bail - out package .
Keen to shake off responsibility for failing to deliver votes from their own members , embarrassed Republicans said a feisty speech by Pelosi had been so offensive that some of their number shifted sides and voted against the plan at the last moment .
"" I do believe we could have got there today , had it not been for this partisan speech that the Speaker gave on the floor of the House , "" said John Boehner , the Republican leader in the House .
A 68-year - old San Francisco liberal , Pelosi is known for being outspoken : in the past , she has raised eyebrows by bluntly describing George Bush as "" incompetent "" .
In her speech to the House yesterday , she delivered a broadside against seven years of "" budgetary recklessness "" by the White House for creating America 's economic mess .
"" When was the last time someone asked you for $ 700bn ? "" she asked .
"" It is a number that is staggering , but tells us only the costs of the Bush administration 's failed economic policies - policies built on budgetary recklessness , on an anything goes mentality with no regulation , no supervision and no discipline in the system . ""
Pulling few punches , Pelosi said her party believed in the free market - but the market had "" created chaos "" because it had been left entirely to its own devices .
"" It is our responsibility today to help avert that catastrophic outcome , "" she said .
Pelosi is the third most senior politician in the US , ranking behind the vice - president , Dick Cheney , in the line of succession for the presidency .
An Italian - American mother of five and a grandmother of six , she is the first woman to have held the office of Speaker .
She is disliked by many on the right who view her as the essence of California liberalism : pro - choice , pro - gay and anti - war .
But others say that since taking office when the Democrats took control of Congress two years ago , she has shown notes of moderation by consistently blocking efforts to impeach Bush .
Railing against her words yesterday , the Republican whip , Eric Cantor , said Pelosi had "" frankly struck a tone of partisanship that was inappropriate in this discussion "" .
He continued : "" There is a reason that this vote failed - and that is Speaker Pelosi 's speech . ""
A fellow Republican , Roy Blunt , suggested that a dozen congressmen from his own party had changed their minds after hearing Pelosi 's words .
But the Speaker was quickly backed by her colleagues who accused Republicans of casting around for a scapegoat to cover their own humiliation in being defied by two - thirds of their own party .
"" I 'm appalled that because somebody hurt their feelings , they decided to punish the entire country , "" said Barney Frank , Democratic chairman of the House financial services committee .
"" I would not have imputed that degree of pettiness and hyper - sensitivity . ""
Rahm Emmanuel , chairman of the Democratic caucus in the House , said nobody should be "" pointing fingers "" given the seriousness of the economic warnings descending upon Congress .
The outbreak of hostilities came after a weekend of rare cooperation in which leaders from both parties burned midnight oil in an attempt to strike a deal which could be supported by their backbenchers .
At one stage late on Saturday night , the two parties met in Pelosi 's office over a platter of pizza and sandwiches to try to come to agreement .
To many observers , Republicans appeared to be the architects of yesterday 's defeat .
Some 60 % of Democrats voted for the bail - out , compared with only a third of the Republicans in Congress .
But Pelosi was not the only person whom rightwingers attempted to blame .
On the presidential campaign trail , John McCain said that it was time to "" fix the problem "" rather than apportion responsibility .
But his chief economic adviser , Douglas Holtz - Eakin , accused Barack Obama of failing to get involved in negotiations to fashion an acceptable package .
"" Barack Obama failed to lead , phoned it in , attacked John McCain , and refused to even say if he supported the bill , "" said Holtz - Eakin .
The Obama campaign reacted with irritation .
A spokesman for Obama said the Republicans ' "" angry and hyper - partisan "" utterances were exactly why Americans are "" disgusted with Washington "" . ""
Now is the time for Democrats and Republicans to join together and act in a way that prevents an economic catastrophe , "" Obama 's camp said ."
2009-02-27,"At CPAC , John Boehner is a rock star .
The Republican House minority leader was introduced by Americans for Tax Reform activist - in - chief Grover Norquist Friday morning as the "" next speaker of the House of Representatives "" , and by the time the Ohio congressman was done speaking , that seemed a little less improbable .
Boehner spoke to a nearly full ballroom at the Omni Shoreham in Washington , eliciting applause and boos at the right times .
When he finished , about half of the people filed out rather than stay and listen to his counterpart in the Senate , the owlish Mitch McConnell .
The emcee suggested that if that had n't fired attendees up , they might want to "" get some more coffee "" .
Boehner began with his biography : "" I have 11 brothers and sisters , and my dad owned a bar . ""
He sold himself as an all - American Ohio boy who had played high - school football under the legendary coach Gerry Faust , grown into a businessman , gotten involved in local politics and "" ended up in the United States Congress "" .
After a beat , Boehner warned : "" This too could happen to you . ""
Boehner is a scoundrel , which leavens his earnestness .
He once passed out campaign donation checks from tobacco companies to fellow congressmen on the floor of the House to help sway a vote .
Where most politicians try not to give offence , Boehner is willing to say things such as : "" [ Democrats ] even want to pay your irresponsible neighbours ' mortgages off for them . ""
He has good , Sam Donaldson - looking hair and tanned skin .
His voice is deep from years of cigar smoke .
And , right now , he 's leading the opposition against President Obama 's entire legislative agenda .
He said that as he read page after page of the stimulus bill : "" All that I think was , Oh .
My .
God . ""
At CPAC , Boehner called the stimulus only the "" opening salvo "" in an a full - out assault on American economic freedoms , followed by the omnibus appropriations bill with "" 9,000 earmarks in it , "" and an even worse proposed budget .
He said that one Democratic congressman voted "" present "" on the stimulus bill because "" that 's how President Obama used to vote when he had to vote on lousy bills "" , and held up his own party for the contrast : "" We all voted no . ""
The minority leader recounted some of his theatrics leading up to the stimulus vote .
He embarrassed the Democratic leadership into stripping out hundreds of millions of dollars to pay for condoms .
He repeatedly pointed out that none of those congressmen who voted for the bill had actually read it .
He threw a copy of the whole bill to the floor of the House to make a point , a gesture that some called "" disrespectful "" .
Boehner labelled the stimulus a "" gravy train for leftwing pork "" and pledged that he would work hard to make sure that taxpayers know how "" every dime "" is spent .
He also promised that the GOP would n't merely be a "" party of no "" but a party that will develop its own counter - proposals to help beat the Obama budget , which he called a "" job killer , plain and simple "" .
It became clear that Boehner views his fight with the White House as a war of attrition , and so far he 's doing a good job keeping House Republicans on his side .
He suggested many Democrats are already wavering in their support for Obama 's regulation and spending policies , and predicted that Obama 's budget is "" just not going to happen "" .
The conservative audience applauded heartily , then went to get coffee ."
2009-03-22,"Spring has come to Washington DC and , with it , the sickly sweet smell of scandal . ""
Who knew what and when did they know it ? ""
roared the House Republican leader , John Boehner , last week .
At the White House 's daily briefing , agitated reporters besieged the press secretary , Robert Gibbs , with similar questions : "" Has the president been satisfied that he found out about this in a timely manner ? "" asked one .
"" Somebody clearly dropped the ball , "" sniped another . ""
Let 's be fair , let 's be fair , "" Gibbs pleaded , his usual easygoing air morphing into defensiveness .
The topic of these Watergate - like grillings is not sex or lies , but , rather , Wall Street bonuses .
Specifically , the now $ 218 m in awards that the reeling insurance giant AIG , which has already accepted $ 170bn in US taxpayer aid to keep it afloat , with another $ 30bn to come , was recently revealed to have paid out to a few hundred of its employees .
In response , an excitable news media and opportunistic members of Congress spent most of last week in a frenzy of assigning blame and stoking public outrage - never mind that plans to award the bonuses had been known for months .
The outcry even threatened to topple Obama 's treasury secretary , Timothy Geithner , until the president heartily defended him on national TV .
Ultimately , the bonus fury is about much more than a gross payday for a crew of undeserving cretins .
In the near - term , it has created a huge and unwelcome distraction for political leaders desperately trying to manage the financial crisis .
In the medium term , it threatens to undermine Obama 's future flexibility to save the US economy .
Above all , it has fuelled a rising populist tide that threatens to swamp Barack Obama 's presidency altogether .
The notion that Obama was cavalier about giving taxpayer dollars to corporate villains is potential political cyanide for a president who , as a candidate last year , was viewed by some working - class voters as an aloof academic .
"" It 's a pretty critical moment , "" says Stan Greenberg , former pollster to Bill Clinton .
"" Voters are trying to make a judgment about Obama and , to some extent , about the new , mostly Democratic political class now in control of the government .
And I think they 're trying to decide , ' Whose side are they on ? '
"" There 's no question that the bonuses are sickening , a moral outrage .
While some of the benefactors may have done little or nothing wrong , many are known to have worked in the specialised London unit whose creative trading gimmickry effectively ruined the company .
Those people are more worthy of jail cells alongside Bernie Madoff , the loathsome Ponzi king , than new vacation homes .
But with the global economy slowly burning down , the current obsession over this lone injustice - just one of countless others that define and explain the current crisis - has become a destructive force of its own .
Not that this should shock anyone .
America has a rich tradition of populism , one that runs from the Great Depression - era ""
Share Our Wealth "" plan of Louisiana Senator Huey Long , to the 1992 and 1996 reform candidacies of Texas billionaire Ross Perot .
And a surge in inequality within US society over the past few years has set the stage for the latest populist explosion .
Under George W Bush , middle - class workers saw their productivity rise , but not their wages .
Meanwhile , healthcare costs soared .
The average American CEO now earns almost 350 times the salary of the average American worker .
At the same time , Americans watched a slew of political scandals unfold in which business lobbyists literally bought off members of Congress and their aides .
Thus , anger towards corporate America and its allies in Congress has increasingly come to shape US politics .
Populism may have been as important a factor as the Iraq war in the 2006 Democratic takeover of Congress , as evidenced by the election of corporate - bashing Democratic senators that year in then - Republican states such as Montana , Ohio and Virginia . ""
Constituents are sending Congress a clear message : it 's torch - and - pitchfork time , "" says a senior Democratic congressional aide , invoking the image of angry mobs storming Washington .
That has members of Congress scrambling for scapegoats .
"" We need perp walks , CEO scalps , trophies to mount on the wall .
The country needs villains to focus its rage on . ""
The problem is that no magic villain exists whose punishment will neatly mollify Americans who are reeling from job losses , foreclosures and a sense that the middle class was essentially ripped off by a modern plutocracy based in Washington and New York .
The inevitable jailing of Bernie Madoff will be just one stitch in a gaping national wound , especially when Madoff 's wife is still enjoying a life in a posh Palm Beach , Florida , home .
That means public anger could be directed at Obama and the Democrats who control Congress .
For now , however , the good news for Democrats is that no strong opposition leader has emerged to harness that public rage .
Republicans have mounted a largely inept assault on the Obama administration , hamstrung by their own corporate ties and , in the case of AIG , the fact that they opposed earlier ( Democratic ) attempts to limit bonuses for corporations getting federal assistance .
The best way for Obama to avoid being consumed by the public 's free - form anger is to put Americans back to work , ensure a rising stock market and , if he can accomplish it , easy access to affordable health care .
But the populist threat itself impedes Obama 's ability to turn the country around .
That 's because such a turnaround will require political capital , a commodity Obama and the Democrats are now haemorrhaging .
Many economists believe , for instance , that a proper recovery will require billions more in taxpayer dollars .
But the AIG fiasco is sure to leave the Congress gun - shy about supporting more assistance to Wall Street .
A pending effort in Congress to impose 90 % tax rates on big bonuses at companies that have taken taxpayer dollars could make things worse .
It threatens to undermine support in the financial world for nationalisation of America 's most dysfunctional banks , a move even the free - market Economist magazine has grudgingly suggested may be necessary .
Opponents of nationalisation , after all , argue that management of government - run banks will be subject to illogical political impulses , just like those on display in dozens of blustery congressional speeches , hearings and press conferences on Capitol Hill last week .
Just how much more latitude the public will afford Obama remains to be seen .
Greenberg has n't yet given up hope .
"" The stakes are high , "" he says .
"" People want Obama to succeed .
They 're just trying to make the judgment about whether he 's going to forget the ordinary people who are struggling and having to pay for this bailout . ""
Those people would do well to remember Obama 's words during his address to Congress in February : "" [ In ] a time of crisis , we can not afford to govern out of anger . ""
Thus far , America 's political system has not responded well to his call .
With time running out on the effort to save the economy , Washington ca n't afford the luxury of more cheap scandal politics .
•
Michael Crowley is a senior editor at the New Republic magazine"
2009-04-28,"The Obama era in domestic politics has begun .
In the debate over what to do about the economy , the Republicans ' voices have become irrelevant .
They are stuck between defending their past failure to regulate the banks and the Herbert Hoover - like calls of congressman John Boehner of Ohio for less government involvement in the economy .
But as we mark Obama 's first 100 days in office this week , we make a mistake if we focus so intently on the president that we ignore what is going on around him .
Like the Great Depression of the 1930s , today 's Great Recession has changed the way Americans think about themselves .
Some of the changes are matters of style – what Time magazine in its 27 April cover story has labelled "" the new frugality "" .
Americans are buying more generic store brands when they go shopping .
They are postponing or cancelling vacations .
They are buying the cheaper seats at baseball games .
And as the increase in canning and freezing supplies shows , they are eating more at home .
But along with the new frugality are a series of cutbacks that can not be compensated for with extra thrift .
Among people earning less than $ 50,000 a year , 34 % have not gone to the doctor because of the cost , and 31 % have been out of work at one time or another .
Families that once could afford to pay for their children 's college education are seeking scholarships .
Men in families worried about the expense of an unplanned child are getting vasectomies at higher rates .
And once - stable charities are cutting back on their giving .
The New York Times Foundation , which last year made $ 7 m in grants , has announced that it is suspending its grant - making and matching - gift programmes .
The result of these quality - of - life changes is that in a country in which 57 % of those surveyed now think the American dream has become harder to achieve , there has been a dramatic turn to the left .
Two recent studies by Center for American Progress , New Progressive America and the State of American Political Ideology 2009 , show a growing consensus on the need for a series of safety - net measures .
Nearly 80 % of Americans believe that "" government investments in education , infrastructure and science are necessary to ensure America 's long - term economic growth .
"" More than 675 think that "" government has a responsibility to provide financial support for the poor , the sick and the elderly . ""
And 44 % feel that "" the federal government should guarantee affordable health coverage for every American . ""
For the Obama administration , the great test in the coming year will be how well it can implement programmes that build on such thinking .
On a small scale it is already possible to see the extent to which the every - man - for - himself values of the Bush administration have been overcome with actions taken by state and private institutions dealing with the environment and education .
In California and a half - dozen other states , cities have begun making new energy - saving measures affordable .
They have helped families install solar panels on their homes by granting them municipal loans that they then repay over time on their property taxes .
At the same time across the country colleges and universities have followed exactly the opposite course from the banks : they have put the interests of those they serve ahead of themselves .
At Harvard , as well as at less well - off schools ( most of which have seen the value of their endowments drop 20 - 30 % )
salaries have been frozen and building programmes have been cut back , but scholarship aid has been increased .
The nation 's colleges and universities have acted on the belief that students should not have to wait for the recession to end in order to continue their educations .
The message these small - scale successes send is that burden - sharing and a new egalitarianism are the keys to the future .
The message is one that Obama embraced in his inaugural address when he declared : "" The success of our economy has always depended not just on the size of our gross economic product , but on the reach of our prosperity , on the ability to extend opportunity to every willing heart . ""
The catch is that for Obama to make good on his inaugural address , he will have to draw more Republican support than he has so far .
The change in thinking that the recession has brought about is not a magic bullet right now .
The huge congressional Democratic majorities that Franklin Roosevelt enjoyed in the 1930s and Lyndon Johnson had in the 1960s are not Obama 's , and today 's Republican party gives every indication that it may prefer to play the spoiler role until 2010 on the belief that if Obama can be kept from governing effectively , Republicans in the House and Senate will be rewarded by voters ."
2009-07-01,"Those searching for clues about Tiger Woods ' thoughts on the world beyond the golf course will be interested to note that as the host of the AT&amp;T National event he has chosen the Republican minority leader of the House John Boehner as one of his partners in today 's pro - am at Congressional Country Club .
The Washington Times has the details .
Boehner is a seven - handicapper and was ranked 36th in Golf Digest 's Top 200 Washington political golf rankings .
( No , I did n't know such a thing existed either . )
What Digest failed to note is that Boehner is an old ally of the scarily right - wing Newt Gingrich and is a pro - business , anti - government "" flat earther "" who has had ties to the tobacco industry , oil companies and military contractors through the years .
As recently as last week , Tiger 's new golfing buddy had this to say about the Climate Change Bill as it passed through congress : "" Hey , people deserve to know what 's in this pile of shit . ""
Hey , at least Boehner and Tiger have a pretty similar vocabulary .
Presumably , Woods ' first choice as partner was Barack Obama and presumably the President had other things on his mind .
But why did n't the world no1 then ask the American no2 , vice - president Joe Biden ?
After all , Biden plays golf and has plenty of time on his hands ."
2009-10-08,"House minority leader John Boehner has accused President Barack Obama of endangering the mission in Afghanistan by "" delaying action "" on sending more troops .
But present policy would require more troops than America could ever send – as many as 650,000 troops for the next 12 to 14 years , according to the US army and marine corps Counterinsurgency Field Manual metrics .
This commitment of time and resources can not be accomplished at a cost acceptable to Americans .
Many critics of the war , including Boehner , are not asking the right question when it comes to the eight - year campaign in Afghanistan : not whether the war is winnable , but whether the mission constitutes a vital national security interest .
From that perspective the current open - ended strategy fails .
In his battlefield assessment of the war , General Stanley McChrystal , America 's top commander in Afghanistan , says without more troops the mission "" will likely result in failure "" .
But success in Afghanistan would hardly be guaranteed even if Obama were to commit several hundred thousand troops and decades of armed nation - building .
It is well past time for the US to adapt means and ends .
Rather than an indefinite military mission with large numbers of US troops , US strategy should focus on assisting and training Afghan forces in order to limit that country 's future dependence on foreign troops for security .
Growing and improving the effectiveness of the Afghan national security forces ( ANSF ) is limited and feasible .
A focused mission of training the ANSF means America must support , rather than supplant , indigenous security efforts .
In March , Obama committed 4,000 US trainers to Afghanistan , while Nato pledged an additional 5,000 military trainers and police .
At that time , the Afghan national army ( ANA ) had about 82,000 soldiers , a number scheduled to grow to 134,000 by the end of 2011 .
The Afghan national police ( ANP ) stands between 85,000 and 90,000 .
It currently covers 365 districts , 46 city police precincts and has a presence in all 34 provinces .
But numbers tell only part of the story .
The focused district development programme ( FDD ) is a district - by - district training regimen for police units .
The FDD is directed by the combined security transition command Afghanistan , a joint service organisation under the command and control of US central command that is responsible for equipping and training Afghan security forces .
Since it began in October 2007 , a mere 52 of 365 police districts have successfully completed the programme , despite training camps operating at maximum capacity .
The concept of proper police procedures and respect for the rights of citizens remains underdeveloped .
"" The first time they heard that they were n't supposed to beat people , and they were n't supposed to take their money , [ but ] that they were supposed to enforce laws and that their job was to protect the people , most police were surprised , "" said army Colonel Michael McMahon , the FDD 's director .
According to Karen Hall , police programme manager in the bureau of international narcotics and law enforcement affairs at the US department of state , 75 % of the Afghan national police are illiterate , which prevents many officers from filling out arrest reports , equipment and supply requests and arguing before a judge or prosecutor .
Going forward , training should be tied to clear metrics , such as whether Afghans can operate independent of coalition forces and can take the lead in operations against insurgents .
As the war in Afghanistan rages on , Obama should be sceptical of any suggestions that the defeat of al - Qaida depends upon a massive troop presence .
Committing still more US personnel to Afghanistan undermines the already weak authority of Afghan leaders , interferes with the ability to deal with other security challenges and pulls the US deeper into a bloody and protracted guerilla war with no end in sight ."
2010-03-25,"While the Senate continues its marathon vote - a - rama over crazy Republican amendments to the healthcare reform and reconciliation bill
â€ “ they are currently debating the 40th amendment , something to do with mandatory pulling of wings off flies as proposed by Jim DeMint â€ “ we all need something to pass the time .
Here 's a mash - up of the will.i.am
Yes We Can video from the halcyon days of the 2008 election â€ “ spliced with clips of Republican minority leader John Boehner losing it on Sunday night and bellowing "" Hell
no ! """
2010-07-01,"In his comments that have attracted wide attention because he said financial reform regulation was like taking a nuclear weapon to an ant , Republican House minority leader John Boehner also noted that today 's Democrats "" are snuffing out the America that I grew up in . ""
Boehner was born in November 1949 .
Let 's take a look at the America he grew up in .
In the America John Boehner grew up in , the top marginal tax rate on wealthy earners was 90 % .
It had gone up there during the war , and five , 10 , 15 years after armistice , no sizable group , Democrat or Republican , felt any strong urge to lower it .
In the America John Boehner grew up in , private - sector union membership was around or above 30 % .
Today 's figure is 7 % .
The right to form a union was broadly accepted .
Outside of a few small turbulent pockets , there was no such thing as today 's union - busting law firms hired by management to go into workplaces and intimidate workers .
In the America John Boehner grew up in , the country had a president - a Republican president - who believed the following : Should any political party attempt to abolish social security , unemployment insurance , and eliminate labor laws and farm programs , you would not hear of that party again in our political history .
There is a tiny splinter group , of course , that believes that you can do these things .
Among them are a few Texas oil millionaires , and an occasional politician or businessman from other areas .
Their number is negligible and they are stupid .
Interesting , that mention of unemployment insurance , the week after a "" majority "" of 40 Republicans in the Senate ( plus one Democrat ) managed to block the will of 57 Democrats and cut off such benefits for 1.2 million Americans .
In the America John Boehner grew up in , when little Johnny was just starting school in fact , the federal government undertook the largest public works project in the country 's history , the interstate highway system .
It cost $ 100 billion dollars , a little more .
The feds picked up 90 % of the tab , and it was paid largely through dedicated taxes .
In the America John Boehner grew up in , the Republican Party was a moderate - to - conservative party .
The modern conservative movement was just coming to life - in Bill Buckley 's offices in Manhattan , on the campus of Notre Dame University , in Orange County , California .
But many establishment Republicans considered these people a bunch of dangerous kooks .
Obviously these points do n't represent the sum and substance of the 1950s , and there were ways in which the period was more conservative than ours .
But if Boehner really wants to go back : fine , let 's start negotiations ."
