1999-07-17,"In 1996 Lance Armstrong was the hottest young cyclist in the world .
The Texan had won the 12-day , 1,200-mile Tour DuPont - the most respected race in the US - for the second year in a row and was ranked seventh in the world .
The money was just beginning to roll in with a $ 2 million contract to compete for France 's Team Cofidis and a $ 1 m Nike endorsement deal . '
Twenty - five and entering the peak of my career
, ' he says with a rueful smile . '
I felt bulletproof . '
He was n't .
Suffering with an aching groin , Armstrong went to see a doctor .
It took two hours to diagnose the problem : the cycling champion had testicular cancer and it had spread to his lungs and abdominal lymph nodes .
The doctor gave him a 60 per cent chance of survival .
Or to put it another way : a 40 per cent chance of dying . '
I was in shock , ' he recalls .
' I put my head down on the doctor 's desk and thought about it for a couple of minutes .
But there was no point denying it , so I looked up and said : ' ' Let 's get started .
Let 's kill this stuff '' . '
Armstrong remains bitter that , in the days following his announcement , the cycling world was buzzing with speculation that performance - enhancing drugs might have played a role .
That only fuelled his determination to recover and helped motivate him for his startling performance in the Tour de France , where he has grabbed the yellow jersey and , with just a week of the race left , does not look like surrendering it .
Earlier this year , resting in the living - room of his luxurious apartment in Nice , he pondered those dark days .
It began on 28 September 1996 with a pain in his right testicle .
A few days before he had coughed up some blood .
Long accustomed to the discomforts of riding a bike seven hours a day , Armstrong shrugged off the symptoms . '
You have to perform with pain as an athlete , ' he says .
He wonders now if his competitive drive drowned out some crucial messages from his body .
In July of that year a case of bronchitis forced him to drop out of the Tour de France and racing left him more fatigued than usual .
On hearing the crushing news , Armstrong did n't hesitate .
He had his cancerous testicle removed the morning after the diagnosis , and after spending a few days recuperating from the surgery , reported for his first chemotherapy session .
On the advice of a nutritionist he radically altered his diet - giving up red meat , dairy products and coffee .
Still the chemotherapy dragged him down , and by the end of his first week the once hyperactive athlete found himself taking two - hour naps every afternoon , even after sleeping 10 hours at night .
After another operation and extensive chemotherapy , he began his comeback early last year .
He now has only a tiny chance of the cancer returning . '
He 's 98 per cent home , ' says Dr Lawrence Einhorn , who treated him . '
His treatment is completely finished and he takes no medication . '
To come back as a professional athlete and to be in his form - that is a result of Lance 's spirit and dedication .
It 's one thing to recover and go back to work as an accountant .
But it is very , very difficult to perform as an athlete , after all the terrible fatigue you go through and everything else . '
Einhorn cites one example of Armstrong 's determination : between draining rounds of chemotherapy - he went through four of them , lasting five days each - the 27-year - old Texan would ride his bike 30 to 50 miles a day .
Einhorn strongly denies any link between testicular cancer and performance - enhancing drugs , as some French and Belgian newspapers have hinted .
Armstrong is amazingly philosophical about the drugs issue . '
My story is a success story in the world of cancer , ' he says . '
In America , in France , in Europe , they relate to this story . '
I 'm not going to get mad about the questions , because I understand them after the events of last year .
I expected this . '
Armstrong has turned his plight into a lesson for men between the ages of 20 and 34 - prime candidates for the disease that will strike more than 5,000 Britons this year . '
I never thought I 'd get cancer , ' Armstrong says . '
But young , strong men should realise that this can happen . '
OTHERS WHO MADE DEADLY DISCOVERY BOBBY MOORE ( Football )
One of the best - kept secrets in football history was that Bobby Moore suffered from testicular cancer in 1964 .
Treatment ensured he recovered to lead England to World Cup glory in 1966 , though it was not until after his playing days were over that his trauma was revealed .
Moore later died of cancer .
STEVE SCOTT ( Athletics )
The most prolific sub - four - minute miler in history , Scott was diagnosed with testicular cancer in 1994 .
An operation and chemotherapy ensured that he recovered and he is now one of the top veteran runners in the United States .
DARRYL STRAWBERRY ( Baseball )
The New York Yankees outfielder , one of the greatest baseball players in history , contracted colon cancer in 1997 and needed surgery .
His recovery and comeback have been hampered by alcohol and drug addictions .
LUDMILA ENQVIST ( Athletics )
The most recent high - profile sports person to find they are suffering from the disease , the 1996 Olympic 100-metres hurdles champion was diagnosed with breast cancer two months ago .
An operation failed to stop the cancer spreading and the Swede is undergoing chemotherapy .
JASON CUNDY ( Football )
The former Tottenham Hotspur star discovered that what he believed to be a groin injury was testicular cancer .
An operation to remove the testicle and a course of radiation therapy cured the problem and he resumed his career with Ipswich Town .
LESHON JOHNSON ( American Football )
The New York Giants running back was diagnosed with non - Hodgkins lymphoma last year , but recovered following chemotherapy .
He is one of four Giants players since 1980 to have been diagnosed with cancer during their careers ."
1999-07-29,"Lance Armstrong rightly spoke out against his former team , Cofidis , who went back on their promise to stand by him , as well as others who would not take him on after his illness ( Texan beats cancer to win Tour de France , July 26 ) .
I too was treated for testicular cancer , and have found that my former condition has been used by insurance companies to artificially increase premiums .
Despite a letter from my doctors stating that the chance of recurrence , not of death , was less than 2 % , Commercial Union charged me extra for life insurance .
Ten years on , General Accident still require a health declaration each time my accident insurance is renewed .
Cover for my business expenses , should I have a different illness , is too expensive to be worth taking on .
Despite the fact that survival rates from testicular cancer are extremely high , it is a deeply disturbing experience .
This unjustified discrimination against those who have had it adds insult to injury .
Phil Abel , London 
John Grant 's heartfelt plea for additional funding for cancer research ( Lottery of life , Society , July 21 ) will have struck a chord with many but I fear that families struck down by other than the commoner cancers to which he refers are even further down the queue .
A little over a year ago I was diagnosed with a rare form of lung cancer , about which little is known , except that it is not caused by smoking ( I do not smoke ) , that there is no effective treatment , and that it kills about 300 people in this country every year .
I have found it most distressing that no one is even contemplating research into my type of cancer "" because it is so rare "" .
Name and address supplied"
2000-07-30,"Despite perfecting the bicycle - by adding essentials such as chains , gears , brakes , etc to the original French vélocipede - we have never really taken to it in the same way they have ( admittedly they patented the pedal , though Leonardo first sketched one in 1490 ) .
But as Lance Armstrong packs his bike away for at least a week 's break before he begins training for next year 's Tour de France , it seems timely to look at what it would cost to keep up with him .
The Tour remains the world 's most gruelling sporting event , and it is no surprise that France hosts it - this is , after all , the country that came up with the word ' sadism ' .
So the most important factor is the extra weight you will have to pedal up and down the Pyrenees .
Armstrong 's bike , a Trek 5500 , weighs 17 lb with its components , while the carbon fibre frame alone is just 2.5 lb and costs £ 1,000 .
Complete , it is £ 2,700 , while his signature version is an extra £ 1,000 .
Frame material is crucial - carbon fibre and titanium are the most expensive , but aluminium bicycles have fallen in price and are almost as light .
Spare wheels are more than £ 500 per pair , while the groupset ( gears and brakes ) is £ 1,000 .
Shoes and pedals that clip together cost £ 90 .
Other racing essentials include a helmet ( from £ 20 to £ 100 ) and a puncture kit ( £ 1.50 , pump £ 10 ) , and to avoid dehydration you 'll also need a water bottle ( £ 5 ) .
Professional cyclists are unabashedly devoted to Lycra ( shorts , £ 20 ) and also shave their legs ; it is assumed this enhances their aerodynamics ( razor and blades £ 3 ) .
Note that designers have omitted any pouches for packed lunches and the like .
Indeed , if you are concerned about provisions , you may not be cut out for the Tour de France at all - remember that these athletes diet for most of the year and have the body - fat of whippets and legs by Rodin .
A traditional bicycle , of the sort usually found in British university towns with a wicker basket and buckled wheels , is probably more appropriate and can be picked up for £ 30 or less .
However , mountain bikes are still the biggest sellers : the most popular costs about £ 350 , while a full - suspension model is about £ 1,000 .
Tour de France bicycle £ 2,700 Frame only £ 1,000 Spare wheels £ 500/pair Shoes £ 90 Helmet up to £ 120 Puncture kit £ 1.50 Pump £ 10 Lycra shorts
£
20 Razor £ 3 Total £ 3,434.50"
2001-06-06,"John Sutherland ( How do you get a drug on to the US market without testing it ? , G2 , June 4 ) starts almost believably , though predictably snobbishly , by trashing the loony alternative medicine freaks of the US , but then shifts into complete langue de fruitsville by claiming that conventional chemotherapy does n't work against cancer .
Of course we could n't expect a professor of English to know about Lance Armstrong , the champion of the Tour de France whose fight against testicular cancer was made possible by chemotherapy , or the thousands of Hodgkin 's disease or breast cancer sufferers who have beaten their tumour with the aid of drugs .
Sutherland 's answer is - hey ! - nutritional supplements .
The balance of evidence is that a healthy diet does help prevent all kinds of disease ( not just cancer ) but there is no shred of admissible evidence to suggest that alternative medicine of any kind cures , as opposed to helping to prevent , cancer .
Michael Rennie Dundee"
2001-07-01,"One minor hiccup held up Lance Armstrong 's serene progress to victory last week in the Tour of Switzerland , his final warm - up race before he starts his bid for a third successive win in the Tour de France on Saturday .
It came when an overzealous official at the theme park hosting the opening stage in the German town of Rust would not let Armstrong bring his bike into the building where the winner 's press conference was being held .
The Texan is not noted for his patience and stalked off .
That , however , was as tough as it got for the double winner of the Tour de France in the fourth - toughest stage race in cycling , which ended in Lausanne on Thursday .
Armstrong did not look extended in the two mountain legs , and was crushing in his superiority in the race 's two time - trial stages , the second of which , on Tuesday , scaled the 19-mile climb to the Alpine ski resort of Crans Montana .
This is ominous : Armstrong 's main purpose in choosing the Tour of Switzerland was to use Crans Montana as a dress rehearsal for the afternoon of 18 July , when the Tour de France includes its first mountain time trial since 1996 , between Grenoble and the Chamrousse ski station .
Such stages are usually key , combining as they do the Tour 's most two unforgiving disciplines .
From ' visualisation ' for the big event , this turned into a clear statement : the next man was over a minute and a half behind - a massive margin - and this was the Italian Gilberto Simoni , who is at his best having just won his home Tour .
Armstrong , however , hopes there is better to come . '
I would be disappointed if we had seen the best of me here , ' he said . '
The important thing is to be good in the next month . '
Barring last - minute hiccups , Armstrong will climb the start ramp in Dunkirk for Saturday 's five - mile time trial with an impregnable aura that can only be compared to the five - time winner Miguel Indurain 's .
It is easy to forget that it is a mere three years since he made his comeback from testicular cancer .
To add to the impression that everything is currently going Armstrong 's way as he prepares to join seven men who have won three Tours , and the four who have won three in a row , the Texan 's wife , Kristin , announced recently that she is expecting twins following successful IVF treatment .
Armstrong , who banked sperm before his cancer treatment , will treat this as a bigger victory than either of his Tours .
There is even a break in the one cloud that still hangs over Armstrong , the investigation launched last November by the Paris judge Sophie Helene Chateau into his United States Postal Service team for alleged infractions of the law on use and provision of banned drugs at sports events .
On Thursday , as he was on the final stage of the Tour of Switzerland , Judge Chateau 's office announced that ' in the context of the inquiry , no measures are likely to be taken against the team 's riders during the 2001 Tour ' .
The investigation followed an anonymous denunciation of Armstrong 's team after a television crew filmed helpers driving 100 miles away from the team hotel at last year 's Tour to dump binbags containing a large quantity of syringes and medical detritus in a motorway service area .
Armstrong has not been able to offer an explanation for this , beyond protesting his innocence .
On Thursday , however , the prosecutor 's office stated that the bin bags contained nothing that broke the law .
Judge Chateau added that the results of tests on urine and blood samples , taken during last year 's race from Armstrong and his team , would not be known for ' at least a month ' , making it unlikely that there would be dramatic revelations during the race .
Armstrong 's lawyer , Georges Kiejman , said he was ' delighted that the court has indicated that the Tour will be permitted to go ahead peacefully ' and that he was ' particularly satisfied ' by the news that ' the rumours which have grown about the US Postal teams dustbins were without foundation ' .
The controversy will have its effect , however .
The race organiser Jean - Marie Leblanc was still outraged by the team 's actions when The Observer spoke to him recently , and revealed that he had made his feelings known to the USPS team .
He is not the only man angered over the affair .
Armstrong has raced just twice in France this year , and his first appearance , at the Circuit de la Sarthe stage race in April , was preceded by an aggressive press conference .
He expressed his anger over the length of time taken by the inquiry team and asserted that his urine samples were negative - although Judge Chateau has countered that the tests are not complete .
History shows that Armstrong is a rider who needs enemies , real or imagined .
In 1999 he was aiming his ire at the teams who did not believe he could return from cancer , in 2000 at the French press , who had expressed doubts about the purity of his victory the previous year .
This year , the target is easy to guess , and his anger will fire him up - more , probably , than opponents such as Jan Ullrich will - throughout the next four weeks ."
2001-07-09,"Under pressure over his revelation that he works with the controversial Italian trainer Michele Ferrari , Lance Armstrong last night stated : "" He has never discussed EPO [ erythropoietin ] with me
and I have never used it , "" writes William Fotheringham .
Armstrong confirmed he has worked with Ferrari since 1995 "" on dieting , altitude preparation , hypoxic training and the use of altitude tents , which are all natural methods of improvement "" .
Mark Gorski , general manager of Armstrong 's US Postal Service team , defended the rider 's work with the trainer who goes on trial in September charged with the provision of banned drugs to cyclists including EPO , human growth hormone , the anabolic agent DHEA and testosterone .
In a second investigation Dr Ferrari is alleged to have supplied EPO .
Armstrong added last night that Ferrari 's "" primary role has always been limited "" and that he has worked with Ferrari when his regular coach Chris Carmichael was not in Europe .
He said : "" Chris has grown to trust Michele 's opinion regarding my testing and my form on the bike . ""
He added : "" In my personal ex perience I have never had occasion to question the ethics or standard of care of Michele . ""
Armstrong has spent two years , since winning his first Tour de France , combating insinuations over doping .
His team is currently at the centre of an investigation by a Paris judge into possible malpractice relating to the disposal of medical waste during last year 's Tour de France ."
2001-07-10,"Erik Zabel today won his second stage out of three in this year 's Tour de France , but it was not enough to prevent Australian Stuart O'Grady taking the yellow jersey after an enthralling run into Seraing .
Lance Armstrong , the American chasing a hat - trick of Tour wins this year , finished in the main pack of riders to stay in strong contention in a race that will be won and lost in the mountains rather than on the moderate climbs riders faced today .
Zabel , the German who wears the green jersey as the leading points scorer for the last five years , followed up Sunday 's win to seal the 10th stage win of his career in the 198.5 km run from Antwerp .
O'Grady 's 31st - placed finish on the uphill final sprint was enough to move the yellow jersey into the possession of the green and gold as Australia 's remarkable sporting run continues , making up for the disappointment of missing out at Wimbledon yesterday .
Marc Wauters , the Belgian who led going into the third stage , lost his lead on home soil , as he fell behind was on the Mont Thieux climb .
The race continues tomorrow with the 215 km fourth stage from Huy to Verdun ."
2001-07-11,"At a mere 900 feet , the third - category climb of the Cte des Forges is a mere pimple compared with next week 's Alpine and Pyrenean passes , yet the drag over its wooded summit provided a brief vignette of what may await this Tour .
A group of a dozen drew ahead of the main field , the mini - breakaway including last year 's top four : Lance Armstrong , Jan Ullrich , Joseba Beloki and Christophe Moreau , plus the 2000 King of the Mountains Santiago Botero .
All the favourites , in other words .
They observed each other briefly , as if making sure that the magic circle was complete , and then permitted the rest of the front - runners to catch up again before battle was joined for the stage finish , which went , for the second time in three days , to Ullrich 's team - mate Erik Zabel .
Small the Forges may be , but its one - in - eight slopes are steeped in cycling history , a fixture in the oldest one - day Classic on the calendar , Liège - Bastogne - Liège .
The last time the Tour tackled these roads in 1995 , it was the launch pad for one of the greatest coups of Miguel Indurain 's five Tour wins , the daring surprise attack into Liège which effectively won him his fifth Tour .
This time round , the drama was on a lesser scale but the Forges , and the other two ascents in the Ardennes triptych , the Ctes de Mont - Theux and Sart - Tilman , did see off the only Italian hope , Francesco Casagrande , the runner - up in last year 's Tour of Italy .
Out of sorts due to illness before the Tour , he finished almost five minutes behind and is talking of returning to Tuscany .
The maillot jaune Marc Wauters was equally ill at ease once the race left the flatlands of Limbourg and crossed the river Meuse into the steep wooded valleys of the Ardennes , and the Australian Stuart O'Grady duly benefited .
On Monday in Antwerp he and his Crédit Agricole team , led last year by Chris Boardman , had completely failed to realise that Wauters was in contention for the yellow jersey .
Blindly , they let the Belgian slip away in the last kilometre , a howler which O'Grady described as being "" like missing the winning penalty in a World Cup final "" .
After a sleepless night , normal Australian sporting business was resumed yesterday .
O'Grady 's team - mates set a searing pace once they realised that Wauters had been left behind , handing them a second chance to make an assault on the race lead .
The winner of the PruTour of Britain in 1998 now has 17sec in hand over Moreau , which should be sufficient to keep him in yellow at least until tomorrow 's team time - trial .
Zabel was always the likely favourite for the stage as none of the other sprinters made it over the hills in the front group of 100 , and he is a past master at a finish like yesterday 's , at the top of a lengthy drag .
There was much speculation at the start of this Tour about his relations , or lack of them , with Ullrich , who specified that the team selection should include specialist climbers to help him in the mountains , at the expense of the two men who assist Zabel in his sprints .
Sunday 's victory at Boulogne reconciled them , and yesterday in the last kilometre Ullrich was never far from the Berliner , who was at pains to point out afterwards "" the team did very good work , the atmosphere is very good "" .
When he launched his winning effort , on his shoulder was Armstrong , no less , who was acutely aware that vital seconds can be won and lost in an uphill finish like yesterday 's if even a small gap appears between the riders in the group .
Ullrich and Beloki were equally determined to give nothing away , and finished 13th and 14th to the American 's 10th .
At the other end of affairs , David Millar slipped yesterday to the position of lanterne rouge , the name given to the rider who is last in the overall standings , even though he had his best stage of the race so far .
He is the first Briton to hold the honorary title since 1985 , but has regained his optimism and is now talking about helping his team in tomorrow 's team time - trial before bidding for a stage win for himself .
Meanwhile , the Anglo - Italian Max Sciandri , bronze medallist in the road race at the Atlanta Olympics , yesterday confirmed that he is among the 86 people who are likely to be investigated further by police following the mass raid by the drugs police at the Giro d'Italia . ""
My name is in there too and it pisses me off , "" Sciandri admitted yesterday , speaking from his home in Tuscany . ""
But I 've heard nothing further from the police .
I 'm waiting for something from them .
I had a product there with me , but it 's not something I 'm going to ruin my career for .
I 've told my team and they are OK about it . ""
Sciandri is adamant that the substance found in his possession is "" nothing to worry about "" .
It is , he says , a mixture of caffeine and aspirin which "" is n't anything I could be in trouble for .
I had it there and took it
, it 's a foreign medication , which is why they are looking at it .
"" It is not clear what charges , if any , he might face .
The judge leading the inquiry into the Giro d'Italia drug seizures , Luigi Bocciolini , has yet to place any of the people on his list under formal notice of investigation .
His analysts are still going through the 300 different substances which were seized , and he is currently on holiday , which means the chances of his inquiry having an impact on the Tour de France are greatly reduced ."
2001-07-13,"Jaan Kirsipuu of Estonia won a sprint finish at the end of the sixth stage of the Tour de France today .
But Stuart O'Grady did enough to keep the yellow jersey of race leader .
Lance Armstrong , the American chasing his third successive Tour victory , finished comfortably within the main bunch as he stayed focused on next week 's decisive mountain stages .
Armstrong 's US Postal team lost ground in the team time trial on Thursday but there no surprises in the sixth stage , run over 211.5 kilometres from Commercy to Strasbourg .
Axel Merckx , Rik Verbrugghe , Michele Bartoli , Laurent Brochard and Frederic Bessy were in a lead group around three minutes ahead for more than 150 kms , making it over the Col du Denon with few problems , but were caught before the finish .
The race continues on Saturday with a 162.5-km stage from Strasbourg to Colmar ."
2001-07-13,"When the Tour de France reintroduced the team time - trial in 2000 after a four - year absence much was made of the unique spectacle it creates : perfectly coordinated formations of nine riders in largely identical colours doing battle on spectacular aerodynamic machines .
Yesterday 's high - speed pile - up involving Lance Armstrong 's US Postal team was indeed spectacular , but not as the race organisers would have intended .
With about 17 km left , the American Christian van de Velde lost control of his front wheel in the middle of the road .
He collided with the Spaniard Roberto Heras , last year 's Tour of Spain winner , and the pair slid down the tarmac with their team - mates scattering like a flock of pigeons to avoid them .
Armstrong was ahead , fortunately , but it was as close as he has come to disaster in recent Tours .
What had preceded the "" chute "" was an impressive display of Armstrong 's strength .
In a team time - trial the riders share the pace more or less according to their ability to keep the speed at a maximum .
Usually one man will head the indian file for about 10 to 15 seconds .
One of Armstrong 's spells "" in the wind "" , as the cyclists put it , was timed at 75 seconds .
What followed the crash was an equally impressive display of solidarity and sang - froid .
Armstrong could have merely left the pair to fend for themselves but he made his team slow down while Heras and Van de Velde remounted and caught up .
It will have cost him time but should pay dividends in maintaining team spirit .
Round one of the duel between Armstrong and Germany 's Jan Ullrich , the prologue time - trial , was a draw but yesterday 's pile - up did not stop round two from going the Texan 's way , as Ullrich 's Telekom team dropped 24 seconds , with only a puncture to the points leader Erik Zabel to hinder them .
Of more concern to Armstrong , however , was the 55 seconds he lost to Joseba Beloki , third last year , whose Once team were , however , relegated to second by Stuart O'Grady 's Crédit Agricole men , decisive winners by 31 seconds .
The Australian was lost for words at the finish but he should continue to wear yellow at least until tomorrow , when the Vosges make their appearance .
Immediately behind him , however , are his own team - mates , the German Jens Voigt and Philadelphia 's Bobby Julich .
He is 87 seconds ahead of his old amateur rival Armstrong , who now has a little catching up to do .
 Italian police yesterday proved there is no sex discrimination in cycling by conducting a drugs search at nine hotels in Levico Terme being used by the 17 teams in the women 's Giro d'Italia .
According to La Gazzetta dello Sport banned substances and syringes were found in several rooms ."
