2000-04-15,"Hopes that President Robert Mugabe 's Zimbabwe government was seeking a compromise proved premature yesterday when it appealed against a court order to evict thousands of black squatters on white - owned farms .
Mr Mugabe 's party , Zanu - PF , dispelled any lingering optimism by accusing the main opposition party , the Movement for Democratic Change , of treason .
Its leader , Morgan Tsvangirai , who was in London yesterday , rejected the allegation but warned the British government to tone down its attacks on Mr Mugabe or risk turning him into a martyr .
The mood yesterday contrasted with Thursday when the Zimbabwe government indicated that it was ready to try to encourage the squatters to leave the farms and Mr Mugabe named a delegation for land talks in London .
But the attorney general , Patrick Chinamasa , has now said he will appeal to the supreme court against the high court ruling that the police should move the squatters .
"" The police lack the resources to enforce the order , "" he said .
The contradictory signals renewed the uncertainty .
Although there were reports that squatters had left farms yesterday , the Commercial Farmers ' Union , which represents white farmers , insisted that none had gone .
More than 1,000 farms are affected by the invasions and 615 are currently being occupied , according to the union .
The situation yesterday was described as generally quiet , although one white farmer 's son was attacked with bricks .
Mr Mugabe , attending a conference of developing countries in Havana yesterday , kept up his anti - British rhetoric and insisted that the "" acquisition "" of land would continue .
In a worrying development , his government accused the MDC of forming an alliance with the United States , Britain and two South African politicians to sabotage the country and undermine Mr Mugabe , a charge dismissed as "" fantasy "" by the Foreign Office .
The accusation was aired by the Zimbabwe Broadcasting Corporation on Thursday night and printed in full in the state - owned Herald newspaper yes terday .
The minister of information , Chen Chimutengwende , said : "" MDC is both waging a war and preparing for an escalation of that war against the government of Zimbabwe and Zanu - PF . ""
We no longer believe that the MDC is genuinely inter ested in parliamentary elections , because they are concentrating on violence and the preparation of a full - scale military war instead of concentrating on explaining their policies in order to win the minds of the people . ""
This is a war they can not win , nor can they win the forthcoming general elections . ""
Parliamentary elections are due in Zimbabwe and must be held before August , but Mr Mugabe has not yet set a date .
The MDC secretary general , Welshman Ncube , blamed Mr Mugabe 's covert security agency for the treason charge .
We have no doubt it was prepared by the Central Intelligence Organisation , "" he said .
He warned that it might be used by Mr Mugabe to claim that the security of the country was threatened , declare a state of emergency , and arrest the MDC leadership .
Mr Tsvangirai , who is visiting South Africa , Britain and the US in order to build up the credibility of his party , declared : "" There is no MDC - Anglo - American agreement . ""
He also described the illegal take - over of land as "" racism in reverse "" and said that if Mr Mugabe had left government in 1995 he would have gone with his reputation intact , but "" the past five years have been a disaster "" .
Mr Tsvangirai was reluctant to get into a slanging match , however .
"" We must be very careful that we do n't push Mr Mugabe to the extent of being a martyr at this stage , "" he said , "" because that 's exactly what he is looking for . ""
He is history anyway , so why push him to the extent where you are likely to resuscitate his image ? ""
He advised the British government to proceed with caution .
"" They should stop talking about sanctions and give him an honourable avenue out . ""
Mr Tsvangirai met the Foreign Secretary , Robin Cook , and the Foreign Office minister Peter Hain , and urged them "" to tone down condem nations "" .
He said Mr Hain , one of the most outspoken critics of Mr Mugabe , had "" admitted he had been a little bit harsh "" .
Mr Cook concurred with the need for a measured approach to dealing with Mr Mugabe and sought to clarify Britain 's position with regard to funding a land reform programme .
The British government 's offer to hold talks on the issue in London have been presented by the Foreign Office as a move towards achieving a peaceful resolution .
But Mr Mugabe 's government has claimed it as a diplomatic coup .
After meeting Mr Tsvangirai , Mr Cook said : "" I set out our position , that Britain would support a genuine land reform programme which would benefit the rural poor and provide fair compensation to those farmers willing to sell land . ""
But Mr Ncube said : "" We in the MDC are surprised at that particular move by the British government . ""
In our judgment it is unwise to reward the Mugabe government for its actions .
It would be telling the Mugabe government that if you apply terror tactics and use intimidation you get rewarded .
That is what Zanu - PF has been doing on the land issue . ""
The British government is sending signals that it is seeking accommodation , but that will be used by the Mugabe government as a victory for its tactics . """
2000-04-18,"Morgan Tsvangirai , the leader of the main opposition movement in Zimbabwe , says that Robert Mugabe should be offered an honourable way out .
But how ?
Stubborn , oblivious of the damage he is inflicting on his country and the suffering of the individuals caught up in the dramas he has manufactured , Mugabe has paid attention so far neither to threats nor inducements .
He is unfazed by international criticism , by the suspension of aid , or by talk of sanctions .
He treats offers of compromise , like Britain 's expression of readiness to discuss compensation for commercial white farmers after a fair and efficient distribution of land , as concessions which he is under no obligation to match .
Mugabe could have softened his policies on his return from abroad two days ago , as some elements in his government seemed to want him to do , but he chose not to do so .
He has written the script for the next chapter of his political life , and it casts him as a patriotic leader resisting an internal plot led by whites and black traitors and backed by outside forces , notably Britain , determined to destroy Zimbabwe 's independence .
Mugabe 's script is mendacious , in the sense that the coalition between white businessmen , including farmers , and black opposition groups came into being only after his mismanagement of the country and the economy reached an intolerable point .
It is a reaction , not a plot .
But he is right that it represents a threat to him .
It may be that his script still includes a bargain with his opponents , or for compromise with Britain and other international critics .
But only on his terms .
Mugabe still expects to win .
The main reason his "" veterans "" are on the farms is so that they can coerce the farm workers , a fifth of the voters , into casting their ballots for Zanu - PF in the elections that are supposed to be held sometime in the coming months .
One question is whether there are substantial elements in the ruling party who feel Mugabe is taking Zimbabwe in the wrong direction .
After all , most of the opposition originally came from the Zanu - PF fold .
It might be a long wait for such defections , however .
But there is one power that has the means and the prestige to change the situation decisively , which is why the news that President Thabo Mbeki is to make an official visit to Zimbabwe soon could be very important .
South Africa has obvious moral leverage , and , at least in theory , physical leverage , too , in that it supplies most of Zimbabwe 's electricity and fuel .
President Mbeki is the chairman of Commonwealth , which gives him a mandate to start a process of mediation .
Finally , the South African leader has a very strong interest in seeing the land issue in Zimbabwe settled in a moderate way .
If there were to be a wholesale distribution of white - owned farms in Zimbabwe , the impact on the delicate politics of land in South Africa would be enormous .
A quiet South African intervention is the one thing that might persuade Mugabe to accept a package including a withdrawal of all or most of the squatters , British readiness to reconsider the compensation question , a firm date for elections , Commonwealth help in preparing for fair elections , and Commonwealth monitoring of the vote itself .
Given the right impetus by South Africa and others , the Commonwealth Ministerial Action Group , which is due to meet in London at the beginning of May , should be able to set this in train .
Better still , given the dangers , it would be a good idea if a Commonwealth mission including the new secretary general , Don McKinnon , and the Nigerian president , Olusegun Obasanjo , were to go to Harare earlier ."
2000-04-27,"Morgan Tsvangirai may be an unknown quantity in Britain , but he has been a household name in Zimbabwe for years .
Since the early 1990s he has been the leader of the Zimbabwe Congress of Trade Unions ( ZCTU ) , the organisation that represents the country 's main labour unions .
Once a compliant organisation that took its cues from the Mugabe government , the ZCTU was transformed by Mr Tsvangirai into the leading opposition .
In 1997 and 1998 it held a series of successful national anti - government strikes which brought the country to a halt .
The strikes also brought the wrath of the Mugabe government and in December 1998
Mr Tsvangirai was beaten unconscious by a gang who attempted to throw him out of the window of his 10th floor office .
The perpetrators were identified as supporters of Mr Mugabe 's Zanu - PF party .
Such is Mr Tsvangirai 's popularity that many workers downed tools until they found out whether he would live .
Mr Tsvangirai , 49 , grew up in a large family in the southern area of Buhera .
He went to secondary school but when his father died he went to work in the mines to support his family .
When questioned about his lack of a degree , Mr Tsvangirai shoots back with the retort : "" This government has lots of people with degrees and doctorates , but they are not doing such a good job of running the country . ""
He became involved in union administration and rose through the ranks .
He is credited with being instrumental in forming the National Constitutional Assembly , a coalition of church groups , unions , human rights groups and other civic organisations that pressed Mr Mugabe to draw up a new constitution .
When Mr Mugabe created his own draft constitution to entrench his powers , Mr Tsvangirai led the assembly in a successful campaign to reject it .
He founded the new Movement for Democratic Change , launched in January , which draws on a wide range of Zimbabweans , black and white ."
2000-05-11,"Zimbabwe 's main opposition party , the Movement for Democratic Change ( MDC ) , is considering a national strike , a call for international sanctions and a boycott of the coming election to protest at the unrelenting state - sponsored violence against its members .
Reeling from the killing of 19 members since April 1 , the MDC will hold an emergency national council meeting on Saturday . ""
Faced with this situation of lawlessness and murders against our members , the MDC must consider new strategies , including a possible boycott of the parliamentary elections , mass action and an appeal to the international community for more drastic action , "" said the MDC 's president , Morgan Tsvangirai .
President Robert Mugabe 's ruling Zanu - PF party is facing a strong challenge from the MDC in the parliamentary elections , due by August .
The MDC previously said it would not boycott the elections because the party is committed to change by democratic means .
"" But with this level of government violence against our members , we have now reached a stage where we must review participation in the elections , "" said Mr Tsvangirai .
"" To talk of free and fair elections with this state of affairs , this amount of violence and intimidation , we are just fooling ourselves .
"" A national strike is a very real option for the MDC , with the party drawing support from Zimbabwe 's trade unions .
Mr Tsvangirai , as the leader of the Zimbabwe Congress of Trade Unions ( ZCTU ) , called three successful general strikes in 1998 and 1999 that brought the country to a halt .
"" What can Mugabe and Zanu - PF do if we just stay at home ? "" said Mr Tsvangirai when asked if a strike would provoke Mr Mugabe to further violence .
"" Obviously our workers are pressing for mass action .
There is no sense in pretending that things are normal . ""
Turning to the possibility of international sanctions , Mr Tsvangirai said : "" So far the international community has acted diplomatically with calls for Mugabe to allow free and fair elections .
We will consider whether we should urge the international community to use more drastic action beyond diplomatic appeals .
Sanctions is one of those options . ""
Mr Tsvangirai said the whole country was suffering from the ongoing state violence .
"" This government has no respect for the constitution , for democratic processes or for the rule of law .
Every Zimbabwean , regardless of race , tribe or belief who does not support Zanu - PF has become an enemy of the state and is threatened with elimination . ""
The state has promoted lawlessness , anarchy and violence to a point where it is now commonplace . ""
He said there was only one way his party could fight back . ""
The answer is that we must compete with the only weapons we have .
These are truth and the people 's determination for democratic change . """
2000-05-12,"The threat by the main Zimbabwean opposition alliance , the Movement for Democratic Change , to boycott the country 's general election is understandable but ill - advised .
Since the ruling Zanu - PF party lost last February 's constitutional referendum , supporters of the MDC have been subjected to an escalating campaign of government and army - orchestrated violence and intimidation which is exceptional even by Zimbabwe 's shoddy democratic standards .
At least 19 people have been murdered , often in gruesome circumstances , and hundreds of others have been beaten or arrested , including the MDC 's leader , Morgan Tsvangirai .
The police have taken special powers to curb rallies and racial tension has been cynically exploited .
Mr Tsvangirai , who has until now adhered firmly to a democratic , non - violent approach and who has urged restraint on Britain , now says that a boycott , plus a campaign of mass civil disobedience and international sanctions may be the MDC 's best course . ""
Faced with this situation of lawlessness and murders against our members , the MDC must consider new strategies , "" he warns .
"" To talk of free and fair elections with this state of affairs ... we are just fooling our selves . ""
With the government still to announce a date for the elections ( due to have been held last month ) , Mr Tsvangirai is clearly running out of patience .
Which , of course , is exactly what President Robert Mugabe wants .
An MDC boycott would hand him an election victory on a plate .
Mass abstentions would not prevent Zanu - PF from claiming a famous victory ( after , no doubt , inflating the returns ) .
A boycott would let Mr Mugabe off the hook from which he has been dangling ever since his government 's egregious economic mismanagement , costly foreign adventures , and blatant corruption finally turned a once loyal electorate against him .
A boycott would render meaningless the plan to send Commonwealth election monitors , who remain the best hope of a free and fair poll .
A call by the MDC for international sanctions would meanwhile enable Mr Mugabe to claim that his opponents are , as he has said all along , the stooges of Britain and the enemies of Zimbabwe .
And strikes and civil disobedience would quite probably bring yet greater , violent repression .
Appalling though the provocation is , Mr Tsvangirai and the MDC must not join Mr Mugabe in abandoning the democratic path ."
2000-06-23,"Robert Mugabe will be out of power within a month and Zimbabwe will have Morgan Tsvangirai , the leader of the Movement for Democratic Change , as its new president , according to Eddie Cross , the prospective finance minister in the new government .
With voters going to the polls tomorrow and Sunday in the most hotly contested parliamentary election since independence , senior MDC leaders have started making the most optimistic predictions .
"" We expect to get over 76 seats which will be a majority in the 150-seat parliament .
We will demand Mugabe 's resignation and are confident the army will support us , "" Mr Cross , a leading industrialist , told the Guardian yesterday .
The economy was in "" meltdown "" , he claimed , and in desperation the government had printed Z$30bn ( £ 500 m ) worth of banknotes since January .
Once Mr Mugabe stepped aside , there would need be no more than a week for nominations followed by a three - week election campaign and a new president would be in power before August .
One of the new government 's first acts to revive the economy would be to devalue the Zimbabwe dollar by about 40 % , in line with demands from commercial farmers .
He predicted that South Africa would play a pivotal role in removing Mr Mugabe .
Zimbabwe relies heavily on South African electricity and has racked up an unpaid energy bill of millions of pounds .
Mr Cross acknowledged that Mr Mugabe , whose term runs until 2002 , had the right under the constitution to appoint a minority government and rule by decree if he lost control of parliament . ""
But it would be tantamount to a coup
and I do n't think South Africa will accept it .
They can cut his electricity and oil at any time . ""
Mr Mugabe has the right to appoint 30 members to the parliament , and only 120 constituencies are being contested this weekend .
If the MDC were to win more than 60 seats but less than 76 , "" Mugabe might try to hang on to power , but we would block his budget , "" Mr Cross warned .
Mr Tsvangirai was less ebullient about the imminence of Mr Mugabe 's departure , but he was confident the MDC ought to win more than half the contested seats . ""
Any result that does not give the MDC a majority will have been seriously rigged , "" Mr Tsvangirai said .
The candidates ' agents as well as independent monitors from local civic groups will be able to stay with the ballot boxes at night on the two polling days to ensure there is no tampering , the government - appointed chairman of the election directorate , Dr Mariyawanda Nzuwa , said yesterday .
However , the MDC has expressed concern about the security of the boxes when they are later taken to the counting centre .
The Legal Resources Foundation yesterday made an urgent application to the supreme court to overturn a ruling that election monitors can not accompany the boxes ."
2000-06-28,"It was the rural vote which saved Robert Mugabe 's face in Zimbabwe 's hotly contested elections , and even Morgan Tsvangirai , the opposition leader , accepted that yesterday .
"" The result was a true reflection of rural people 's views .
We did n't have access to them , and the work we did there before the reign of terror was insufficient .
We did n't have enough time to change attitudes . ""
So , although the opposition Movement for Democratic Change ( MDC ) still insists that intimidation by the ruling Zanu - PF party played a large role , it acknowledges that the party was working in a context which was favourable to it .
Rural people , particularly the middle - aged and elderly who remembered the seven years of war before liberation were ready to accept Zanu - PF 's argument that war could resume if the opposition won .
The line of thinking may not have been logical but the conservative sentiment was there .
Others were swayed by the feeling that Zanu - PF brought liberation from white minority rule in 1980 and to desert it would be a betrayal , not only of the liberation forces but of earlier generations .
Whatever the motives which prompted individuals in the polling booth , Zanu - PF 's sweep through Mashonaland - the heartland of its supporters during the liberation war - was remarkable .
It won all 10 constituencies in Mashonaland Central , 10 out of 12 in Mashonaland West , and 11 out of 12 in Mashonaland East .
Mr Tsvangirai had hoped to break into this territory , which is why he chose to fight in a rural constituency , albeit in Buhera North in Manicaland , another largely Shona area .
"" My national executive advised me to take a safe seat in Harare , but it was my strategy to go out into the rural areas and show that discontent there was the same as in the towns , "" he said .
His decision to take the risk of a rural constituency followed from his analysis of the results of the February referendum , which was defeated entirely on the basis of the urban vote .
Indeed , MDC supporters repeatedly pointed out before last weekend 's vote that their referendum victory by no means guaranteed success in a general election .
They reminded reporters that although the overall total of No votes was enough to reject the draft constitution which had been put to referendum , it was carried in 63 constituencies and defeated in 57 .
The figures bear an uncanny similarity to Zanu - PF 's tally of 62 seats yesterday against the MDC 's 57 .
Government ministers say the referendum 's defeat was a wake - up call for Zanu - PF .
"" We realised we had to start mobilising , and we did , "" one senior party figure said yesterday .
They chose to fall back on their traditional issue , the question of land .
The occupations of farms by war veterans served a double purpose .
It raised the profile of the land issue nationally as unfinished business left over from the liberation struggle , which had brought political independence but not econonomic independence .
The strategy was obviously successful in reminding peasants in the so - called communal areas where no white farmers live ( known in colonial days as the tribal trust lands ) that unfair land distribution was still a key issue .
It must also have had some effect among black farmworkers and other Africans in the so - called commercial farming areas .
In Chinhoyi , for example , where Mr Mugabe held an emotional rally on the last day of the campaign , the Zanu - PF candidate won the seat , though by a relatively narrow margin of 8,176 to the MDC 's 7,602 .
Though this was probably not intended , the land issue had the effect of arousing strong reactions from the British government , especially Peter Hain and Robin Cook .
This allowed Mr Mugabe to claim there was a real danger of a reversion to white rule .
Privately , Zanu - PF ministers were equally angry with the United States , which they rightly believe controls the IMF and the World Bank .
It is these two institutions that have been imposing the main conditions for new loans to Zimbabwe .
They are also furious with the US Senate for passing a Zimbabwe Democracy Act , which supports programmes for aiding opposition - minded civic groups and the non - governmental media in Zimbabwe .
"" We 're being turned into another Iraq or Cuba , "" says Chen Chinutengwende , the information minister .
Finally , the land issue had the benefit for Robert Mugabe of deflecting attention from other issues , such as joblessness , inflation and corruption .
This was what worried urban voters most .
Here Zanu - PF failed miserably .
Every seat in Harare and Bulawayo , the two main cities , went to the opposition MDC .
Zanu - PF also did very badly in Matabeleland , picking up only two out of 15 constituencies , and losing several cabinet ministers ' seats .
To try to win urban voters back in the two years until the presidential elections , Mr Mugabe has promised to bring in price controls on a few basic commodities , bread , mealie meal , milk , and meat .
During the campaign these promises did not win enough people over , perhaps because they did not believe they were practical .
Zanu - PF will have to deliver on its promises now it has won the election ."
2000-06-29,"Zimbabwe 's defeated opposition party , the Movement for Democratic Change , is to take 10 dossiers listing alleged election rigging to the high court .
At its first meeting since failing to win control of parliament in last weekend 's elections , the MDC executive said : "" Disturbing facts have come to light . ""
The dossiers are believed to cover events in Buhera North , where the MDC leader , Morgan Tsvangirai , was defeated by Zanu - PF .
The MDC won 57 seats to Zanu - PF 's 62 in the new parliament .
Even if the court challenges succeed , the change in the number of seats in favour of the opposition will not be enough to undermine Zanu - PF 's grip on power , since President Mugabe has the constitutional right to nominate 30 seats in addition to the 120 contested .
Mr Tsvangirai has ruled out any chance of working formally with Zanu - PF . ""
He [ Mugabe ] must clear up his own mess , "" he said .
With presidential elections just two years away the MDC wants to build on its success in emerging from nowhere in less than a year to challenge Zanu - PF .
It is aware that compromising with Zanu - PF might alienate its supporters and tarnish its image of freshness and honesty .
"" We 've got to guard against being seen to be retreating , "" Mr Tsvangirai said .
He acknowledged this week that Mr Mugabe might try to win some of the new MPs over to his side , with job offers or other inducements .
"" It would be naive to think no individuals will be ready to be co - opted , "" he said .
At its strategy meeting yesterday the MDC also discussed its priorities .
Although it has no hope of promoting legislation , it wants to propose motions in parliament that will keep it in the public eye .
The first is to call for the withdrawal of the 11,000 troops Zimbabwe has in Congo , a deployment which is highly unpopular .
The government has said it will bring the soldiers home only when the United Nations gets its peacekeepers in place .
The MDC also intends to oppose President Mugabe 's plans to introduce price controls on basic foodstuffs to protect the poor .
Mr Mugabe too was meeting his senior colleagues yesterday .
Their agenda was topped by a postmortem on how the party lost so many seats - particularly in the urban areas as well as in Matabeleland .
The election results have reduced Zanu - PF from a national movement to an almost entirely Shona peasant party .
Apart from small segments of the new middle class which have benefited from government patronage by getting civil service jobs or help with their businesses , this is a reversion to the pattern of support found during the liberation war , and it means that Zanu - PF has lost the other constituencies it had tried to cultivate .
The government also gave notice yesterday that it will press ahead with its seizure of 804 white - owned farms .
"" The land issue is on , "" said the minister of information , Chen Chimutengwende , yesterday .
"" The process of acquisition and redistribution could start within weeks . ""
The government had no second thoughts about taking the farms , Mr Chimutengwende said .
Mr Mugabe confirmed last month that the designated farms would be confiscated and resettled by poor black farmers .
He said that since the British government did not pay for the farms , taken from Africans by Rhodesian colonialists , then his government would not pay for the land .
In April Mr Mugabe pushed through a constitutional amendment stating that the government is not obliged to pay for the land and last month it published an enabling law , which gave the farm owners 30 days to appeal against the seizure of their properties , expiring on July 3 . ""
So far I understand no one has appealed , "" said Mr Chimutengwende , indicating that the seizures would proceed smoothly .
But Tim Henwood , chairman of the Commercial Farmers Union , said hundreds of farm owners were preparing their appeals and intended to file them on Friday .
About 500 farmers are expected to seek to keep their farms , while 300 are either not contesting the confiscation or are attempting to negotiate to give up another property in place of the one designated by the government .
The appeals may well be futile , since the government has already stated that there are no valid grounds for appeal ."
2000-10-06,"Zimbabwe 's opposition leader , Morgan Tsvangirai , has warned of a popular uprising against the man he calls the Milosevic of Africa - President Robert Mugabe - if the government carries out its threat to arrest him for treason on his return home this weekend .
Mr Tsvangirai was accused of treason when he called for the violent overthrow of Mr Mugabe if he did not swiftly resign as president .
But , speaking in Johannesburg , the leader of the Movement for Democratic Change ( MDC ) said his detention would provoke a revolution .
"" The mood of the people is so tense that I will not be responsible for the reactions of the people .
We have given Mugabe a warning .
It is clear .
Listen to the people .
The current mood in the country is uncompromising .
A similar situation [ to Yugoslavia ] can not be avoided , "" he said .
"" We must stop Africa 's Milosevic .
There 's no difference between the situation in Yugoslavia and the situation in Zimbabwe .
There are parallels .
[ Mugabe ] has committed genocide against a minority , rigged elections , ignored the rule of law and created a state which is internationally isolated . ""
Mr Tsvangirai made the threat that earned him the prospect of arrest at a rally a week ago to mark the first anniversary of the MDC , which came within a whisker of defeating Zanu - PF in June 's parliamentary elections .
"" What we want to tell Mugabe today is to please go peacefully .
If you do n't want to go , we will remove you violently , "" he said .
Mr Mugabe later told a meeting of his party 's central committee that the British government was working with the MDC to create unrest in the cities , "" in the hope that a Zanu - PF government will capitulate or fall in violent circumstances "" .
The day after his speech , Mr Tsvangirai left on a scheduled trip to Europe and South Africa .
He was due to fly back to Harare on Tuesday but delayed his return after various government ministers called for his arrest .
The speaker of parliament demanded his detention and prosecution for treason .
The police described the "" threat of violence "" as unlawful and said they were prepared to act .
Mr Tsvangirai said he had not intended to use the word "" violently "" and meant "" unceremoniously "" , and that there was no legitimate reason to arrest him for his comments .
"" It was undiplomatic , I must say , but it certainly was n't treason , "" he said .
"" The law can not be applied selectively ; one law for the MDC and another for Zanu - PF .
There have been instances of people threatening to use weapons of war and they have not been arrested .
"" More than 30 people have died in politically related violence in recent months , either during the occupation of white - owned farms or in attacks on MDC supporters .
But there have been no arrests .
Ominously , one of Mr Mugabe 's old - guard supporters , Nathan Shamuyarira , warned that the ruling party would be more than a match for any uprising . ""
The area of violence is an area where Zanu - PF has a very strong , long and successful history , "" he said .
Mr Tsvangirai said Zimbabwe could not afford another two years of Mr Mugabe until the next presidential election .
"" I understand he still thinks he has more to contribute to Zimbabwe .
That state of mind is delusionary .
What he is involved in is the tactics of survival , not a strategy for the survival of the country . ""
But he said that if Zimbabweans wanted change , they should learn from the example of Belgrade and not expect others to do it for them .
"" You can not watch a situation where things collapse in your hands and you expect a miracle to come from somewhere , "" he said .
The government remains defiant .
On Thursday the police shut down Zimbabwe 's first independent radio station , less than a week after it went on air , in defiance of a supreme court ruling .
The high court has ordered the chief of police and his deputy to appear in court on Monday to explain why they should not be jailed for contempt .
The government accused Britain of "" making threats "" to try to stop the move against the radio station .
Mr Tsvangirai said this was further evidence of Mr Mugabe 's desperation .
"" It is an illustration of a government that 's intolerant of opposing views , "" he said .
"" It does not want the space for any mouthpiece other than that which supports Zanu - PF views . """
2000-10-10,"After returning from South Africa and evading police who planned to arrest him on treason charges at the airport , Zimbabwe 's opposition leader , Morgan Tsvangirai , yesterday called on President Robert Mugabe to hold early elections or resign . ""
Mugabe 's term as president lasts until 2002 , but he no longer has the mandate of the people or their support , "" said Mr Tsvangirai , leader of the Movement for Democratic Change shortly after his arrival .
"" He is no longer legitimate .
He should go back to the people and seek an early election , or he should resign .
Otherwise he risks a popular uprising against him . ""
While Mr Tsvangirai kept the pressure on Mr Mugabe , the government increased its pressure on the MDC .
Earlier yesterday , police arrested three MDC members of parliament on charges of inciting violence .
There were angry protests after the arrests and police used teargas to disperse two gatherings of MDC supporters in central Harare .
About 10 arrests were made .
Police had expected Mr Tsvangirai to return to Zimbabwe on a scheduled flight from Johannesburg and waited for him at Harare airport .
But he entered the country by some other means , presumably a charter flight to a smaller airport .
Upon arrival at his home , Mr Tsvangirai spoke with MDC officials and journalists .
Within minutes , he telephoned the police to tell them he was at home and could be arrested there .
By early evening the police had still not come to pick him up .
He was in high spirits after successfully slipping through the security net that police and intelligence services threw up around the airport .
Mr Mugabe 's government has said that it intends to arrest him on treason charges because of remarks he made at a September 30 rally to mark the first anniversary of the MDC 's founding .
"" We say to Mugabe , ' Please go peacefully .
If you do n't we will overthrow you violently ' , "" Mr Tsvangirai said to a deafening roar of approval from more than 20,000 supporters .
He quickly clarified his remarks , saying that he did not mean that the MDC would use violence , but that the people of Zimbabwe would rise up against continued abuses by Mr Mugabe and his Zanu - PF party .
"" I said something unpalatable to Mugabe and to Zanu-
PF , but I do n't think it was illegal
, "" Mr Tsvangirai said yesterday .
"" If the authorities think I have committed a crime , then I must face the due legal procedures .
The people must maintain their cool .
Zanu - PF is trying to provoke the people , so it will have an excuse to unleash more violence and repression . ""
Mr Tsvangirai said the MDC was committed to the rule of law and change by peaceful , constitutional and democratic means .
He said Mr Mugabe "" should be happy that he has a credible opposition that can contain the anger of the people against his misrule "" .
While in South Africa , Mr Tsvangirai said he met former president Nelson Mandela . ""
He still has immense influence .
I asked him to try and encourage Mugabe to retire . ""
Mr Tsvangirai repeated his remarks that Mr Mugabe was "" the Milosevic of Africa . ""
He charged that he had ruined the economy , involved Zimbabwe in a disastrous war in the Congo and had thwarted democracy by rigging the parliamentary elections in June . ""
The only difference between Yugoslavia and Zimbawe is that they are white and we are black .
Our situations are the same , "" Mr Tsvangirai added ."
