1999-05-11,"['[""Bob Dole \'s Republican running - mate in the 1996 presidential elections , Jack Kemp , remains today at least as celebrated in the US for his achievements as a quarterback for the Buffalo Bills and as NFL player of the year in 1965 , as for his prodigious political career later on .""', ""Today , Ryun is a Kansas Republican congressman , as he has been since 1996 .'"", ""Three men stand between Al Gore , Vice President of the United States since 1992 , and his long - planned goal of becoming the next Democrat to occupy the White House .'"", 'The first is Gore himself , who is seen by Americans as worthy but boring .\', ""Voters may punish him for being the decent deputy of a sinning president , as Gerald Ford was in 1976 after Richard Nixon \'s resignation .""]']"
1999-05-20,"['[\'Tougher guns control laws were adopted in the United States yesterday only hours after a lovesick teenage gunman opened fire at a suburban school and put six pupils in hospital and exactly a month since 15 people died in the worst classroom massacre in American history .\', ""And just before yesterday \'s shootings CBS pulled a Mafia mob war series from its autumn schedules because of the Denver attack . \'""', 'Tougher guns control laws were adopted in the United States yesterday only hours after a lovesick teenage gunman opened fire at a suburban school and put six pupils in hospital and exactly a month since 15 people died in the worst classroom massacre in American history .\', ""And just before yesterday \'s shootings CBS pulled a Mafia mob war series from its autumn schedules because of the Denver attack . \'"", ""But the Republican - dominated Senate accepted the new rules forcing three days of checks on people who buy guns at fairs and in pawn shops only on the casting vote of Vice - President Al Gore after being tied at 50 - 50 . \'""', 'How much longer are we going to embrace the gun lobby instead of the mothers and fathers of America ?\', ""But the Republican - dominated Senate accepted the new rules forcing three days of checks on people who buy guns at fairs and in pawn shops only on the casting vote of Vice - President Al Gore after being tied at 50 - 50 . \'""', ""How much longer are we going to embrace the gun lobby instead of the mothers and fathers of America ?']""]"
1999-06-15,"['[\'He is ready for the job he seeks , and he could do it tomorrow if he had to .\', ""The next morning , in Burlington , he visits Democratic supporters in Scotty \'s diner .""', ""To my beloved family , to Tipper , to the people of Tennessee , and all of you : I see so many who have been my friends as far back as I can remember .'"", ""You have always been there for me .'"", 'With your help , I will take my own values and faith and family to the presidency - to build an America that is not only better off , but better , "" he told a crowd of thousands in his home town of Carthage , Tennessee . ""\']']"
1999-06-16,"[""['And that is why today , I announce that I am a candidate for President of the United States .'"", ""But today , we find a deficit of even greater danger , one that only seems to deepen the harder we work , and the better we do .'"", ""The crisis in the American family today knows no boundary of class or race .'"", ""So today , I say to every parent in America : it is our own lives we must master if we are to have the moral authority to guide our children .'"", 'Al Gore formally began his drive for the US presidency today , promising moral leadership in a speech that signals his independence from Bill Clinton and makes "" the crisis in the American family "" the centrepiece of his campaign . ""\'', 'And that is why today , I announce that I am a candidate for the president of the United States . ""\'', 'The crisis in the American family today knows no boundary of class or race .\', ""The American vice - president , Al Gore , distanced himself from Bill Clinton yesterday when he launched his campaign for next year \'s presidential election with an upbeat speech at a festive Democratic party rally in his Tennessee home town , Carthage ."", ""His sole challenger is the former senator Bill Bradley , but two recent polls in New Hampshire show Mr Gore \'s lead over Mr Bradley has slipped below 20 points , a scare which did much to cause the rescheduling of yesterday \'s campaign launch ."", ""That \'s about as passionate as it gets beyond the faithful crowd in the square outside Smith County courthouse in Carthage , where Gore has launched the many electoral campaigns of his career and last Wednesday broke free - like a son from the father \'s shadow - to launch his bid to succeed President Bill Clinton ."", ""Even after Wednesday \'s almost impressive performance , Gore trails in the polls behind his rival , George W. Bush Jnr .""', ""To my beloved family , to Tipper , to the people of Tennessee , and all of you : I see so many who have been my friends as far back as I can remember .'"", 'With your help , I will take my own values and faith and family to the presidency - to build an America that is not only better off , but better , "" he told a crowd of thousands in his home town of Carthage , Tennessee . ""\'', 'As he gave America its first glimpse of the themes and policies which will be the hallmarks of his presidential campaign , Mr Gore also gave a series of interviews in which he pointedly criticised President Clinton for "" inexcusable "" behaviour in the Monica Lewinsky crisis .\'', '"" I think people realise any two individuals are very different , and certainly the president and I are , "" Mr Gore said .\']']"
1999-09-08,"['[\'Promising that as a "" citizen - politician "" he would reverse the "" cynicism and mistrust "" of the American people towards their leaders , Bill Bradley returned to his home town on the banks of the Mississippi yesterday to launch a crucial phase of his increasingly serious challenge to Al Gore for the Democratic party presidential nomination .\', ""Yesterday \'s campaign launch was an attempt to package an image which is one of Mr Bradley \'s most obvious advantages over Mr Gore .""', ""But back home on Wednesday to launch his campaign , Bradley needed to say that some things endure .'"", ""On Wednesday , Bradley made darn sure to slam - dunk a ball into both .'"", 'Without mentioning President Clinton or Mr Gore , the former basketball star and senator promised supporters at his former high school in Crystal City that he would fight "" to restore trust in public service and confidence in our collective will "" .\'', 'Mr Bradley stressed how he lacked "" a famous name or great wealth "" but was given "" the encouragement and love and the opportunity that enabled me to forge a path on my own "" .\']']"
1999-09-09,"[""['Bill Bradley , who is challenging Al Gore for the Democratic party presidential nomination , page 14 , September 9 , is from Missouri and not Mississippi .'"", 'Without mentioning President Clinton or Mr Gore , the former basketball star and senator promised supporters at his former high school in Crystal City that he would fight "" to restore trust in public service and confidence in our collective will "" .\'', 'Mr Bradley stressed how he lacked "" a famous name or great wealth "" but was given "" the encouragement and love and the opportunity that enabled me to forge a path on my own "" .\'', ""Bill Bradley , former New York Knicks basketball star , Olympic gold medallist , and three - term New Jersey senator , is to take a running jump at the US Democratic presidential nomination .'"", 'Some dismiss Mr Bradley as even more boring than his opponent , vice - president Al Gore .\', ""But the bank manager \'s son from Missouri has a vote - winning humour , as a recent speech to labour unions showed .""]']"
1999-09-11,"['[\'The first Aldermaston march , page 3 , Saturday Review , August 28 , was organised by the Direct Action Committee Against Nuclear War ( the Direct Action Committee or DAC ) .\', ""The Readers \' Editor wonders why we make so many mistakes , page 7 , today \'s Saturday Review ."", ""Readers may contact the office of the Readers \' Editor by telephoning 0171 239 9589 between 11 am and 5 pm Monday to Friday .""', ""The Missouri dateline was correct .'"", ""The references to Mississippi in the headline and story were not .'"", ""Last week , the party was gate - crashed : the already monotonous party called the US presidential election race , between the Democrat and Republican dauphins who thought they had a God - given right to fight it , Al Gore and George Bush Junior .'"", ""The gate - crasher was Bill Bradley , Democrat pretender to the candidature that Gore feels to be his by way of White House heredity .'"", ""And the only thing that most Americans know about the man who might , suddenly , become their next president is that he was a star with the New York Knicks team that won two championships .']""]"
1999-11-03,"[""['In Seattle on Wednesday , a gunman in camouflage gear killed two workers at a boat repair yard .'"", ""Even from this distance , even to an outsider , it has become obvious that Al Gore , the aspirant US president , has changed - though not necessarily for the better .'"", ""The new , more relaxed Mr Gore does not wear suits all the time .'"", ""The new Gore manner is strenuously informal .']""]"
1999-11-04,"['[""The National Rifle Association \'s president , Charlton Heston , told a congressional committee on Capitol Hill yesterday that no new laws were needed to control violent crime .""', '"" Our nation continues on this day to be reminded of the horrors of gun violence .\'', 'Two other men were wounded ; one was reported to be in a serious condition yesterday . ""\', ""Republicans in the US congress have bowed to the power of the National Rifle Association and will block the passage of any tightening of gun control in this year \'s remaining legislative session , Vice - President Al Gore alleged yesterday .""', ""Mr Gore , along with President Bill Clinton and leading Democrats , attacked the decision to leave the gun laws unchanged in a year that has seen a spate of mass shootings in schools and workplaces - the latest occurring this week .']""]"
1999-11-07,"[""['Afraid of losing Florida on November 7 , Gore dithered on the Elian Gonzalez question , losing more support than he won in Florida and across the US .'"", ""Yet , as the election nears , those promises seem not to hold such attraction for the affluent minority of Americans who are expected to vote on November 7 .'"", ""By doing so , Gore and Bush have surely succeeded in setting a clear choice before the voters in the last three weeks of campaigning before the November 7 election .'"", ""George W Bush has surged to a 13-point opinion poll lead over Al Gore with just 10 days to go before the US presidential election on November 7 .'"", ""While Al Gore campaigned in Michigan , which has emerged as the number one battleground state in the neck - and - neck November 7 contest , the president climbed into a church pulpit to urge black Americans to get out the vote for the Democratic candidate .'"", ""A year ago George W Bush was famous in for just two things - being the son of a president and being the Republican presidential candidate who had raised more money on the campaign trail than any candidate for the White House before him .'"", ""The past will meet the future plenty of times during the long campaign ahead , but rarely as directly as it meets it right now .'"", 'Here \\\'s Al Gore , the techno - nerd vice president and self - styled "" Father of the internet "" , two radio - mics strapped to his back and a Palm Pilot wireless electronic organiser attached to his belt - the candidate from the future .\', ""And here \'s the woman whose vote he wants , 96 year old Sister Mary DeLourdes Verhey , lifelong nun and regular at the Lifetime Centre for the elderly in Dubuque , Iowa .""]']"
