2005-09-14,"['[""Around 80 % of them will support Gerhard Schröder \'s red - green government , polls suggest , a fact the chancellor recognised on Wednesday when he visited the offices of Germany \'s biggest Turkish - language newspaper ."", ""Germany \'s general election yesterday appeared to be heading towards a dead heat , amid growing speculation that the chancellor , Gerhard Schröder , could try to cling on to power at the head of a new coalition .""', ""Yesterday however , there was growing speculation , that if Mrs Merkel fails to win an outright majority Mr Schröder might be able to persuade the Free Democrats to switch sides .'"", '"" There is one man who on election night - assuming he \\\'s the same person who we have admired and marvelled at numerous times - could spring a deft surprise : Gerhard Schröder , "" Franz Walter , a political expert , wrote yesterday in the tageszeitung newspaper . ""\'', ""Yesterday several leading Social Democrats , including Kurt Beck , the minister - president of Rheinland - Pfalz , said such a coalition should not be ruled out .'"", 'With three days to go until the poll both Mrs Merkel and Mr Schröder yesterday ruled out a grand coalition between their parties .\', ""Yesterday Mrs Merkel appeared to distance herself from Mr Kirchhof , praising instead the party \'s previous finance expert Friedrich Merz - who she had previously sidelined .""', 'One political expert said yesterday Mrs Merkel would win a narrow victory on Sunday .\', ""On Wednesday Mr Schröder dropped in to Germany \'s biggest Turkish - language newspaper .""', ""Over the past three weeks the conservative leader , Angela Merkel , has made it abundantly clear that she opposes Turkish membership of the European Union .'"", 'Her Christian Democrat ( CDU ) party wants to offer Turkey a "" privileged partnership "" instead .\', ""According to the latest poll for Hamburg \'s electoral research institute , Mr Schröder \'s Social Democrats together with the Green and Left parties are likely to win 305 seats - a majority of just one ."", ""Angela Merkel \'s Christian Democrats ( CDU ) and her coalition ally , the liberal Free Democrats ( FDP ) , will end up with 301 seats , the poll suggests .""]']"
2005-09-20,"[""['Yesterday , however , the SPD chairman , Franz Müntefering , said his party would only agree to a grand coalition if Mr Schröder led it .'"", ""The Social Democrats and Greens - who have governed in coalition for the past seven years - held talks with each other yesterday .'"", 'But there were ominous signs for Mrs Merkel yesterday that some MPs in the new Left party were preparing to back Mr Schröder .\', ""Germany \'s conservative leader , Angela Merkel , yesterday won a vote of confidence from her parliamentary party , ahead of coalition talks between the country \'s political groups that begin tomorrow .""', ""His conditional announcement yesterday appears to pave the way for a possible deal between the Greens and Mrs Merkel .'"", 'Mrs Merkel did however receive some good news yesterday from the Mr Westerwelle .\', ""Angela Merkel \'s unexpectedly poor showing in Germany \'s election has reignited debate on the French right about both the pace and radical nature of the free - market reforms she was seen to be proposing and the extent to which the electorates of old Europe are prepared ( or not ) to accept them .""', ""Meanwhile , the still deeply divided French left may be professing delight at the collapse of the conservative CDU , but it is also deeply worried by the success of the new Linkspartei , to the left of the social - democratic SPD .'"", 'The result of the German election constitutes a resounding No to Angela Merkel \\\'s "" neoliberal "" programme , known to its detractors as "" Thatcherism without the oil "" .\'', 'But the idea that it is also a No to Gerhard Schröder is true only in the obvious sense that he failed to win a majority .\', ""Schröder \'s campaign was sensational .""', ""The vote is likely to boost her position , at least temporarily .']""]"
2005-10-02,"['[""Germany \'s conservative leader Angela Merkel won an important symbolic victory last night when her party gained an extra seat in the eastern city of Dresden .""', 'More than 150,000 people voted yesterday in a general election vote delayed by the death of a candidate .\', ""According to projections last night , Mrs Merkel \'s Christian Democrat party ( CDU ) narrowly won the picturesque middle - class constituency with 37 % of the vote , compared with 32.1 % for Gerhard Schröder \'s Social Democrats .""', 'Last night Roland Koch , the conservative minister - president of Hesse , said the Dresden poll was a positive "" signal "" for Mrs Merkel .\'', ""Yesterday another leading Social Democrat insisted Mr Schröder had to lead any grand coalition .'"", 'In an interview with yesterday \\\'s Frankfurter Allgemeine Zeitung , the development minister , Heidemarie Wieczorek - Zeul , said : "" We want to govern with Gerhard Schröder as chancellor .\', ""In the conservative camp recriminations over Mrs Merkel \'s lacklustre election campaign began to surface yesterday .""', '"" There were mistakes , "" Georg Milbradt , the conservative minister - president of Saxony , said yesterday .\'', '"" What ca n\\\'t be agreed upon in two weeks will not be any better in four weeks , "" Wolfgang Gerhardt , the parliamentary leader for the Free Democrats , said yesterday in Berlin .\'', ""Mrs Merkel saying that no agreement would be reached until Sunday evening at the earliest .']""]"
2005-10-05,"['[\'Chancellor Gerhard Schröder of Germany is to hold an "" imminent "" summit with his conservative rival Angela Merkel , amid speculation that he is now preparing to resign - possibly as early as today .\'', 'Allies of the Christian Democrat leader , Angela Merkel , today repeated their calls for Gerhard Schröder to resign as Germany \\\'s chancellor as their price for entering into a "" grand coalition "" with his Social Democrat party .\', ""Leftwing MPs in Gerhard Schröder \'s Social Democratic party yesterday threatened to wreck a coalition deal with Germany \'s conservatives , saying they would never work with Angela Merkel as chancellor .""', 'Mr Schröder last night met his conservative rival Mrs Merkel for talks aimed at resolving which of them should be chancellor .\', ""Yesterday Franz Müntefering , the Social Democrats \' chairman , said the SPD still wanted Mr Schröder to lead any new government ."", ""Last night one expert said the political crisis that has gripped Germany since the indecisive election almost three weeks ago was n\'t over - despite days of speculation that a denouement was near ."", ""The discussions last night took place between Mr Schröder and Mr Müntefering and Mrs Merkel and Edmund Stoiber , the leader of the CDU \'s Bavarian sister party , the CSU ."", ""Speaking after a meeting of his party \'s executive , Mr Müntefering said yesterday that the SPD would have to approve any grand coalition at a special party conference .""', 'Mrs Merkel said yesterday : "" We have always said that to start [ formal ] coalition negotiations , a further condition must be fulfilled - a basis of trust must be created .\'', ""The announcement is the strongest sign yet that there could be a breakthrough in the political crisis that has gripped Germany since its inconclusive election more than two weeks ago .'"", ""As the temperature rose ahead of a third round of talks intended to resolve uncertainty over the future shape of the German government , Dieter Althaus , the CDU premier of Thuringia , threatened to break off negotiations if Mr Schröder did not agree to leave office .'"", '"" If it does n\\\'t happen , we \\\'ll simply have to interrupt the talks , "" Reuters quoted him as saying .\'', ""But speculation that Mr Schröder was about to announce his resignation turned out to be premature or wrong - with']""]"
2005-10-09,"['[""It has taken more than three weeks of wrangling since Germany \'s inconclusive elections , but the long wait for a new government should not detract from the significance of what happened yesterday ."", ""Germany was on the brink of a new and volatile political era last night , after a deal was agreed that will see the conservative leader Angela Merkel become the country \'s first ever woman chancellor .""', 'But there were doubts yesterday over how long such a coalition would last .\', ""But there were signs last night that Mrs Merkel \'s problems were only just beginning , with rank - and - file Social Democrats expressing fury that their party \'s leadership had sacrificed Mr Schröder and done a deal with his neo - Thatcherite nemesis .""', 'Yesterday Mr Müntefering , said that he expected the parliamentary party to vote for Mrs Merkel as chancellor - assuming that formal coalition negotiations which begin on Monday go well .\', ""Yesterday Mrs Merkel \'s biographer , Wolfgang Stock , said that it would be a mistake to underestimate her .""', ""After weeks of rumour and intrigue Germany finally got yesterday what everyone had expected - a grand coalition led by Angela Merkel .'"", ""But there were growing doubts last night about how long such a coalition would last and what , if anything , it would achieve .'"", '"" The question that remained last night is how long this unusual left - right coalition will last .\'', 'Angela Merkel .\', ""But Mr Schröder \'s Social Democrats ( SPD ) extracted a heavy price from Ms Merkel for accepting her as chancellor ."", ""Angela Merkel , leader of the centre - right Christian Democrats ( CDU ) , becomes not only the first woman to lead Europe \'s biggest country and economy , but also the first former easterner to become chancellor of a reunited Germany ."", ""Three weeks of wrangling over last month \'s indecisive election ended yesterday when the chancellor , Gerhard Schröder , announced he was resigning .""', 'Mrs Merkel will now become chancellor and lead a "" grand coalition "" between her Christian Democrat party and its Bavarian ally the Christian Social Union , and Mr Schröder \\\'s Social Democrats .\'', ""The only previous experience of a grand coalition at federal level in the 1960s was widely deemed to have been a failure , with voters drifting towards extremism .']""]"
2005-11-23,"['[""She will travel to Paris tomorrow to see France \'s president , Jacques Chirac , and to Brussels for meetings with European Union officials ."", ""Speaking in Paris yesterday Mrs Merkel reassured France that it was still Germany \'s key ally in Europe .""', 'The new chancellor yesterday refused to be drawn on budget proposals drafted by the UK as the holder of the EU presidency .\', ""Angela Merkel has become Germany \'s first woman chancellor , winning 397 votes in the 614-seat Bundestag , or lower house .""', 'Ms Merkel presides over a "" grand coalition "" government made up of conservatives from her Christian Democrats and the centre - left Social Democrats .\', ""Angela Merkel and her ministers toasted their coalition agreement with fizzy water rather than champagne last week - appropriately for a government that has pledged to bring new sobriety to tackling Germany \'s many problems .""', ""But the first woman to lead Germany and the first easterner to become chancellor since unification faces formidable challenges .'"", ""Granted , she is no Margaret Thatcher .'"", 'But Angela Merkel is the first female chancellor in German history , and there are some similarities .\', ""While Thatcher \'s route to the top was paved with true ideological enemies such as Arthur Scargill , Merkel quietly pushed aside good friends .""', 'Finally confirmed as Germany \\\'s first female chancellor just 48 hours ago , more than two months after the country \\\'s general election , Ms Merkel said she wanted to maintain "" good , friendly relations "" with Britain .\'', 'But with time running out for Mr Blair to put forward a possible solution to deadlocked talks on the EU \\\'s 2007 - 13 budget , Ms Merkel told reporters only "" we will see "" if a deal could be done at next month \\\'s final UK - hosted summit .\']']"
2005-11-24,"['[\'Tony Blair had his first meeting with Germany \\\'s new chancellor tonight - but Angela Merkel warned him she had no "" crystal ball "" that will reveal whether her government can help the UK \\\'s presidency resolve the EU budget .\', ""The new chancellor \'s visit to London today comes after she has already stopped in on Paris - traditionally Berlin \'s closest partner in Europe - and Brussels ."", ""Britain \'s hopes of a successful deal on the European budget to crown its six - month EU presidency were left ominously in the balance last night after a wary two - hour meeting in Downing Street between Tony Blair and the new German chancellor , Angela Merkel .""', 'Over lunch at No 10 yesterday , the new Polish prime minister , Kazimierz Marcinkiewicz , disclosed that the new states had written a joint letter calling for an urgent resolution to the wrangling over the budget .\', ""Although Mr Blair did not go as far yesterday as President Jacques Chirac of France , who kissed Mrs Merkel \'s hand when she visited Paris on Wednesday , the two leaders appeared relaxed in front of the TV cameras at No 10 last night .""', 'But Angela Merkel is the first female chancellor in German history , and there are some similarities .\', ""While Thatcher \'s route to the top was paved with true ideological enemies such as Arthur Scargill , Merkel quietly pushed aside good friends .""', 'Finally confirmed as Germany \\\'s first female chancellor just 48 hours ago , more than two months after the country \\\'s general election , Ms Merkel said she wanted to maintain "" good , friendly relations "" with Britain .\'', 'But with time running out for Mr Blair to put forward a possible solution to deadlocked talks on the EU \\\'s 2007 - 13 budget , Ms Merkel told reporters only "" we will see "" if a deal could be done at next month \\\'s final UK - hosted summit .\'', ""On what was only her second day in office the first woman , and the first person from former East Germany , to govern her country stressed both the importance of sustaining the expensive EU model of social protection and the need for economic reforms to fund it .'"", ""But she refused to be drawn on whether or not she supports the EU majority in demanding that Britain give up all or most of its annual £ 2bn-£3bn budget rebate , or backs Mr Blair who wants further concessions on farm subsidies before he gives ground on the rebate .']""]"
2005-12-06,"['[""The US secretary of state Condoleezza Rice \'s meeting with Germany \'s new chancellor Angela Merkel tomorrow is likely to be a tricky affair .""', 'Ms Merkel , who meets Condoleeza Rice in Berlin tomorrow , has said she wants a fresh start with the Bush administration , describing the row over Iraq as a "" past battle "" .\'', 'Condoleezza Rice began her tour of Europe yesterday with a rare public admission that the US had made "" mistakes "" in the war on terror .\'', 'Standing next to Ms Rice , Ms Merkel yesterday said that the US had "" accepted "" it had "" erroneously taken "" Mr Masri , who spent five months in a freezing Afghan jail after the CIA grabbed him in Macedonia .\'', 'Were I to confirm or deny , say yes or say no then I would be compromising intelligence information , and I \\\'m not going to do that , "" she said yesterday .\'', 'Speaking after a meeting with Angela Merkel , the German chancellor , Ms Rice again insisted that the US did not "" condone "" torture . ""\'', 'It is against US law , "" she said .\']']"
2005-12-15,"['[\'As for the six - monthly EU summit which is due on December 15 - 16 in Brussels , where there will be huge pressure on Mr Blair to give ground , Mrs Merkel later refused to look "" into the crystal ball ... we have three weeks left .\'', 'In response the publication of the letter today a Conservative party spokeswoman said , "" We hope to be working closely with Angela Merkel and her colleagues in the next few months and do n\\\'t believe cooperation amongst centre - right parties in the EU depends on being in the EPP "" .\'', 'Last night Downing Street officials said Mr Blair had detected "" a genuine willingness "" on the part of the French president to compromise after their first meeting in Brussels yesterday .\'', 'One senior EU official said : "" Yesterday , as everyone made their contributions , most spoke of the need to spend more on research , or improve regional funds , or whatever their particular spending priority is , but the only thing President Chirac mentioned when he spoke was the British rebate . ""\'', 'At the December 15 meeting in Belgium , according to Wilfried Martens , leader of the EPP , it was decided that , "" the 11 leaders of government present decided to discontinue working bilaterally with Mr Cameron if he imposed the secession of his elected members from the group "" .\'', 'At the December 15 meeting in Belgium , according to Wilfried Martens , leader of the EPP , it was decided that , "" the 11 leaders of government present decided to discontinue working bilaterally with Mr Cameron if he imposed the secession of his elected members from the group "" .\'', 'David Cameron Leader of the Opposition House of Commons London SW1A 0AA\', ""Angela Merkel , Germany \'s new chancellor , has made her first intervention in British politics by issuing a veiled warning to David Cameron to pull back from abandoning the main centre - right grouping in the European parliament .""', 'Days after Kenneth Clarke accused the new Tory leader of embracing the "" head - banging tendency "" in Strasbourg , Mrs Merkel has written to Mr Cameron to make clear she expects him to remain in the EPP - ED grouping .\'', '"" I look forward to good and intensive cooperation with you , in particular within the framework of the EPP - ED as a clear base for our bilateral dialogue as partners , "" Mrs Merkel wrote .\'', 'Officials in the commission reported that Britain had agreed to reduce its rebate by an extra € 3bn over seven years and had suggested a € 12bn larger overall budget . ""\']']"
2006-02-16,"['[\'Last night , Mr Hain told BBC1 \\\'s Question Time : "" I would prefer that it [ Guantánamo ] was not there .\'', 'Yesterday , three long - term UK residents ( though not British citizens ) got the go - ahead to seek a high court order requiring the foreign secretary , Jack Straw , to petition for their release from the base .\', ""The London - Berlin axis was reportedly strengthened with a meal at Ms Merkel \'s favourite east Berlin restaurant last night , as the pair met for the third time since the election of the centre - right leader in Germany last November ."", ""Mr Blair \'s comments came after the European Commission yesterday announced a crackdown on energy companies accused of anti - competitive behaviour .""', ""When they first met , Blair and Schröder were political soulmates , too .'"", ""When they first met , Blair and Schröder were political soulmates , too .'"", ""In Berlin to meet the German chancellor , Angela Merkel , the prime minister was asked whether he supported a call from his Northern Ireland secretary , Peter Hain , for the centre to be closed .'"", '"" I have always said it is an anomaly , and sooner or later has to be dealt with , "" the prime minister told a news conference , repeating a comment he made to MPs last November .\'', 'Although Iran topped the behind - closed - doors talks , both leaders were united , if muted , in their public comments on the issue , with the German chancellor saying Tehran must not "" overstep the mark "" in relation to its nuclear ambitions .\']']"
