2000-10-03,"['[""Today \'s Jerusalem Post carries an opinion poll suggesting that only 29 % of Israelis believe that Sharon sparked the violence .""', 'This led one Israeli source to suggest yesterday that Mr Barak "" will not be going down in a hurry "" : his chances of survival in the short term are probably better than a week ago .\'', 'The French president , Jacques Chirac , called it an "" irresponsible provocation "" , while the French foreign minister , Hubert Védrine , accused Mr Sharon of acting "" for domestic political motives , at the most sensitive moment in peace negotiations "" .\'', 'Jerusalem Post Yasser Arafat is once again attempting to negotiate with violence .\', ""Violence of the scope recently seen - the worst rioting since 1996 - is effectively an act of will by the Palestinian leadership , for which Sharon \'s visit at most provided a convenient rallying cry Ha\'aretz ( Israel )""', 'The appalling explosion of Israeli - Palestinian violence over the past few days is the predictable consequence of the failure of men of peace to agree .\', ""The immediate spark was provided by last week \'s deliberately provocative incursion by Ariel Sharon , the hardline Likud leader , into the precincts of the Arab - administered Muslim holy site of Haram al - Sharif , also revered by Jews as Temple Mount ."", ""Mr Sharon \'s intention was ostentatiously to assert his belief in a united Jerusalem in the teeth of faltering , last - gasp attempts by Ehud Barak \'s government to reach some kind of compromise with Yasser Arafat .""', 'Long after the 50-plus victims of the last spasm of Middle East violence are cold in their graves , arguments will rage over what provoked the bloodshed .\', ""Israelis are reluctant to share the widespread Arab view that the spark which ignited the fire was last week \'s visit to Jerusalem \'s most holy mosque complex , the Haram as - Sharif , by the vitriolically rightwing Likud party leader , Ariel Sharon .""', ""To Israelis , the Haram as - Sharif is the Temple Mount , the very heart of Judaism .'"", 'When Ariel Sharon set out on his infamous stroll up to the Dome of the Rock last week , the Israeli prime minister , Ehud Barak , faced a no - win situation .\', ""He was well aware of the anger that allowing Mr Sharon \'s visit to the sacred site would provoke among Muslims .""]']"
2000-10-12,"['[\'His international patrons accept this in the name of the "" peace process "" , certainly the most hated phrase in the Palestinian lexicon today .\'', ""The death toll stands at 90 Oct 12 Two , possibly three , Israeli reservist soldiers beaten to death in Ramallah .'"", ""Last night Mr Sharon , leader of the opposition Likud party , was still considering the request from the prime minister , Ehud Barak , to join an emergency national unity coalition following the violent collapse of the peace process .'"", ""October 12 : Two Israeli soldiers lynched in Ramallah after being arrested by Palestinian police .'"", ""Misreported and hopelessly flawed from the start , the Oslo peace process has entered its terminal phase - of violent confrontation , disproportionately massive Israeli repression , widespread Palestinian rebellion and great loss of life , the vast majority of it Palestinian .'"", ""How else could the paunchy old war criminal have appeared there with a thousand soldiers guarding him ?'"", ""The invitation to Ariel Sharon to join a new coalition government is a reflection of grimmest reality : Israel is on the brink of war , and in wartime the country always has a government of national unity .'"", ""Israeli and Palestinian negotiators leave for Washington to consider new Clinton proposals']""]"
2000-10-23,"['[""Israeli prime minister Ehud Barak \'s plans for a unity coalition faltered today , as talks with the leader of the hawkish opposition , Ariel Sharon , on the terms for joining his tottering government broke down .""', ""Mr Barak today launched formal talks to broaden his coalition , which at present controls only 30 seats in the 120-member legislature .'"", ""Mr Barak and his negotiators were to meet separately today with Mr Sharon as well as representatives from the ultra - Orthodox Shas party and the dovish Meretz factions , both former coalition members .'"", ""As negotiations get under way for the formation of an emergency government to rescue Mr Barak from a crisis that has unfolded with dizzying speed , Mr Sharon made it plain yesterday that he expects a steep price for his support .'"", 'Further talks are expected , according to an official of the opposition Likud party . ""\'', 'The paper ( Barak presented ) was unacceptable , but we are going to hold another meeting in 30 hours\', ""For days , Israel \'s prime minister , Ehud Barak , complained that Yasser Arafat was no fit partner for peace .""', ""A two - hour conclave failed to agree the terms of his participation in an emergency government , largely because he is demanding a veto on security decisions and a guarantee that Israel will not return to the negotiating table with the Palestinians .'"", ""As the Palestinian uprising nears the end of its fourth week and the death toll rises to 135 , the Israeli press is more concerned with the political battle going on in Jerusalem .'"", 'But deep differences remain : "" Wary of Barak \\\'s future peace moves , the Likud is demanding as much authority as possible to forestall a return to the understandings reached at July \\\'s Camp David summit .\'', 'With no current prospects for a peace deal , Mr Barak is searching for partners to bolster his vulnerable minority government , which is in danger of collapse . ""\'', 'Friends , this is a time of emergency , and in an emergency , brothers walk together , "" he said on Israeli radio .\'', 'Ehud Barak , Israel \\\'s prime minister , would rather save his own skin than pursue the "" peace of the brave "" to which he committed himself after his election last year .\'', ""That is the distasteful conclusion that must be drawn from his decision to invite the hawkish Likud leader , Ariel Sharon , to join a national emergency government .'"", ""Mr Barak appears to have little choice but to seek new parliamentary allies .']""]"
2000-10-24,"['[""Ariel Sharon , the Likud party hawk , meets Israel \'s prime minister , Ehud Barak , today to try to harvest the maximum political gain from setting off his country \'s descent into blood and mayhem .""', ""Israeli prime minister Ehud Barak turned his back on the peace process again today as he pressed ahead with negotiations to form a coalition with opposition leader Ariel Sharon .'"", ""As the Palestinian uprising nears the end of its fourth week and the death toll rises to 135 , the Israeli press is more concerned with the political battle going on in Jerusalem .'"", 'But deep differences remain : "" Wary of Barak \\\'s future peace moves , the Likud is demanding as much authority as possible to forestall a return to the understandings reached at July \\\'s Camp David summit .\'', 'With no current prospects for a peace deal , Mr Barak is searching for partners to bolster his vulnerable minority government , which is in danger of collapse . ""\'', 'Friends , this is a time of emergency , and in an emergency , brothers walk together , "" he said on Israeli radio .\'', 'Ehud Barak , Israel \\\'s prime minister , would rather save his own skin than pursue the "" peace of the brave "" to which he committed himself after his election last year .\'', ""That is the distasteful conclusion that must be drawn from his decision to invite the hawkish Likud leader , Ariel Sharon , to join a national emergency government .'"", ""Mr Barak appears to have little choice but to seek new parliamentary allies .']""]"
2001-02-06,"[""['Sharon says that if he triumphs in the February 6 direct election , as now seems highly likely , he will not honour any agreement Barak reaches with the Palestinians .'"", ""Mr Sharon with 44 % , it also showed the Nobel peace laureate Shimon Peres - who is not a candidate in the February 6 prime ministerial election - two points ahead of Mr Sharon .'"", 'They hope to strike a deal before the Israeli elections on 6 February , which could replace the current Israeli prime minister , Ehud Barak , with hawkish Ariel Sharon . ""\'', 'Unless the polls are proved spectacularly wrong , Ariel Sharon will be elected prime minister of Israel next Tuesday in place of Ehud Barak .\', ""For days , Israel \'s prime minister , Ehud Barak , has shrugged off opinion polls forecasting he will go down in a blaze of defeat against his hardline opponent , Ariel Sharon , in next Tuesday \'s elections ."", ""Ariel Sharon \'s seemingly invincible lead in opinion polls is causing shivers of unease among Arab leaders contemplating the prospect of their greatest villain being crowned Israel \'s prime minister after next Tuesday \'s elections .""', 'When all the data is added up , there is a single , unequivocal conclusion - Barak must be elected tomorrow . ""\'', 'Commentator Yossi Goell voices widespread Israeli disquiet with the system of directly elections for the prime ministership : "" As far as one can tell , one day ahead of tomorrow \\\'s vote , incumbent prime minister Ehud Barak , who was elected primarily because he seemed to be so much more trustworthy than his 1999 opponent Binyamin Netanyahu , will be booted out of office primarily because of significant flaws in his own personality .\'', ""An interactive history of Israel Audio report 6.2.2001 : Suzanne Goldenberg in Jerusalem Photo gallery Election day in pictures'"", 'Voters in Israel are casting ballots today in a prime ministerial election that could shut down the already troubled Middle East peace process .\', ""The hardline rightwing candidate , Ariel Sharon , is widely expected to win today \'s election , a prospect that has caused outrage among Palestinians .""', 'Casting his ballot at a Jerusalem school this morning , a tense - looking Mr Sharon said that a vote for him was a vote for an undivided Jerusalem under Israeli sovereignty .\', ""The Israeli media assume , like the rest of the world , that Ariel Sharon will win today \'s election by a landslide ."", ""Sharon has said - and repeated Tuesday - that he wanted a broad - based coalition that could embrace Barak \'s Labor Party .""', ""An interactive history of Israel Audio report 6.2.2001 : Suzanne Goldenberg in Jerusalem Photo gallery Election day in pictures'"", 'In soft - focus campaign ads , which cast Mr Sharon , 72 , as a kindly grandfather cuddling baby goats on his 1,000-acre farm , the rotund general insisted he wanted peace as badly as Mr Barak , who pursued negotiations to the last days of his prime ministership .\', ""But voters demonstrated yesterday that they are willing to overlook Mr Sharon \'s bloody past at a time when the Palestinian uprising is killing their fellow Israelis on an almost daily basis .""', '"" I voted for Ariel Sharon , and that is a vote for going to war , "" said artist Ariel - Regev Harari , a Barak voter who changed sides when he cast his vote in Jerusalem \\\'s genteel German Colony neighbourhood yesterday .\'', ""This is also the last day for him to pass the budget ; if he does not , the country faces a new general election in 60 days'"", ""The Palestinian leader , Yasser Arafat , is ready to meet Ariel Sharon as Israeli prime minister , the PLO confirmed last night .'"", ""In Ramallah yesterday , Palestinian demonstrators burned effigies of both Mr Barak and Mr Sharon - reflecting a widespread view that there is not much difference between the outgoing prime minister and his replacement .'"", 'Speaking at a victory rally in Jerusalem yesterday , Mr Sharon said Mr Bush had "" told me about the close cooperation they wanted to have with the government I will be heading "" .\'', '"" There \\\'s no doubt we suffered a terrible knockout yesterday , "" said Labour \\\'s parliamentary speaker Avraham Burg , who was the first to announce his candidacy to succeed Mr Barak as party leader .\'', ""Israel yielded to the dark fears unleashed by a Palestinian uprising yesterday , voting by a staggering margin to entrust their future to Mr Sharon , a man famous for making war .'"", 'George Bush , the US president , delivered congratulations to the new Israeli leader last night , saying the US - Israeli relationship was "" rock solid "" .\', ""Only 62 % of Israel \'s 4.5 m eligible voters bothered to go to the polls yesterday , compared to traditional election turnouts of more than 80 % ."", ""Yesterday \'s vote took place amid stone - throwing protests across the West Bank , as Palestinian militia leaders called for an escalation of the uprising against Israel \'s occupation .""', 'An interactive history of Israel Audio report 6.2.2001 : Suzanne Goldenberg in Jerusalem Photo gallery Election day in pictures\', ""After just 21 months in government , Ehud Barak \'s attempts to find lasting peace with the Palestinians and Israel \'s Arab neighbours were rejected at the polls yesterday ."", ""Convinced of his mission to the bitter end , Ehud Barak resigned as leader of his Labour party last night after suffering the most humiliating election defeat in Israel \'s history ."", ""In his concession speech after last night \'s double - digit loss to the hardliner Ariel Sharon , Mr Barak was adamant that his kamikaze course remained the right one for Israel , and for a party that was furious at his leadership .""', '"" I believe one day we will come back because our path is the only path , "" Mr Barak told a small band of loyalists at party headquarters last night .\', ""Mr Barak \'s exit last night marks an astonishing finish to his prime ministership .""', 'Despite his zig - zag approach to the peace process , and to the four - month Palestinian uprising , Mr Barak last night appeared oblivious to his errors .\', ""Even the outgoing Israeli prime minister , Ehud Barak , says that his successor is not obliged to abide by any of the promises and offers made to Palestinian president Yasser Arafat before Tuesday \'s mould - breaking election ."", ""Mr Barak , however , announced his resignation from parliament after his loss to Sharon in Tuesday \'s election by a 25 % margin ."", ""Across Israel as a whole , Mr Sharon took 63.6 % of the Jewish vote in Tuesday \'s elections , with support for Mr Barak , of the Labour party , at 36.3 % ."", ""He was the first Palestinian to be killed in the violence that has erupted since Mr Sharon \'s landslide victory on Tuesday .""', 'Al Ayyam asks whether the Israeli voters realised what they were doing in the February 6 election , but has no doubt about the outcome : "" The Israelis are offering us another round of conflict , which may be the most difficult yet .\'', 'Since winning the prime ministerial election on February 6 , Sharon and his leading lieutenants in the rightwing Likud bloc have been locked in endless , acrimonious coalition discussions with the Labour party .\', ""Mr Sharon crushed Labour \'s Ehud Barak in the February 6 prime ministerial election in an indication of deep public dissatisfaction over what many Israelis viewed as over - generous peace proposals offered by the outgoing leader .""', 'The peace talks with the Palestinians broke off shortly before the February 6 ballot , and Mr Sharon has said negotiations will not resume until the violence comes to an end .\', ""Sharon , who will be Israel \'s 11th prime minister , will get more solid support from the Labour party , whose leader and sitting prime minister , Ehud Barak , he sensationally defeated in the February 6 election .""', ""Ordinary Israelis , who gave Mr Sharon two - thirds of the popular vote in the February 6 election , want him to go on the attack against the field commanders of the Palestinian intifada , and so do the hardliners in his cabinet .'"", ""6 February 2001 Sharon defeats Ehud Barak .'"", 'Israeli Prime Minister Ehud Barak , who had staked his leadership on a failed bid to make peace with the Palestinians , has conceded defeat after exit polls projected an overwhelming win for hawkish challenger Ariel Sharon .\', ""Barak said he had called Sharon to congratulate him , and a Sharon aide , speaking on condition of anonymity , said Sharon had proposed a government that would include Barak \'s Labor Party .""', '"" We lost the battle but we will win the war , "" he told supporters .\'', 'The warning came as Israeli soldiers tried to tighten their grip on the West Bank and Gaza Strip before the "" day of rage "" which leaders of Yasser Arafat \\\'s Fatah movement say marks the start of an intensification of the four - month uprising .\'', 'Ariel Sharon has secured a projected landslide win over Ehud Barak , the prime minister whose peace hopes were dashed by some of the worst Israeli - Palestinian bloodletting in decades .\', ""Exit polls commissioned by Israel \'s two main TV channels both projected a Sharon win by an overwhelming margin of 59.5 percent to 40.5 percent - about the same margin predicted in public opinion polls in the days and weeks before the vote .""', ""Ariel Sharon , who once seemed destined only for exile into disgrace , is now the prime minister of Israel .'"", ""Even the rightwing Jerusalem Post is guarded about the election of a rightwing prime minister .'"", '"" The election is an internal Israeli matter .\', ""The response of the Arab world to Ariel Sharon \'s stunning defeat of Ehud Barak is clouded by the usual plodding incompetence of the few English - language news sites in the region ."", ""In the occupied territories most likely to be affected by the change in Israeli leadership , the Palestine National Authority \'s Palestinian ministry of information round - up of translated headlines from the Arabic press reflects fear and loathing of the new Israeli prime minister .""', 'The warmest welcome came from the US president , George Bush , who immediately offered congratulations and a commitment to keeping US - Israeli relations "" rock solid "" .\'', '"" The president told prime minister - elect Sharon he looked forward to working with him , especially with regard to advancing peace and stability in the region , "" said the statement , released by White House spokesman Ari Fleischer .\'', 'Amid the clatter of gunfire on a Palestinian "" day of rage "" in the West Bank and Gaza Strip , Israelis delivered a crushing defeat to Ehud Barak , and chose a new leader in a battle - scarred warrior with a past so tainted he would only a few months ago have been deemed unelectable .\'', ""Following a decade of peace talks with the Palestinians , Israel has elected Ariel Sharon , reviled for his role as a war - maker with Arabs , as its new prime minister .'"", ""With 99 % of the vote counted , he received just 37.8 % share while Mr Sharon gained 62.5 % .']""]"
2001-02-07,"['[""3.30pm today Interactive guide An interactive history of Israel Video Ariel Sharon \'s victory speech , from the New York Times Audio Suzanne Goldenberg in Jerusalem : \' Barak promised peace and delivered an uprising \' ( 2mins 53 ) Suzanne Goldenberg in Jerusalem : Israelis divided ahead of crucial election ( 2mins 35 )""', ""World leaders today reacted with a mixture of caution and outrage to the election of hawkish Israeli rightwinger Ariel Sharon as prime minister .'"", ""The newly - elected Israeli prime minister , Ariel Sharon , will today begin the difficult task of forming a coalition government in a deeply divided political landscape .'"", 'Today , the state of Israel embarks on a new path , a path of peace and unity , striving for a new peace , peace with security , "" Mr Sharon told an ecstatic crowd of supporters .\'', ""But Palestinian negotiator Saeb Erakat , echoing the views of the Palestinian leadership following a meeting late yesterday , said if Mr Sharon wants to resume the peace process it must be from where it was suspended by Mr Barak .'"", ""Palestinian negotiator Saeb Erakat , echoing the views of the Palestinian leadership following a meeting late yesterday , said if Mr Sharon wants to resume the peace process it must be from where it was suspended by Mr Barak .'"", ""Coming full circle yesterday , fresh after his astonishing capture of 62.5 % of the vote against 37.4 % for the defeated prime minister , Ehud Barak , Mr Sharon was as opposed as ever to compromise with the Palestinians .'"", 'By electing Ariel Sharon , Israel has not "" given up on peace "" ( front page , February 7 ) .\'', 'Ariel Sharon , who once seemed destined only for exile into disgrace , is now the prime minister of Israel .\', ""The response of the Arab world to Ariel Sharon \'s stunning defeat of Ehud Barak is clouded by the usual plodding incompetence of the few English - language news sites in the region .""', ""Following a decade of peace talks with the Palestinians , Israel has elected Ariel Sharon , reviled for his role as a war - maker with Arabs , as its new prime minister .'"", 'There is no real difference between so - called Israeli moderates and extremists , Labour and Likud , Ehud Barak and Ariel Sharon .\', ""Israel \'s newly elected prime minister , Ariel Sharon , has rejected Palestinian demands to resume peace talks where they left off with the outgoing administration of Ehud Barak .""', ""Only hours before the blast , Mr Sharon angered Palestinians by refusing to resume peace talks where they left off with the outgoing administration of Ehud Barak .']""]"
2001-03-06,"['[""Israel \'s prime minister elect , Ariel Sharon , today told the country \'s parliament that he is ready to take power tomorrow after successfully forming a government of national unity .""', '"" We will make every effort to achieve ( peace ) , but the reality around us reminds us that the struggle for the land of Israel is not over , "" Mr Sharon said during a visit to northern Israel today .\'', ""Mr Sharon told the knesset yesterday that he had formed a coalition and was ready to be sworn in today .'"", ""Mr Sharon told the knesset yesterday that he had formed a coalition and was ready to be sworn in today .'"", ""After several weeks of negotiations , Mr Sharon has lined up a broad - based ruling coalition including at least 70 members of the 120-seat parliament , or Knesset .'"", 'If a war was to start on the initiation of the Arabs , in three hours we would have to fight right here in the knesset , "" he said .\', ""Mr Sharon \'s accession to the prime minister \'s post was pending approval in the parliament of his national unity government , but that was generally expected to be a formality .""', ""Mr Sharon already fulfilled his first campaign promise by stitching together a coalition from centre left to far right , with the support of a solid majority among legislators .'"", ""Ariel Sharon , leader of the rightwing Likud faction , has assembled a grand coalition of seven factions in the Knesset ( parliament ) .'"", 'If a war was to start on the initiation of the Arabs , in three hours we would have to fight right here in the knesset , "" he said .\']']"
2001-03-07,"['[\'He needs a majority of 61 votes when he presents his government for formal approval tomorrow .\', ""Rechavam Ze\'evi , who takes his place in Ariel Sharon \'s cabinet today , looked out of his office in the parliament building on to a glorious view of the hills coming alive with spring - and saw Arab armies at the gate ."", ""Ariel Sharon will be sworn in today as Israel \'s prime minister , supported by a broad based coalition government designed to end years of political instability , but threatened with a new wave of suicide bombings from Palestinian militants .""', 'The coalition will allow Israelis "" to stand together , facing what at this moment poses the greatest danger - the deteriorating state of security , "" Mr Sharon told his Likud party this morning .\'', 'Israelis will have a new prime minister this evening - the man they voted for a month and a day ago .\', ""Rechavam Ze\'evi , who takes his place in Ariel Sharon \'s cabinet today , looked out of his office in the parliament building on to a glorious view of the hills coming alive with spring - and saw Arab armies at the gate .""', ""Ariel Sharon , vilified in the Arab world but embraced by his own people as a saviour they hope can contain the Palestinian uprising , took office as prime minister of Israel yesterday .'"", ""His chance of survival was improved yesterday when parliament voted overwhelmingly to abolish the direct election of the prime minister , which was introduced after the assassination of the incumbent Yitzhak Rabin in 1995 and has proved a destabilising factor in Israeli politics .'"", '"" Looking at Sharon \\\'s cabinet , it looks like a multi - headed hydra , a concoction of ministers and deputy ministers , a cacophonous parliament disguised as a cohesive cabinet , "" Hemi Shalev , a columnist for the newspaper Ma\\\'ariv , wrote yesterday .\'', 'The Israeli army dug a trench around Bir Zeit University , the biggest Palestinian educational institution in the West Bank , yesterday , and cut off its telephone and power lines , just before the start of the summer term .\', ""The debate has been sharpened by new threats from the armed wing of the Islamist militant group , Hamas , to launch 10 suicide missions within the borders of the Jewish state to mark Mr Sharon \'s installation as prime minister on Wednesday .""', ""In his message of congratulations to Mr Sharon on Wednesday , Mr Arafat appeared to soften his own conditions for the resumption of negotiations .'"", '"" You ca n\\\'t defend Jerusalem from the hills .\'', 'If a war was to start on the initiation of the Arabs , in three hours we would have to fight right here in the knesset , "" he said .\', ""Mr Sharon \'s accession to the prime minister \'s post was pending approval in the parliament of his national unity government , but that was generally expected to be a formality .""', ""Mr Sharon already fulfilled his first campaign promise by stitching together a coalition from centre left to far right , with the support of a solid majority among legislators .'"", 'Ariel Sharon , leader of the rightwing Likud faction , has assembled a grand coalition of seven factions in the Knesset ( parliament ) .\', ""The protracted and bad tempered negotiations have produced the biggest government in Israel \'s history , with 26 ministers and at least 15 deputies .""', '"" You ca n\\\'t defend Jerusalem from the hills .\'', 'If a war was to start on the initiation of the Arabs , in three hours we would have to fight right here in the knesset , "" he said .\'', ""Alongside the popular hope pinned on his national - unity government of seven parties , an atmosphere of dread was also apparent : if this coalition and this leader prove unable to bring peace to the country , Israelis wonder what options will be left .'"", ""Mr Sharon presides over the largest government in Israeli history , embracing a third of the 120 MPs .']""]"
2001-03-12,"['[""The Israeli army , meanwhile , denied reports that it tried to assassinate Marwan Barghouti , the head of Mr Arafat \'s Fatah movement in the West Bank , during a clash with Israeli troops in Ramallah yesterday .""', 'Sharon assembled his new troops for the first time yesterday .\', ""Palestinians advanced behind a bulldozer yesterday in an attempt to cross the trenches dug on Ariel Sharon \'s orders around their premier academic institution , the Bir Zeit University outside Ramallah .""', 'It prompted Arab foreign ministers meeting in Cairo yesterday to urge the UN security council to call an emergency session to discuss Israel \\\'s "" escalating aggression "" against the Palestinians .\', ""As Monday \'s demonstration at Bir Zeit university shows , middle class and educated Palestinians who stayed away from the stone - throwing protests at the start of the intifada are beginning to mobilise against Israel \'s siege .""', ""Washington warned Israel on Monday that if the economic pressure brought about a collapse of the Palestinian Authority , then it would harm prospects for peace .'"", 'In his visit to the Gaza Strip on Monday , Mr Patten also issued a warning to Yasser Arafat , saying the EU did not want to continue its financial bail - out unless the Palestinian leader ended corruption and imposed some order on the Palestinian Authority .\', ""Following international criticism , Israel \'s army has eased its chokehold on the town of Ramallah , the Palestinians \' political and commercial centre , and loosened its blockade of four other West Bank towns .""', ""In Ramallah , soldiers opened the southern and northern access roads , but traffic was backed up for miles as troops searched each car .'"", ""Israeli prime minister Ariel Sharon has said the tight closure on Ramallah was imposed because Israeli security forces were trying to catch would be car bombers in the area .'"", 'One man was killed and 40 injured when the Israeli forces fired teargas and sporadic live rounds as they marched on the two deep trenches sealing off Ramallah from the university and villages where 65,000 people live .\', ""The protesters flung handfuls of earth into the trenches in a vain attempt to lift the siege of the West Bank city , imposed as one of Mr Sharon \'s first acts as prime minister .""]']"
2001-03-18,"[""['The debate looks set to intensify after today , when Sharon heads to Washington to reveal at last to President George W. Bush his strategy for snuffing out the intifada .'"", ""Ariel Sharon left Israel yesterday on the ritual pilgrimage to Washington , hoping it will put the stamp of credibility on his new government and rub out the taint of his notorious past .'"", ""Yesterday Palestinian officials accused Israeli soldiers of tightening the siege by installing an electric gate on a road north from Jericho to Nablus , sealing both towns off from their agricultural hinterland .'"", 'Nevertheless , he confirmed yesterday that he had ordered renewed talks between his security chiefs and their Palestinain counterparts .\', ""A few days after Israel \'s ageing warrior Ariel Sharon ignited a Palestinian uprising with his now notorious jaunt to a disputed sacred site , a petition began making the rounds of the West Bank .""', ""What do we call this intifada , it asked .'"", ""Are we fighting for the al - Aqsa mosque in Jerusalem or do we want a revolution ?'"", ""He hopes to use the traditional US distrust of Yasser Arafat to persuade President George Bush that the Palestinian authority has lost its legitimacy .'"", 'Leaving Tel Aviv airport , he spoke of the "" common interests "" of Israel and the US , "" including the drive towards regional stability and preventing terrorism and violence "" .\']']"
