2005-02-14,"[""['The assassination , on February 14 , of former Lebanese prime minister Rafik Hariri focused attention on the 15,000 Syrian troops stationed in Lebanon .'"", ""International attention has focused on the Syrian troops in Lebanon following the assassination of former Lebanese prime minister Rafik Hariri on February 14 .'"", 'Waving red and white Lebanese flags and with music blaring from loudspeakers , they marched to the spot where the former prime min ister , Rafik Hariri , was assassinated on February 14 , an atrocity that has been widely blamed on Syria .\', ""He has faced intense US - led pressure to end Syria \'s 29-year - old occupation of Lebanon since the assassination of the former Lebanese prime minister Rafik al - Hariri , on February 14 .""', 'Demands for Syria to comply increased dramatically after the assassination of the Lebanese prime minister Rafik Hariri on February 14 - an act widely blamed on Syria or its Lebanese allies .\', ""A Sunni Muslim in a regime dominated by Syria \'s minority Alawite sect , he was a close friend and business associate of Mr Hariri - a fellow Sunni - whose assassination in Beirut on February 14 has been widely blamed on Syria .""', 'Nasra Hassan confirmed the commission wanted to speak to the pair in connection with the assassination of former Lebanese prime minister Rafik Hariri in a February 14 truck bombing . ""\'', 'Syria has been widely blamed for Hariri \\\'s assassination on February 14 last year and the chief UN investigator , Detlev Mehlis , said recently he believed Syrian "" authorities "" were behind it .\', ""The French president Nicolas Sarkozy \'s recent visit to Syria received much international attention because it was the first time a western leader had visited Damascus since the assassination of Rafiq al - Hariri on February 14 2005 .""]']"
2005-03-06,"['[\'Cabinet minister Buthaina Shaaban told Reuters yesterday the troops would withdraw to the Syrian side of the border "" as soon as possible logistically "" and that today \\\'s meeting between the two countries \\\' leaders would agree on the details , including the timing .\'', 'Yesterday \\\'s issue of al - Baath , the mouthpiece of the regime , carried a large headline saying : "" Our mission has succeeded and our role is not based on our forces \\\' presence in Lebanon . ""\'', 'The US yesterday said a two - stage withdrawal plan of Syria \\\'s troops was "" not enough "" and it wants all troops , including Syrian intelligence services , to leave Lebanon immediately .\'', ""Syrian troops in the region have remained static in previous days .'"", ""On Sunday night one person was injured when pro - Syrian gunmen opened fire in Beirut for the second night running .'"", ""Fouad Mardoud Teshreen , Syria , March 6'"", 'In an unscheduled speech to parliament in Damascus , Assad said troops would withdraw first to the eastern Bekaa area of the country and then to the Syria - Lebanon border .\', ""Later , Syria \'s ambassador to Britain made clear that the pledge meant an eventual full withdrawal to within Syria ."", ""Bashar al - Assad , Syria \'s president , has good reason to worry about the UN investigation into the Valentine \'s Day killing of Rafik Hariri , the former Lebanese prime minister - the event which sparked off what some are excitedly calling the Cedar revolution .""', ""But many Lebanese remain utterly convinced that Syria , its proxies or agents were responsible for the murder .'"", ""The troops will move after a meeting in Damascus between the Syrian and Lebanese presidents , the Lebanese defence minister Abdul - Rahim Murad said , adding that the moves would be completed in two to three days .'"", 'Following a meeting in Damascus , the Lebanese president , Emile Lahoud , and the Syrian president , Bashar al - Assad , said a decision on how long Syrian forces would remain in Lebanon would be made one month after the initial redeployment .\', ""During that month , military officials from both countries would decide on the duration and size of the Syrian military deployment remaining in the Bekaa , with a final view to an agreement on completing the withdrawal of Syria \'s 14,000 troops .""]']"
2005-06-06,"['[""More than 1,000 members of the Syrian Ba\'ath party are gathering in Damascus today for what the Syrian president , Bashar al - Assad , has promised will be a great leap forward on the road to reform ."", ""The most senior member of Syria \'s old guard , its 73-year - old vice - president , Abdel - Halim Khaddam , is to step down to make way for new blood , an official of the ruling Ba\'ath party said yesterday .""', ""Although officially described as an opportunity for free speech and self - criticism , the opening session of the conference on Monday appeared carefully orchestrated .'"", ""President Bashar al - Assad hinted in his opening speech [ on Monday ] that much is to come .'"", 'In the words of one government minister , it will be an occasion for "" unfettered frankness and freedom "" and "" constructive self - criticism "" .\', ""After decades of authoritarian rule , the meeting is unprecedented - but persuading loyal Ba\'athists to loosen up , chill out and say what they think , rather than what they think the party wants to hear , will be a formidable task in itself .""', 'Reports of Mr Khaddam \\\'s retirement came as members of the party gathered in Damascus for a conference that President Bashar al - Assad has heralded as a "" great leap "" towards reform . ""\'', 'The man would like to open the way for the younger generation , "" Ahmed Haj Ali , a Ba\\\'ath party official and former information ministry adviser , told the Associated Press .\']']"
2005-06-08,"['[\'The congress [ which concludes today ] ... is an occasion for building for the future , not abolishing the past . ""\'', 'Christian Science Monitor Editorial , US , June 8 ""\'', 'Several non - binding measures debated at the conference , which ended last night , may lead to what Ms Allaf called "" calculated reform "" .\'', ""Fouad Mardoud Tishreen , Syria , June'"", '"" The 10th regional congress of the Baath Arab Socialist party has built up huge hopes and expectations that Syria ushers in a new era of political and economic reforms .\'', ""By most conventional political measures , President Bashar al - Assad should be on the canvas and out for the count .']""]"
2007-05-23,"['[""As the situation in Lebanon \'s Nahr al - Bared refugee camp continued to fester today .""', ""Hersh , speaking on CNN today was quite clear .'"", ""In sections of the Syrian press today yet another ( and perhaps far fetched ) claim emerged : that elements connected to the Siniora government were responsible for the car bombs .'"", ""Officials in Damascus yesterday rejected charges that Syria was fomenting violence in Lebanon to derail the international tribunal being set up by the UN to try suspects in the 2005 murder of the former prime minister Rafiq al - Hariri .'"", 'By nature and ideology the Syrian government would never have anything to do with that kind of al - Qaida thinking , "" a senior Syrian official said last night .\'', 'After some of the worst internal clashes seen in Lebanon since the end of the civil war in 1990 , the global press continues to speculate about who is backing whom , whether al - Qaida has arrived in Lebanon and whether a new civil war is brewing .\', ""Much of the western media - print and broadcast - as well as the pro - government press in Lebanon , is laying blame for the instability at the door of neighbouring Syria , claiming that Bashar al - Assad \'s regime is responsible for inciting the Fatah al - Islam militant group to wage all - out war on the Lebanese army .""', ""Syria has emphatically denied accusations that it is backing the fundamentalist Palestinian splinter group fighting the Lebanese army in Tripoli , blaming Beirut for being too weak to handle the crisis .']""]"
2008-09-03,"['[\'Sarkozy is meeting President Bashar al - Assad today in the first official visit by a western leader to Syria for more than three years .\', ""They will be joined today for a summit with Recep Tayipp Erdogan , Turkey \'s prime minister , who has been brokering indirect negotiations between the two enemies .""', '"" There was supposed to be a fifth round , meant to be crucial , I think , yesterday .\'', ""Sarkozy , the president of the EU and the first western leader to visit Syria in three years , yesterday encouraged direct talks between Syria and Israel .'"", ""The French president , Nicolas Sarkozy , and US secretary of state , Condoleezza Rice , are visiting former pariah Arab states this week , signifying a thawing of relations that the west hopes will yield significant results .'"", 'Sarkozy , current president of the EU , is the first western head of government to visit Damascus since the 2005 assassination in Beirut of the former Lebanese prime minster Rafiq al - Hariri , which has been widely blamed on Syrian agents - though this is hotly denied by Syria .\', ""Bashar al - Assad , the Syrian president , said Turkish mediators had been given an outline of Syria \'s general principles for peace and it was waiting for a similar document from Israel before holding any face - to - face negotiations .""', '"" We are now discussing a document of principles , which talks about general principles of the peace process which will be the basis for direct negotiations , "" Assad said at the opening of a summit in Damascus with the leaders of France , Turkey and Qatar to discuss peace efforts in the Middle East .\']']"
2011-03-18,"['[""Yemen \'s dictator , Ali Abdullah Saleh , is probably on his way out , after senior generals , ambassadors and some tribes deserted him in the wake of the massacre that took place on Friday .""', ""On Friday , the security forces shot dead four people in Deraa , and on Sunday they fired teargas and live ammunition ; one demonstrator was killed and scores were injured .'"", 'Unrest broke out in several cities across the country on Friday but has since concentrated in Deraa and the suroundingsed in Deraa and the surrounding countryside , which suffers from high levels of poverty .\', ""With protests called for after Friday prayers , Buthaina Shaaban , adviser to President Bashar al - Assad , announced that the government would consider ending Syria \'s emergency law and revise legislation for political parties and the media .""', ""What happens after Friday prayers will be key .'"", ""Thousands of families , in a country where extended families are close , have been personally touched by the violence : several officials in the southern town of Deraa , where protests first broke out on 18 March , have defected , including Moammar Shuhadat , the director of endowments .'"", 'Human rights groups say the total death toll since 18 March has risen to more than 450 .\', ""People from the southern city say hundreds of people are unaccounted for since a crackdown on protests began on 18 March and intensified when the army moved in on 25 April to try to quash unrest against Bashar al - Assad \'s 11-year rule .""', ""On 18 March , when more than 300,000 nonviolent protesters took to the streets in the country of my birth , a dam broke inside me .'"", ""Days after the protests erupted in the southern city of Deraa on 18 March , Assad sacked its regional governor .']""]"
2011-03-23,"['[""Rights activists described Wednesday \'s shootings in the southern city of Daraa as a massacre , claiming that more than 100 people may have been killed when troops fired on a mosque in the early hours and throughout the day ."", ""Deraa \'s hospital reported receiving 37 bodies from Wednesday \'s violence .""', ""The regime is trying repression and on Wednesday , at least 37 people were killed .'"", ""Adnan Mohamed , 40s , emerging leader in the besieged southern city of Deraa An engineer whose brother , a doctor and father of six , was killed in the Omari mosque shooting on 23 March in Deraa .'"", ""Because you have to be very closely linked to the beliefs of the people .'"", ""Several hundred demonstrators reportedly took to the streets in the governorate of Deraa in the fifth consecutive day of clashes .'"", 'Syria \\\'s government pledged to consider protesters \\\' "" legitimate demands "" after thousands took to the streets for the funerals of nine people killed by the military .\']']"
2011-03-24,"[""['Speaking in Tel Aviv on Thursday , Robert Gates , the US defence secretary , urged an Egyptian - style army mutiny .'"", 'Syria \\\'s government pledged to consider protesters \\\' "" legitimate demands "" after thousands took to the streets for the funerals of nine people killed by the military .\'', ""Albert Camus , were he alive , would have understood the upheavals sweeping the Arab world .'"", ""In La Peste ( The Plague ) , the French - Algerian author and philosopher explored through allegory the deep - seated malaise that he believed shaped and determined the human condition .'"", ""At its core , society – and the body politic – was rotten and absurd .'"", ""To the surprise of many , not least Bashar al - Assad , protests mount in Syria .'"", ""New York Times :'"", ""The government of President Bashar al - Assad , unaccustomed to concessions , rapidly announced a series of reforms , including a salary increase for public workers , greater freedom for the news media and political parties , and a reconsideration of the emergency rule that has clamped down the nation for 48 years .']""]"
2011-03-29,"[""['Large pro - government demonstrations were held in the capital Damascus on Tuesday , a week after running street battles between demonstrators and security forces who opened fire on them in the southern city of Deraa and the northern port of Latakia .'"", 'Instead , after nearly two weeks of protests and violence in Syrian cities , he appeared yesterday before parliament to deliver an address which consisted almost entirely of generalities , offered no new measures and made no specific promises .\', ""Bashar al - Assad \'s address to the nation is easily the biggest moment of his young political life .""', ""President Bashar al - Assad was expected to this week make his first public statement since rolling demonstrations began in mid - March .'"", 'He has pledged changes in government that would "" make the people happy "" , but was struggling to contain deep distrust in the country \\\'s towns and cities , where large numbers of people are now in open defiance of laws banning dissent .\'', ""President Bashar al - Assad was expected to this week make his first public statement since rolling demonstrations began in mid - March .'"", 'He has pledged changes in government that would "" make the people happy "" , but was struggling to contain deep distrust in the country \\\'s towns and cities , where large numbers of people are now in open defiance of laws banning dissent .\'', ""He has certainly succeeded in disappointing the expectations raised by predictions , some of them apparently leaked by his own government , that he would make a historic speech this week charting a new path of reform for his country .'"", 'Syrians reacted with anger and disappointment after their president , Bashar al - Assad , failed to deliver any decisive reforms in his first public appearance since the street uprising that has threatened his regime .\', ""However , demonstrators had demanded much more and are unlikely to be appeased by Assad \'s main message that foreign conspirators were largely responsible for the unprecedented scenes across the country during the past fortnight .""]']"
