1999-08-11,"[""['Jo Tate was killed on Wednesday when his plane crashed while trying to land at night at an airport where the lights had been turned off .']""]"
1999-08-12,"['[\'Yesterday his government said several units were on their way to Lofa to confront several thousand rebels .\', ""It was not immediately clear who was responsible for the cross - border raid on Liberia \'s remote Lofa county .""]']"
1999-08-18,"[""['Aid agencies in Liberia pondering who to negotiate with to win the release of six of their workers , including the four Britons abducted by guerrillas on Wednesday , will find no shortage of candidates .']""]"
1999-11-02,"['[\'The article , which appeared on the foreign pages on November 2 1999 , also mentioned "" reports and rumours of Mr Taylor \\\'s alleged cannibalism , including drinking the blood of his murdered rivals "" .\']']"
1999-12-26,"[""['On December 26 the Sunday Telegraph also ran a piece about the book .']""]"
2000-01-30,"[""['It seems that because there was no specific mention of Taylor in the Sunday Telegraph account , their reviewer has been spared a writ .'"", 'When Charles Taylor , the president of Liberia , saw an article in the Times repeating allegations made in a book accusing him of "" indulging in human sacrifice and the ritualistic consumption of human body parts "" - otherwise known as cannibalism - he took legal advice .\']']"
2000-05-05,"[""['The United Nations is again facing a crisis of credibility in Africa as at least 300 of its troops remained missing , taken hostage , or encircled by rebels in Sierra Leone yesterday , and new fighting broke out in Democratic Republic of Congo just as the UN plans to deploy there .'"", ""A spokesman for Mr Sankoh said they were not aware of any hostages being held , apart from the five civilians released yesterday .'"", ""Six civilian UN employees , including a four - man Russian helicopter crew , were released during the day from eastern Sierra Leone after intervention by President Charles Taylor of Liberia , but tension remained high in several towns where UN troops are based .']""]"
2000-05-14,"['[""More than 130 of 500 UN peacekeepers held captive by Sierra Leone \'s rebel movement have been released into Liberian custody , Liberia \'s president Charles Taylor said last night ."", ""A UN spokesman in Sierra Leone \'s capital said he was unaware of the reported releases and officials at the UN headquarters in New York were also unable to immediately confirm the report .""]']"
2000-05-15,"['[""Meanwhile , the government is expected to make a statement clarifying the precise rules of engagement for Britain \'s forces in Sierra Leone today , after criticism that it has not been clear about its intentions .""]']"
2000-05-17,"[""['Brig Richards disowned a report on the BBC Today programme that claimed he had said UN forces are to go on the offensive against rebels .'"", ""There is growing political pressure on British commanders in Sierra Leone to rein in the military assault against the Revolutionary United Front because of new threats against almost 500 UN peacekeepers held hostage by the rebels or semi - hostage by the president of neighbouring Liberia .'"", 'Concern over the fate of the abductees has heightened following reports that some of the 124 UN personnel released by the rebels into Liberia at the weekend were badly tortured and in "" a terrible state "" .\']']"
2000-06-01,"[""['On June 1 , RUF leaders with a consignment of diamonds travelled to the Liberian capital , Monrovia , where President Taylor assured them of both his full support and supplies of arms , trucks , food and medicine for use in operations against the Sierra Leone army and UN forces .']""]"
2000-06-05,"[""['Mr Taylor and Mr Bockarie visited Burkina Faso on June 5 and June 23 , when Mr Compaore supplied arms to the RUF in return for diamonds , the sources say .']""]"
