 ,[' ']
2006-12-25,"[""['Kirk Franklin Mary Mary Noel Robinson NU Life BEST DJ Semtex Shortee Blitz Steve Sutherland Trevor Nelson Tim Westwood']""]"
2008-01-30,"[""['The victory took Preston to within a point of Sheffield Wednesday and safety but was marred by the dismissals of Mawene and Brown for second yellows .']""]"
2008-06-22,"[""['Brown is also confirmed to appear at the 22 June hearing , setting the stage for a tense confrontation between the couple .']""]"
2008-09-11,"['[\'The incident took place on 11 September 2008 , in the golden days before the term "" altercation "" had been monopolised by Rihanna and Chris Brown .\']']"
2008-12-08,"['[""Shock Value II will be released 8 December , the same day as Brown \'s own comeback album , Graffiti .""]']"
2009-01-04,"[""['Chris Brown O2 Arena , London , Sunday ; NIA , Birmingham , Wednesday 14th'"", ""Chris Brown O2 Arena , SE10 , Sunday 11th'"", ""Chris Brown O2 Arena , London , Sunday 11th']""]"
2009-01-06,"[""['The Glee Club , Birmingham , Tuesday 13th'"", ""Oh , hang onâ€ ¦ Buzzcocks Lemon Grove , Exeter , Tuesday 13th ; O2 Academy , Bristol , Wednesday 14th']""]"
2009-01-07,"[""['Buzzcocks O2 Academy , Bristol , Wednesday 14th'"", ""Goldie Lookin Chain Metro Club W1 , Wednesday 14th Welsh rappers , with near - the - knuckle jokes .'"", ""Goldie Lookin Chain Metro Club , London , Wednesday 14th Welsh rappers , with near - the - knuckle jokes .'"", ""Richard Thompson Anvil , Basingstoke , Wednesday 14th ; Barbican Hall , London , Thursday 15th ; Corn Exchange , Cambridge , Friday 16th']""]"
2009-01-08,"[""['And Naomi The Luminaire , London , Thursday 15th'"", ""Richard Thompson Barbican Hall , London , Thursday 15th ; Corn Exchange , Cambridge , Friday 16th'"", ""The Luminaire , NW6 , Thursday 15th'"", ""Richard Thompson Barbican Hall , EC2 , Thursday 15th'"", ""The Luminaire , London , Thursday 15th']""]"
2009-01-10,"[""['Tonight : a humorous dig through 1,000 years of song .'"", ""Jonquil The Windmill , SW2 , Saturday 10th'"", ""Tonight : a look through songs from the past 1,000 years .'"", ""The R&B superstar - turned - actor brings more super - cute tunes and an unsurprisingly cheeky grin .'"", ""All he needs now is to date Rihanna .'"", ""From Oxford , the home of such things , comes some pretty reasonable quality shoegazey pop at this south London gem of a venue .'"", ""The ghost of Ride lurks nearby .'"", ""The R&B superstar , turned actor brings more super - cute tunes and an unsurprisingly cheeky grin .'"", ""All he needs now is to date Rihanna .']""]"
2009-01-13,"['[\'He has the gym - chiselled body , honey - drenched voice and eye for a financial opportunity ( acolytes were offered the chance to pay Â£100 to attend a pre - show party tonight , in addition to the Â£40 they had already coughed up for the gig ) .\', ""( Sparks is n\'t with us tonight , but her recorded voice is ) .""', 'The "" Prince of R&B "" - as 19-year - old Chris Brown is being ambitiously styled - is n\\\'t all that dissimilar from fellow princes Ne - Yo and Akon .\'', ""But what sets the Virginia - born Brown apart is a boy - next - door mildness that ensured his tweeny fans would leave the show uncorrupted , if lighter of purse .']""]"
2009-02-05,"[""['The star was due to play the Indonesian capital on Thursday night .']""]"
2009-02-08,"['[\'The Los Angeles Times goes on to report that Brown and the unidentified woman were involved in an argument on Sunday evening in Hancock Park , Los Angeles , which escalated to the extent that the police were called .\', ""Police sources have told the LA Times that pop singer Rihanna was the victim of her boyfriend Chris Brown \'s alleged assault on Sunday night .""', ""The charges stem from an incident that occurred on Sunday morning , when police were called to a vehicle parked in the Los Angeles Hancock Park neighbourhood .'"", ""Police were called to the LA suburb of Hancock Park in the early hours of Sunday , after a witness reported hearing a woman screaming on the street .'"", ""Rihanna , real name Robyn Fenty , is widely believed to be the woman at the centre of a police investigation into an assault that took place in Hancock Park , LA , on 8 February .'"", ""Los Angeles police arrested Brown on 8 February and booked him on suspicion of making criminal threats .'"", ""On 8 February , police were called to a Los Angeles neighbourhood where the couple had been arguing .'"", ""Though Rihanna chose not to press charges against Brown for the incident on 8 February , Los Angeles prosecutors went forward last week with two felony charges â€ “ assault likely to cause great bodily injury and making criminal threats .'"", ""The antipathy towards Brown relates to his being charged after an incident on 8 February in which he is alleged to have attacked his girlfriend , the singer Rihanna .'"", ""Brown , 19 , and Rihanna , 21 , were involved in an alleged violent altercation in the early morning of 8 February .'"", ""An intense media spotlight has been on Brown since 8 February , when the 19-year - old is alleged to have beaten his girlfriend , R&B star Rihanna .'"", ""Police were called to the scene of a domestic quarrel in the early hours of 8 February , where Rihanna â€ “ then in a relationship with Brown â€ “ was found with injuries to her face .'"", ""According to the police report about the events of 8 February 2009 , the couple argued after Rihanna discovered Brown had received a text from an ex - girlfriend .'"", ""Singer Chris Brown has handed himself in to Los Angeles police over an alleged assault on an unidentified woman believed to be his girlfriend , the pop star Rihanna .'"", 'Police have not named the woman involved in the incident , reported to have suffered "" visible injuries "" , but the Los Angeles Times reports witnesses claiming that the woman was Rihanna .\']']"
2009-02-09,"['[""The singer \'s boyfriend Chris Brown handed himself into police the following day and was released on $ 50,000 ( roughly £ 35,000 ) bail .""', ""Singer Chris Brown has handed himself in to Los Angeles police over an alleged assault on an unidentified woman believed to be his girlfriend , the pop star Rihanna .'"", 'Both singers cancelled their appearance at the Grammy awards , after Brown had voluntarily reported to Los Angeles police .\', ""According to the LA Times , the pop star \'s real name â€ “ Robyn Fenty â€ “ is listed on the police report .""]']"
2009-02-13,"['[""The taping took place on 13 February , before many details of Brown \'s alleged assault of his girlfriend , Rihanna , had been released .""', ""Thus spoke R&B singer Chris Brown when he appeared on The Tyra Banks Show in 2007 , discussing the abuse his family allegedly suffered at the hands of his stepfather .']""]"
2009-02-15,"['[\'Chris Brown is "" sorry and saddened "" over his alleged assault of the singer Rihanna , he said yesterday .\', ""Brown \'s comments confirmed none of the allegations and remained vague over what took place in the early hours of Sunday 8 February .""', ""His written statement arrived one week after the apparent altercation and was the first official release from either party .']""]"
2009-02-17,"['[""Three days ago , she was performing in front of more than 20,000 Chris Brown fans at the O2 Arena ; tonight , she \'s singing in a London pub , both floors of which could comfortably fit on to the O2 stage .""]']"
2009-02-19,"['[\'The picture , said to be evidence in the investigation into the assault , appeared on the American gossip site TMZ yesterday and the Los Angeles Police Department responded last night . ""\'', ""A photograph appearing to show R&B singer Rihanna with a bruised and bloodied face has been leaked online .'"", ""The picture of the 21-year - old is reported to have been taken after she suffered an alleged assault at the hands of her boyfriend , the R&B singer Chris Brown , earlier this month .'"", 'Yet as she and her acoustic guitarist and bass player wriggle through the crowd and set up in the space in front of the pub \\\'s DJ booth , 23-year - old Zarif Davidson confesses that she \\\'s got a bad case of nerves . ""\'', 'The main difference is that in the big venues you ca n\\\'t see people \\\'s faces , "" she says , analysing the two contrasting gigs a few days later .\']']"
