1999-06-01,"['[\'"" You got the message this morning ?\'', ""Two years ago , David Bowie struck a deal on Wall Street that brought him $ 55 m overnight and a credibility among bankers he was never likely to achieve with Ziggy Stardust .'"", 'The "" Bowie bonds "" were a radical innovation : shares sold in Bowie \\\'s own talent , namely the projected royalties of his first 25 albums over the next 15 years .\'', ""He had , in effect , floated himself on the stock exchange and , with this , gained greater control of his royalties .']""]"
1999-10-09,"['[""Secretary - General Kofi Annan said last night at the concert in Geneva : \' In three days \' time there will officially be six billion human beings - and nearly half of them will have to survive on $ 2 a day or less . \'""', ""Evidently , we are so bereft of young A - list talent that this lot , average age 44 , were recruited to lend weight to NetAid , the sprawling event that took place in London , New York and Geneva on Saturday .'"", ""Up to a billion people across the world - one - sixth of humanity - logged on to three overlapping concerts in London , New York and Geneva , broadcast live on the Internet .']""]"
1999-12-25,"[""['\\x95 BOBBY BAKER Art Les Grandes Baigneuses Paul Cézanne Book Ballet Shoes for Anna Noel Streatfield Film Whistle'"", ""\\x95 DANI BEHR Book The Alchemist Paulo Coelho Film Cinema Paradiso Giuseppe Tornatore Music Compilation tape of Barry White , Stephanie Mills , Billie Holiday and some salsa and bossa nova Play Medea Euripides'"", ""\\x95 TRACEY EMIN Art'"", ""The Arnolfini Wedding Jan Van Eyck Book']""]"
2000-02-13,"[""['Rock star David Bowie announced yesterday that he is to become a father again at the age of 53 .'"", ""Bowie and his wife , the model'"", ""Iman , 44 , were married in 1992 .']""]"
2000-03-04,"[""['( Spice split causes a stir , March 4 ) .'"", 'Alan T Smith Clacton - on - Sea , Essex alan001@btclick.com \\x95 Cliff Steer ( Letters , March 4 ) does not possess a computer because , at 83 , he finds them "" too fiddley "" .\'', '( Books , March 4 ) .\', ""As a PhD student I was not given access to the papers of Queen Mary \'s needlework guild , a first world war charity ( Open up , Ma\'am , March 4 ) .""]']"
2000-05-03,"[""['Well , not as plain as David Jones or David Smith , according to lists published yesterday by the office for national statistics .'"", ""Plain John Smith is not as plain a name as most people thought .'"", ""At the top of the top 100 most common male names in England and Wales sits David Jones , a moniker shared by 14,341 other David Joneses , including the former Monkee and David Bowie , who changed his name from Jones .']""]"
2000-05-18,"[""['Luke Vibert and BJ Cole play the Medicine Bar , Birmingham ( 0121 - 693 6001 ) , tonight , then tour .'"", ""But rarely have the worlds of traditional and modern collided so spectacularly as the day Luke Vibert met BJ Cole .'"", ""Vibert is a man of many guises .']""]"
2000-08-15,"[""['Rock star David Bowie embraced his role as a new father with enthusiasm yesterday providing hands - on assistance at the birth of his daughter Alexandria Zahra Jones .'"", ""He cut the umbilical cord minutes after his wife Iman gave birth , publicist Mitch Schneider confirmed .'"", ""He said the child had been born in the US but declined to say where .']""]"
2002-01-29,"[""['29 January - 9 February .'"", ""Lindsay Kemp is not a household name ( except in the most depraved of households ) , but it is the name dropped by any young artiste wishing to invoke a bit of good old - fashioned decadence .'"", ""Kemp influenced David Bowie , and thus influenced every pop musician with the possible exception of Paul Weller .'"", ""Into the serious world of 1960s and 1970s British theatre , he injected a huge dose of camp , with productions drenched in blood and glitter , full of pansexual orgies and naked young men .']""]"
2002-05-30,"['[""Why do n\'t such behemoths inhabit today \'s swamps and village ponds ?"", ""The oxygen content of the atmosphere a few hun dred million years ago was around 35 % , compared with today \'s 21 % ."", ""Ziggy Stardust , one of David Bowie \'s guises , had a band called the Spiders from Mars ."", ""Bowie may have had an inkling of the future , since insect occupation looks more likely than human colonisation , despite Nasa \'s announcement this week of what could be evidence of a frozen ocean .""', ""Space researchers are now planning to explore Mars using not spiders , but their common prey , flies .'"", ""David'"", ""Bowie Heathen ( Iso )'"", ""*']""]"
2002-05-31,"[""['Dreadful albums such as Tonight foolishly indulged in slick , shallow pop .'"", ""David'"", ""Bowie Heathen ( Iso )'"", ""*']""]"
2002-06-04,"[""['Till Tuesday .'"", ""For the first time in two decades , a new David Bowie album is generating a buzz of excitement .'"", 'The Guardian described his new album Heathen as being "" packed with fantastic songs "" .\'', 'Music Week cited "" a stunning return to form "" , while in the US , Rolling Stone declared that Bowie is "" back to playing Bowie , with class "" .\']']"
2002-06-08,"['[""\' We \'ve got a request from one of the audience tonight ', ' announces David Bowie .""', ""It was the song that set David Bowie on the road to stardom .'"", ""DAVID BOWIE Heathen ( Columbia 508222 - 2 )']""]"
2002-06-09,"['[""I \'m bloody tired the next day"", ""I know some musicians who are used to getting up at noon or 1 pm and when they \'ve had children it \'s totally upset their apple cart"", ""And evidently , that \'s more easily done in New York , where he can take Lexie to the park in her buggy without any minders - and without any fear of appearing in tomorrow \'s red - tops . \'""', ""· Heathen is released tomorrow .'"", 'It was the song that set David Bowie on the road to stardom .\', ""When \' Space Oddity \' was released in 1969 , it proved to be the first hit of a career that is still thriving 33 years later ."", ""But now Bowie is facing a lawsuit from the record \'s producer , who claims he is still owed millions in royalty payments spanning a 30-year period .""', 'DAVID BOWIE Heathen ( Columbia 508222 - 2 )\', ""For the majority of the Nineties , David Bowie seemed to try his hand at virtually every musical genre - mainstream dance , industrial rock and even drum\'n\'bass .""', ""The experiments - and they sounded like little else - while artistically challenging , seemed to indicate a man in freefall , bored by the burden of his past and perhaps fearful of the future .']""]"
2004-03-31,"[""['Cowes crossing , camping pitch and weekend event entry costs £ 98 if booked before 31 March .'"", 'It will donate £ 15,000 a year to chosen individuals who send a summary of the project to STA ( 0870 160 6070 ) by 31 March .\', ""A1 Who sang backing vocals on David Bowie \'s Sound and Vision ?""', ""a ) Petula Clark b )'"", ""Mary Hopkin c )']""]"
2004-07-07,"[""['Their entrance tonight is heralded by both a town crier and a harp solo .'"", 'Julian Barnes is anxious to correct a quote attributed to him in our obituary of Robert Burchfield , page 25 , July 7 , suggesting that he had said , "" ... if you \\\'ve already got a \\\' this \\\' doing business in the vicinity , use \\\' which \\\' instead "" .\'', ""451 9589 between 11 am and 5 pm Monday to Friday ( all calls are charged at local rate ) .'"", ""While trekking around the US recently , David Bowie and the Polyphonic Spree hatched a plan to record together .'"", 'Apparently Bowie envisaged a "" more theatrical "" version of his Queen collaboration , Under Pressure .\', ""If the thought of anything more theatrical than Queen brings on a migraine , Tim DeLaughter \'s acid - pop armada may not be for you .""]']"
2004-07-08,"[""['David Bowie , page 2 , yesterday , was taken ill in the German town of Scheessel , not Sheesen .'"", ""David Bowie has undergone an emergency heart operation for an acutely blocked artery , it emerged last night .'"", 'In a statement last night , Bowie said : "" I \\\'m so pissed off because the last 10 months of this tour have been so fantastic .\'', 'The spokesman said that Bowie had sought treatment for a pinched nerve in his shoulder but discovered the blocked artery . ""\']']"
2004-08-15,"['[""The Story of the Boy Band ( Sunday , BBC1 ) cobbled together a lot of archive footage of grinning young men and the girls what love \'em , to prove ... nothing much , really .""', 'The most stupid thing I ever did in imitation of a pop star was putting a load of Uncle Ben \\\'s in the blender in an attempt to recreate the "" rice powder "" with which the glam - era David Bowie allegedly attained his flawless pale complexion .\'', ""The resultant mess took a hell of a lot of cleaning up , and pretty much reconciled me to a non - glam healthy glow .'"", ""That , however , is nothing compared with the extremes to which fans of Papa Wemba , the Congolese singer who lives and works in Paris , are prepared to go .']""]"
2005-06-24,"['[\'Three blank audio cassettes hardly sounds much of a freebie today , but at the time it was quite a daring move - and hailed as "" worth £ 6 ! ""\'', 'Three blank audio cassettes hardly sounds much of a freebie today , but at the time it was quite a daring move - and hailed as "" worth £ 6 ! ""\'', ""And the lucky crop of 1985 teenagers heading off to university could illicitly record the chartbusters on a set of TDK blank cassettes handily supplied by Midland Bank as a thank - you for signing up to their student banking service .'"", ""And the lucky crop of 1985 teenagers heading off to university could illicitly record the chartbusters on a set of TDK blank cassettes handily supplied by Midland Bank as a thank - you for signing up to their student banking service .']""]"
2005-11-17,"[""['November 17 Genuine embarrassment at the Mail'"", ""Listening to System of a Down , one feels like David Bowie with his bank of television screens in The Man'"", ""Who Fell to Earth , blitzed with information .'"", ""The Armenian - American quartet switch styles , from explosive heavy metal to ornate prog rock to Balkan folk with the speed of an impatient channel - hopper , but their sonic hyperactivity is engineered to serve their message : Attack is an anti - war song that sounds like war ;'"", ""Listening to System of a Down , one feels like David Bowie with his bank of television screens in The Man'"", ""Who Fell to Earth , blitzed with information .'"", ""The Armenian - American quartet switch styles , from explosive heavy metal to ornate prog rock to Balkan folk with the speed of an impatient channel - hopper , but their sonic hyperactivity is engineered to serve their message : Attack is an anti - war song that sounds like war ;']""]"
