2009-11-09,"['[\'What Brazil is doing is a political gesture , "" said Rouseff , following a climate change meeting in Sao Paulo yesterday .\', ""The country \'s chief of staff , Dilma Rousseff , said Brazil would take proposals for voluntary reductions of 38 - 42 % by 2020 to the Copenhagen climate change summit next month .""]']"
2010-09-26,"['[\'By Sunday she may well also be the country \\\'s first "" presidenta "" , as Luiz InÃ¡cio Lula da Silva , the country \\\'s first working - class leader , comes to the end of his second term in office .\', ""South America \'s largest democracy goes to the polls on Sunday , and Rousseff currently tops the polls with about 50 % .""', 'Rousseff has portrayed herself as the "" mother "" of Brazil \\\'s economic advances , while , at Sunday \\\'s debate , Marina Silva urged Brazilians to vote for an all - female second round , promising "" a dignified life for every Brazilian , above all for Brazilian women "" . ""\']']"
2010-10-03,"['[\'Brazil looked to have fallen short of electing its first female president last night , with Dilma Rousseff appearing to have to go into to a second round run - off .\', ""Despite having the full weight of the most popular president in Brazilian history behind her , Dilma Rousseff , the candidate from Luiz InÃ¡cio Lula da Silva \'s left - leaning Workers \' party ( PT ) , failed to win an outright majority in Sunday \'s election ."", ""A late surge by the Green party candidate has forced Brazil \'s presidential election into a second round , with Luiz InÃ¡cio Lula da Silva \'s favoured successor narrowly failing to become the nation \'s first female leader ."", ""President Luiz Inácio Lula da Silva \'s chosen candidate , Dilma Rousseff , meanwhile missed out on a first - round majority , polling a disappointing 46.7 % .""]']"
2010-10-04,"['[""Environmental campaigners and Green party activists heralded a breakthrough today after a former rubber - tapper from the Brazilian Amazon who rose to be a world - famous rainforest defender became the central figure in the second round of the country \'s presidential election ."", ""Brazilian newspapers today reported that Lula would now take direct control over Rousseff \'s campaign , in order to ensure her election .""', ""With 90 % of votes counted , Rousseff had in the region of 46 % ; to win outright she would have needed more than 50 % .'"", 'One "" well - placed "" source within the Rousseff camp told Reuters there was "" no way "" she would take the first round , although Rouseff , a former guerrilla , had the backing of the retiring president , Luiz Inacio Lula da Silva .\', ""A late surge by the Green party candidate has forced Brazil \'s presidential election into a second round , with Luiz InÃ¡cio Lula da Silva \'s favoured successor narrowly failing to become the nation \'s first female leader .""', 'Exit polls had suggested Dilma Rousseff , a former leftwing rebel , might still scrape a narrow first - round victory despite falling away in the polls in recent weeks .\', ""But the Workers \' party ( PT ) candidate fell short of the 50 % needed , taking 47 % of the vote ."", ""Lula himself never managed to clear the 50 % hurdle required to avoid a runoff , and Dilma \'s campaign was based almost entirely on his support .""', 'Marina Silva , who was raised in the Amazon state of Acre and was illiterate until the age of 16 , failed to make the second round but came away with 19 % of the vote , far higher than pollsters had expected .\', ""President Luiz Inácio Lula da Silva \'s chosen candidate , Dilma Rousseff , meanwhile missed out on a first - round majority , polling a disappointing 46.7 % .""]']"
2010-10-05,"['[\'"" This second stage will start tomorrow â€ ¦ and for me it has been very important to have got this far . ""\']']"
2010-10-29,"['[\'In a televised debate on Friday Rousseff , who had plastic surgery to boost her appeal , said : "" I promise to create a country filled with opportunities for everyone , where millions of Brazilians are able to enjoy access to the material benefits of civilisation . ""\'', ""Serra , the opposition candidate , has focused his campaign on accusations against Rousseff .'"", ""He has been joined by Catholic and Protestant leaders , who have openly criticised her for supporting the legalisation of abortion .']""]"
2010-10-30,"['[\'Like the rally led by Jon Stewart and Stephen Colbert of Comedy Central that brought hundreds of thousands of people into the streets of Washington , DC on Saturday , Brazil \\\'s election on Sunday was a contest of "" Restore Sanity "" versus "" Keep Fear Alive "" â€ “ but with the fate of millions of Brazilians seriously at stake .\']']"
2010-10-31,"[""['Rousseff , who has the backing of her former boss , the outgoing president Luiz InÃ¡cio Lula da Silva , needs a majority of valid votes to avoid a run - off on 31 October .'"", ""Rousseff will face Serra in the second round on 31 October .'"", 'As he did twice , she will take her campaign to a second round , and will face the centre - right candidate , JosÃ © Serra , on October 31 .\', ""With Rousseff \'s main rival , the Social Democrat José Serra , taking just under 33 % of votes , Silva became the king or queen maker in the 31 October runoff when Serra and Rousseff do battle ."", ""On Sunday Brazil will return to the polls to choose between the Workers \' party ( PT ) candidate Dilma Rousseff and her opponent JosÃ © Serra , from the Social Democratic party ( PSDB ) ."", ""The second round of the presidential election in Brazil , a battle between JosÃ © Serra and Dilma Rousseff , the candidate of President Lula \'s party , will come to an end on 31 October , after a three - month campaign .""', ""Brazil was on the verge of electing its first female president today , with the first exit polls predicting that Dilma Rousseff , a former Marxist rebel , had won after taking 58 percent of the vote .'"", '"" Thirty million [ Brazilians ] may not vote on Sunday , "" he said .\'', 'What is important for us today is that once again the Brazilian people is consolidating the democratic process in Brazil , "" he said .\', ""A former Marxist rebel who was jailed and tortured during Brazil \'s military dictatorship last night became the first female president in her country \'s history ."", ""An estimated 135 million Brazilians went to the polls yesterday to choose between the 62-year - old economist , who was the handpicked successor of Brazil \'s Workers \' Party ( PT ) president Luiz Inacio Lula da Silva , and JosÃ © Serra , a 68-year - old former health minister who was running for president for the second , and almost certainly last , time ."", ""Despite the buoyant mood among PT leaders last night , the presidential race has inspired few voters on either side , with neither candidate enjoying Lula \'s flair or wit .""', 'Speaking after her historic election on Sunday night , Dilma Rousseff echoed US president Barack Obama \\\'s "" Yes , we can "" slogan , telling supporters : "" Equal opportunities for men and women are an essential principle of democracy .\', ""An estimated 135 million Brazilians were due to choose between Rousseff , the 62-year - old Workers \' party ( PT ) candidate , and Jose Serra , a 68-year - old former health minister from the Social Democracy party ( PSDB ) ."", ""While the exits polls from Brazil \'s Globo television network indicated that victory was in Rousseff \'s grasp , electoral officials overseeing the official count said that with 85 percent of the vote counted , she was leading with 54.67 percent to Serra \'s 45.33 percent ."", ""Dilma Rousseff of the governing Workers \' party coasted to victory against the opposition candidate JosÃ © Serra , with a comfortable margin of 56 to 44 % .""', 'It had been a bitter and ugly campaign , marked by allegations of corruption and malfeasance on both sides , ending with Serra \\\'s wife calling Dilma a "" baby - killer . ""\', ""In her first speech as Brazil \'s president - elect , Dilma Rousseff , who polled 56 % compared to her rival \'s 44 % , vowed to eradicate extreme poverty in one of the world \'s most unequal countries .""', 'Exactly 60 years after the election of Brazil \\\'s first female MP , the country \\\'s first female president has promised to fight for women \\\'s rights with the battle cry : "" Yes , women can . ""\']']"
2010-11-01,"['[\'This article was amended at 11:30 [ EST ] on 1 November 2010 , where it read "" A defeat of the Workers \\\' party would have been a big victory for the DC establishment reactionaries "" , to the author \\\'s preferred version : "" A defeat of the Workers \\\' party would have been a big victory for the DC foreign policy establishment . ""\'', '"" I would like for fathers and mothers to look into their daughters \\\' eyes today and tell them : \\\' Yes , women can . \\\'\', ""Dilma Rousseff of the governing Workers \' party coasted to victory against the opposition candidate JosÃ © Serra , with a comfortable margin of 56 to 44 % .""', 'Exactly 60 years after the election of Brazil \\\'s first female MP , the country \\\'s first female president has promised to fight for women \\\'s rights with the battle cry : "" Yes , women can . ""\']']"
2010-12-31,"['[\'"" Today Lula is a man of the world , a political personality with great international clout who is looking to wider projects to combat hunger and poverty . ""\', ""He was Brazil \'s first working - class president ; a football - obsessed former factory worker who swapped rural poverty for the highest office in his country and helped propel 20 million people out of poverty .""', 'Attended by 11 women with whom she was imprisoned during Brazil \\\'s dictatorship , Rousseff \\\'s inauguration will mark the official end of "" Era Lula "" .\']']"
