2007-07-04,"[""['The Russian parliament on Wednesday passed a controversial law that allows Gazprom to establish its own private armed units to guard its extensive network of facilities from terrorist attack .'"", ""The Russian parliament on Wednesday passed a controversial law that allows Gazprom to establish its own private armed units to guard its extensive network of facilities from terrorist attack .'"", 'Gazprom has promised to spend $ 420bn ( £ 210bn ) by 2030 on building up its gas supply capability and has specifically targeted BP as one of the companies with whom it could arrange "" asset swaps "" .\', ""His comments could ignite further speculation that the Russian state - controlled energy producer could try to take a half share in TNK - BP or buy British Gas \'s parent group , Centrica .""]']"
2007-10-01,"[""['The deal envisaged the deployment of a 200-strong force of EU observers to Georgia by October 1 , Sarkozy said .'"", ""The agreement also envisaged the deployment of a 200-strong force of EU observers to Georgia by October 1 , Sarkozy said .'"", ""The agreement also envisaged the deployment of a 200-strong force of EU observers to Georgia by October 1 , Sarkozy said .']""]"
2007-12-10,"['[""At 42 , the man who is from Monday almost certain to be the next leader of the world \'s biggest country is the young , liberal face of the Kremlin and a protege of the president , Vladimir Putin ."", ""President Vladimir Putin today ended months of speculation over who will succeed him next year by naming Dmitry Medvedev as his favoured candidate to win Russia \'s presidential elections .""', ""Putin endorsed Medvedev this afternoon at a meeting with party leaders .'"", '"" I have known him very closely for more than 17 years and I completely and fully support this proposal , "" Putin was shown as saying on state - run television at a meeting today with leaders of four parties who said they were backing Medvedev .\'', ""The Russian president , Vladimir Putin , today ended months of speculation over his successor by naming Dmitry Medvedev as his favoured candidate .'"", ""Putin endorsed Medvedev , a first deputy prime minister , at a meeting with party leaders today - a move virtually guaranteeing that he will win a landslide victory in the March 2 election .'"", 'Fair Russia , a pro - Kremlin grouping , and two smaller parties - the Agrarians and Civil Force , both of which met Putin today , also backed Medvedev .\', ""President Vladimir Putin ended months of speculation yesterday by naming Dmitry Medvedev , a 42-year - old economic liberal , as his preferred candidate to win Russia \'s presidential election next year .""', 'Yesterday Putin said Medvedev \\\'s candidacy represented "" an administration that will carry on the same policies that have brought us results for the past eight years "" .\'', ""Yesterday , Putin backed Medvedev as his preferred candidate in presidential elections in March .'"", ""On Monday , Putin announced his support for Dmitry Medvedev , below , a relative moderate , to succeed him as president .'"", '"" I have known him very closely for more than 17 years , and I completely and fully support this proposal , "" Putin said on state - run television as he met the leaders of four parties who said they would back Medvedev .\'', ""The man in question , Dmitry Medvedev , appears to be strong and healthy with every chance of becoming president in March 2008 .'"", '"" I have known him very closely for more than 17 years and I completely and fully support this proposal , "" Putin said , during a meeting with leaders from four parties who announced they were all backing Medvedev \\\'s candidacy .\'', ""Luke Harding reports from Moscow on the man chosen by Vladimir Putin to succeed him as president : Dmitry Medvedev .'"", ""He says questions remain about role of Putin in the next Kremlin administration .'"", ""Luke Harding reports from Moscow on the man chosen by Vladimir Putin to succeed him as president : Dmitry Medvedev .'"", ""He says questions remain about role of Putin in the next Kremlin administration .'"", ""We now know almost everything we need to about how Vladimir Putin intends to end his second term as president .'"", ""His anointed successo Dmitry Medvedev will take over as president and Putin will return to his old job as prime minister .']""]"
2007-12-11,"['[""Vladimir Putin \'s bid to retain power after his term as president expires was bolstered today when his preferred successor , Dmitry Medvedev , said he wanted Putin to become prime minister .""', 'Today , Medvedev , an economic liberal , returned the favour by suggesting that Putin would become prime minister after the election .\', ""Earlier today , Medvedev said he intended to improve Russia \'s welfare services .""', ""Look at the daily gridlock of traffic in Moscow , and you will today be hard put to spot a Russian car .'"", 'When it begins to do that , the population will stop declining , government will be less corrupt and it will matter much less than it does today , what countries outside Russia do or say about it .\', ""The prospect of Russia moving into a post - Putin era swiftly receded yesterday when his anointed successor Dmitry Medvedev said he wanted Vladimir Putin to become Russia \'s prime minister next year once his term as president expires ."", ""Yesterday analysts said that there was no doubt that Putin would remain in charge of Russia \'s foreign and domestic policy ."", ""Last night it was not clear whether Putin would move to bolster the prime minister \'s power following last week \'s landslide victory for United Russia , which dominates the State Duma .""', 'Despite his reputation as a liberal , Medvedev yesterday struck a decidedly Putin - like tone in remarks on the west . ""\', ""Last night experts said an immediate change in Russia \'s outlook was unlikely under Medvedev .""', ""The world can sigh with relief - Vladimir Putin has delivered a male heir to Russia .'"", ""The man in question , Dmitry Medvedev , appears to be strong and healthy with every chance of becoming president in March 2008 .'"", 'According to the Levada - Centre polls , 41 % of Russian citizens would vote for whoever is proposed by Putin , and only 12 % would not vote for an "" heir "" in any circumstances .\'', '"" I have known him very closely for more than 17 years and I completely and fully support this proposal , "" Putin said , during a meeting with leaders from four parties who announced they were all backing Medvedev \\\'s candidacy .\'', ""Luke Harding reports from Moscow on the man chosen by Vladimir Putin to succeed him as president : Dmitry Medvedev .'"", 'He says questions remain about role of Putin in the next Kremlin administration .\', ""Columnist Polly Toynbee assesses Ed Balls \' 10-year plan for children , which Gordon Brown hopes will capture the imagination of voters and restore his political fortunes .""', ""Luke Harding reports from Moscow on the man chosen by Vladimir Putin to succeed him as president : Dmitry Medvedev .'"", ""He says questions remain about role of Putin in the next Kremlin administration .'"", ""We now know almost everything we need to about how Vladimir Putin intends to end his second term as president .'"", ""His anointed successo Dmitry Medvedev will take over as president and Putin will return to his old job as prime minister .'"", 'Russia will be ruled by two tsars , but there is little doubt which of the two will dominate .\', ""The move means that Putin would continue as Russia \'s de facto leader , and sets the stage for his possible return as president in Russia \'s next election in 2012 - if not sooner .""]']"
2007-12-16,"['[\'Natalaya Morar , a Moldovan citizen , was refused re - entry into Russia on Sunday after returning from a business trip to Israel .\', ""Medvedev \'s path to the Russian presidency was considered a formality once he had been endorsed by the president .""', ""Earlier , Putin had said he was ready to be prime minister if Medvedev was elected .']""]"
2007-12-17,"['[\'"" Putin \\\'s United Russia party holds a congress next Monday , at which it is expected to formally nominate Medvedev as its candidate in the presidential vote .\'', 'His United Russia party holds a congress on Monday December 17 , at which it is expected to formally nominate Medvedev .\', ""The United Russia party today voted unanimously to nominate Vladimir Putin \'s favoured successor , Dmitry Medvedev , as its candidate in the March 2 presidential election ."", ""Vladimir Putin yesterday made it clear that he had no intention of resigning from politics , and said he would accept the job of prime minister next year , if his close ally Dmitry Medvedev became Russia \'s next president ."", ""Last night , analysts said the strategy was risky , and could cripple Medvedev \'s presidency ."", ""At yesterday \'s congress , Putin formally proposed Medvedev as United Russia \'s candidate for president .""', 'On Monday Putin confirmed he intends next year to become Russia \\\'s prime minister . ""\'', '"" The crown jewels of the country \\\'s wealth have ended up in the hands of Putin \\\'s inner circle , "" Vladimir Rzyhkov - a former independent MP - wrote in Monday \\\'s Moscow Times .\', ""Medvedev \'s path to the Russian presidency was considered a formality once he had been endorsed by the president .""', 'Earlier , Putin had said he was ready to be prime minister if Medvedev was elected .\', ""Putin said he would take the helm of Russia \'s government when he stepped down as president in May .""', ""Medvedev offered Putin the post last week , a day after Putin endorsed Medvedev as his effective successor .']""]"
2008-01-22,"['[\'Russia \\\'s future president , Dmitry Medvedev , yesterday began his election campaign by acknowledging that Russia was in the grip of rampant corruption and what he termed "" legal nihilism "" .\'', 'In his first address since being registered as a candidate for Russia \\\'s March presidential election , Medvedev said official corruption had now reached a "" huge scale "" .\']']"
2008-02-06,"['[""Yesterday Gazprom and the band \'s management declined to comment ."", ""But next week the English rock band Deep Purple are to perform their most unlikely gig yet - in front of Russia \'s heavy metal grooving future president , Dmitry Medvedev .""', ""The state gas firm Gazprom has booked the band to fly from the UK to Moscow to perform at a special concert celebrating the 15th anniversary of the utility .']""]"
2008-02-24,"['[""There is n\'t even a portrait of the man who this Sunday will be elected Russia \'s next president ."", ""The Kremlin is planning to falsify the results of this Sunday \'s presidential election in Russia by compelling millions of public sector workers to vote and by fraudulently boosting the official turnout after polls close , the Guardian has learned .""', ""Additionally , public sector workers including teachers , students , and doctors have been told to vote on Sunday or risk losing their jobs or university places .'"", 'Asked whether he intended to vote himself on Sunday he replied : "" Do I look like an idiot ? ""\'', 'One western diplomat told the Guardian that the administration was now involved in a complicated "" numbers game "" - designed to ensure that Medvedev won a clear first round victory in Sunday \\\'s vote , but that his tally did n\\\'t exceed the 71 % won by Vladimir Putin \\\'s United Russia party during December \\\'s State Duma elections .\'', ""They told us election day [ Sunday ] will be a working day .'"", 'One western diplomat said that the administration was involved in a complicated "" numbers game "" designed to ensure that Medvedev won a clear first round victory in Sunday \\\'s vote , but did n\\\'t exceed the 71.3 % won by Putin in 2004 .\']']"
2008-02-25,"[""['Russia steps up support with $ 1.5bn gas deal Russia cemented its partnership with Serbia yesterday , signing a deal to direct a key gas pipeline through its territory and promising to stand by the Balkan nation in its dispute with the west over Kosovo .'"", 'Serbia needs support now , "" Medvedev said .\']']"
