2007-02-19,"[""['However , her performance on a prime time question and answer TV talk show on Monday appeared to have repaired much of the damage .']""]"
2007-02-21,"['[""A poll published on Wednesday showed Ms Royal beating Mr Sarkozy , the governing UMP party \'s candidate , in first round voting .""]']"
2007-02-22,"['[\'"" Everyone is united in this decisive phase of the campaign , "" Ms Royal said yesterday - a day after her former economics adviser announced he was leaving the party .\'', ""The new team includes the former presidential hopefuls Laurent Fabius and Dominique Strauss - Kahn , both of whom were resoundingly beaten for the Socialist nomination by Ms Royal in a party primary late last year .']""]"
2007-04-22,"['[""The team will organise campaign rallies throughout France in the run up to the country \'s two - round elections , which take place on April 22 and May 6 .""]']"
2007-07-09,"['[\'On Monday the IMF board said : "" Any executive director may submit a nomination , regardless of nationality .\'', 'Britain fell out yet again with its EU partners yesterday by refusing to abide by a decision of the other 26 countries to back Dominique Strauss - Kahn , a French socialist , as the next managing director of the IMF and laying open the chance it could vote for a non - European . ""\'', 'On Monday the IMF board said : "" Any executive director may submit a nomination , regardless of nationality . ""\'', 'The EU is not mandated to vote as a bloc , and there was no majority or unanimous decision , "" Treasury sources said , insisting that the meeting had not turned into a Britain versus Europe row over what had been government policy for a long time .\'', 'Clearly outmanoeuvred by the French and Germans , Alistair Darling , the new chancellor , stuck to what he said in the Guardian this week and insisted that the UK "" continues to argue for an open and transparent process "" in choosing a successor to Spaniard Rodrigo de Rato who steps down in October .\'', 'The EU is not mandated to vote as a bloc and there was no majority or unanimous decision , "" Treasury sources said , insisting that the meeting had not turned into a Britain versus Europe row over what had been government policy for a long time .\'', 'Clearly outmanoeuvred by the French and Germans , Alistair Darling , the new chancellor , stuck to what he said in the Guardian this week and insisted that the UK "" continues to argue for an open and transparent process "" in choosing a successor to Spaniard Rodrigo de Rato who steps down in October .\']']"
2007-07-10,"['[\'Britain fell out yet again with its EU partners today by refusing to abide by a decision of the other 26 countries to back Dominique Strauss - Kahn , a French socialist , as the next managing director of the IMF and laying open the chance it could vote for a non - European . ""\']']"
2007-07-12,"['[""At a heated meeting in Washington on Thursday , the IMF \'s board agreed to ditch the convention , which originates from when the Bretton Woods institutions were founded after the Second World War , that the President of the World Bank is picked by the US , while Europe has the IMF job in its gift .""]']"
2008-04-10,"[""['The global economy is caught between the twin perils of a sharp slowdown in activity and rising inflation , the head of the International Monetary Fund said today .'"", '"" The world economy is balanced between these two risks .\']']"
2008-04-11,"['[\'The risks are tilted to the downside "" , he said at a press conference held ahead of tomorrow \\\'s meeting of G7 finance ministers and central bank governors which will seek to find ways of preventing the losses of Western banks leading to a full - blown global recession . ""\'', 'Finance ministers have handed the Washington - based International Monetary Fund a powerful new role as the guardian of global stability , despite evidence that it failed to grasp the threat posed by a decade - long credit binge .\', ""In Washington , at the IMF \'s spring meetings , finance ministers backed radical plans by its managing director , Dominique Strauss - Kahn , to cut 15 per cent of its staff , increase the say of developing countries in its decisions , and focus on monitoring the health of the world economy , instead of making controversial loans to poor countries .""', ""Strauss - Kahn said last week that the IMF had issued repeated warnings before the sub - prime crisis .']""]"
2008-09-29,"['[""The House of Representatives sent shockwaves around the world on Monday when it voted down the $ 700bn ( £ 390bn ) rescue plan , under which the US government would cleanse the banking sector \'s balance sheets .""]']"
2008-09-30,"['[\'Dominique Strauss - Kahn , managing director of the IMF , warned last night that the US must take urgent steps to protect its economy from the ongoing financial crisis .\', ""The prospect of a deal this week sent shares up in London , where the FTSE 100 continued yesterday \'s bounce - back .""', 'On the campaign trail yesterday , Barack Obama warned of "" catastrophic "" consequences unless a deal is reached soon .\'', '"" We \\\'re right at the moment where action is needed , "" warned Strauss - Kahn . ""\']']"
2008-10-01,"[""['With politicians worldwide demanding action , the US Senate is due to buck convention and vote on an amended version of the rescue plan this evening – before the lower house has given its approval .'"", '"" We \\\'re right at the moment where action is needed , "" warned Strauss - Kahn . ""\']']"
2008-10-02,"['[\'"" There \\\'s anticipation that some sort of deal will be passed by Congress in the next day or two . ""\']']"
2008-10-08,"['[\'The International Monetary Fund has drawn up emergency plans to bail out governments affected by the financial crisis , after warning yesterday that no country would be immune from the ripple effects of the credit crunch .\', ""Amid fears that the extreme turbulence of the past month will push governments to the brink of financial collapse , Strauss - Kahn said he had asked the Fund \'s board to activate its fast - track loan procedure .""]']"
2008-10-17,"['[""In a statement on Friday he said the \' incident which occurred in [ his ] private life \' took place in January 2008 and that \' at no time did [ he ] abuse [ his ] position as the fund \'s managing director \' ."", ""At yesterday \'s meeting with Bush , French President Nicolas Sarkozy and European Commission president José Manuel Barroso hoped to pave the way for an unprecedented summit this autumn to overhaul the global financial regulatory system .""', ""Dominique Strauss - Kahn , the French economist who heads the International Monetary Fund , is under investigation for allegedly abusing his position by engaging in a sexual relationship with a senior official .'"", ""The inquiry , confirmed by an IMF spokesman , threatens to distract the organisation at a time when it is trying to focus its efforts on helping countries to withstand the global financial crisis .']""]"
2008-10-18,"['[""France \'s political elite yesterday rallied around Dominique Strauss - Kahn , the head of the International Monetary Fund , after it emerged that the former finance minister was facing an inquiry into whether he abused his position by having a sexual relationship with a subordinate .""', 'The IMF said on Saturday it was looking into claims that Strauss - Kahn - or \\\' DSK \\\' as he is known affectionately in France - was guilty of "" improper behaviour "" for having a brief affair with a married senior official- a charge he denies .\'', ""Dominique Strauss - Kahn , the French economist who heads the International Monetary Fund , is under investigation for allegedly abusing his position by engaging in a sexual relationship with a senior official .']""]"
2008-10-25,"['[\'The board issued a statement on Saturday saying that the actions of managing director Dominique Strauss - Kahn were "" regrettable and reflected a serious error of judgment "" .\']']"
2008-10-26,"['[\'Associated Press in Bogota Police arrest swingers for holding sex parties Police have arrested an Egyptian couple for allegedly swapping sex partners with other married couples , security officials said yesterday .\', ""IMF chief keeps his job after \' error of judgment \' The head of the International Monetary Fund will remain in his job after the agency \'s executive board concluded that there was no cause for dismissal over his affair with a former IMF employee .""', ""However , the 24-member board of directors decided that the relationship had been consensual and did not involve any type of sexual harassment , favouritism or any abuse of authority .']""]"
2008-12-15,"['[\'Using a speech last night in Madrid to issue his stark warning , Dominique Strauss - Kahn argued that government efforts to tackle the economic downturn so far have been uncertain and largely insufficient , which could lead to severe consequences .\', ""Strauss - Kahn \'s comments were in sharp contrast to Jean - Claude Trichet , president of the European Central Bank , who yesterday told European leaders they should stick to EU \'s controversial Stability and Growth Pact , which limits government borrowing and total debt .""', ""The head of the International Monetary Fund urged governments to step up action to stem the global economic crisis or risk delaying a recovery and sparking violent unrest on the streets .'"", ""He singled out the eurozone nations as he attacked the inadequate global response .']""]"
2008-12-21,"['[""The head of the International Monetary Fund backed Gordon Brown \'s recession strategy yesterday by urging governments to pump more money into their economies or face a worsening downturn .""', ""Dominique Strauss - Kahn warned that the measures announced by the G20 nations in Washington last month may not be enough to kick - start the global economy .'"", 'Strauss - Kahn added that the IMF may next month revise down economic growth forecasts for 2009 , which have already been cut from 3 % to 2.2 % "" Our forecast , already very dark ... will be even darker if not enough fiscal stimulus is implemented , "" he told BBC Radio 4 .\']']"
2008-12-22,"['[\'"" The threat is that big today that we are between two difficult problems : increasing deficit , which is never good , and fighting against recession , which is even worse .\'', ""Dominique Strauss - Kahn warned that the measures announced by the G20 nations in Washington last month may not be enough to kick - start the global economy .'"", 'Strauss - Kahn added that the IMF may next month revise down economic growth forecasts for 2009 , which have already been cut from 3 % to 2.2 % "" Our forecast , already very dark ... will be even darker if not enough fiscal stimulus is implemented , "" he told BBC Radio 4 .\']']"
2008-12-25,"[""['The IMF announced just before Christmas that it would lend $ 2.4bn to Latvia as the first instalment of a bailout package , but the next tranche has been halted .']""]"
2009-03-08,"[""['The World Bank also forecast on Sunday that trade would suffer the biggest decline in 80 years , and said that by this summer industrial output could be 15 % lower than in 2008 .']""]"
2009-03-09,"['[\'And veteran investor Warren Buffett warned yesterday that the world faced "" an economic Pearl Harbor "" .\']']"
2009-03-10,"['[\'Writing in the Guardian today , Alistair Darling says that Europe \\\'s leaders have a "" moral imperative "" to step in to help poorer nations . ""\'', 'The global economy will shrink this year for the first time since the second world war as the "" Great Recession "" ravages businesses , consumers and financial institutions around the world , the International Monetary Fund warned today .\']']"
2009-04-23,"[""['Governments in the US and Europe must do more to fix their shattered financial systems or risk prolonging the world recession , Dominique Strauss - Kahn , the managing director of the IMF , warned today .'"", ""All the experience we have of past banking crisis is that you never recover before you have completed the cleaning up of the balance sheets of the financial sector .']""]"
