2001-08-08,"[""['Two men died yesterday and two others were seriously injured when an explosion and fire ripped through a power station .'"", '"" The power station was off - line last night .\'', ""The blast happened in a transformer room at the Enron power station near Middlesbrough , Teesside , causing fire to break out .'"", ""The injured workers were taken to Middlesbrough general hospital with burns .']""]"
2001-08-14,"[""['But on 14 August , Skilling inexplicably and suddenly resigned , and his replacement , Lay , invited senior employees to proffer any views they had on company matters , by email , either signed or anonymously .'"", 'Jeff Skilling [ chief executive officer ] also benefited - selling $ 76 m of stock - and some people questioned whether his reasons for resigning on August 14 2001 , were truly "" personal "" .\'', ""August 14'"", ""2001 Skilling resigns abruptly citing personal reasons .']""]"
2001-09-11,"['[\'Politically impervious since September 11 , Mr Bush should be concerned by the latest disclosures .\', ""After 11 September , the world changed and so did America \'s view of Bush ."", ""Ridge was made Secretary of Homeland Security - Bush \'s new White House office - after 11 September ."", ""Seven months of Bush \'s oil - friendly presidency was driven out of the spotlight by 11 September ."", ""By the afternoon of 11 September , Bush had become the vanishing president during his people \'s hour of need , cowering underground beneath an Air Force base in remote Nebraska .""', ""Bush portrayed his policies as anti - recessionary before September 11 , and as downright patriotic afterwards .'"", ""Even before 11 September the company had been hit by the global downturn in advertising .'"", 'He talked to Julian Glover about the impact of September 11 on foreign policy and the changing shape of government under New Labour .\', ""This seemed to come as a surprise to all at BA , as the received wisdom was that , after 11 September , Bush and Blair were so close that the President would do anything he could to help out Britain \'s PM - including twisting a few arms to let the BA - AA link - up through .""', ""To counter losses since September 11 , 1,600 jobs have been cut .'"", 'Tim Byrne said : "" As a consequence of a poor first trading quarter following September 11 , we will see significantly increased losses for the first half of this financial year .\'', '"" These results were achieved despite a significant slowdown in all the major economies , volatile stock markets and the technology , media and telecoms sector rundown , and the tragic events of 11th September , "" Matthew Barrett , the chief executive , said in a statement .\'', ""The Enron debacle has been a bitter blow to the American psyche in the wake of September 11 .'"", ""Then , as signs of recovery were detected , came September 11 .'"", ""Disney has suffered from the sustained fall in advertising , poor audiences for its ABC network in the US and the impact of the terrorist attacks of September 11 on its theme park attendance .'"", ""These flights are down 10 % since September 11 , and air traffic control faces a cash crunch .'"", 'While the Enron scandal has undoubtedly caused a lot of negative publicity for the profession , this has been more than countered by the events of September 11 .\', ""Back on the home beat , there was a dripfeed of \' intelligence reports \' supposedly linking Iraq with the atrocity of last September 11 ."", ""Shortly after September 11 , the Pew Research Center found that most opinion leaders in most of the world believed fellow citizens in their own countries saw the attack on America as \' blowback \' - a malign growth from a seed planted , or at least incubated , by American foreign policies .""', ""The Dow Jones Index fell 140 points to 8987 in early trading on Wall Street , coming within 50 points of its lows in the wake of the September 11 terrorist attacks .'"", ""The Nasdaq high technology index went below its post - September 11 low for the first time , losing 19 points to 1406 .'"", ""The report warned that the insurance industry in Britain had been hit by September 11 -related claims , while falling shares were squeezing the pensions sector .'"", ""When we learned that the Immigration and Naturalization services sent out immigration forms to dead hijackers two months after 11 September it seemed unsurprising that Mohamed Atta had managed to fly under the radar in the first place .']""]"
2001-11-29,"[""['Enron Corporation , the US energy group embroiled in allegations of financial irregularities and saddled with $ 15bn ( £ 10bn ) of debt , was last night poised to file for the biggest bankruptcy reorganisation in corporate history .'"", 'Tony Lomas at PwC , which was appointed administrator yesterday to the European holding company of Enron , said : "" We have to decide if we ask people to come into work next week , whether we can pay them .\', ""Enron \'s European arm yesterday went into administration , after its parent company cut funding to the trading operation in London ."", ""British companies yesterday began to count the cost of the Enron debacle as administrators moved in to the US group \'s European headquarters in London to begin the task of salvaging subsidiary operations on this side of the Atlantic ."", ""PricewaterhouseCoopers , appointed administrators to the European holding company and a number of operating companies , yesterday following the US group \'s downgrading , warned that job losses were inevitable ."", ""On Thursday , the company \'s vast trading floor in Houston recorded just over 850 transactions - a fraction of the millions that once flowed through it .""', ""Enron Europe went into administration on November 29 , three days before its US parent filed for Chapter 11 bankruptcy protection in the biggest corporate failure in American history .'"", ""Shares in ING fell 1 % after the Dutch group said it has total unsecured exposure to Enron of about $ 195 m , most of it in bank loans .'"", ""Enron is expected to file for bankruptcy proceedings next week , and other international financial institutions , including JP Morgan Chase , have already disclosed their exposure to the US group .'"", 'Until a few weeks ago , a huge banner was strung across the headquarters of Enron in Houston , emblazoned "" The world \\\'s leading company "" .\'', ""The US - based group , whose UK interests include Wessex Water and one of largest traders on the London Metal Exchange , employs around 4,000 people in Britain and a further 5,000 in mainland Europe .'"", ""Enron had nearly 20 % of the British energy trading market and a number of UK companies may face losses because of contracts with the US group .']""]"
2001-11-30,"['[\'ING , the Dutch financial group , today said it would lose $ 195m(£136 m ) if Enron , the US energy trader , went bankrupt .\', ""Mr Lomas was today more reassuring about the group \'s jobs in the power stations .""', 'Joint administrator Steven Pearson was unable to say where the axe might fall but said the administrators would be working through the night before speaking to the 2,000 employees affected by the administration order today .\', ""Fallout from the collapse of the US energy trading company Enron resulted in the loss of more than 1,000 jobs within the group \'s UK operations yesterday .""', 'Abbey National stunned the City yesterday by announcing it had a £ 115 m exposure to the company , which would require it to take a £ 95 m provision to cover possible losses .\', ""Rumours that Enron \'s troubles could have led to black - outs in Britain were scotched yesterday by the National Grid and industry regulator Ofgem .""', '"" We always make sure there is spare capacity in the system and there is no truth in the suggestion this could have led to a blackout , "" a National Grid spokesman said yesterday .\'', ""On the New York stock exchange yesterday Enron shares continued their fall , dropping another 25 % to less than 30 cents .'"", ""As banks and energy companies lined up yesterday to confess their varying exposure to the Enron debacle , the main interest lay with all those who were not known to be creditors in the first place .'"", ""In Europe , it was ING bank of the Netherlands which raised eyebrows yesterday .'"", ""Forget the fact that yesterday saw the growth figure for the third quarter revised down from minus 0.4 % to minus 1.1 % .'"", ""On Friday , Abbey National said it had £ 115 m in Enron and would take a £ 95 m hit in the second half of its financial year .'"", ""Shares of Enron had plunged to 26 cents Friday on the New York stock exchange , in sharp contrast to a year ago , when they stood at $ 85 .'"", ""The firm employs 4,000 workers in Britain at Wessex Water and power stations on Teesside .'"", ""It is a big trader on the London Metal Exchange .'"", ""Shares in ING fell 1 % after the Dutch group said it has total unsecured exposure to Enron of about $ 195 m , most of it in bank loans .'"", ""Enron is expected to file for bankruptcy proceedings next week , and other international financial institutions , including JP Morgan Chase , have already disclosed their exposure to the US group .'"", 'Until a few weeks ago , a huge banner was strung across the headquarters of Enron in Houston , emblazoned "" The world \\\'s leading company "" .\', ""Enron \'s revenue growth had been spectacular , from $ 7.6bn in 1986 to $ 101bn in 2000 .""', ""The US - based group , whose UK interests include Wessex Water and one of largest traders on the London Metal Exchange , employs around 4,000 people in Britain and a further 5,000 in mainland Europe .'"", 'Enron had nearly 20 % of the British energy trading market and a number of UK companies may face losses because of contracts with the US group .\', ""During a day of meetings at the company \'s European headquarters in London , administrators from PricewaterhouseCoopers informed staff that 1,100 of the 1,400 staff there were to lose their jobs .""', 'About 300 employees have been told they will be retained for the time being . ""\'', ""Common sense said Abbey National , with exposure of £ 115 m , had to be there , although the mortgage bank had previously failed to make it on to the hit lists of those monitoring this corporate implosion .'"", ""The spectacular collapse of Enron at least reassures me that I am not alone .']""]"
2001-12-02,"[""['Barclays had been mentioned as one of several high street banks with exposure to the US energy group , which filed for bankruptcy in the US last night .'"", 'In one of the largest corporate bankruptcies in US history , Enron last night filed for bankruptcy protection and sued its rival , Dynegy , for $ 10bn for pulling out of a last ditch rescue merger .\', ""The assets are not property of Enron because they were sold before Enron \'s December 2 bankruptcy filing .""', ""It filed for bankruptcy on December 2 after a crisis in investor confidence that triggered a share collapse .'"", 'When Enron filed for bankruptcy on 2 December , thousands of employees lost their jobs and billions of dollars when the company prevented them from selling shares .\', ""As evidence surfaced of a concerted cover - up of Enron \'s problems in the months leading up to the bankruptcy on December 2 , it also emerged that the Texan company , once worth over $ 80bn ( £ 55bn ) , had more intensive contacts with the Bush administration than the White House had previously admitted .""', ""Enron filed for bankruptcy on December 2 , the biggest bankruptcy in US history .'"", 'Enron subsequently filed for bankruptcy on December 2 .\', ""Once America \'s seventh largest company , Enron filed for bankruptcy on December 2 .""', 'Enron filed for bankruptcy on December 2 after a crisis in investor confidence that sent its shares plummeting .\', ""Enron was once America \'s seventh largest company , but filed for bankruptcy on December 2 after a financial meltdown ."", ""Once America \'s seventh largest company , Enron filed for bankruptcy on December 2 in a collapse that cost thousands of jobs , wiped out billions of dollars in shareholder equity and raised questions about Enron \'s political connections to the Bush White House and the Blair government .""', ""Enron , the failed US energy firm , paid $ 681 m ( £ 461 m ) to 140 top managers in the year leading up to its bankruptcy on December 2 , it was disclosed yesterday .'"", ""December 2 2001 Enron files for bankruptcy , the biggest in US history .'"", ""This makes it almost certain Texas - based Enron will have to file for Chapter 11 bankruptcy protection this week .']""]"
2001-12-04,"[""['Electricité de France today expressed an interest in buying Enron Direct , the European retail arm of Enron , the failed US energy giant .'"", ""As bargain hunters circled the global wreckage of the Enron empire yesterday , Centrica , which trades as British Gas , said it was paying £ 96.4 m in cash for a business that supplies energy to 160,000 small and medium sized businesses across the UK .'"", ""December 4 2001 Enron arranges a $ 1.5bn lifeline from major creditors to keep a skeleton operation .'"", ""Companies face total losses of about $ 4.8bn from exposure to Enron .'"", '"" We are talking with PricewaterhouseCoopers to buy Enron Direct , "" Gérard Wolf , an EdF director said .\'', ""Enron Direct sells gas and electricity to small and medium - sized businesses mainly in Britain , where it has 150,000 customers .'"", ""Centrica , the gas and electricity supplier , has beaten off competition from the French state - owned power utility , Electricité de France , and the Npower firm Innogy to snap up Enron Direct - the British retail arm of the collapsed US energy trading company .']""]"
2001-12-12,"['[\'Meanwhile , the Enron effect continued to hit stocks on Wall Street yesterday with power generator NRG Energy being marked down 12 % in early trading and Calpine Corporation losing 20 % as investors fretted about companies with large unregulated power interest .\', ""Last night AEP Energy Services , the European wholesale energy marketing and trading subsidiary of American Electric Power , said it had acquired contracts and hired 22 key staff from Enron \'s international coal team ."", ""The bank claimed in a suit filed in the US bankruptcy court in New York on behalf of itself and related parties that it has rights to Enron assets such as accounts receivable , commercial paper , cash and other property , which allegedly are not protected in Enron \'s bankruptcy proceedings .""', ""Enron ran into trouble after it restated results and disclosed a series of questionable financial transactions .'"", ""Enron hopes to raise $ 6bn ( £ 4bn ) from sales of assets including its Azurix water subsidiary and businesses in developing markets as part of a wider plan to emerge from Chapter 11 bankruptcy protection within a year .'"", 'The strategy was outlined by the chief financial officer , Jeff McMahon , at a meeting of creditors and came as its accountants , Andersen , told congressional hearings it had warned the Houston - based energy trader about possible illegal acts .\', ""Joseph Berardino , the chief executive of Andersen , said its client had kept it in the dark about key data at the heart of America \'s biggest business failure .""]']"
2001-12-25,"['[\'Chief executive Noel Forgeard also announced Italian firm Finmeccanica had agreed to become a risk - sharing partner in the planned $ 10.7bn ( £ 7.3bn )\', ""King , behind a string of hits , including \' Lick a Smurf for Christmas \' , said he felt great empathy for Oscar Wilde .""', ""P6 Results from Orange and Vodafone showed customers spent less time on their mobiles at Christmas than during the rest of the year .'"", ""Stewart told Waksal she was going to Mexico for Christmas , and left a number she could be contacted on .'"", ""He threw a sparkling Christmas party last year , while the alleged share - dumping was in progress .'"", ""The web and pay TV were perfect for this because they were businesses about which you could make any claim , safe in the knowledge that you were unlikely to be called on it before your Christmas bonus arrived .']""]"
2002-01-10,"['[""President Bush moved rapidly yesterday to distance himself from the collapsed Enron Corporation as speculation grew that the bankruptcy of the giant energy trading company could turn into his administration \'s most dangerous scandal ."", ""However , it emerged last night that Mr Lay had contacted the US treasury secretary , Paul O\'Neill , in late October to propose a bail - out for Enron , which suggested the White House had been aware of the company \'s problems before they were made public .""', 'Enron accountants Arthur Andersen , already under the microscope , admitted last night that a "" significant but undetermined number "" of documents relating to its audit of the energy company had been destroyed .\'', ""The White House spokesman , Ari Fleischer , was peppered with questions yesterday about whether Mr Bush and Mr Cheney were aware of the situation and if not , why not .'"", ""Officials would not say whether the attorney general , John Ashcroft , was involved in the decision , though , Mr Ashcroft , himself a recipient of Enron political largesse , said last night he would not have any future involvement in the case .'"", ""After months of damaging revelations about its relationship with Enron , capped by the acknowledgement Thursday that it had destroyed a large number of Enron documents , Andersen is facing congressional investigations , a federal criminal inquiry and lawsuits from shareholders that could cost it billions of dollars .'"", ""Senior management at the firm admitted on January 10 that the document destruction had taken place .'"", ""January 10'"", ""2002'"", 'Enron executives face the possibility of prosecution after the US justice department launched a criminal investigation into the financial collapse of the energy giant .\', ""In an unusual move , the justice department has created a task force to look at Enron , once the world \'s largest energy trading company .""', 'Legal experts said the decision to create such a body to look at single company was rare . ""\'', 'Hours after the justice department announced it was setting up a nationwide team of prosecutors as part of a criminal inquiry into Enron , the White House ordered a review of rules affecting pension rights and corporate disclosure .\', ""Mr Bush told reporters he had not seen Enron \'s chairman , Kenneth Lay , since last spring and had never discussed the company \'s financial problems with him .""', ""One man is ideally placed to give President George Bush advice as sleuths circle the White House asking awkward questions on the collapse of Enron , the energy giant .'"", 'That man is Bill Clinton , who was hounded by special prosecutors and congressional investigators over an obscure property deal when he was governor of Arkansas , that subsequently became known as the Whitewater affair .\', ""It \'s not hard to imagine the advice that Mr Clinton would give Mr Bush - get it all out in the open as quickly as possible or face the corrosive drip - drip effect of a protracted scandal .""]']"
