2001-12-05,"[""['Hamid Karzai is from the Taliban heartland of Kandahar , which is where he is today , leading troops in his homeland against the Islamic militia .'"", 'Hamid Karzai , named yesterday as the head of a six - month caretaker government for Afghanistan , is a highly regarded southern Pashtun leader , enjoying a reputation as an independent - minded nationalist with a pro - western bent .\', ""Afghanistan \'s rival parties laid to rest the legacy of five years of Taliban rule yesterday when they finally agreed to set up a power sharing government in Kabul that will include at least two women ministers ."", ""However , the main groups , whose members applauded as the agreement was signed in the presence of the German chancellor , Gerhard Schröder , insisted that yesterday \'s UN - sponsored agreement marked a breakthrough in which the rival ethnic groups were determined to share power .""', ""Two days earlier the new leader - in - waiting of Afghanistan had negotiated the surrender of the last Taliban stronghold .'"", ""The men were special forces troops who had been assisting opposition forces including those of Hamid Karzai , who has just been named head of the provisional government in Afghanistan .'"", 'The power - sharing agreement , hammered out in over a week of talks in a luxury hotel outside Bonn , Germany , will put two women in the cabinet and Hamid Karzai , a Pashtun leader , at the head of the interim administration .\', ""The new head of Afghanistan \'s interim administration is a 44-year - old tribesman who is as comfortable in a suit and tie as a turban and tunic .""', ""Hamid Karzai , a moderate Muslim whose fighters are part of the push to oust the Taliban from their last stronghold in Kandahar , was chosen to head the interim administration .'"", ""Hamid Karzai , a Pashtun leader fighting the Taliban in their final stronghold of Kandahar , will head the interim council .']""]"
2001-12-06,"['[\'He added : "" Afghanistan today has the opportunity of a new beginning , to build a future in which everyone will have a say , no matter what their tribal background or gender . ""\'', ""An unusual figure in Afghanistan , he served in , yet was highly critical of , an earlier Northern Alliance government , and was wooed by the Taliban but scorned them .'"", 'He has lived in America and was chosen by the US as the key figure to insert into Afghanistan in an attempt to rally a Pashtun rebellion against the Taliban in the south .\', ""Mullah Mohammed Omar , the Taliban \'s elusive supreme leader , hopes to ensure his survival by surrendering to Pashtun elders in Kandahar rather than to the new Afghan leader , Hamad Karzai .""', 'In a final show of defiance as the Taliban crumbled after five years , the militia insisted that it would only hand its weapons to the former mojahedin fighter , Mullah Naqibullah , who was described in respectful terms as a "" tribal elder "" .\'', '"" We have agreed to surrender weapons not to Hamid Karzai but to tribal elders , "" said Abdul Salam Zaeef , the Taliban \\\'s former ambassador to Pakistan .\']']"
2001-12-13,"['[""Afghanistan \'s fragile new deal took a step forward yesterday when Hamid Karzai , head of the interim government , entered Kabul for the beginning of what may be the capital \'s first peaceful transfer of power for decades .""', ""In the capital yesterday the first snowflakes of winter fell , hailed as a good omen by residents , who left plastic flowers at the palace entrance as a symbol of good will .'"", ""The UN envoy , Francesc Vendrell , met Mr Karzai last night after flying from Islamabad .'"", ""Mr Karzai landed at Bagram airport shortly after midnight , went to the presidential palace , and by late afternoon was exchanging pleasantries with Northern Alliance leaders .']""]"
2001-12-14,"[""['Today senior military officers from those countries , including Britain , which are prepared to contribute to a UN - sponsored security force will meet in London to consider its size and composition .'"", ""British troops are due to leave for Afghanistan this Friday to lead an international force to bolster the stability of the fledgling government headed by Hamid Karzai .'"", ""Mr Karzai landed at Bagram airport shortly after midnight , went to the presidential palace , and by late afternoon was exchanging pleasantries with Northern Alliance leaders .']""]"
2001-12-22,"[""['As the battle for Tora Bora raged , Afghan factions in Germany approved the appointment of respected tribal leader Hamid Karzai as an interim prime minister to head a 30-member broad - based post - Taliban cabinet that will take power on December 22 .'"", ""The consensus on the cabinet triggers a speedy transfer of power in Kabul , scheduled for December 22 , and secures billions in promised aid to reconstruct the country .'"", 'Expressing the hope that the transfer of power would go smoothly on December 22 , the new Afghan leader said : "" I hope very much it will be in the interests of the Afghan people , one that will keep our country good forever . ""\', ""The threat of fighting over the spoils comes amid increasing international concern over deepening splits across Afghanistan \'s tribal , nationalist and religious divide , despite the agreement to form a broad - based interim government , headed by Karzai , due to be inaugurated on 22 December ."", ""\' Massoud \'s way for ever ... and Afghanistan \'s too ', ' read the words on a painting that greeted guests at yesterday \'s swearing - in of Hamid Karzai , Afghanistan \'s new leader .""', ""The Afghan people , shattered by two decades of war , heralded yesterday what they hope will be the start of a new era of peace with the inauguration of the interim government of Hamid Karzai .'"", ""The German Parliament yesterday overwhelmingly voted to send up to 1,200 troops to join the international force protecting the new Afghan administration in Kabul .'"", ""Funds for firefighters President George W. Bush plans to propose significant increases in spending on domestic American security in his next budget , but has yet to settle on specific amounts , US administration officials said yesterday .'"", 'There are Massoud postcards in the shops of Chicken Street and Flower Street , posters on almost every roadside kiosk ( Massoud as an Afghan Che Guevara ) , a garish painting in the Intercontinental hotel ( Massoud as a young Bob Marley ) .\', ""The inauguration ceremony in Kabul , conducted under tight security in the gloomy , ramshackle Interior Ministry Hall , was the first transfer of power since the fall of Afghanistan \'s monarchy in 1973 not to be marked by violence .""', ""The occasion was marred , however , by reports that US Spectre A-130 gunships and Navy jets had attacked a convoy of vehicles carrying tribal elders travelling from eastern Afghanistan to attend the inauguration , killing at least 65 people and destroying 10 houses and a mosque .'"", 'German MPs approve troops for Kabul\', ""Opposition MPs supported Chancellor Gerhard Schröder \'s coalition government in passing the measure , despite renewing charges that the Berlin government had failed to match its push for a bigger international role with a major boost in military spending .""]']"
2002-01-06,"['[\'A small contingent of 20 to 30 British marines was dispatched yesterday to join the 300 British soldiers already serving at Bagram airport , the ministry of defence said .\', ""American warplanes resumed bombing Afghanistan yesterday in the wake of Mullah Mohammad Omar \'s escape deeper into the mountains , an intelligence failure the US will try to rectify by interrogating its consolation prize : two senior officials , one each from the Taliban and al - Qaida .""', ""Mr Blair and his wife , Cherie , flew in from Pakistan aboard a British Royal Air Force C-130 Hercules with the windows blacked out to avoid possible anti - aircraft fire .'"", 'He was greeted by Mr Karzai and British troops at Bagram airport just north of the capital , Kabul .\', ""At least six waves of bombers attacked targets in eastern Afghanistan \'s Spinghar mountain range but there was no word of casualties , said the Afghan Islamic Press .""', ""The interim prime minister , Hamid Karzai , vowed to find and arrest Mullah Omar but intelligence chiefs were divided over how and whether he had eluded Afghan troops at the weekend .']""]"
2002-01-07,"['[""The prime minister , Tony Blair , tonight became the first Western leader to visit Afghanistan since the Taliban regime fell , flying into Bagram airport for a midnight visit with the country \'s prime minister , Hamid Karzai ."", ""Monday January 7 · Tony Blair becomes the first western leader to visit Afghanistan since the Taliban regime fell , flying into Bagram airport for a midnight visit with the country \'s prime minister , Hamid Karzai . ·""', ""He was greeted by Mr Karzai and British troops at Bagram airport just north of the capital , Kabul .'"", ""Amid chaotic scenes and unprecedented security , the prime minister became the first western leader to visit Afghanistan since the fall of the Taliban when he arrived at the Bagram airbase in an RAF C-130 Hercules troop carrier .']""]"
2002-01-09,"[""['Wednesday January 9 · Seven US marines are believed to be killed after a plane crashes into a mountain in Pakistan .'"", ""As American bombers continue to bomb targets identified as remnants of Taliban and al - Qaida forces , and their ammunition dumps , risking more civilian casualties , he added that the war would not be over until Osama bin Laden and Mullah Omar were caught .'"", ""This , after all , was the prime objective emphasised repeatedly by both Bush and Blair .']""]"
2002-01-17,"['[""I called for the US to pay for 75 per cent of the reconstruction of Afghanistan ', ' said Sima Samar , the Women \'s Affairs Minister , who was part of the delegation meeting Powell on Thursday . \'""', ""A stewardess spots him attempting to light the fuse and , after a struggle with other passengers , he is subdued . ·'"", ""The interim government of Hamid Karzai is inaugurated , the ceremony conducted under tight security in the gloomy , ramshackle Interior Ministry Hall .']""]"
2002-01-21,"['[""The time of reckoning for America and its allies comes tomorrow in Tokyo , when an international donors \' conference will elicit pledges of support for Afghanistan .""', ""Britain will pledge £ 200 m over the next five years for the reconstruction of Afghanistan as donor nations gather in Tokyo today to thrash out how much and for how long the international community is willing to pay for peace .'"", ""According to a preliminary estimate by the World Bank and the United Nations to be presented to delegates today , the war - ravaged country will need about $ 15bn ( £ 10bn ) over the next 10 years .'"", 'Extracts from the speech by Hamid Karzai , chairman of the interim administration of Afghanistan , to aid donors in Tokyo War and terrorism "" For the past 23 years , we have suffered the misery of war , repression , and gross abuses of human rights , and an interpretation of Islam that deviates from its true meaning of tolerance and justice ...\'', 'Due to many years of war and foreign interferences , Afghanistan was turned into a launching pad for terrorism against the Afghan people and the international community . ""\', ""The World Bank , the UN and the Asian Development Bank estimate that Afghanistan \'s humanitarian and reconstruction requirements may total $ 20bn over a decade ."", ""The leader of Afghanistan \'s interim government , Hamid Karzai , had to take the bad with the good in Tokyo , suffering a minor car accident on the Japanese capital \'s crowded roads , but was assured of the world \'s long - term support for Afghanistan \'s reconstruction .""]']"
