2012-01-18,"['[\'Originally detained on 18 January 2012 and placed in solitary confinement in section 2A of Evin prison , a wing managed by the Revolutionary Guards , she had been freed on bail of 300 million toman ( 350,000 euros ) , "" said RWB .\']']"
2012-08-04,"[""['A Foreign Office spokeswoman said the agreed European Union position was that the ceremony on 4 August would only be attended by Tehran - based diplomats .']""]"
2012-10-15,"[""['He also offered to prepare a concrete plan for resolving the nuclear stalemate at a new round of negotiations in Geneva on 15 October .'"", ""Earlier , at a press conference in New York , Rouhani made the most conciliatory remarks heard from Tehran in a decade and also offered to prepare a concrete plan for resolving the nuclear stalemate to a new round of negotiations in Geneva on 15 October .']""]"
2013-04-06,"['[\'As Ahmed Maher of the April 6 Youth Movement , one of the main driving forces behind the 2011 uprising against Mubarak , said : We are at square one as a revolution .\', ""â€¢ Editor \'s note : this article was amended at 8 am ( ET ) on 9 October to remove an unintended first paragraph""]']"
2013-06-07,"['[""Iran \'s battered reformists have thrown their weight behind Hassan Rouhani , a moderate cleric favouring openness and improved relations with the west , who has emerged as the dark horse candidate in Friday \'s presidential election ."", ""In a heated TV debate last Friday Rouhani openly criticised Iran \'s handling of the nuclear talks ."", ""During Friday \'s TV debate Jalili \'s handling of Iran \'s nuclear negotiations came under attack from Ali Akbar Velayati , a conservative figure who advises Khamenei on foreign policy ."", ""In the absence of a explicitly opposition figure , however , many see the slate of candidates in Friday \'s vote as lacklustre , though there is no active plan for a boycott .""]']"
2013-06-10,"['[\'Bearing in mind my duty to the country and the fate of our honourable nation , I will give my vote to my esteemed brother Dr Rouhani , "" Khatami wrote .\']']"
2013-06-11,"['[\'The former presidents Mohammad Khatami , seen as the leader of Iran \\\'s reformist movement , and Akbar Hashemi Rafsanjani publicly endorsed Rouhani on Tuesday . ""\'', 'Bearing in mind my duty to the country and the fate of our honourable nation , I will give my vote to my esteemed brother Dr Rouhani , "" Khatami wrote .\']']"
2013-06-14,"['[\'On Friday millions of people across the country queued to elect a successor to Mahmoud Ahmadinejad .\', ""Iran \'s president - elect , Hassan Rouhani , whose sensational victory in Friday \'s election prompted nationwide celebrations , has promised to reduce tensions with the west , show more transparency on its nuclear front and bring moderation back to the forefront of Iranian politics ."", ""Iran \'s outgoing president , Mahmoud Ahmadinejad , has been summoned to a criminal court in Tehran to answer unspecified charges following the victory of the moderate cleric Hassan Rouhani in Friday \'s presidential election .""', ""Iranian voters turned out in force last Friday to vote in moderate cleric Hassan Rouhani as president .'"", 'Rouhani won by a landslide in the 14 June presidential election , defeating his conservative and hardline rivals .\', ""Iran \'s presidential race appears poised for a runoff vote next week after millions of people queued until late across the country night to elect a successor to Mahmoud Ahmadinejad ."", ""Hassan Rouhani , the moderate cleric backed by reformists and many opposition figures , and Tehran \'s pragmatic mayor , Mohammad - Bagher Ghalibaf , looked likely to emerge on top , with the chief nuclear negotiator Saeed Jalili , thought to be the favourite candidate of the clerical establishment , falling behind ."", ""The cleric , who has risen from being a centrist figure to the country \'s president - elect , was supported by Iran \'s battered reformist movement ."", ""The moderate Iranian cleric Hassan Rouhani has taken a strong lead in the initial results of Iran \'s presidential election , threatening to win a simple majority and avoid a second - round runoff .""]']"
2013-06-15,"['[""The moderate cleric Hassan Rouhani has won the Iranian election and will succeed Mahmoud Ahmadinejad as president , Iran \'s interior minister announced on national television on Saturday .""', 'The White House on Saturday called on Tehran to "" heed the will of the Iranian people "" , after the moderate cleric Hassan Rouhani was elected as the country \\\'s new president .\'', '"" We \\\'re so happy , we \\\'re so happy , "" she shouted , amid the cacophony of honking horns and joyous celebrations that greeted Saturday evening \\\'s unexpected announcement that Hassan Rouhani had won Iran \\\'s presidential election in the first round of voting , without requiring a runoff .\'', 'No sooner had votes been counted on Saturday than those close to the supreme leader started to deny that Rouhani had ever been anywhere near a reformist thought .\', ""The cleric , who has risen from being a centrist figure to the country \'s president - elect , was supported by Iran \'s battered reformist movement ."", ""Rouhani \'s win is a welcome surprise for many reformists , who are desperate to break back into mainstream Iranian politics after eight years of Ahmadinejad \'s hardline presidency ."", ""The moderate Iranian cleric Hassan Rouhani has taken a strong lead in the initial results of Iran \'s presidential election , threatening to win a simple majority and avoid a second - round runoff .""', 'With more than 8 million votes counted from the 50 million electorate , Rouhani had 51.2 % of votes cast , Reuters reported .\', ""Hassan Rouhani \'s victory in Iran \'s presidential election has boosted cautious hopes for a change in the country \'s troubled relations with the west – amid warnings that any new policies would have to be authorised by the hardline supreme leader , Ayatollah Ali Khamenei .""]']"
2013-06-17,"['[\'Israel \\\'s prime minister , Benjamin Netanyahu , said in an interview on Monday that he did not think Rouhani could soothe nuclear tensions because Tehran \\\'s nuclear policies rested in the hands of Iran \\\'s supreme leader , Ayatollah Ali Khamenei . ""\'', 'I \\\'m not trusting until I start seeing results , "" says a Tehran journalist after Rouhani \\\'s first press conference as president - elect on Monday .\'', 'In his first press conference in Tehran , two days after being confirmed as the elected successor to Mahmoud Ahmadinejad , Rouhani presented himself as a moderate politician willing to "" enhance mutual trust "" between Tehran and the international community , including Britain and the US , and as the saviour of the Iranian economy by working to lift sanctions .\']']"
