2001-03-05,"['[""Hu \'s second crisis came on March 5 when a small party of monks marched through the centre of Lhasa , protesting against the killing of monks who had been gunned down a year earlier .""]']"
2001-10-25,"['[\'All the experts acknowledge that the People \\\'s Republic faces serious challenges : "" writes Chang in a defence of his argument ( China Brief , October 25 ) , "" failing state - owned enterprises and banks , rising corruption , a deteriorating environment , a slowing economy , and growing ethnic and religious unrest ... "" .\']']"
2001-10-28,"['[""Some Chinese democrats abroad hope that Mr Hu , currently the vice - president , will shift power away from the Communist party towards the more broadly based national people \'s congress .""]']"
2001-10-29,"['[""Yesterday , Hu will have asked the prime minister to support China \'s struggle against its domestic terrorists .""', 'It is not every day that the British monarch and prime minister welcome a foreign guest who is known for ordering his troops to mow down unarmed civilians .\', ""He is Hu Jintao , China \'s vice - president , a politburo standing committee member , and the most likely heir to Jiang Zemin , the president and party general secretary .""]']"
2002-03-10,"[""['March 10 is the most dangerous date in the year for the Chinese in Tibet .']""]"
2002-04-23,"['[\'Yet even Mr Jiang betrayed anxiety on Tuesday when he met the US commerce secretary , Don Evans , in Beijing and told him that Washington should create a "" good climate "" and stop causing "" avoidable problems "" .\']']"
2002-11-13,"['[""Delegates attending the congress confirmed yesterday that six of the seven most senior figures would not be candidates for the party \'s new central committee to be chosen today , and would therefore no longer lead the party ."", ""His departure clears the way for Mr Jiang \'s chosen successor , Hu Jintao .""]']"
2002-11-14,"['[""Critics of Chinese policy in Tibet point out that Mr Hu \'s respectable image today needs some qualification : martial law in Lhasa was instituted under his rule as party secretary there in 1989 ."", ""China \'s senior Communist leader , Jiang Zemin , is expected to step down from power at the party congress in Beijing today after forcing a popular rival to leave the stage with him ."", ""He also praised Mr Jiang \'s report to the congress , which ended on Thursday , for setting out goals for the next 20 years ."", ""His departure clears the way for Mr Jiang \'s chosen successor , Hu Jintao ."", ""Hu Jintao , vice - president of China since 1998 , was today appointed general secretary of the Communist party , in a widely expected move that clears the way for him to assume full power when Jiang Zemin stands down as Chinese president at the national people \'s congress in March .""', ""His appointment as general secretary positions Mr Hu atop a new generation of leaders who will guide China through sweeping changes and economic reforms launched by Deng Xiaoping and his successor , Mr Jiang .']""]"
2002-11-15,"['[""Hu Jintao , the man expected to become China \'s leader tomorrow , represents a new generation of senior Communist cadres who have grown up since the revolution ."", ""The session tomorrow will reveal too whether Mr Jiang is to step down from his position as chairman of the party \'s military commission which controls the armed forces ."", ""In line with plans laid by the late Deng Xiaoping , the party \'s 16th congress today ended its week - long session by confirming the retirement of six out of the seven former top leaders , including the former general secretary , Jiang ."", ""Vice - President Hu Jintao was today appointed as leader of China \'s Communist party , handing him the country \'s most powerful position and making him a certain bet to replace Jiang Zemin as president next year .""', ""President Jiang Zemin surrendered leadership of the Communist party to his deputy , Hu Jintao , yesterday but he retains a tight grip on the back of the throne .'"", ""Every newspaper and television station was unfailingly flattering yesterday about Mr Jiang who has resigned as general secretary but stayed on as chairman of the military commission .'"", 'The official line yesterday was that the leadership has handed over power to the next generation , and that Mr Jiang \\\'s "" important thinking "" will guide China \\\'s future .\'', 'Yesterday China \\\'s new Communist party general secretary Hu Jintao said that his team would have to "" live up to the expectations of the people throughout the country "" .\', ""Jiang \'s \' important thinking - as Hu deferentially described it to the nation on Friday - is now the ideology for a new age ."", ""Hu Jintao , vice - president of China since 1998 , was today appointed general secretary of the Communist party , in a widely expected move that clears the way for him to assume full power when Jiang Zemin stands down as Chinese president at the national people \'s congress in March ."", ""As the only surviving standing committee member , Hu \'s appointment was inevitable .""', ""His appointment as general secretary positions Mr Hu atop a new generation of leaders who will guide China through sweeping changes and economic reforms launched by Deng Xiaoping and his successor , Mr Jiang .'"", 'The new leaders emerged from behind a carved wooden and lacquer screen in the Soviet - style Great Hall of the People in central Beijing . ""\'', 'In a ceremony broadcast live on every national television channel , a smiling Mr Hu introduced the country to the nine - strong politburo standing committee which he will lead as party secretary .\', ""Within minutes of him doing so , it was announced that Mr Jiang will remain head of the party \'s military commission ; a pointed reminder that Mr Hu \'s boss is still ultimately in charge .""', '"" Of course , Jiang Zemin will stay in charge of the armed forces , "" said the man in a leather jacket on the Avenue of Everlasting Peace . ""\'', 'He will have to keep an eye on Hu Jintao . ""\'', ""After a week of a party congress in Beijing in which the leadership has expressed unremitting self - satisfaction , it is indeed time to ask what the people of China expect of it .']""]"
2002-11-16,"['[\'"" We firmly believe China \\\'s tomorrow will surely be better , "" Mr Hu said , grinning broadly as he waved at reporters .\', ""Publication of yesterday \'s Beijing newspapers was delayed until mid - morning , probably to ensure that the uniformity was observed .""', 'Yesterday another picture showed him addressing top military leaders and wearing an army tunic .\', ""Yesterday an editorial in the official People \'s Daily praised the \' smooth succession \' from the \' third generation \' of those who remember the revolution ( Jiang is 76 ) to a new group of \' energetic leaders \' ( Hu is 59 ) .""', 'In a ceremony broadcast live on every national television channel , a smiling Mr Hu introduced the country to the nine - strong politburo standing committee which he will lead as party secretary .\', ""Within minutes of him doing so , it was announced that Mr Jiang will remain head of the party \'s military commission ; a pointed reminder that Mr Hu \'s boss is still ultimately in charge .""', '"" Of course , Jiang Zemin will stay in charge of the armed forces , "" said the man in a leather jacket on the Avenue of Everlasting Peace . ""\'', 'He will have to keep an eye on Hu Jintao . ""\'', 'After a week of a party congress in Beijing in which the leadership has expressed unremitting self - satisfaction , it is indeed time to ask what the people of China expect of it .\', ""The day after China was promised a new approach for the twenty - first century , it was back to the old political style as the entire Communist press published the same photographs of the nation \'s new leaders in the same order and in the same place on every front page ."", ""Top - right was a large picture of the new party boss Hu Jintao next to his mentor , President Jiang Zemin , who supposedly stepped down from power last week at the party \'s Sixteenth Congress in Beijing .""]']"
