2010-02-06,"['[""Assange \'s extradition hearing has been scheduled for 6 - 7 February .""', 'This outlines "" some important issues which will be gone into in detail on 6 and 7 February "" , he said .\'', ""His bail was modified , allowing him to stay at the Frontline Club for journalists in Paddington on 6 and 7 February , so he does not have so far to travel .'"", 'This outlines "" some important issues which will be gone into in detail on February 6 and 7 "" , he said .\'', ""His bail was modified , allowing him to stay at the Frontline Club , in Paddington , on February 6 and 7 so he does not have so far to travel .']""]"
2010-07-26,"['[\'The Wikileaks founder , Julian Assange , said today that the organisation is working through a "" backlog "" of further secret material and was expecting a "" substantial increase in submissions "" from whistleblowers after one of the biggest leaks in US military history .\'', ""The founder of the whistleblowing website Wikileaks today defended his decision to publish thousands of secret US military files about the war in Afghanistan , faced with criticism from the White House for placing troops in danger .'"", 'Julian Assange said his organisation was currently working through a backlog of further secret material and was expecting a "" substantial increase in submissions "" from whistleblowers after one of the biggest leaks in US military history .\'', 'He said the files showed that "" thousands "" of war crimes may have been committed in Afghanistan .\']']"
2010-07-27,"[""['( An aside for British readers not familiar with Colbert and thus puzzled at my quoting a comedian : it is a sad but undeniable reality that the two most incisive American media critics today may well be Colbert and his fellow fake anchorman Jon Stewart . )'"", ""why would an organisation as independent - minded and disdainful of the traditional media as WikiLeaks seek out those very media as partners rather than going it alone ?'"", ""Yet there was little in the WikiLeaks revelations that came as a surprise to Afghans and the local media mostly refrained from commenting , limiting their effort to reporting news of the publication of secret files .']""]"
2010-07-30,"[""['Assange said today that they had tried to comply with a private White House request to redact the names of informants before publication .'"", ""WikiLeaks and its editor - in - chief , Julian Assange , have come under attack from US officials and their allies for potentially endangering informants and troops in Afghanistan by posting the texts of thousands of leaked war logs .'"", ""Gates said sensitive intelligence which could endanger informants had been widely distributed down to junior level in the US army , in a loose policy which might now have to be reconsidered .'"", ""WikiLeaks founder Julian Assange has hit out at the US military , saying that it bears the ultimate responsibility for any deaths of Afghan informers in the wake of the publication by his organisation of 75,000 leaked files of American army secrets .']""]"
2010-08-12,"[""['WikiLeaks initially withheld around 15,000 of more than 92,000 reports to protect informants but Assange revealed yesterday it is preparing to publish them , once the organisation has finished checking them all .'"", ""Assange said yesterday WikiLeaks was about halfway through reviewing the remaining 15,000 documents but gave no timeframe for their publication .'"", ""A group that campaigns for press freedom has become the latest organisation to condemn WikiLeaks for publication of the leaked Afghanistan war logs .'"", 'In an open letter to WikiLeaks founder Julian Assange , Reporters Without Borders accused him of "" incredible irresponsibility "" for publishing the tens of thousands of documents "" indiscriminately "" .\']']"
2010-08-13,"[""['Moneybookers moved against WikiLeaks on 13 August , according to the correspondence , less than a week after the Pentagon made public threats of reprisals against the organisation .'"", ""He recounted evidence of the encounter on the night of 13 August 2010 between Assange and a woman known as AA , who was hosting Assange at her apartment , during which AA said Assange tried to have sex with her without a condom .'"", ""A group that campaigns for press freedom has become the latest organisation to condemn WikiLeaks for publication of the leaked Afghanistan war logs .'"", 'In an open letter to WikiLeaks founder Julian Assange , Reporters Without Borders accused him of "" incredible irresponsibility "" for publishing the tens of thousands of documents "" indiscriminately "" .\']']"
2010-08-14,"[""['Prosecutors have released no details about the allegations against Assange , but police reports leaked to the media showed that both women had met him in connection with a seminar he gave in Stockholm on 14 August .'"", ""Investigators have released few details about the allegations against Assange , though a police report showed that both women had met him in connection with a seminar he gave in Stockholm on 14 August .'"", 'She said the first complainant , Miss A , said she was victim of "" unlawful coercion "" on the night of 14 August in Stockholm .\'', 'She said the first complainant , Miss A , said she was victim of "" unlawful coercion "" on the night of 14 August in Stockholm .\'', 'Gemma Lindfield , for the Swedish prosecutors , said the first involved complainant A , who said she was the victim of "" unlawful coercion "" on the night of 14 August in Stockholm .\'', ""The claims related to two women who said they had met Assange in connection with a seminar he gave in the Swedish capital on 14 August .'"", 'The first complainant , a Miss A , said she was the victim of "" unlawful coercion "" on the night of 14 August in Stockholm .\'', 'The first complainant , known as Miss A , said she was the victim of "" unlawful coercion "" on the night of 14 August in 2009 in Stockholm .\']']"
2010-08-17,"[""['The alleged rape of Ms W was said to have occurred on the morning of Tuesday 17 August .'"", ""The fourth charge accused Assange of having sex with a second woman , Miss W , on 17 August without a condom while she was asleep at her Stockholm home .'"", ""The fourth charge accused Assange of having sex with a second woman , Miss W , on 17 August without a condom while she was asleep at her Stockholm home .'"", ""The fourth charge accused Assange of having sex with a second woman , Miss W , on 17 August without a condom while she was asleep at her Stockholm home .'"", 'A fourth charge , relating to a Miss W , alleged that on 17 August , he "" improperly exploited "" the fact she was asleep to have sex with her without a condom .\']']"
2010-08-18,"[""['On the following day , the charge of rape was dropped and the warrant was rescinded .'"", 'The third charge claimed Assange "" deliberately molested "" Miss A on 18 August "" in a way designed to violate her sexual integrity "" .\'', 'The third charge claimed Assange "" deliberately molested "" Miss A on 18 August "" in a way designed to violate her sexual integrity "" .\'', 'The third charge claimed Assange "" deliberately molested "" Miss A on 18 August "" in a way designed to violate her sexual integrity "" .\'', 'A third charge claimed Assange "" deliberately molested "" Miss A on 18 August .\'', 'A third charge claimed Assange "" deliberately molested "" Miss A on 18 August .\']']"
2010-08-20,"[""['â€ “ was the subject of a Swedish arrest warrant on Friday after separate complaints made by two women .'"", ""The preliminary allegation , made on Friday night , and not further investigated at that stage , was apparently leaked by police to a tabloid in Stockholm , which published dramatic claims on Saturday morning that Assange was to be arrested .'"", 'The Swedish Prosecution Authority todaysaid an "" on - call "" prosecutor issued an arrest warrant for Assange late on Friday , only to see it revoked the next day by a higher - ranked prosecutor who found no grounds to suspect him of rape . ""\'', ""On Friday last week , Ms A and Ms W together approached police in Stockholm and reported that they had been sexually assaulted by Assange .'"", ""The women filed their complaints together six days later .'"", ""The report shows the women filed their complaints together six days later .'"", ""The women filed their complaints together six days later , on Friday 20 August .'"", ""The charges have changed several times since they were first levelled by two women on 20 August in relation to events over the weekend of 13 August .'"", 'An arrest warrant , issued on 20 August , was withdrawn the following day , when one of Sweden \\\'s chief prosecutors , Eva FinnÃ © , said she did not think there was "" reason to suspect that he has committed rape "" .\', ""He told police that he had continued to sleep in Miss A \'s bed for the following week and she had never mentioned a torn condom .""', ""The paper says the officer had just started her shift at Klara police station in Stockholm on 20 August when Miss A and Miss B arrived to make a complaint against Assange .'"", ""The senior district judge threw out the appeal and ordered his extradition , and a week later Assange appealed to the high court .'"", ""He has to sign in at a local police station every day , he wears an electronic tag that monitors his movements and he has to be back inside the house by 10 pm each night .']""]"
2010-08-21,"['[""Before Stockholm \'s chief prosecutor made clear on Saturday afternoon that Assange was in fact neither charged with rape nor due to be arrested , the story had spread , generating more than 1,200 articles , available through internet news search , that received more than 1 m hits .""', '"" It was 7 am when a friend who is Swedish and has been out on the net told me about the allegations , "" Assange told Stockholm daily newspaper Aftonbladet , which has hired him as a columnist : "" It was shocking .\'', ""The founder of WikiLeaks , Julian Assange , was himself the subject of a rapidly spreading online story when news cascaded across the internet for several hours at the weekend mistakenly saying he was being sought in Sweden on rape charges .']""]"
2010-08-22,"[""['Julian Assange , the secretive founder of the whistle - blowing WikiLeaks website , has today denied allegations of rape and sexual molestation and insisted he has never had non - consensual sex .'"", ""The founder of WikiLeaks , Julian Assange , was himself the subject of a rapidly spreading online story when news cascaded across the internet for several hours at the weekend mistakenly saying he was being sought in Sweden on rape charges .'"", ""Prosecutors say they are considering a complaint of sexual molestation from one woman , Ms A , who has previously been an active supporter of Assange .']""]"
2010-08-30,"[""['Assange had been interviewed by Swedish police over the allegations on 30 August and vehemently denied any wrongdoing , Robertson said .'"", ""He must stay at a country mansion owned by a friend , Vaughan Smith , and observe curfews from 10 pm to 2 am , and then from 10 am to 2 pm .'"", ""Assange had been interviewed by Swedish police over the allegations on 30 August and vehemently denied any wrongdoing , Robertson said .'"", ""He must stay at a country mansion owned by a friend , Vaughan Smith , and observe curfews from 10 pm to 2 am , and then from 10 am to 2 pm .']""]"
2010-11-03,"[""['On 3 November , House , 23 , said he found customs agents waiting for him when he and his girlfriend returned to the US after a short holiday in Mexico .'"", 'The founder of whistleblowing website WikiLeaks has called on the US to investigate alleged abuses by its troops in Afghanistan and Iraq , saying it has a "" proud tradition "" of self - scrutiny .\'', ""Julian Assange says the US has not started any investigations into the alleged incidents detailed in thousands of documents published by WikiLeaks and has instead concentrated on tracking down those responsible for the leaks and on hounding his group .'"", ""Last month , WikiLeaks published 400,000 US field reports containing evidence that US soldiers handed over detainees to a notorious Iraqi torture squad .']""]"
2010-11-18,"[""['A Swedish court today approved a request by prosecutors to detain Assange for questioning on suspicion of rape , sexual molestation and unlawful coercion .'"", ""Swedish prosecutors are to issue an international arrest warrant for the WikiLeaks founder , Julian Assange , for questioning in a rape case .'"", '"" I request the court detain Assange in his absence on suspicion of rape , sexual assault and coercion , "" the director of public prosecution , Marianne Ny , said in a statement .\']']"
2010-11-27,"['[\'Julian Assange of WikiLeaks offered the White House and the Pentagon the opportunity to redact the material to protect innocent lives , yet was rebuffed at every stage – most recently by Harold Koh , who wrote on Saturday : "" Despite your stated desire to protect those lives , you have done the opposite and endangered the lives of countless individuals .\'', 'On November 27th , the state department , the US government basically , wrote a letter saying that the WikiLeaks \\\' activities were deemed illegal in the United States and as a result our policy group had to make the decision of suspending the account , "" Bedier said .\'', ""War had broken out on the internet , where the leaks began 13 days ago .']""]"
2010-11-28,"['[\'Anticipating Sunday \\\'s release of classified US embassy cables , Harold Koh , the top lawyer to the US state department , fired off a letter to Julian Assange , the editor - in - chief of WikiLeaks , on Saturday morning accusing him of having "" endangered the lives of countless individuals "" .\'', 'WikiLeaks chose to challenge this power on Sunday by releasing a historical record of what the Bush , Clinton and Obama administrations have done overseas – to allow the public to decide which , if any , of them has overstepped the boundaries of the law and , if so , how .\', ""Thus Koh pre - emptively made himself the figurehead for the US government \'s reaction to the WikiLeaks release ; the White House \'s subsequent statement has echoed his attack .""', 'Koh , a former dean of Yale law school , is also the man who authored a legal opinion for the Obama administration this past March stating that the president had the right to authorise "" lethal operations "" to target and kill alleged terrorists anywhere in the world without judicial review .\']']"
