2010-11-02,"[""['The Tea Party movement last night wielded a huge impact on the American political process that will ensure its influence for years to come , though it also suffered setbacks to its wilder fringes .'"", ""The two big victories of the night , Marco Rubio in Florida and Rand Paul in Kentucky , confirmed that the Tea Parties are not a fly - by - night affair but a real seismic shift in the political landscape that can put fear in the hearts of Republican and Democratic leaders alike .'"", ""Both victors unseated establishment Republican candidates with the help of populist Tea Party backing , signifying a general push towards the right within US conservatism .'"", ""The Republican party resurgent , falling short of its ambition to win control of both chambers of Congress , but registering some figurehead Tea Party - backed winners with the likes of Rand Paul and Marco Rubio entering the Senate .']""]"
2012-03-28,"['[""Republican presidential frontrunner Mitt Romney \'s bandwagon is gaining speed , with Florida senator Marco Rubio , one of the most sought - after endorsements , announcing on Wednesday night he will back him .""', 'Interviewed on Fox on Wednesday night , Rubio said : "" Well , I am endorsing Mitt Romney and the reason why is not only is he going to be the Republican nominee\'', 'Rubio is one of the rising stars of the party and seen as a future presidential candidate .\', ""He is popular with the Tea party and , as a Cuban - American , might win over some of the Latino voters being lost as a result of the party \'s immigration policy .""]']"
2012-04-11,"[""['Florida senator Marco Rubio and Virginia governor Bob McDonnell have participated in the long - established ritual of ruling themselves out as running - mates for Mitt Romney , who on Wednesday enjoyed his first full day as undisputed Republican presidential candidate .'"", ""McDonnell , interviewed on CBS on Wednesday , said he was happy being governor of Virginia .'"", ""Rubio and McDonnell join a growing queue of Republicans who insist they do not want to be the Republican vice - presidential candidate â€ “'"", ""but they have to say that , concerned they would end up looking foolish if they express an interest and Romney fails to pick them .']""]"
2012-07-09,"[""['It may seem shocking today , but Reagan wanted Ford to be his No 2 to provide foreign policy prowess and regional balance .'"", ""A few months ago , I looked at who Mitt Romney might select as his vice - presidential pick .'"", 'The "" insiders "" agree that the now No 1 or 2 most likely candidate Tim Pawlenty is someone who did n\\\'t appear anywhere on my list .\'', 'My pick Rob Portman is still at the top of most lists , but the former strong favorite , Marco Rubio , has fallen in most "" insider "" polls .\'', 'With Mitt Romney close to making a final decision on his vice president running mate â€ “ with Romney saying "" I have an idea in mind "" â€ “ speculation focuses on the first critical decision of the 2012 election campaign : will it be Marco Rubio or Tim Pawlenty ?\'', 'Kelly Ayotte or Rob Portman ?\', ""Hovering over it all like a wasp at a picnic is a reminder that vice presidential picks can come with a sting : Sarah Palin , the running mate in 2008 who became more than a nuisance to John McCain \'s campaign .""]']"
2012-07-27,"[""['His stock rose on Friday with the intervention of leading Republican congressman John Boehner .'"", 'On Friday , former New York mayor Rudy Giuliani said he thought Rubio to be "" the most exciting "" candidate being talked about .\'', ""But in a tweet on Friday , Romney aide Beth Myers perhaps provided a clues .'"", ""With Mitt Romney overseas on a gaffe - ridden jaunt , his would - be deputies are taking up the campaigning slack back at home , jockeying for position as they press the flesh on the campaign trail .'"", ""But with the presidential candidate himself winging it to Israel for a reception he hopes will be better than the one he received in London , the coast is clear for one of the would be running - mates to start , well , making the running .']""]"
2012-11-17,"[""['The Republican senator dashed onto the field with a trip to the caucus state of Iowa on Saturday in the apparent belief that with over 1,450 days till the next election there was no time to lose .'"", ""Just when you thought it was all over , with Barack Obama still savouring victory , the game starts anew .'"", ""Marco Rubio has seemingly kicked off the 2016 presidential race .']""]"
2013-02-12,"['[""Florida senator Marco Rubio will deliver the Republican reply to the president \'s state of the union address on 12 February , party leaders announced Wednesday .""', ""The US Senate voted overwhelmingly to pass legislation reauthorising the Violence Against Women Act on Tuesday , despite the efforts of a group of Republican men who tried to block it .'"", ""Florida senator Marco Rubio , who will deliver the official GOP response to the state of the union address on Tuesday night , led a group of 22 male Republicans who voted against the bill , which established a system for helping women in danger from domestic violence .'"", ""No women or Democrats opposed the bill and it passed 78 - 22 .'"", ""Young Hispanic leaders are planning to reactivate the nationwide campaign they launched in 2012 against the Republican presidential candidate Mitt Romney , focusing their energies this time against one of the most prominent Latino conservatives , Marco Rubio .'"", ""And I am especially honoured to be addressing our brave men and women serving in the armed forces and in diplomatic posts around the world .']""]"
2013-02-13,"['[""Helping the middle class grow will also require an education system that gives people the skills today \'s jobs entail and the knowledge that tomorrow \'s world will require ."", ""In the short time I \'ve been here in Washington nothing has frustrated me more than false choices like the ones the president laid out tonight .""', ""Let me begin by congratulating President Obama on the start of his second term .'"", ""And I am especially honoured to be addressing our brave men and women serving in the armed forces and in diplomatic posts around the world .']""]"
2013-04-13,"['[\'"" Tens of thousands took part in demonstrations in Washington DC and elsewhere across the country on Saturday in support of reform .\'', ""Marco Rubio , one of the perceived favourites for the Republican presidential nomination in 2016 , threw his weight fully behind immigration reform on Sunday , two days before a draft bill is due to be published .'"", ""The support of Florida senator increases the chance of immigration reform finally making it into legislation .']""]"
2013-04-14,"[""['Rubio was asked about the visit on two Sunday talk shows , where he had been booked primarily to discuss immigration reform .'"", ""Florida Senator Marco Rubio appeared on seven national news television shows Sunday to make his case for immigration legislation .'"", ""The support of Florida senator increases the chance of immigration reform finally making it into legislation .']""]"
2013-05-06,"[""['The US Senate on Monday passed a bill aimed at ending tax - free shopping on the internet but the move looks set to face fierce opposition before it becomes law .'"", ""The Marketplace Fairness Act , which has cross - party supporter and the backing of powerful retailers , would give states the power to require retailers with sales over $ 1 m to collect state and local sales taxes for online purchases .'"", ""The bill has the support of president Barack Obama the majority of senators including Republican John McCain but Marco Rubio , seen a potential Republican presidential hopeful , and Rand Paul both voted against the bill .']""]"
2013-09-25,"[""['If his pseudo - filibuster had lasted until 3 pm Wednesday , Cruz would have broken the record for the longest - ever Senate speech set by Strom Thurmond in 1957 in an attempt to prevent passage of the Civil Rights Act .'"", '"" I want to make sure everyone understands : There is no filibuster today , "" declared Reid at the outset of Tuesday \\\'s session .\'', 'Texan Republican Ted Cruz talked through the night in a marathon speech against Obamacare , in a show of congressional theatrics devoid anything other than symbolic consequence .\', ""Cruz \'s speech was not technically a filibuster , as it he was merely speaking during a permitted time slot .""]']"
2014-01-08,"['[\'Senator Marco Rubio \\\'s office hyped his speech Wednesday as an "" Address on the 50th Anniversary of the \\\' War on Poverty \\\' "" , a rather grand billing given its familiar proposals .\'', 'Fifty years after Democratic president Lyndon Johnson declared a "" war on poverty , Republican leaders sought to recapture the political territory for themselves on Wednesday with a concerted attack on the idea that federal spending is the best weapon .\'', ""Rubio has slipped in and out of a few different presidential wrappers since he appeared in the US Capitol .'"", ""Florida senator Marco Rubio , a child of Cuban immigrants tipped for his own presidential run , led the charge with a proposal to take most of an estimated 77 separate federal poverty programmes away from Washington and give the money to states to spend on tailored local initiatives instead .'"", ""â€œA vicious cycle of intergenerational poverty with complex and overlapping causes will not be solved by continuing with the same stale Washington ideas , â€ �']""]"
2014-01-09,"['[""In doing so , it set the stage to make today \'s GOP proposals seem more palatable , though they come limned in subtle condemnations of the underserving poor ."", ""To put that another way , 99 % of today \'s Tanf recipients have purchasing power below 1996 levels ."", ""On Thursday the White House will also flesh out proposals first announced today to establish five new \' promise zones \' to revitalise struggling areas of San Antonio , Philadelphia , Los Angeles , south - eastern Kentucky and the Choctaw Nation of Oklahoma .""', ""Rubio has slipped in and out of a few different presidential wrappers since he appeared in the US Capitol .'"", 'He used to be "" The Republicans \\\' Obama "" .\'', ""Florida senator Marco Rubio , a child of Cuban immigrants tipped for his own presidential run , led the charge with a proposal to take most of an estimated 77 separate federal poverty programmes away from Washington and give the money to states to spend on tailored local initiatives instead .'"", ""â€œA vicious cycle of intergenerational poverty with complex and overlapping causes will not be solved by continuing with the same stale Washington ideas , â€ �']""]"
2015-01-23,"[""['Two competing wings of the Republican party squared up for future control of the White House on Friday , as conservative presidential hopefuls gathered for a suddenly even more dramatic meeting in Iowa â€ “ and as Florida senator Marco Rubio was reported to be the latest mainstream candidate preparing to seek the 2016 nomination .'"", ""Rubio , who is said to be meeting potential donors on Friday and Saturday in Miami to crystallise his plans for a run , would join former governor and long - time mentor Jeb Bush in an unusually crowded offering from one state alone .'"", ""Following Bushâ€ ™ s announcement of a fundraising committee this month , his young protegeâ€ ™ s apparent decision to explore the presidency highlights a growing challenge for more business - friendly establishment candidates to cut through an increasingly crowded field with early but unofficial declarations to tie up key donors .']""]"
2015-02-27,"[""['Florida senator Marco Rubio was grilled on his support for immigration reform on Friday , at a conference for conservative activists that underlined the uphill battle he will face if he runs for the Republican nomination for president in 2016 .'"", ""As Congress moves toward a possible shutdown of the Department of Homeland Security , in protest at Barack Obamaâ€ ™ s executive action on immigration , the co - author of a Senate bill that shared many of the presidentâ€'"", ""™ s objectives was always going to have a rough ride at the Conservative Political Action Conference ( CPAC ) .']""]"
2015-03-15,"[""['â€œwhat state can you win?â€ � Rubio replied , Florida on March 15 .'"", ""And theyâ€ ™ re trying to wait , apparently , until March 15 to finally win a state , â€ � Cruz added .'"", ""He admitted , however , that should he lose in his home state , Ohio , on 15 March , a winner - take - all contest in a critical state ,']""]"
2015-03-30,"[""['In a slip - up of speech on Fox News on Monday , Senator Marco Rubio of Florida nearly raised the specter of a â€œnuclear strikeâ€ � on Iran , before correcting himself .'"", ""Rubio went on Foxâ€ ™ s'"", ""Rand Paul , Chris Christie and Marco Rubio have also been invited to an event that bills itself as a â€œstar - studdedâ€ � chance to meet the â€œtop presidential candidatesâ€ � .']""]"
2015-04-12,"[""['But the 43-year - old father of four received an early indication of the strong headwinds that lie in his path with the upstaging of his â€œbig announcementâ€ � by Clintonâ€ ™ s declaration on Sunday .'"", ""â€œYesterday , a leader from yesterday began a campaign for president by promising to take us back to yesterday , â€ �'"", ""â€œI regret my father did not live to see this day .'"", ""After laying the groundwork on Sunday talk shows and the Senate floor , the Miami unveil served as the first openly presidential platform for Rubio to lay out a vision for Americaâ€ ™ s role on the world stage that is at once openly interventionist and politically confrontational : likening Clinton to â€œa leader from yesterdayâ€ � , Rubio soaked up major applause lines while criticizing a nuclear deal with Iran , the Obama administrationâ€ ™ s souring relationship with Israel and renewed US ties with Cuba .'"", ""Had Clinton not entered the race on Sunday , they argued , any one of those names could have entered the fray .'"", ""Barely 24 hours after Hillary Clintonâ€ ™ s relatively low - key entrance into the 2016 presidential race , Republican Marco Rubio has declared his own intention to run for president , telling donors he feels â€œuniquely qualifiedâ€ � to to pitch his party as one that will defend the American Dream ..'"", ""In a swipe at Democratic rival Hillary Rodham Clinton , Rubio said the former first lady â€œis a leader from yesterdayâ€ � .'"", ""One day after Clinton cast a looming shadow over the entire election , Rubio , the son of Cuban immigrant parents , announced his intention to seek the Republican nomination at Miamiâ€ ™ s Freedom Tower â€ “ the â€œEllis Island of the southâ€ � where thousands of families fleeing Fidel Castroâ€ ™ s 1959 revolution were processed .']""]"
