1999-04-24,"[""['This week - with programmes including The Trial Of Margaret Thatcher ( Channel 4 , Saturday ) , with Gerald Kaufman prosecuting , John Redwood defending and the dock regrettably empty - the medium marks the 20th anniversary of her first election victory on May 3rd 1979 and the networks will in part be telling their own story because no other Prime Minister has had so much influence on broadcasting .'"", 'Margaret Thatcher ( 73 )\', ""Twenty years ago , our companies were impeded by militancy and restrictive practices , our management was complacent , our workforce unproductive and state - owned firms ate up what should have gone to schools and hospitals . \'""', ""Mick Costello , 62 , entrepreneur'"", 'If Margaret Thatcher had been asked at the beginning of her first term to identify one individual who stood for everything she hated , she might have chosen Mick Costello .\', ""In 1979 , he was industrial organiser of the Communist Party of Great Britain , so regularly in the thick of things during strike action that the Sun labelled him \' the most dangerous man in Britain \' .""', ""Mick Costello , 62 , entrepreneur'"", 'If Margaret Thatcher had been asked at the beginning of her first term to identify one individual who stood for everything she hated , she might have chosen Mick Costello .\', ""In 1979 , he was industrial organiser of the Communist Party of Great Britain , so regularly in the thick of things during strike action that the Sun labelled him \' the most dangerous man in Britain \' .""', 'The winds blew , the snows fell and Margaret Thatcher romped to a 43-seat majority .\', ""One newspaper certainly saw it that way . \'""', 'The winds blew , the snows fell and Margaret Thatcher romped to a 43-seat majority .\', ""One newspaper certainly saw it that way . \'""]']"
1999-04-25,"[""['Today the Communist Party is dead and Mick is a businessman , using his Russian knowledge to forge links between companies in Britain and the former Soviet Union .'"", 'Today the Communist Party is dead and Mick is a businessman , using his Russian knowledge to forge links between companies in Britain and the former Soviet Union .\', ""The Sunday Times also claimed that the story of Woodhead \'s affair with Amanda Johnston had been \' touted around newspaper offices \' by Cathy and Kate for months .""', ""Mick Costello , 62 , entrepreneur'"", 'If Margaret Thatcher had been asked at the beginning of her first term to identify one individual who stood for everything she hated , she might have chosen Mick Costello .\', ""In 1979 , he was industrial organiser of the Communist Party of Great Britain , so regularly in the thick of things during strike action that the Sun labelled him \' the most dangerous man in Britain \' .""', ""Mick Costello , 62 , entrepreneur'"", 'If Margaret Thatcher had been asked at the beginning of her first term to identify one individual who stood for everything she hated , she might have chosen Mick Costello .\', ""In 1979 , he was industrial organiser of the Communist Party of Great Britain , so regularly in the thick of things during strike action that the Sun labelled him \' the most dangerous man in Britain \' ."", ""One newspaper certainly saw it that way . \'"", ""One newspaper certainly saw it that way . \'""]']"
1999-06-15,"[""['Ms Brautigam estimates that there are more than 100,000 expatriate workers in Africa today , costing £ 2.5bn a year .'"", ""Ms Brautigam estimates that there are more than 100,000 expatriate workers in Africa today , costing £ 2.5bn a year .'"", ""Opponents of aid and debt relief for the poorest countries in Africa have one simple argument : it is throwing good money after bad .'"", 'Sir Alan Walters , Margaret Thatcher \\\'s former economics guru , put the case in a paper for the Centre for Policy Studies this year . ""\'', ""Opponents of aid and debt relief for the poorest countries in Africa have one simple argument : it is throwing good money after bad .'"", 'Sir Alan Walters , Margaret Thatcher \\\'s former economics guru , put the case in a paper for the Centre for Policy Studies this year . ""\']']"
1999-06-22,"['[""William Hague \'s new political credibility sustained a serious blow last night when the Tory grandee and pro - European , Lord Gilmour , responded to a threat of expulsion with defiance ."", ""Unionist anger with the government was exacerbated yesterday when the Brighton bomber , Patrick Magee , who murdered five people in an attempt to blow up Margaret Thatcher \'s cabinet in 1984 , was released early from jail under the Good Friday Agreement ."", ""Mr Trimble has long regarded Ms Mowlam as too sympathetic to Sinn Fein but yesterday \'s public condemnation marks a significant step in the deterioration of his relations with the government .""', '"" We have gone on talking and talking and talking , "" Mr Blair told Ulster Television last night .\'', ""The prime minister , who has looked on in dismay as a series of deadlines on the executive have passed with no agreement , last night gave the clearest signal to date that the Good Friday Agreement could be in jeopardy if the parties failed once again to bridge their differences .'"", ""As the political parties prepared yesterday for the final round of negotiations , Mr Trimble stepped up the pressure on Downing Street to refuse to give ground on the arms issue by launching his unprecedented attack on Ms Mowlam .'"", 'The former cabinet minister , sacked for insubordination by Margaret Thatcher in her first ideological purge in 1981 , told the Conservative chairman , Michael Ancram , that Mr Hague had turned the party into "" that rare and dismal thing , a doctrinaire sect without charismatic leaders "" - one that was doomed to shrink further .\'', 'Lord Gilmour , the architect of the Rhodesia settlement in 1979 , identified Mr Hague \\\'s crucial error as a failure to keep the party united amid diverse opinions on Europe . ""\', ""Mr Trimble , who criticised Magee \'s release from the Maze prison outside Belfast , underlined his anger when he called on Mr Blair to remove Mo Mowlam as Northern Ireland secretary , claiming she had lost the confidence of unionists .""]']"
1999-07-01,"[""['Viscount Whitelaw of Penrith had been ill for several months and died during the night , his family said today .'"", 'Lord Whitelaw - Willie as he will always be remembered - was a tower of strength for the Conservative Party for some 30 years , "" Heath said today .\'', ""Former Tory Cabinet Minister Lord Whitelaw has died aged 81 , his family confirmed today .'"", 'Last night Lord Tebbit called him "" one of the most astute politicians of his day , though he never liked to own up to it "" .\'', 'Lord Whitelaw , one of the most prominent Conservative politicians of the post - war years and principal lieutenant of Margaret Thatcher , has died aged 81 .\', ""William Whitelaw served as Northern Ireland secretary and leader of the House of Commons under Edward Heath in the 1970s , and as home secretary and leader of the House of Lords during Mrs. Thatcher \'s governments in the 1980s .""', ""William Whitelaw served as Northern Ireland secretary and leader of the House of Commons under Edward Heath and as home secretary and leader of the Lords under Margaret Thatcher , who regarded him as her right - hand man .'"", ""Viscount Whitelaw of Penrith , awarded a hereditary peerage in 1983 , had been ill for several months .']""]"
1999-10-16,"['[""She is scathing about today \'s peace process and has condemned Tony Blair for releasing terrorist prisoners - one of the main concessions in the Good Friday agreement .""', 'The link between MI5 and the IRA , the former Derry priest Denis Bradley , confirmed yesterday that Thatcher also approved of clandestine talks which led to the Northern Ireland peace process in early 1990 .\', ""Bradley said yesterday : \' I was actually in the room with Robert McLarnon and IRA leaders when a phone call came from a European summit during the hunger strike .""', ""Margaret Thatcher gave her personal approval to secret talks between government officials and the IRA leadership in 1990 , setting in a train a dialogue which led to the Northern Ireland peace process which she now regularly denounces .'"", 'In one of her final acts before she was deposed as prime minister , Lady Thatcher allowed her Northern Ireland secretary , Peter Brooke , to talk to republicans through a secret "" back channel "" after MI5 advised the government that the IRA was looking at ways of ending its terrorist campaign .\'', ""John Major was by far the best equipped of the generation of young conservative MPs who entered the House of Commons with the Thatcher victory of 1979 .'"", ""He was very hard - working , knowledgeable about the whole sweep of domestic public policy , a good , unhistrionic parliamentary performer and a likeable , clubbable man , popular across the party .'"", ""But when Margaret Thatcher was forced from office in 1990 by a parliamentary party driven beyond breaking point by rows over Europe , the poll tax and an increasingly reckless authoritarian style of leadership , I did not join those who campaigned for Major to succeed her .'"", ""Margaret Thatcher - who vowed never to negotiate with terrorists - used a secret channel between the IRA and MI5 as far back as the 1981 hunger strike to offer republicans a deal to end the prison fast .'"", ""Bradley said she knew that a senior MI5 officer , Robert McLarnon , had been holding talks with him and the IRA leadership during the hunger strike .']""]"
2000-04-09,"['[\'Downing Street insisted yesterday - in carefully crafted terms - that there was a serious problem of "" not genuine "" asylum seekers , a situation which has been hampered by the Tories \\\' failure to reform the system when they were in office .\'', '"" The prime minister \\\'s view is that in this area you do have to be very , very careful about the language you use and the way you deploy that language , "" Downing Street said yesterday .\', ""Moderate Tories who still cling to the hope that William Hague will one day return to the centre ground were exasperated last week when the Conservative leader decided to play politics with Britain \'s asylum crisis .""', 'In a powerful echo of Margaret Thatcher \\\'s infamous warning that Britain was being "" swamped "" by immigrants , Mr Hague complained of a "" flood "" of bogus asylum seekers .\'', ""The use of such emotive language has sparked a furious debate , prompting the non - partisan United Nations High Commission for Refugees to take the rare step of rebuking the Tories .'"", ""Margaret Thatcher was a problem for writers of political fiction .'"", ""Until her rise , the prime minister in a novel or screenplay would be some generalised grey - hair , played by a character actor in late middle - age .'"", ""But during the decade of Thatcherism , a male prime minister made the story seem dated or futuristic .']""]"
2000-06-18,"['[""He announced himself to his first briefing of the Sunday political lobby with the words : \' Explain to me why I should waste my time with a load of wankers like you when you \'re not going to write anything I tell you anyway . \'"", ""He announced himself to his first briefing of the Sunday political lobby with the words : \' Explain to me why I should waste my time with a load of wankers like you when you \'re not going to write anything I tell you anyway . \'""', ""It gets them all in the end .'"", ""The qualities that were seen as the shining virtues of a Prime Minister when the curtain goes up are redefined as their terrible vices when the cheers turn to jeers .'"", ""Margaret Thatcher was the battling Iron Lady when she arrived in office .'"", ""It gets them all in the end .'"", ""The qualities that were seen as the shining virtues of a Prime Minister when the curtain goes up are redefined as their terrible vices when the cheers turn to jeers .'"", ""Margaret Thatcher was the battling Iron Lady when she arrived in office .']""]"
2000-07-07,"[""['A tinsel bag once owned by the GMTV presenter Lorraine Kelly had yesterday attracted only £ 82 , while a pink suede shopper owned by the fashion journalist Trinny Woodall had reached only £ 60 .'"", ""If internet auctions are a measure of popularity then Margaret Thatcher is enjoying something of a renaissance .'"", ""A potential buyer has bid more than £ 1,400 for a Spitting Image puppet of Lady Thatcher which is being auctioned over the world wide web .'"", 'In a separate internet auction , her black Ferragamo handbag has drawn an offer of £ 200,100 from an American nightclub owner .\', ""The drunken antics of the prime minister \'s son may have come as a shock to Tony and Cherie Blair , but to the offspring of former premiers and cabinet ministers it was just typical teenage behaviour .""', ""Carole Thatcher and her twin brother , Mark , endured years in the media spotlight as the children of Margaret Thatcher .'"", '"" You need quite good shock absorbers and a good sense of humour to be the prime minister \\\'s child , "" she said .\', ""My task this week is to compose a reading list for Ken Follett \'s hols ."", ""I know he is a best - selling novelist and perhaps he uses his holidays to think up new plots , but in the light of his outburst against Tony Blair in last week \'s Observer , I think he should also find time to look at a little history .""', ""Follett seems to suppose that spinning , manipulating , and the settling of scores between ministers through unattributable briefings were invented by Margaret Thatcher and Bernard Ingham .']""]"
2000-11-22,"['[""Ten years before that , as Blair reminded the Commons yesterday , Mrs Thatcher \'s own grasp on reality permitted her to call for a serious strengthening of European defence .""', 'As Mr Blair put it yesterday : "" We are in a new era .\', ""Tony Blair yesterday marked the 10th anniversary of Margaret Thatcher \'s fall from power by making his sharpest attack yet on her legacy and attempting to consign her era to history ."", ""Lady Thatcher triggered yesterday \'s confrontation by joining a chorus of criticism of Mr Blair \'s commitment of 12,500 British troops to the new European rapid reaction force ( RRF ) .""', ""But it was the bust - up with Lady Thatcher that echoed around Westminster last night - coincidentally or not on the 10th anniversary of her enforced resignation .'"", ""Almost two decades after Margaret Thatcher was floored on Nationwide by Diana Gould of Cheltenham , Tony Blair is to submit himself to the nation for a similarly risky exercise in popular democracy .'"", ""As her own contribution to a painful anniversary , Margaret Thatcher charges Tony Blair with political vanity .'"", ""Amid all the lachrymose blather offered to mark the 10th anniversary of the fall of Margaret Thatcher , it was always going to be refreshing to hear someone cut through the guff .'"", 'How much more heartening that this someone should be the present prime minister , Tony Blair .\', ""For much of the commentariat \'s musings had dwelled on the notion of Mr Blair as the son Mrs T never had , with New Labour her truest legacy ."", ""The end of Tony Blair \'s love affair with Margaret Thatcher has been a long time coming .""', 'After six years in which Mr Blair has courted the ousted Tory leader and tried to copy her forceful presidential style , he said : "" I take nothing away from those things that were done in the 1980s that we have kept , but it really is time in my view that we move British politics beyond the time of Margaret Thatcher .\']']"
