1999-04-13,"['[\'The pony - tailed one also confirmed last night that he will be staying with Arsenal next season .\', ""Last night , Fulham finally won promotion to the First Division , which means that Kelvin Koogan , just like Dennis Waterman in his memorable sitcom \' On The Up \' , is on the up .""', ""Sky Sports 2 : Manchester United v Arsenal live ( 7 pm )'"", ""Scottish football - Hearts v Celtic Live ( 7 pm )'"", ""Live football ( 7 pm )'"", ""YOU ENGLISH ARE'"", ""SO CRAZY !']""]"
1999-06-03,"[""['In its morning operation report , Nato said it had flown 610 sorties on Thursday , including 234 strikes and 74 air - defence suppression missions , broadly in the line with the count of the past week .'"", 'Thursday \\\'s peace agreement stipulates that they must all withdraw under a "" fast and precise timetable "" and suggests seven days .\'', 'Thursday \\\'s peace agreement stipulates that they must all withdraw under a "" fast and precise timetable "" and suggests seven days .\'', 'Speaking after the European Union summit in Cologne , he said the Serbian pull - out could get underway shortly after the first contacts between Nato and Serbian military officers to discuss the logistics of a withdrawal .\', ""Britain \'s lieutenant - general Sir Michael Jackson was given the responsibility of leading talks with Yugoslav military officials on the implementation of the peace plan .""]']"
1999-06-04,"['[""Western leaders yesterday moved swiftly to take advantage of the sudden Serbian capitulation to their Kosovo peace plan as General Michael Jackson of Britain , commander of Nato \'s Rapid Reaction Force and of the 16,000 Nato troops in Macedonia , prepared to dictate the terms of the Yugoslav military withdrawal from the province .""', 'The Pentagon announced last night that the bombing of Yugoslavia could stop by tomorrow if the Serbian authorities cooperated with the allied plan for withdrawal from Kosovo .\', ""Western leaders yesterday moved swiftly to take advantage of the sudden Serbian capitulation to their Kosovo peace plan as General Michael Jackson of Britain , commander of Nato \'s Rapid Reaction Force and of the 16,000 Nato troops in Macedonia , prepared to dictate the terms of the Yugoslav military withdrawal from the province .""', ""The Pentagon announced last night that the bombing of Yugoslavia could stop by tomorrow if the Serbian authorities cooperated with the allied plan for withdrawal from Kosovo .'"", 'Speaking after the European Union summit in Cologne , he said the Serbian pull - out could get underway shortly after the first contacts between Nato and Serbian military officers to discuss the logistics of a withdrawal .\', ""Britain \'s lieutenant - general Sir Michael Jackson was given the responsibility of leading talks with Yugoslav military officials on the implementation of the peace plan ."", ""Known to his admiring subordinates as General Mike , he has been in charge of Nato \'s Rapid Reaction Corps , stationed in Macedonia , since last autumn ."", ""Known to his admiring subordinates as General Mike , he has been in charge of Nato \'s Rapid Reaction Corps , stationed in Macedonia , since last autumn ."", ""Once the order is given , Gen Jackson \'s force - 15,000 troops from the Nato Rapid Reaction Force - could be ready to enter Kosovo within 48 hours ."", ""Once the order is given , Gen Jackson \'s force - 15,000 troops from the Nato Rapid Reaction Force - could be ready to enter Kosovo within 48 hours .""]']"
1999-06-05,"[""['Britain announced that a further 4,000 troops , including mine clearance specialists , would be dispatched to Macedonia today , along with 12 helicopters .'"", 'Gen Jackson is to meet senior Yugoslav officers on the Kosovo border today to spell out when and how the Serbian withdrawal is to be implemented .\', ""Nato \'s schedule is frantic : today , agreement on the routes to be used by the 40,000 withdrawing Yugoslav troops , and how equipment is to be transported .""', ""Britain announced that a further 4,000 troops , including mine clearance specialists , would be dispatched to Macedonia today , along with 12 helicopters .'"", 'Gen Jackson is to meet senior Yugoslav officers on the Kosovo border today to spell out when and how the Serbian withdrawal is to be implemented .\', ""Nato \'s schedule is frantic : today , agreement on the routes to be used by the 40,000 withdrawing Yugoslav troops , and how equipment is to be transported ."", ""When that period starts will depend on Gen Jackson \'s border meeting and talks in Belgrade today between senior Nato staff officers and the Serbian government ."", ""When that period starts will depend on Gen Jackson \'s border meeting and talks in Belgrade today between senior Nato staff officers and the Serbian government ."", ""Known to his admiring subordinates as General Mike , he has been in charge of Nato \'s Rapid Reaction Corps , stationed in Macedonia , since last autumn ."", ""Known to his admiring subordinates as General Mike , he has been in charge of Nato \'s Rapid Reaction Corps , stationed in Macedonia , since last autumn ."", ""Once the order is given , Gen Jackson \'s force - 15,000 troops from the Nato Rapid Reaction Force - could be ready to enter Kosovo within 48 hours ."", ""Once the order is given , Gen Jackson \'s force - 15,000 troops from the Nato Rapid Reaction Force - could be ready to enter Kosovo within 48 hours .""]']"
1999-06-06,"[""['Foreign ministers of the G8 - Russia and the seven leading industrialised countries - will meet in Cologne on Sunday to approve a draft that will form the basis of a United Nations security council resolution enshrining the peace agreement between the G8 and Yugoslavia .'"", ""Tomorrow , the foreign ministers of the western industrialised nations , including Japan and Russia , meet outside Bonn to draft a UN security council resolution autho rising the Kosovo operations .'"", ""Tomorrow is expected to see the security council resolution agreed and a possible halt to the bombing , which continued yesterday .'"", ""Tomorrow , the foreign ministers of the western industrialised nations , including Japan and Russia , meet outside Bonn to draft a UN security council resolution autho rising the Kosovo operations .'"", ""Tomorrow is expected to see the security council resolution agreed and a possible halt to the bombing , which continued yesterday .'"", ""The settlement calls for the complete withdrawal of Yugoslav forces from the province and the deployment of international peacekeepers , led by Nato , to protect more than 800,000 ethnic Albanian refugees when they return , General Jackson said Yugoslav officials had put forward unacceptable proposals for the troop withdrawal during talks at an air base at Kumanovo , Macedonia , that began late Sunday and lasted until the early hours today .'"", ""Nato said it would intensify its bombing campaign as diplomats scrambled to save the Kosovo peace plan amid alliance accusations that Yugoslav officials made unacceptable demands in talks on Serbian troop withdrawals from Kosovo .'"", 'The alliance has "" no alternative but to continue and intensify the air campaign until such time as the Yugoslavs are prepared to implement the agreement fully and without ambiguity , "" said major general Michael Jackson , the British commander of Nato troops in Macedonia .\', ""The difficulties in implementing last week \'s peace accord will receive high level attention in Bonn as Madeleine Albright , the US secretary of state arrives for talks with foreign ministers from Russia and the other members of the G8 countries , which drew up the Kosovo peace plan .""]']"
1999-06-08,"[""['President Clinton said on Tuesday that he did not expect Russian troops to be under Nato .'"", ""President Clinton said on Tuesday that he did not expect Russian troops to be under Nato .'"", ""Age : 55 .'"", ""Appearance : Muscular WH Auden in a red beret and a camouflage smock .'"", ""Background :']""]"
1999-09-27,"['[""Sure , but I was 16 or 17 , and I did n\'t know so much as I do today .""', '"" We do things differently today .\'', 'Today you have to take your own responsibility for what you are executing .\', ""Morton \'s latest mound of steaming unhappiness was discovered yesterday morning , when eagle - eyed staff noted that the goalposts had been snapped in half .""', ""He did however accompany the rest of the squad in training last night .'"", ""General Klaus Reinhardt is preparing to leave the beautiful university city of Heidelberg .'"", ""Next week he takes over from Lieutentant General Sir Michael Jackson as the boss of Kfor , the Nato peacekeeping unit in Kosovo .'"", ""He will be the first German to command a British force since the battle of Leipzig in 1813 .'"", 'FUL OF IT Welcome to Fulham , home to the stars .\', ""and you \'re almost guaranteed to spot someone stellar .""]']"
1999-10-02,"[""['Newcastle United forward Temuri Ketsbaia will be out for up to six weeks after damaging knee ligaments in the 3 - 2 defeat at Leeds on Saturday .'"", ""The Big Match ( 10 pm )'"", 'Sky Sports 1 : Inside Scottish Football ( 6.30pm , repeated 11 pm )\', ""The Fiver wakes up , goes to the kitchen , and scrawls \' Never eat Primula spread after 9 pm \' on the fridge door .""', ""Sky Sports 3 : Brian Moore Interviews ( 11 pm )'"", ""Champions on 28 ( 7 pm )'"", ""Radio 5 Live : 5 Live Football ( 7 pm )']""]"
1999-10-13,"['[""Poor collaboration between police forces and local examining magistrates was evident from the day Peake \'s body was found on 13 October .""', ""Whenever Channel 4 unveils its new schedule , there ’s a small but highly vocal constituency that likes nothing better than to sift through the listings for those programmes that Michael Jackson ’s corporation seems to have a knack of churning out time and time again .'"", ""In the past they ’ve found rich pickings in Queer'"", ""As Folk , Eurotrash and 4 Later , but this time an unprecedented whoop of joy must have sounded in the offices of the Daily Mail and Mary Whitehouse .']""]"
2000-05-15,"[""['A report issued by consultant KPMG said yesterday that trusted brands and large customer bases will help traditional banks throughout Europe fend off competition from new entrants in the internet sector .'"", ""\\x95 On the ball Computer software company'"", ""Software4Sport , which sells sports venues and events management applications to customers including Bradford City and Chelsea football clubs , is planning a flotation on AIM which could value the company in excess of £ 13 m .'"", ""The company , led by non - executive chairman Michael Jackson , who is also chairman of the Sage Group , plans to raise over £ 3 m from institutional and private investors .']""]"
