2007-12-24,"[""['While Obama featured his wife and daughters in a Christmas Eve ad in Iowa , the children have largely remained out of sight .'"", ""While Obama featured his wife and daughters in a Christmas Eve ad in Iowa , the children have largely remained invisible .']""]"
2008-02-20,"['[\'"" I am proud of my country , "" she said at a rally in Wisconsin today .\'', '"" I am proud of my country , "" she said at a rally in Wisconsin yesterday .\'', 'The row began after Michelle told a rally in Milwaukee that her husband \\\'s run for the presidency meant that "" for the first time in my adult lifetime , I am really proud of my country "" .\']']"
2008-05-19,"['[\'"" I admit , this has been a long job interview , but this is the toughest job in the world , "" she told a crowd in Lexington , Kentucky , last night "" You know that .\'', ""The Illinois senator and his wife , Michelle Obama , will address a crowd in downtown Des Moines , Iowa , the state where in January Obama broke out with a crucial first win over rivals Clinton and John Edwards .']""]"
2008-05-20,"['[\'Voters head to the polls today in primary elections in Kentucky and Oregon , as Hillary Clinton continues her fight despite a growing sense in the Democratic party that Barack Obama will win the Democratic nomination .\', ""Obama \'s decision to hold a campaign rally in a critical swing state , the site of his first victory of the primary season , indicates he \'ll embrace tonight \'s results as a tipping point in the race ."", ""Obama \'s aides expect that after the votes are counted in Kentucky and Oregon tonight , he will have attained a majority of pledged delegates , those awarded in primary elections and caucuses .""', ""The Illinois senator and his wife , Michelle Obama , will address a crowd in downtown Des Moines , Iowa , the state where in January Obama broke out with a crucial first win over rivals Clinton and John Edwards .']""]"
2008-06-01,"[""['Puerto Rico votes June 1 and Montana and South Dakota vote June 3 .'"", ""On June 1 people in Puerto Rico will go to the polls to vote for who should be the Democratic candidate for the US presidency .']""]"
2008-06-03,"[""['But on Tuesday , as she took to the stage with her husband in Minnesota after the final night of primaries , Michelle Obama drew striking parallels with another American fashion icon .'"", 'He began his Super Tuesday speech ( "" We are the ones we have been waiting for "" ) by telling the crowd that he had asked his daughters to come on stage but that the elder dismissed him with , "" Daddy , you know that \\\'s not my thing .\', ""And just as her husband \'s suits nod to the catwalk , Michelle picks up on the colours of the moment : the royal purple of Tuesday \'s dress has been a key shade in the wardrobe of another president \'s wife , Carla Bruni , this season .""', ""On Tuesday his lilac - blue tie looked great with her purple dress .']""]"
2008-06-08,"['[""In today \'s column , How the net \'s political dirt corrupts mainstream media , he illustrates how journalistic idleness - not to mention journalistic bias - can give legs to wild and false rumours that originate on the net .""', 'John Naughton , the perceptive new media commentator for The Observer , tackles the uncomfortable subject of what I now call ( à la Nick Davies ) "" digital churnalism "" .\'', ""Naughton makes his point by showing how reporters followed up some bunkum about a video alleged to show Michelle Obama making a racist statement .']""]"
2008-06-17,"[""['She showed that yesterday when she took to the set of The View , a TV chat show for women .'"", ""Say what you like about Michelle Obama - and people have been saying a lot about her recently , much of it unflattering - but the woman who could become the next first lady of the United States is not one to duck a controversy .'"", 'The most extreme comment lobbed at her to date was the jibe this month that the "" fist bump "" she gave her husband Barack on the night of his victory in the presidential primaries - placing her clenched fist against his - was a secret terrorist handshake .\']']"
2008-06-18,"['[\'And so , on Wednesday , Michelle Obama found herself surrounded by the ladies of the ABC daytime talkshow The View , pontificating on the perils of pantyhose .\', ""The Democratic candidate \'s wife appeared on The View , a US talkshow with an all - female panel , in what looked like an attempt by Obama media strategists to soften her image and correct an impression of black , leftwing militancy which has been spread on the web and picked up in other media .""', ""So when Barack and Michelle Obama pressed their clenched fists together this month , just before he accepted the Democratic presidential nomination , they sent the media into a spasm .']""]"
2008-07-08,"[""['Yesterday , Obama said he regretted exposing his daughters to a mass television audience .'"", ""Voters , meet the Obamas .'"", ""Barack and Michelle Obama let down their guard this week to grant their first family television interview to Access Hollywood with daughters , Malia , 10 , and Sasha , 7 .']""]"
