2000-06-22,"['[\'We will demand Mugabe \\\'s resignation and are confident the army will support us , "" Mr Cross , a leading industrialist , told the Guardian yesterday .\', ""The candidates \' agents as well as independent monitors from local civic groups will be able to stay with the ballot boxes at night on the two polling days to ensure there is no tampering , the government - appointed chairman of the election directorate , Dr Mariyawanda Nzuwa , said yesterday .""', ""Robert Mugabe will be out of power within a month and Zimbabwe will have Morgan Tsvangirai , the leader of the Movement for Democratic Change , as its new president , according to Eddie Cross , the prospective finance minister in the new government .']""]"
2000-06-23,"[""['But Tim Henwood , chairman of the Commercial Farmers Union , said hundreds of farm owners were preparing their appeals and intended to file them on Friday .'"", ""Robert Mugabe will be out of power within a month and Zimbabwe will have Morgan Tsvangirai , the leader of the Movement for Democratic Change , as its new president , according to Eddie Cross , the prospective finance minister in the new government .'"", '"" We expect to get over 76 seats which will be a majority in the 150-seat parliament .\']']"
2000-06-27,"['[""It was the rural vote which saved Robert Mugabe \'s face in Zimbabwe \'s hotly contested elections , and even Morgan Tsvangirai , the opposition leader , accepted that yesterday .""', '"" We realised we had to start mobilising , and we did , "" one senior party figure said yesterday .\'', '"" The result was a true reflection of rural people \\\'s views .\', ""We did n\'t have access to them , and the work we did there before the reign of terror was insufficient .""]']"
2000-06-28,"[""['At its strategy meeting yesterday the MDC also discussed its priorities .'"", ""Mr Mugabe too was meeting his senior colleagues yesterday .'"", 'At its first meeting since failing to win control of parliament in last weekend \\\'s elections , the MDC executive said : "" Disturbing facts have come to light . ""\'', ""The dossiers are believed to cover events in Buhera North , where the MDC leader , Morgan Tsvangirai , was defeated by Zanu - PF .']""]"
2000-10-09,"['[\'After returning from South Africa and evading police who planned to arrest him on treason charges at the airport , Zimbabwe \\\'s opposition leader , Morgan Tsvangirai , yesterday called on President Robert Mugabe to hold early elections or resign . ""\'', ', "" Mr Tsvangirai said yesterday .\'', 'Mugabe \\\'s term as president lasts until 2002 , but he no longer has the mandate of the people or their support , "" said Mr Tsvangirai , leader of the Movement for Democratic Change shortly after his arrival .\']']"
2000-11-07,"['[""Zimbabwe \'s main opposition leader , Morgan Tsvangirai , predicted yesterday that a series of planned demonstrations and strikes would topple President Robert Mugabe within the next few months .""', ""Mr Tsvangirai , who heads the Movement for Democratic Change ( MDC ) , left London last night to return to Zimbabwe .'"", 'The former Rhodesian leader Ian Smith returned to Zimbabwe from Britain earlier yesterday , dismissing threats that he would be arrested and echoing Mr Tsvangirai \\\'s call for Mugabe to resign . ""\']']"
2001-02-18,"['[""The information minister , Jonathon Moyo , said the government felt no obligation to abide by a Harare high court decision yesterday blocking the authorities from expelling Joseph Winter of the BBC , and Mercedes Sayagues , who works for the Guardian \'s sister paper in Johannesburg , the Mail and Guardian .""', 'A group of men arrived on the doorstep of Mr Winter , the BBC reporter , at 2 am yesterday , demanding to be allowed into his flat .\', ""The Zimbabwean government has intensified its assault on opposition and dissent with moves to bar the leading challenger to Robert Mugabe from the next presidential election , new threats to kill white farmers and the expulsion of two foreign journalists , including the BBC \'s correspondent .""]']"
2001-02-19,"[""['Mr Winter flew to Johannesburg yesterday after a raid on his home late Sunday night by men presumed to be government supporters forced him and his family to seek shelter at the British high commission .'"", 'But confusingly , a senior BBC TV reporter and camera team from Johannesburg were allowed into Zimbabwe yesterday and given accreditation "" until new regulations come into force "" .\', ""The Zimbabwean government has intensified its assault on opposition and dissent with moves to bar the leading challenger to Robert Mugabe from the next presidential election , new threats to kill white farmers and the expulsion of two foreign journalists , including the BBC \'s correspondent .""', 'The expulsion orders issued against two foreign correspondents working in Zimbabwe and expected moves to force all others to leave the country are just the latest in a long string of depredations wrought by Robert Mugabe .\', ""After terrorising the farming community , intimidating the opposition and fiddling last summer \'s general election , Mr Mugabe is now focusing on his own presidential re - election bid .""', 'His "" campaign "" to date has included attempts to trump up criminal charges against Morgan Tsvangirai , the Movement for Democratic Change \\\'s leader and his main rival , thereby disbarring his candidacy ; the forced resignation of senior judges who challenged his diktats ; renewed rampages by thugs given free rein by Zanu - PF ; and efforts to muzzle the domestic media .\', ""The United States says it is looking for new ways to punish Robert Mugabe following government threats to the lives of Zimbabwe \'s leading judges and the expulsion of two foreign journalists , including a BBC correspondent .""', 'Washington said it was consulting key allies , including Britain , to coordinate measures to get the government to halt its increasingly violent campaign against opponents and what appear to be the first steps toward barring the opposition leader , Morgan Tsvangirai , from running for president on trumped up charges of inciting revolution .\', ""The US has already cut a large proportion of its aid since Mr Mugabe encouraged supporters to occupy white - owned farms and ignored his supreme court \'s ruling that the land invasions were illegal .""]']"
2001-03-09,"[""['For those who can bear the suspense , all will be revealed in the polls due on March 9 - 10 .'"", ""The EU team , led by a senior Swedish official , is expected to grow to 30 over the next couple of weeks and to the full strength of 150 by polling day on March 9 .'"", ""Elsewhere in the country , South African observers monitoring the presidential elections set for March 9 - 10 were threatened and their vehicle damaged when they witnessed an assault on MDC workers .'"", ""African leaders are negotiating with Zimbabwean opposition leader Morgan Tsvangirai to arrange a safe passage out of the country for President Robert Mugabe if he loses the hotly contested presidential poll on March 9 and 10 , according to diplomatic sources .'"", ""As opinions polls showed Mr Mugabe trailing well behind Mr Tsvangirai in the run - up to the presidential election on March 9 - 10 , police in Harare accused the opposition leader of plotting to assassinate the president .'"", ""But the organisation is expected to fudge the issue of Zimbabwe by delaying a decision on implementing suspension until after the election , due to take place on March 9 - 10 .']""]"
2001-05-07,"['[\'The Zimbabwean opposition leader , Morgan Tsvangirai , goes on trial today on politically motivated charges of treason designed to prevent him from running for president against Robert Mugabe .\', ""The MDC leader \'s lawyers say their opening ploy today will be to try to get the case moved from the high court to the supreme court on the grounds that the Law and Order ( Maintenance ) Act is unconstitutional .""', ""The Zimbabwean opposition leader , Morgan Tsvangirai , won an important first round victory against the government at his terrorism trial yesterday when the high court questioned the constitutionality of oppressive British colonial - era laws used to charge him .'"", 'The prosecutor , Nathaniel Sibanda , told the court yesterday that Mr Tsvangirai \\\'s words were an incitement to revolution . ""\'', 'Yesterday , Mr Tsvangirai praised the independence of the judiciary despite attempts by the government to purge the courts of "" disloyal "" judges .\'', ""The accused : Morgan Tsvangirai Tsvangirai , 49 , came to national prominence as a trade union leader .'"", 'The legal assault on the increasingly cowed opposition comes as the government unleashes a fresh wave of intimidation against its detractors , this time aimed at breaking Mr Tsvangirai \\\'s support in the cities after Mr Mugabe \\\'s "" war veterans "" successfully terrorised the rural areas .\'', ""Armed thugs are targeting businesses in an attempt to curb financial backing for the opposition and intimidate workers into supporting Mr Mugabe .'"", 'The high court postponed the trial while the supreme court considers whether President Robert Mugabe can even use the notorious Law and Order ( Maintenance ) Act which has been wielded by every Zimbabwean government for four decades to oppress opponents .\', ""If the supreme court strikes down either the entire act or the section dealing with terrorism , it will not only end Mr Tsvangirai \'s prosecution but possibly remove an important weapon from Mr Mugabe \'s arsenal in his battle with all manner of opponents .""]']"
2001-07-04,"['[""The Zimbabwean opposition leader , Morgan Tsvangirai , said yesterday he had secured pledges from Britain , Europe and the US to provide independent observers for next year \'s presidential election , when he will stand against Robert Mugabe .""', 'With seven parliamentary byelections pending , Mr Tsvangirai is anxious for foreign monitors to be present in the coming months to prevent the intimidation of voters .\', ""There were widespread complaints of fraud and violence during last year \'s parliamentary elections .""]']"
2001-09-11,"['[""The report ', ' Zimbabwe : Time for International Action \' , warned that the postponement of the Commonwealth Heads of Government Meeting following the 11 September terrorist attacks in the US should not allow President Mugabe to believe that because the world \'s attention is distracted he is free to continue violent repression in his country .""]']"
2001-11-20,"[""['Court clears Mugabe rival The Zimbabwe supreme court threw out charges of terrorism against the opposition leader , Morgan Tsvangirai , yesterday , saying that they contravened the constitution .'"", ""Reuters , Harare Winnie for trial Winnie Madikizela - Mandela , ex - wife of the former president Nelson Mandela , is to stand trial next year for alleged theft and fraud , a Pretoria court ruled yesterday .']""]"
2001-12-15,"['[""President Robert Mugabe urged his supporters yesterday to go to war against Zimbabwe \'s opposition Movement for Democratic Change ."", ""This is total war ', ' said Mugabe at the close of his Zanu - PF party congress in Victoria Falls . \'""]']"
2001-12-22,"['[""Zimbabwean opposition leader Morgan Tsvangirai yesterday welcomed the imposition by the United States of limited sanctions against President Robert Mugabe . \'"", ""We do n\'t want sanctions against the country ."", ""We want sanctions against the perpetrators of violence , of which Mugabe is the captain ', ' said Tsvangirai to cheers from thousands of delegates at the first annual congress of his party , the Movement for Democratic Change .""]']"
2001-12-25,"[""['Ordinarily the weeks before Christmas are a particularly fun time , with seasonal rains giving everyone hope for a good agricultural crop in the coming year and the markets brimming with ripe tropical fruits and vegetables .'"", ""Our Christmas bonuses have been eaten up by inflation .']""]"
2002-01-04,"[""['Andrew Meldrum , Harare Poll protest The Zambian Forum for Democracy and Development party called yesterday for peaceful protests against President Levy Mwanawasa , whose party is alleged by the opposition to have rigged the recent elections .'"", 'Zimbabwe civil war claim Morgan Tsvangirai , head of the Zimbabwean Movement for Democratic Change , said the country was heading towards "" a low - intensity civil war "" because of violence by President Robert Mugabe \\\'s party youth militia , which he said had killed four members of the MDC in the past 10 days .\']']"
2002-01-31,"[""['Mr Mugabe is due to sign into law a repressive press bill which was finally passed by parliament last Thursday and which critics say will stifle criticism of the regime during the election campaign .'"", 'A shootout is under way between the "" bad "" guys - President Robert Mugabe , Zanu - PF hardliners and hand - picked army generals , and the so - called war veterans - and the good guys - the Movement for Democratic Change led by Morgan Tsvangirai , the trade unions , and what remains of the independent judiciary and media .\']']"
2002-02-01,"['[\'Zimbabwe \\\'s President Robert Mugabe kicked off his re - election campaign yesterday by attacking his main opponent , Morgan Tsvangirai , as "" a puppet of Britain "" .\'', 'Mr Mugabe drew a supportive but muted response from the crowd in his 30 minute speech , which concentrated on attacking Britain even more than Mr Tsvangirai , the leader of the Movement for Democratic Change . ""\']']"
2002-02-02,"['[\'He has homosexuals and they make John marry Joseph and let Mary get married to Rosemary , "" Mr Mugabe said on Saturday .\'', 'Mr Mugabe drew a supportive but muted response from the crowd in his 30 minute speech , which concentrated on attacking Britain even more than Mr Tsvangirai , the leader of the Movement for Democratic Change . ""\']']"
2002-02-03,"['[\'The opposition Movement for Democratic Change has until now avoided direct confrontation with the military , but at the launch yesterday of his campaign for the March 9 and 10 election , Mr Tsvangirai told supporters that he would sack army officers who did not have "" the professional integrity to respect your vote "" .\', ""The Zimbabwean opposition leader , Morgan Tsvangirai , has faced down senior military officers who have threatened a coup if he wins next month \'s presidential election , by saying that he will sack them .""', 'Last month , the army high command said it would not recognise any government that did not adhere to the aims of the "" revolution "" , and that any president was confined to a "" straitjacket "" , taken to mean that he could not pursue policies the military does not like .\']']"
2002-02-04,"['[\'The European Union is due to announce today what measures it will take to encourage free and fair elections .\', ""The Zimbabwean opposition leader , Morgan Tsvangirai , has faced down senior military officers who have threatened a coup if he wins next month \'s presidential election , by saying that he will sack them .""', 'Last month , the army high command said it would not recognise any government that did not adhere to the aims of the "" revolution "" , and that any president was confined to a "" straitjacket "" , taken to mean that he could not pursue policies the military does not like .\']']"
2002-02-05,"['[""Zimbabwean police released the journalist Basildon Peta yesterday after the attorney general \'s office refused to prosecute him for planning a protest against the government \'s harsh new press law ."", ""Britain \'s foreign minister , Jack Straw , warned yesterday that Mr Mugabe \'s government risks losing international recognition if next month \'s elections are not judged to be free and fair .""', ""The incident comes just five weeks before the presidential election in which President Robert Mugabe faces the stiffest challenge in his 22 years in power from Morgan Tsvangirai , leader of the Movement for Democratic Change ( MDC ) .'"", ""Mr Peta , a reporter for the Independent in London and secretary general of the Zimbabwe Union of Journalists , was held overnight and his home ransacked twice by police , who have sweeping powers under the new Public Order and Security Act .']""]"
2002-02-12,"[""['Mr Tsvangirai dismissed the charges yesterday .'"", 'Referring to Mr Tsvangirai \\\'s presence , one of the Canadian company \\\'s employees says in extracts released yesterday : "" The MDC , represented by the top man who \\\'s sitting here right now , commits to - let \\\'s call it ... the coup d\\\'etat or the elimination of the President . ""\']']"
2002-02-13,"[""['An Australian television network , SBS , broadcast a grainy video last night purported to be of a meeting between Mr Tsvangirai , Mr Ben - Menashe and other company officials in Montreal last December .'"", ""Ari Ben - Menashe , who was once employed as a junior officer in Israeli intelligence , claimed that his Montreal - based firm , Dickens and Madson , was approached last year by someone acting on behalf of Mr Tsvangirai to help the Zimbabwe opposition party , the Movement for Democratic Change .'"", 'Mr Ben - Menashe described the firm as a "" political consultancy "" and "" lobbyist "" and said he had known Mr Mugabe for some time .\']']"
2002-02-19,"['[\'The crisis over the EU \\\'s so - called "" smart "" sanctions has come to a head over France \\\'s decision to invite Mr Mugabe to a Franco - African summit in Paris on February 19 , a day after the measures are due to expire .\'', 'The EU has "" finally acted on its threats and slapped President [ Robert ] Mugabe and his ruling elite with targeted sanctions "" Zimbabwe \\\'s independent Daily News reports .\'', ""Mr Mugabe is quoted at a press conference in Mozambique attacking Piere Schori , the head of the EU observers , for entering the country without a government invitation .']""]"
2002-02-24,"['[\'Hundreds of Mr Mugabe \\\'s followers ambushed opposition supporters yesterday after a gathering in Chinhoyi , where opposition leader Mr Tsvangirai vowed to end a "" reign of terror "" if he took power .\'', ""Mr Ben - Menashe left Harare on Sunday after meeting with police and members of the Central Intelligence Organisation .'"", 'Despite some reports of controversial dealings by Mr Ben - Menashe and his partner , who is wanted in the United States on allegations of fraud , the state media on Sunday described him as "" a man of indisputable credibility "" .\'', ""A van carrying election observers was stoned yesterday by activists loyal to the president , who apparently mistook them for opposition supporters , observer officials said .'"", ""Mr Tsvangirai is leading Mr Mugabe in opinion polls with support from nearly 70 % of voters .'"", ""Several political analysts say it would be difficult for Mr Mugabe to reverse such a wide margin of support for the opposition leader , either through pre - poll violence or extensive vote - rigging .'"", '"" I have been charged with high treason , "" said Morgan Tsvangirai , the leader of the opposition Movement for Democratic Change .\'', 'Mr Tsvangirai told reporters that he had been questioned by police over an alleged plot to assassinate the veteran head of state , but said he still expected to contest next month \\\'s presidential elections . ""\']']"
2002-02-25,"['[""The head of Zimbabwe \'s opposition party was today charged with high treason , an offence punishable by death , over allegations he plotted to assassinate President Robert Mugabe .""', ""The new charges were filed against two deputies of the leader of the Movement for Democratic Change , Morgan Tsvangirai , who was charged on Monday for allegedly plotting to assassinate Mr Mugabe .'"", '"" I have been charged with high treason , "" said Morgan Tsvangirai , the leader of the opposition Movement for Democratic Change .\']']"
2002-02-26,"['[""The Commonwealth is preparing to fudge the issue of Zimbabwe \'s suspension this weekend , in spite of Robert Mugabe \'s government yesterday filing fresh treason charges against the country \'s opposition party .""', ""But although Zimbabwe is top of the agenda for the Commonwealth heads of government biennial meeting in Brisbane , diplomatic sources said yesterday they were shying away from punitive action .'"", 'Mr Tsvangirai yesterday claimed to be relaxed about the charges : "" I have neither been affected by the treason charges nor have the people of Zimbabwe been confused by these charges .\'', 'Yesterday he rebuffed the charges : "" These are contrived charges to try to implicate me in the eyes of the Zimbabwean public .\'', ""The scenario , set out in a doctored videotaped recording of Mr Tsvangirai , looked even more strange when it was revealed that the key player in the alleged plot was a former Israeli intelligence officer whose wife said she did not believe a word he said .'"", ""Mr Tsvangirai denied the charges and claimed he was the victim of a set - up by the government .']""]"
2002-03-04,"[""['Zimbabwean police cut short a meeting yesterday between foreign diplomats and the opposition leader , Morgan Tsvangirai , who was briefing them on his plans if he wins the election against President Robert Mugabe this weekend .'"", 'The prime minister , Tony Blair , expressed disappointment yesterday after the Commonwealth summit fudged the issue of whether to suspend Zimbabwe for abuses of the democratic process .\', ""But soon after the briefing began , Mr Tsvangirai was called out by police and he returned to inform the diplomats that the meeting had been declared an illegal gath ering under Mr Mugabe \'s new Public Order and Security Act .""', ""A compromise statement , unanimously adopted by the summit , means that a decision on suspension is to be delayed until after Zimbabwe holds its presidential election this weekend .'"", ""The president , Robert Mugabe , is fighting for his political survival against Morgan Tsvangirai , the leader of the Movement for Democratic Change .']""]"
2002-03-09,"['[\'The SBS Dateline documentary will broadcast surveillance video footage purporting to show Mr Tsvangirai , the leader of the Movement for Democratic Change , agreeing to the "" elimination "" of Mr Mugabe before the ageing president goes to the polls in Zimbabwe on March 9 and 10 .\', ""It was not immediately clear how the charges will affect Mr Tsvangirai \'s ability to campaign in the presidential elections of March 9 - 10 ."", ""Yet the latest controversy raises the most serious questions to date about Mr Tsvangirai \'s judgment on the eve of the election on March 9 and 10 that would probably see him end Mr Mugabe \'s 22-year rule since Zimbabwe became independent , if the ballot is not rigged .""', ""About 30 foreign envoys went to a Harare hotel to hear Mr Tsvangirai describe his plans for a transition to a government by his Movement for Democratic Change ( MDC ) , if he wins the March 9 and 10 presidential election .'"", ""International observers , including the Commonwealth , condemned the March 9 - 11 election , citing widespread state - sponsored political violence and fraud .']""]"
2002-03-12,"['[""Early results in Tuesday \'s presidential election in Zimbabwe put President Robert Mugabe in front .""', ""Tony Reeler , an official from the Zimbabwean human rights group , Amani Trust , said late last night that at least 2,000 people had been detained , the majority of which had not been released .'"", ""The detentions came as the state press all but declared Robert Mugabe the winner , and his government defied a high court order to permit a full third day of polling after hundreds of thousands of people were prevented from voting at the weekend .'"", ""The results , from the central Midlands and southern Matabeleland South provinces showed Mugabe in the lead with 27,065 votes with 15,621 votes being recorded for the opposition leader , Morgan Tsvangirai .'"", 'But as results trickled in , observers slammed the poll .\', ""Robert Mugabe has won the most bitter presidential election in Zimbabwe \'s history , in a vote that opposition and observers said was deeply marred by irregularities and violence .""', ""The results , announced on state - owned radio , showed a victory for Mr Mugabe , whose race against former labour leader Morgan Tsvangirai presented the first real electoral challenge for the president since he led Zimbabwe to independence 22 years ago .'"", 'Zimbabwe \\\'s justice minister , Patrick Chinamasa , described the vote as a "" runaway victory "" .\']']"
2002-03-13,"['[\'As the results were announced early this morning , Zimbabwean security forces were on "" full alert "" to stamp out any unrest , state television reported .\'', ""However , government officials have repeatedly denied there were any irregularities in the election , and was today given support by South Africa , which has consistently sought to deflect criticism of the Mugabe government and helped block Commonwealth sanctions .'"", 'Since Mr Mugabe was declared the winner on March 13 he has signed into law a repressive press bill and his supporters have begun a campaign of violent retribution against the opposition .\', ""Robert Mugabe has won the most bitter presidential election in Zimbabwe \'s history , in a vote that opposition and observers said was deeply marred by irregularities and violence .""', ""The results , announced on state - owned radio , showed a victory for Mr Mugabe , whose race against former labour leader Morgan Tsvangirai presented the first real electoral challenge for the president since he led Zimbabwe to independence 22 years ago .']""]"
2002-03-20,"['[""As a general strike took hold across Zimbabwe today , the leader of the country \'s main opposition party , Morgan Tsvangirai , was formally charged with treason over an alleged plot to assassinate the president , Robert Mugabe .""', 'Today the foreign secretary , Jack Straw , welcomed the Commonwealth decision and expressed hope that Mr Mugabe \\\'s Zanu - PF party would move towards reconciliation with the MDC . ""\', ""Police manned roadblocks on the main highways into Zimbabwe \'s cities today , after declaring the strike illegal under sweeping new security laws passed ahead of the elections ."", ""Morgan Tsvangirai , the leader of the Zimbabwean opposition , was charged with high treason by President Robert Mugabe \'s government yesterday : a defiant response to Zimbabwe \'s suspension from the Commonwealth ."", ""Earlier this week the South African president , Thabo Mbeki , and other neighbouring African leaders urged Mr Mugabe not to press the charge , to create a more conciliatory political climate after last week \'s bitterly contested presidential election .""', ""By going ahead with it Mr Mugabe seems to be showing that he is not interested in negotiations with Mr Tsvangirai .']""]"
2002-05-19,"['[\'The Zimbabwean opposition leader , Morgan Tsvangirai , said yesterday that his party would lead thousands of people in protest against President Robert Mugabe \\\'s government within weeks , following the collapse of its talks with the governing party , Zanu - PF . ""\'', 'Mr Mugabe said in the state - controlled Sunday Mail yesterday that his government was prepared "" to talk peace if the MDC wants to talk peace , but if they choose violence , then we will deal with them effectively "" .\'', 'Mass action is inevitable and unavoidable , "" he told the Guardian .\'', '"" We have come to a stage where non - violent action has to be taken .\']']"
2002-10-11,"['[""Zimbabwe \'s opposition leader , Morgan Tsvangirai , yesterday urged the United Nations to investigate the growing number of incidents of state torture in the country .""', '"" We are witnessing an alarming rise of cases of torture , electric shocks and beatings perpetrated by the police , "" Mr Tsvangirai told the Guardian .\'', '"" We are calling on the UN human rights commission to urgently investigate this .\']']"
