1999-01-08,"[""['Mr Blair is to visit Nazareth House , an orphanage in which all but five of its 40 children are HIV positive or have Aids , tomorrow .'"", ""In a speech tonight in Cape Town , Mr Blair will return to domestic politics by trying to show his government has not lost its direction in spite of the loss of two ministers , including his close friend , Peter Mandelson , in the run - up to Christmas .'"", ""It will be the last time the two meet with Mr Mandela as president - he retires in the spring .'"", 'The development emerged after Tony Blair met Mr Mandela on the second day of his visit to South Africa .\', ""Tony Blair \'s trip to South Africa last week was seen an attempt to discover the truth about Nelson Mandela \'s political heir , whose true nature and ambitions remain elusive .""]']"
1999-01-09,"[""['The two men and a public works architect spent one Saturday winter morning going through the house , with the architect justifying a new fridge here or some redecoration there .'"", 'Who is Thabo Mbeki ?\', ""Tony Blair \'s trip to South Africa last week was seen an attempt to discover the truth about Nelson Mandela \'s political heir , whose true nature and ambitions remain elusive .""', 'Officially Deputy President , Mbeki , 56 , is believed to have been the day - to - day ruler of South Africa for much of the past year .\', ""Nelson Mandela \'s anointed successor , Thabo Mbeki , wants to be remembered for leading Africa \'s renaissance .""', 'But how can it take place amid war , bloodletting and instability ?\', ""Angola \'s shaky peace has disintegrated and it is one of half a dozen nations bound up in the war in neighbouring Congo .""]']"
1999-01-28,"['[""On Thursday , however , Mr Mbeki \'s legal adviser released the letters \' in the interests of transparency \' and because Mr Kriegler had \' blown the matter out of all proportion \' .""', ""1993 April 1993 Stephen Lawrence , aged 18 , is stabbed to death by a gang at a bus stop in Eltham , south - east London .'"", 'The murder is recorded as "" racially motivated "" but charges are dropped due to "" insufficient evidence "" .\'', ""May 1993']""]"
1999-03-17,"[""['Yesterday there were no prominent ANC leaders in court to hear the 54-year - old cleric convicted of theft and fraud .'"", ""When Allan Boesak was accused of stealing from foreign donors and flew back to South Africa to stand trial , thousands of supporters turned out to cheer him .'"", ""The minister of justice , Dullah Omar , raised eyebrows by greeting him with a hug .'"", ""President Nelson Mandela questioned whether the state should be prosecuting the case .']""]"
1999-03-18,"['[""A mock - up of the design was unveiled yesterday by Britain \'s Lennox Lewis in London , following his fight against Evander Holyfield in New York last Saturday , which ended controversially in a draw .""', ""When Allan Boesak was accused of stealing from foreign donors and flew back to South Africa to stand trial , thousands of supporters turned out to cheer him .'"", ""The minister of justice , Dullah Omar , raised eyebrows by greeting him with a hug .'"", ""President Nelson Mandela questioned whether the state should be prosecuting the case .'"", 'It will be cast from gold , is valued at £ 2 million and looks like a giant designer bracelet .\', ""But even by boxing \'s gaudy standards , this will be a belt with a difference .""', ""In fact , you could call it the peace belt because not only could it end a ferocious argument within the sport but at its heart will be a picture of a Nobel Prize winner , a noted amateur pugilist and one of the most symbolic peacemakers in the world Nelson Mandela .']""]"
1999-03-25,"['[\'It \\\'s very hard when your kids get up in the morning and ask , "" what name are we using today daddy ? "" , \\\' he said .\'', ""The birthday girl must have been disappointed .'"", ""Winnie Mandela had organised the party at her Soweto home for one of her young grandchildren .'"", ""But in the midst of the celebrations , Winnie whipped off the gold and diamond wedding ring Nelson Mandela had slipped on her finger 41 years ago and gave it to a shy teenage white girl in the corner .']""]"
1999-03-30,"[""['Arrangements for the surrender of two Libyans accused of the Lockerbie bombing are on track for next week , President Nelson Mandela of South Africa told the Libyan leader , Colonel Muammar Gadafy , yesterday .'"", ""Arrangements for the surrender of two Libyans accused of the Lockerbie bombing are on track for next week , President Nelson Mandela of South Africa told the Libyan leader , Colonel Muammar Gadafy , yesterday .'"", ""Nelson Mandela is being sued by his former wife , Winnie , over ownership of the small Soweto home they shared briefly until he was jailed in 1963 .'"", ""President Mandela gave the house to the Soweto Heritage Trust last year to administer as a public museum .'"", ""Nelson Mandela is being sued by his former wife , Winnie , over ownership of the small Soweto home they shared briefly until he was jailed in 1963 .'"", 'President Mandela gave the house to the Soweto Heritage Trust last year to administer as a public museum .\', ""The official Libyan news agency , Jana , said Mr Mandela , the key mediator in the eight - year quest to bring the perpetrators to justice , assured Col Gadafy that the deal was proceeding as planned . \'"", ""[ Mr Mandela ] confirmed to brother leader [ Col Gadafy ] that things were going as desired and in accordance with the agreement with the United Nations over the Lockerbie issue ', ' Jana said ."", ""The official Libyan news agency , Jana , said Mr Mandela , the key mediator in the eight - year quest to bring the perpetrators to justice , assured Col Gadafy that the deal was proceeding as planned . \'"", ""[ Mr Mandela ] confirmed to brother leader [ Col Gadafy ] that things were going as desired and in accordance with the agreement with the United Nations over the Lockerbie issue ', ' Jana said .""]']"
1999-05-10,"[""['Mr Mandela said that as early as 1992 he approached the then US president , George Bush , to propose trying the two Libyan suspects in a third country .'"", ""Mr Mandela said the American president was sympathetic , as was François Mitterrand of France and the Spanish king , Juan Carlos .'"", ""Mr Mandela said that as early as 1992 he approached the then US president , George Bush , to propose trying the two Libyan suspects in a third country .'"", ""Mr Mandela said the American president was sympathetic , as was François Mitterrand of France and the Spanish king , Juan Carlos .'"", ""Mr Mandela said that as early as 1992 he approached the then US president , George Bush , to propose trying the two Libyan suspects in a third country .'"", ""Mr Mandela said the American president was sympathetic , as was François Mitterrand of France and the Spanish king , Juan Carlos .']""]"
1999-06-01,"[""['South African financial markets were closed , but the rand traded firmer in London , edging two cents up from its Tuesday close as investors took heart from the fact that the poll was going peacefully .'"", ""In rural areas , people gathered from 1 am , waiting wrapped in blankets for the 7 am start of voting and sometimes lighting small fires to keep warm .'"", ""These are : \\x95 The African National Congress The African National Congress is expected to get more than 60 % of the vote , just shy of the two - thirds majority needed to rewrite the constitution .'"", ""Thabo Mbeki , the man who will be the next president of South Africa , does not evoke the warm and friendly image of Nelson Mandela .'"", ""Many white South Africans view the 56-year - old Mr Mbeki as Machiavellian , authoritarian and untrustworthy ; in short , another Robert Mugabe , the autocratic ruler of Zimbabwe next door .'"", ""Thabo Mbeki , the man who will be the next president of South Africa , does not evoke the warm and friendly image of Nelson Mandela .'"", ""Many white South Africans view the 56-year - old Mr Mbeki as Machiavellian , authoritarian and untrustworthy , in short , another Robert Mugabe , the autocratic rule of Zimbabwe next door .'"", ""Long queues moved steadily as South Africans lined up to consolidate their young democracy .']""]"
1999-06-02,"['[""The Cape Town parliament \'s farewell to Mandela marked the beginning of what is expected to be a protracted leave - taking as he prepares to hand over power to his deputy , Thabo Mbeki , after the general election on 2 June .""', ""South Africa turned the page on its violent political past today , voting peacefully in a watershed election expected to send Nelson Mandela into retirement with a landslide for his ruling party .'"", 'He said some polling stations were reporting very long queues in the early evening , but promised everyone who joined the queues by 9 pm would vote in safety before doors closed . ""\'', 'In places where there will be long queues tonight , we have asked the army to beef up security , "" he said .\', ""Mr Mbeki , who has been in day - to - day control of the country for the past two years , said today \'s election would help to entrench the democracy created in 1994 ."", ""Millions of South Africans endured long queues to elect a new president and parliament in the country \'s second all - race election yesterday .""', 'Although voting was extended into last night at thousands of polling stations which opened late or were slow in handling voters , the peacefulness of the ballot , compared to the bombs and violence which rocked the 1994 campaign , was a testament to how firmly the roots of democracy have taken hold .\', ""Millions of South Africans endured long queues to elect a new president and parliament in the country \'s second all - race election yesterday .""', ""Although voting was extended into last night at thousands of polling stations which opened late or were slow in handling voters , the peacefulness of the ballot , compared to the bombs and violence which rocked the 1994 campaign , was a testament to how firmly the roots of democracy have taken hold .'"", ""Thabo Mbeki , the man who will be the next president of South Africa , does not evoke the warm and friendly image of Nelson Mandela .'"", ""Many white South Africans view the 56-year - old Mr Mbeki as Machiavellian , authoritarian and untrustworthy ; in short , another Robert Mugabe , the autocratic ruler of Zimbabwe next door .'"", ""For the west , Mr Mbeki is an enigma , which is ironic .'"", ""Thabo Mbeki , the man who will be the next president of South Africa , does not evoke the warm and friendly image of Nelson Mandela .'"", ""Many white South Africans view the 56-year - old Mr Mbeki as Machiavellian , authoritarian and untrustworthy , in short , another Robert Mugabe , the autocratic rule of Zimbabwe next door .'"", ""For the west , Mr Mbeki is an enigma , which is ironic .'"", ""In contrast with the violent chaos of the 1994 election that ended white minority rule , polling went smoothly in most of the 14,650 polling stations .'"", 'Long queues moved steadily as South Africans lined up to consolidate their young democracy .\', ""With Thabo Mbeki \'s election as Nelson Mandela \'s successor virtually assured before the vote , the ballot was left to settle whether his African National Congress wins the two - thirds of the vote required to change the constitution at will , and which party will come a distant second to form the official opposition ."", ""With Thabo Mbeki \'s election as Nelson Mandela \'s successor virtually assured before the vote , the ballot was left to settle whether his African National Congress wins the two - thirds of the vote required to change the constitution at will , and which party will come a distant second to form the official opposition .""]']"
