2000-02-25,"['[\'Elton John to concert audiences more than 10 years after Geffen refused to let him put his song Tonight on his Live in Australia album : "" Geffen would n\\\'t let us put this on the record .\'', ""1943 David Lawrence Geffen , born February 21 in Brooklyn , to Abe and Batya Geffen , bra manufacturers .']""]"
2000-03-11,"['[""On the festival \'s final Saturday , John Travolta , Bruce Willis , Samuel L. Jackson , Uma Thurman and other performers from the American thriller Pulp Fiction brought some big - time , macho - and - mayhem , Uzi - in - your - gut star quality to Cannes . \'"", ""There \'s something special about the idea of a dark , sprawling house in Los Angeles , filled with the ghosts of a glorious past , the sun shining relentless outside , but a firmly shuttered murk within .""', 'Think of Sunset Boulevard , or Phil Spector and Brian Wilson .\', ""These are the images conjured up by reports of an apparently increasingly reclusive Quentin Tarantino , lurking in his vast house in the Hollywood Hills and battling with script after script that does n\'t work .""]']"
2000-12-25,"['[""A top 10 hit over the Christmas of 1962 , it helped prepare the way for the records by the Crystals and the Ronettes which established Philles as the last great phenomenon before the arrival of the Beatles ended pop \'s age of innocence ."", ""But the group \'s final appearance , as contributors to the producer \'s legendary Christmas Album , also permitted Sheen his finest hour , delivering a soaring lead vocal on a magnificently thunderous arrangement of The Bells Of St Mary \'s .""]']"
2000-12-26,"[""['In later years he continued to take late - night phone calls from Spector in which the First Tycoon of Teen - who , incidentally , celebrates his 60th birthday on Boxing Day - outlined grand plans to revive the splendours of the past .']""]"
2002-02-01,"['[\'Today , Virginia \\\'s Tim "" Timbaland "" Mosley may well be the most exciting record producer in the world .\'', ""Timbaland and Magoo Indecent Proposal ( Blackground )']""]"
2002-11-08,"['[""thanks you very much for the invitation for 8 November at the Savoy and is delighted to accept ... \' ) .""]']"
2002-12-25,"[""['Born in the Bronx on Christmas Day , 1940 , he was brought up by his mother in Los Angeles after his father committed suicide in a fit of depression .'"", ""The Plastic Ono Band were about to record a song called Happy Xmas ( War is Over ) , which Lennon had played to Spector in the hotel a couple of nights earlier .'"", ""And he thought back to his own Christmas album , a monstrous confection of pounding drums and tintinnabulating bells , recorded in 1963 but a seasonal staple 40 years later .'"", 'At the very end of the sessions , Spector called everyone into the studio - musicians , singers , engineers , secretaries , his chauffeur , his bodyguard , a stray journalist - and arranged us around a microphone before conducting the mass shout of "" Happy Christmas ! "" with which the record ends .\', ""James Walsh , the band \'s singer , said he enjoyed working with Spector despite his unorthodox timekeeping ( 6pm - 4am ) and old - fashioned methods .""', ""No one can be sure what happened between 2.30am and just after 5 am when the police got the call .']""]"
2003-02-02,"[""['Spector , 62 , was reported to have only met the actress on the Sunday night , just hours before her body was discovered .'"", ""On February 2 2003 she told Mr Spector he should not be drinking , but he ordered two daiquiris before dinner .'"", ""Ms Sullivan testified that by the time they reached the House of Blues it was nearly 2 am and she wanted to go home .']""]"
2003-02-03,"['[""The man responsible for some of the world \'s best - known pop songs , record producer Phil Spector , was charged with murder yesterday in connection with the death of a woman found shot at his home in a Los Angeles suburb ."", ""Ms Clarkson , 40 , was found shot dead yesterday at Spector \'s Californian mansion , her body sprawled in the marble foyer of the castle - like hilltop home in the Los Angeles suburb of Alhambra .""', 'Police were alerted to the mansion after a chauffeur , who had driven Ms Clarkson and Spector there earlier , called police in the early hours yesterday to say he had heard gunshots , sources told the Los Angeles Times .\', ""Mr Mitchelson \'s remarks represent the first indications of what Spector might run as a defence on the charge of the murder of Lana Clarkson at his mansion on February 3 .""', 'Until , that is , Lana Clarkson , a B - movie actress and hostess , was found shot dead in his hallway in the early hours of 3 February , after she had met the 62-year - old for the first time a few hours earlier in a local nightclub .\', ""Ms Clarkson was found dead in the foyer of Spector \'s 33-room mansion on the night of February 3 2003 ."", ""The prosecution alleges that early on the morning of February 3 2003 Spector \'s chauffeur Adriano DeSouza was sitting in the producer \'s black Mercedes outside the Pyrenees Castle when he heard what sounded like a shot .""', ""Spector is on bail on a murder charge after Lana Clarkson , a little - known actress was found with gunshot wounds to the mouth and head in his home in the early hours of 3 February , 2003 .'"", 'The evidence is going to paint a picture of a man , who on February 3 2003 , put a loaded pistol in Lana Clarkson \\\'s mouth - inside her mouth - and shot her to death . ""\', ""In the early hours of Monday February 3 2003 , Mr Spector \'s fill - in chauffeur Adriano DeSouza was sitting in the producer \'s black Mercedes S430 outside Mr Spector \'s home , the grandly named Pyrenees Castle , when he heard what sounded like a shot .""', 'The evidence is going to paint a picture of a man who , on February 3 2003 , put a loaded pistol in Lana Clarkson \\\'s mouth and shot her . ""\'', 'The evidence is going to paint a picture of a man who , on February 3 2003 , put a loaded pistol in Lana Clarkson \\\'s mouth and shot her . ""\'', ""She was found dead with a gunshot wound to her mouth early on February 3 2003 .'"", 'Driver Adriano De Souza , a key prosecution witness , testified last week that he saw Spector come out of his home about 5 am on February 3 , 2003 , with a gun in his hand and heard him say , "" I think I killed somebody . ""\'', 'Spector is charged with the murder of Clarkson , who died from a gunshot wound to the face on February 3 2003 .\', ""Lana Clarkson , 40 , died when a gun went off in her mouth as she sat in the foyer of Mr Spector \'s mansion early on February 3 , 2003 .""', 'Spector , 68 , was accused of killing actress Lana Clarkson at his California home on February 3 2003 .\', ""Lana Clarkson , 40 , died of a shot to the mouth , fired from Spector \'s gun in the lobby of his home near Los Angeles on 3 February 2003 .""', ""Police had been called to the scene after neighbours heard gunshots in the early hours of the morning .'"", ""The dead woman was reported by a local radio station to be in her 20s but police would not confirm this .'"", ""The first man to lend glamour to the profession of record producer , Phil Spector is noted for his volatility in and out of the recording studio .'"", ""Stories of his propensity for pulling guns on his artists have been in circulation since the early 1970s .']""]"
2003-02-04,"[""['The woman veteran record producer Phil Spector has been charged with murdering was named today as Lana Clarkson , an actress who gained a cult following from starring in Hollywood B - movies .'"", ""Forensic teams were today continuing to search the house , where Spector had lived an increasingly reclusive lifestyle .'"", ""The record producer Phil Spector was freed on $ 1 m ( £ 600,000 ) bail yesterday after being arrested in connection with the killing of an actress he had reportedly met only the night before .'"", '"" There has not been a confession by Mr Spector , "" police said yesterday , indicating that the suspect had been questioned before his release on bail .\', ""There is a black limousine in every Spector story , including yesterday \'s despatches from the crime scene , and it was one such that pulled up at the front door of the Record Plant studio on West 44th Street a few days later .""', ""Police had been called to the scene after neighbours heard gunshots in the early hours of the morning .'"", ""The dead woman was reported by a local radio station to be in her 20s but police would not confirm this .'"", 'The first man to lend glamour to the profession of record producer , Phil Spector is noted for his volatility in and out of the recording studio .\', ""The victim of the shooting , which took place at Spector \'s baroque mansion in a LA suburb , was 41-year - old Lana Clarkson , who had appeared in a number of films and television shows and worked as a volunteer for an HIV charity .""', ""Spector and Clarkson were the only people in the 10-bedroom house , known locally as the Pyrenees Castle , when the shooting took place .'"", ""The man who occasionally pulled guns on his artists , who retreated to his hilltop chateau for years on end and who is currently out on $ 1 m bail on a charge of murdering a minor Hollywood actress is what , in the days of seven - inch 45rpm singles , we would have called the B - side of Phil Spector .'"", ""The Spector known to Lennon was an affectionate , convivial , witty , sometimes sentimental friend .']""]"
