1999-06-02,"['[""He has won over the Zulu Chief Mangosuthu Buthelezi , greatly diminishing the spectre of tribal violence during today \'s election ."", ""He has won over the Zulu Chief Mangosuthu Buthelezi , greatly diminishing the spectre of tribal violence during today \'s election .""', ""Thabo Mbeki , the man who will be the next president of South Africa , does not evoke the warm and friendly image of Nelson Mandela .'"", ""Many white South Africans view the 56-year - old Mr Mbeki as Machiavellian , authoritarian and untrustworthy ; in short , another Robert Mugabe , the autocratic ruler of Zimbabwe next door .'"", ""For the west , Mr Mbeki is an enigma , which is ironic .'"", ""Thabo Mbeki , the man who will be the next president of South Africa , does not evoke the warm and friendly image of Nelson Mandela .'"", ""Many white South Africans view the 56-year - old Mr Mbeki as Machiavellian , authoritarian and untrustworthy , in short , another Robert Mugabe , the autocratic rule of Zimbabwe next door .'"", ""For the west , Mr Mbeki is an enigma , which is ironic .']""]"
1999-11-16,"[""['protesters , aged 20 and 31 , were ordered to return to the police station yesterday .'"", 'Mr Tatchell said yesterday he believed he was acting lawfully during the protest . ""\'', ""Mr Tatchell was charged at Belgravia police station yesterday .'"", 'protesters , aged 20 and 31 , were ordered to return to the police station yesterday .\', ""Mr Tatchell said yesterday he believed he had acted lawfully during the protest and said the government \'s apology to Mr Mugabe was shameful .""', 'A Zimbabwean foreign service official said that Marufu had only slapped her .\', ""Peter Tatchell , the gay rights campaigner , has been charged over an incident where he tried to carry out a citizen \'s arrest on Robert Mugabe , president of Zimbabwe .""', 'Mr Tatchell , 47 , has been charged with using threatening words and behaviour and assaulting a police officer .\', ""Peter Tatchell , the gay rights campaigner , has been charged over an incident in which he tried to carry out a citizen \'s arrest on Robert Mugabe , the president of Zimbabwe .""]']"
2000-04-01,"['[\'Tensions between Britain and Zimbabwe escalated yesterday as Peter Hain , the Foreign Office Minister , made his strongest condemnation yet of Harare after Andrew Meldrum , an Observer and Guardian correspondent , was attacked amid violence at an anti - government demonstration in the capital .\', ""Yesterday \'s demonstration was organised to protest against the takeover of the farms and the threat by former guerrillas to foment violence if Mugabe \'s government is defeated in coming parliamentary elections ."", ""But yesterday I watched as President Robert Mugabe \'s thugs brought it to a violent climax , singling out whites , beating one man unconscious and badly injuring at least a dozen others ."", ""Some dismiss Mugabe \'s statements as political rhetoric , but I say those statements incited the violence that erupted in Harare yesterday .""', 'Fifteen people were injured on Saturday when 150 people , alleged to be linked to his party , Zanu - PF , forcefully broke up a march comprising 4,000 peaceful demonstrators in the capital , Harare .\', ""In the aftermath of Saturday \'s march , Mr Cook issued an uncompromising statement yesterday morning criticising Mr Mugabe \'s regime , which he expanded on during interviews throughout the day .""', 'For the next 100 days we will organise public demonstrations to promote peace and the rule of law , "" said Brian Kagoro , spokesman for the National Constitutional Assembly , which organised Saturday \\\'s ill - fated march .\', ""Fifteen people were injured on Saturday , when a 150-strong group , allegedly linked to Mr Mugabe \'s Zanu - PF , forcefully broke up a march of 4,000 peaceful demonstrators in Harare ."", ""The row has ranged from the opening of the British diplomatic bag , the forceful annexation of white farms , an accusation that the British cabinet was run by a gay conspiracy and the violent break - up of last Saturday \'s peaceful demonstration in Harare against Mr Mugabe ."", ""South Africa , the OAU , the Commonwealth , and the UN \'s Kofi Annan all have a role in persuading him that repression of his opponents , as in Harare last Saturday , is inimical to his own and his country \'s best interest .""', 'Supporters of President Robert Mugabe have killed more than 18 supporters of the new opposition Movement for Democratic Change ( MDC ) since 1 April .\', ""Violence from Mr Mugabe \'s supporters is blamed for the deaths of 18 supporters of the opposition Movement for Democratic Change ( MDC ) since April 1 ."", ""Zimbabwe \'s leader launched a 45-minute assault on the government of Britain , a country of which much of his audience seemed only dimly aware .""', 'Asked later if he was declaring war on Britain - which is increasingly critical of Harare \\\'s record on human rights , corruption , and the current campaign to disrupt white - owned farms - he said : "" They have declared war on us . ""\'', 'The final stage would be an emergency airlift of all those holding British passports , similar to the one organised to evacuate British nationals from Sierre Leone in 1998 .\', ""The Foreign Office minister , Peter Hain , last week raised the prospect of evacuation after protesting about president Robert Mugabe \'s endorsement of the forced occupation of white - owned farms ."", ""Hain implicitly accused Robert Mugabe , the maverick President of Zimbabwe , of instigating the violence . \'"", ""This sort of thuggery , licensed from on high , is dragging Zimbabwe \'s already tainted name through the mud ', ' Hain said . \'""', ""It was a march for peace .']""]"
2000-04-04,"[""['Eight policemen were ambushed late on Tuesday and had their automatic rifles taken when they tried to investigate a reported assault on a farm northeast of the capital .'"", ""The meeting between the two men on the fringes of the EU - Africa summit in Cairo had threatened to be an explosive confrontation , given the level of insults flying back and forward in the last few weeks .'"", 'But the Foreign Office reported that the 45-minute meeting had been "" interesting "" and positive .\'', 'Pressure is growing to "" do something "" about Robert Mugabe .\'', ""But demands that Britain and others impose punitive sanctions are premature while there is still a chance of peaceful , democratic change in Zimbabwe .'"", ""The diplomatic focus must be to convince Mr Mugabe to go ahead with general elections without further delay .'"", ""As a white Zimbabwean , I watched the xenophobia and government - directed lawlessness in my home country with some despair .'"", ""They know better than I that Robert Mugabe will hang on to power for as long as he possibly can , not least because he fears being brought to book for his systematic human rights abuses .'"", 'Until Ian Smith declared UDI in 1965 , successive British governments had the power to veto any Rhodesian law .\', ""Home , Wilson , Heath , Callaghan , Thatcher - all chose to ignore the plight of nationalists detained under Smith \'s laws .""]']"
2000-04-11,"['[""Zimbabwe \'s parliament was formally dissolved last night amid renewed confusion about when President Robert Mugabe will call a general election that is expected to see a surge in support for the opposition .""', ""The main opposition leader , Morgan Tsvangirai , said yesterday that were his Movement for Democratic Change ( MDC ) to win an outright majority , it would bring the presidential election forward from 2002 in an effort to unseat Mr Mugabe .'"", 'At last reality has begun to be faced in regard to the land situation , "" he said in his office yesterday .\', ""He said the police could not hope to reverse the takeovers by veterans of Zimbabwe \'s civil war , who are close to President Robert Mugabe .""', ""Although the president has told Britain that the ballot will be held in May , a senior Zimbabwean official has warned that it will take at least until July to draw up new constituency boundaries .'"", 'The law allows Mr Mugabe to delay the vote by up to four months after the dissolution of parliament .\', ""It is simplistic to say that Zimbabwe \'s land crisis has divided the country completely along racial lines .""', 'He is also one of the most persuasive advocates of President Robert Mugabe \\\'s government . ""\']']"
2000-04-12,"[""['The Foreign Office was working behind the scenes yesterday to find a neutral mediator to try to resolve with President Robert Mugabe the many issues that threaten to destabilise Zimbabwe .'"", ""Mr Justice Chinhengo yesterday imposed no penalties on the government , other than costs , for ignoring the earlier ruling .'"", ""Although the president has told Britain that the ballot will be held in May , a senior Zimbabwean official has warned that it will take at least until July to draw up new constituency boundaries .'"", 'The law allows Mr Mugabe to delay the vote by up to four months after the dissolution of parliament .\', ""It is simplistic to say that Zimbabwe \'s land crisis has divided the country completely along racial lines .""', 'He is also one of the most persuasive advocates of President Robert Mugabe \\\'s government . ""\'', ""Top of the list is the Nigerian president , Olusegun Obasanjo , who helped bring about the talks between Robin Cook and Mr Mugabe at the European Union - African summit in Cairo earlier this month .'"", ""An earlier high court ruling ordering the eviction of more than 50,000 squatters , who have occupied several hundred white - owned farms amid increasing violence , had been challenged by the police commissioner and the attorney - general , Patrick Chinamasa .']""]"
2000-04-16,"[""['Zimbabwe was in danger of descent into anarchy yesterday after its president , Robert Mugabe , brushed aside the murders of a white farmer and two members of the main opposition party and condoned the illegal land seizures .'"", 'With the mood in Zimbabwe ugly yesterday , the foreign secretary , Robin Cook , described the situation as "" very grave "" and expressed fear that "" it will get worse unless there is a return to respect for the rule of law in Zimbabwe "" .\'', ""On arrival back from a conference of developing countries in Cuba yesterday , there had been hopes that Mr Mugabe might have backed his deputy who last week called for squatters to leave the land as a court had ruled .'"", ""Yesterday Mr Osborne was in hospital recovering from concussion , broken ribs and severe bruising .'"", 'Far from urging his supporters to refrain from violence , Mr Mugabe on Sunday told members of his party to "" hit out fiercely "" against the opposition .\'', ""Mugabe could have softened his policies on his return from abroad two days ago , as some elements in his government seemed to want him to do , but he chose not to do so .'"", ""A foreman who was killed nearby 10 days ago had his lips cut off and was paraded around the area as a warning to his peers to keep quiet .'"", 'Seemingly unrepentant over the violence he had helped to unleash , he said : "" We warned the white farmers : we can not protect you if you provoke the war veterans .\', ""Gary Luke \'s face was purple with bruising and caked with dry blood .""', ""Propped up in a hospital bed with a compressed fracture to his skull , he was one of six white farmers abducted by armed supporters of the Zimbabwean president , Robert Mugabe .'"", 'He and another farmer , Steve Krynauw , were accused of supporting the opposition Movement for Democratic Change and were beaten unconscious with iron bars , car fan belts and rocks .\', ""Robert Mugabe may not be remembered as a beacon of hope after his crude defiance of the Harare high court \'s attempts to uphold the rule of law , and his sad failure to condemn the politically charged murder of a white farmer and two black opposition activists at the weekend .""', 'But there was a time when he seemed a different kind of leader from the despots who held Africa in their grip as Zimbabwe won independence 20 years ago .\', ""In a region afflicted by foreign - sponsored wars , growing unrest against apartheid and near economic collapse , Zimbabwe came to be viewed as an island of relative stability and order despite sporadic repression , most notably the army \'s murderous activities in Matabeleland .""]']"
2000-04-18,"['[\'Hours after a second farmer was killed in Zimbabwe \\\'s land dispute , President Robert Mugabe today described white landowners as "" enemies of our people "" who wanted to "" reverse our revolution and our independence "" .\'', ""The farmer who died this morning was Martin Olds , 42 , who was shot and beaten by a crowd that moved on to his land in the early hours .'"", ""Mr Hain today told the House of Commons foreign affairs select committee that Mr Mugabe had indicated to fellow African leaders that he might be willing to accept Commonwealth observers at the coming elections , whose date he has not yet announced .'"", 'The violence has cast a sombre mood over the country as it marks the 20th anniversary of its independence today .\', ""Recognising the sober atmosphere , the government cancelled today \'s celebration rallies .""', 'Robert Mugabe launched his most furious onslaught yet on white farmers yesterday , branding them "" enemies of Zimbabwe "" and blaming Britain for his country \\\'s turmoil .\'', ""The foreign minister , Peter Hain , angrily denounced the Zimbabwean president , Robert Mugabe , yesterday for claiming Britain was to blame for the land reform crisis .'"", 'President Robert Mugabe branded Zimbabwe \\\'s white farmers "" enemies of the state "" yesterday , inflaming an increasingly volatile situation that saw the second murder of a white farmer and attacks on opposition supporters .\'', ""As further violence engulfed the nation yesterday , on the 20th anniversary of its independence , a white farmer was killed by supporters of Mr Mugabe , a black foreman was reported to have been killed , another farmer was beaten and abducted and scores of civilians were intimidated by government agents .'"", 'Yesterday and today I have been meeting with the leadership of the farmers and the war veterans so we can reach some understanding , "" he added .\'', 'Yesterday , a second white farmer , Martin Olds , 42 , was shot dead in Nyamandlovu , 50 miles west of Bulawayo .\', ""Yesterday Mr Stevens \' foreman , who is black , was found dead on his property , according to farmers \' radio reports .""', ""Another white farmer , Kevin Tinker , was abducted from his property yesterday in Christon Bank , about 20 miles west of Harare .'"", 'Yesterday the men came back and beat up Mr Tinker and took him away .\', ""In the town of Chivu , about 100 miles south of Harare , residents reported that members of the central intelligence organisation ( CIO ) yesterday searched people \'s homes for MDC T - shirts and pamphlets and beat up people whom they believed to be opposition supporters .""', ""CIO agents were also identified as having burned down the staff quarters yesterday at a farm in the Enterprise area 15 miles north of Harare .'"", ""At least 100 white farmers moved off their properties in the southern Matabeleland region after the murder on Tuesday of Martin Olds .'"", 'He was tied up , beaten and shot in the face in the presence of two neighbours Martin Olds Died while trying to defend his farm from war veterans on April 18 .\', ""In his pre - recorded television address - to mark the 20th anniversary of independence - the president promised to redistribute the country \'s best farmland and failed to order war veterans to end their sometimes violent occupation of white - owned land ."", ""Eight members of Zimbabwe \'s new opposition party , the Movement for Democratic Change , have been killed in the last two weeks and more than 100 others have been hospitalised during a vicious campaign of political violence waged by President Robert Mugabe \'s ruling Zanu - PF party ."", ""The opposition party is giving Zanu - PF its strongest challenge since it came to power at the country \'s independence in 1980 and this appears to have prompted the violence .""', ""The weekend killing of a white farmer , David Stevens , is considered part of the wave of political violence , as Mr Stevens was an MDC supporter , which infuriated the local Zanu - PF supporters .'"", ""Morgan Tsvangirai , the leader of the main opposition movement in Zimbabwe , says that Robert Mugabe should be offered an honourable way out .'"", ""But how ?'"", ""Stubborn , oblivious of the damage he is inflicting on his country and the suffering of the individuals caught up in the dramas he has manufactured , Mugabe has paid attention so far neither to threats nor inducements .'"", ""In two public statements marking the 20th anniversary of independence - one delivered in English , the other in Shona - he signalled divergent political messages .'"", ""In English , he expressed regret for deaths on the farms .'"", 'Mr Hain said no British money would be provided for land reform as long as farms were being given , as they had been for the past two years , to "" cronies "" of the Zimbabwean government .\'', 'He accused Harare of "" playing the same old gramophone record "" in accusing Britain of behaving as if it was still the colonial master .\'', 'Mr Mugabe used the anniversary to announce on state television and radio : "" Our present state of mind is that you [ white farmers ] are now our enemies because you have really behaved as enemies of Zimbabwe .\']']"
2000-04-20,"[""['They reported a similar campaign around Arcturus , 20 miles north of the capital Harare , where two farm compounds were reported to have been burnt yesterday .'"", ""The violence has continued despite a call yesterday by War Veterans Association leader Chenjerai Hunzvi for a stop to hostilities .'"", 'Mr Hoogstraten , who is building a £ 30 m Renaissance - style palace with a mausoleum to preserve his remains , confirmed yesterday that he had funded Mr Mugabe and his party since the early 1960s when he acquired land in the country .\', ""Gangs of attackers torched the homes of farmworkers yesterday , despite promises by the leader of Zimbabwe \'s squatters \' movement of an end to hostilities .""', 'Yesterday \\\'s violence was in contrast to the promises of peace made by Mr Mugabe and his ally , the war veterans \\\' leader Chenjerai "" Hitler "" Hunzvi , who pledged that the attacks would stop .\'', ""The Zimbabwe Independent newspaper yesterday claimed that the farm invasions were directed by Zimbabwe National Army officers deployed to coordinate Zanu - PF supporters and war veterans .'"", ""It is with much anger that I read the reports on Zimbabwe in the British press ( Crisis in Zimbabwe , April 20 ).The west is only discovering now that Robert Mugabe is a delusional megalomaniac , yet people from the Matabeleland region of Zimbabwe have known this for the past 18 or so years .'"", 'The great mystery is who is in charge : Robert Mugabe or Chenjerai "" Hitler "" Hunzvi ?\', ""Two years ago veterans of Zimbabwe \'s independence war were neglected , sidelined and ripped off ; they were ripe for politicisation .""', ""Mr Hunzvi , a multilingual medical doctor , is the man who gave it to them .'"", ""Other parts of the international community , too , including African states , showed a reluctance to be drawn in .'"", 'The British establishment is poorly qualified to lecture Robert Mugabe about racism .\', ""The government \'s condemnation of the murders of two white Zimbabwean farmers contrasts oddly with the blandishments with which it greeted Vladimir Putin , responsible for the deaths of thousands of Chechens .""', 'Just as it revealed that Zimbabwe \\\'s white refugees are welcome , for "" reasons of ancestry "" , to settle here permanently , it announced that it would expel 3,000 Kosovan Albanians .\'', ""Mr Mugabe said war veterans would not be asked to vacate land they have already occupied while a programme is formulated to deal with the issue of land resettlement .'"", ""However , all sides agreed to refrain from violent action .'"", 'Mr Cook , who is in Nepal , spoke to Mr Chissano by telephone and asked him to add his voice to those of other African leaders , who are discussing the growing political crisis at a regional summit meeting in Victoria Falls , Zimbabwe . ""\'', 'I hope that president Chissano and his colleagues , when they meet president Mugabe , will warn him that what he is doing is not just damaging Zimbabwe but also threatens investment , standing and stability of countries around it , "" Mr Cook said .\'', 'The old Marxist Robert Mugabe may be losing friends around the world at an alarming rate but he still has one unusual and influential capitalist supporter in Uckfield , East Sussex .\', ""Nicholas Hoogstraten , 54 , the controversial property multi - millionaire who regards ramblers as the scum of the earth and his tenants and women with even more contempt , has emerged as a long - standing financial backer of Zimbabwe \'s ruling Zanu - PF .""', ""Smoke covered the Arcturus area , 30 miles north of Harare , as nearly 1,000 homes were razed by men who identified themselves as war veterans .'"", ""Other farmers reported that their workers were beaten and intimidated by supporters of President Robert Mugabe .'"", ""\\x95 Financial Gazette'"", 'If I were President Robert Mugabe : I would abolish the word Comrade ; I would immediately withdraw Zimbabwean troops from the Congo ; I would use my law degree to stop lawlessness ; and I would stop the "" government process "" of printing money since this is the main cause of inflation .\'', ""I would also use my degree in economics to stop scaring investors away through unwarranted racial attacks .'"", 'When Zimbabwe gained independence in 1980 , I was only six years old and did not understand what the excitement was all about .\', ""I do remember a year or so later when troops from Mugabe \'s 6th brigade broke into our property , beat my father and left him for dead .""]']"
2000-04-21,"['[""Robin Cook , the foreign secretary , today asked president Joaquim Chissano of Mozambique to act as a go - between with Zimbabwe \'s Robert Mugabe to end the tensions over land rights in the country ."", ""The escalating crisis is on the agenda of today \'s regional summit meeting in Victoria falls to discuss the war in the Democratic Republic of Congo , which has sucked in Zimbabwe and dragged down its economy .""', 'Later today President Mugabe will meet the South African president , Thabo Mbeki , the Rwandan president , Paul Kagame , and the Ugandan president , Yoweri Museveni , at Victoria Falls to discuss the Congo civil war .\', ""African leaders at a regional summit yesterday backed President Robert Mugabe \'s call for land redistribution , giving the embattled Zimbabwean leader a much needed political boost as tensions worsened in rural areas .""', ""Meanwhile , hundreds of people demanding peace marched through the Zimbabwean capital yesterday as violent tension rose in rural areas .'"", ""A multiracial crowd took to the streets of Harare in a Good Friday procession to call for an end to the violence that threatens to spiral out of control over the ownership of farm land .'"", ""The leaders met for crisis talks on Friday .'"", ""Another opposition organiser , Robert Mbuzi , died from gunshot wounds he suffered on Friday near Mhangura , 100 miles north - west of Harare .'"", 'Mr Cook , who is in Nepal , spoke to Mr Chissano by telephone and asked him to add his voice to those of other African leaders , who are discussing the growing political crisis at a regional summit meeting in Victoria Falls , Zimbabwe . ""\'', 'I hope that president Chissano and his colleagues , when they meet president Mugabe , will warn him that what he is doing is not just damaging Zimbabwe but also threatens investment , standing and stability of countries around it , "" Mr Cook said .\'', ""The old Marxist Robert Mugabe may be losing friends around the world at an alarming rate but he still has one unusual and influential capitalist supporter in Uckfield , East Sussex .'"", ""Smoke covered the Arcturus area , 30 miles north of Harare , as nearly 1,000 homes were razed by men who identified themselves as war veterans .'"", ""Other farmers reported that their workers were beaten and intimidated by supporters of President Robert Mugabe .'"", 'If I were President Robert Mugabe : I would abolish the word Comrade ; I would immediately withdraw Zimbabwean troops from the Congo ; I would use my law degree to stop lawlessness ; and I would stop the "" government process "" of printing money since this is the main cause of inflation .\'', 'When Zimbabwe gained independence in 1980 , I was only six years old and did not understand what the excitement was all about .\', ""I do remember a year or so later when troops from Mugabe \'s 6th brigade broke into our property , beat my father and left him for dead .""', ""Joaquim Chissano , the president of Mozambique , said western governments should stump up the cash promised at a 1998 donor conference to fund land redistribution , the issue at the heart of escalating violence which has cost eight lives so far .'"", '"" We think the donors , including Great Britain , have to deliver , "" Mr Chissano said after talks with Mr Mugabe and the South African president , Thabo Mbeki .\']']"
