2000-07-04,"['[\'"" I do not take lessons in dignity from Mr Berlusconi , "" a gruff Zoff responded in a news conference earlier today .\', ""Recriminations over Italy \'s Euro 2000 final defeat disintegrated into a political bloodsport yesterday when the coach Dino Zoff resigned in response to criticism by the opposition leader Silvio Berlusconi .""', ""Zoff resigned on Tuesday , two days after coming within seconds of an unexpected European Championship triumph .'"", 'Zoff has tendered his resignation after politician and AC Milan owner Berlusconi criticised his strategy against France as "" undignified . ""\'', 'Berlusconi claimed he was "" indignant "" that Zoff had not assigned a man to mark Zinedine Zidane , and described the Italian manager \\\'s behaviour as "" the last of the amateurs "" .\'', 'Zoff , shaking with anger , declared he could not continue after being "" offended as a man "" by the accusation of incompetence .\'', '"" I am not taking lessons in dignity from Berlusconi , "" he said .\']']"
2001-05-11,"['[""Britain \'s general election campaign is unlikely to generate the same kind of supercharged polemical venom as has the campaign that concludes today in Italy ."", ""Italy \'s general election campaign climaxed last night in a television finale dominated by controversy over the character of the expected winner , Silvio Berlusconi .""', ""The refusal of Mr Berlusconi , 64 , to meet Mr Rutelli in a television debate led to a virtual confrontation last night as they appeared on separate chat shows , obliging voters to flick between channels .'"", ""Newspapers published a letter yesterday from his idol , Margaret Thatcher , defending Mr Berlusconi as an honest , talented leader .'"", ""It is unlikely that foreign newspapers will intervene in the debate to suggest that one of the leading contenders is unfit to govern .'"", 'In both countries there is a candidate who is bald and promises lower taxes , but , unlike William Hague , Silvio Berlusconi is expected to become the next prime minister .\', ""Viewing figures were said to have broken records as millions of people at home , and in piazzas equipped with giant screens , watched the centre - right opposition leader defending his right to return to the prime minister \'s chair that collapsed under him in 1994 ."", ""Rupert Murdoch \'s arrival in Rome the other day for dinner with Silvio Berlusconi was a useful reminder that Italy is not the only country where media and political powers mix and match .""', ""So he has , but that has not meant the death of political pluralism in Italy .']""]"
2001-05-13,"['[""Come May 13 he \'ll probably be head of the Italian government too .""', ""The general election on May 13 is not a choice between right and left , but a crucial test for the survival of Italian democracy .'"", 'The Italian opposition leader and former prime minister Silvio Berlusconi , who is preparing for a general election on May 13 , has been put a step closer to extradition to Spain on tax fraud charges by a European parliament committee ruling yesterday that his immunity as an MEP can be challenged Theruling , overturning a previous decision to safeguard his immunity , infuriated his political allies .\', ""Polls suggest that Mr Berlusconi \'s coalition , which includes other rightwing parties , will beat the centre - left government in the May 13 vote despite a narrowing lead .""', ""It said it had proof that Mr Berlusconi , who expected to be returned to power in the Italian general election on May 13 , misled the national court in Madrid when he said his Fininvest empire did not control front companies which received £ 70mfrom the Spanish channel Tele 5 .'"", ""Mr Berlusconi regained the initiative and predicted triumph in the national election on May 13 as Italians apparently decided to ignore warnings from leading publications in London , Berlin , Paris and Madrid .'"", 'Condemnation of the centre - right opposition leader has swelled to a cacophony , which could prove decisive at the polls next Sunday .\', ""EU governments are concealing their unease at the prospect of victory for Silvio Berlusconi in tomorrow \'s Italian elections , but it is no secret that the media baron \'s extremist allies are unpalatable and that some of his policies could cause problems , diplomats say ."", ""The centre - left government , whose candidate is Francesco Rutelli , 46 - begged undecided voters to go to the polls tomorrow to avert a victory by a scandal - prone tycoon who , it said , risked turning Italy into Europe \'s pariah ."", ""If Mr Murdoch were not such an influential player in making telecoms policy in the United Kingdom , we might muster more indignation at the way Mr Berlusconi has used his television channels to boost his candidacy in tomorrow \'s election .""', ""Italians go to the polls today to elect a new government after a brutal campaign in which left and right tarred each other as crooks , liars and tyrants .'"", ""The result follows a chaotic vote yesterday in which Italians tore up their ballots and toppled over tables to protest long lines that kept polls open in some areas until 5 am .'"", 'Tension gripped Italy last night as polling stations closed and counting began of votes which will decide whether Silvio Berlusconi will be elected prime minister .\', ""Mr Berlusconi \'s private jet was on stand - by last night to take him from his Milan estate to a celebration at the Rome headquarters of his party , Forza Italia ."", ""Silvio Berlusconi \'s centre - right coalition last night appeared on course to win Italy \'s general election despite international condemnation that he was unfit for office ."", ""With former cruise - ship crooner Silvio Berlusconi and the rest of Italy heading to the polls on Sunday , this week \'s Serie A schedule was shunted back a day , which meant that Milan derby was played - for the first time in history - on a Friday night .""', 'On the basis of last night \\\'s exit polls the influential Milan daily , Corriere della Sera , said Mr Berlusconi was unlikely to have achieved the crushing win he had been hoping for . ""\'', 'The victory of the House of Liberties in political terms is in any case clear : it may not be the disaster that appeared to be taking shape with the first exit polls yesterday evening , but the Olive Tree has good reason for regret , "" said the online newspaper Il Nuovo . ""\'', 'They \\\'re beaten \\\' , on the basis of yesterday evening \\\'s exit polls . ""\', ""If , as seems likely from last night \'s exit polls , he is confirmed as Italy \'s new prime minister , he will gain control of state television .""', 'Of course he \\\'ll probably fail and come up with all sorts of excuses to stand again , but then we \\\'ll fire him , "" said one Roman yesterday , fresh from voting for Mr Berlusconi .\', ""The centre - right , dominated by Mr Berlusconi \'s Forza Italia party , won enough seats in Sunday \'s election to ensure majorities in both houses of parliament even without Mr Bossi , whose party was humiliated .""', 'Centre - left supporters of the Olive Tree coalition danced in the streets after proclaiming a "" night of miracles "" which avenged their May 13 defeat .\'', 'Silvio Berlusconi , a tycoon and leader of the centre - right opposition , is favourite to win despite concern he could promote his business interests once in power .\', ""More than 12 hours after the last vote was cast , Mr Berlusconi \'s opponent , Francesco Rutelli , a former Rome mayor who led a centre - left ticket , conceded defeat .""', '"" I acknowledge the result , which represents a legitimate electoral victory , "" Mr Rutelli told supporters and reporters at a Rome hotel .\', ""The fiercest general election campaign in half a century was expected to produce a narrow win for the media magnate \'s centre - right opposition coalition .""', ""But a high turnout emboldened the government into predicting it would snatch victory thanks to a last - minute surge of voters nervous about handing power to Mr Berlusconi .'"", ""Early exit polls suggested the media magnate had ousted the government after a bitter campaign dominated by his corruption charges and conflicts of interest .'"", ""Most Italians seemed fed up with five years of centre - left rule and willing to give Mr Berlusconi , 64 , another chance seven years after his first government collapsed in acrimony and disgrace after seven months .'"", 'A draw , which may be comforting for those who feared a disaster , is not really an extraordinarily good result for the country , "" it said , in reference to the centre - left \\\'s modest ambitions .\'', ""Not in half a century has an Italian election so fascinated and alarmed Europe .'"", ""In 1948 it was the prospect of a communist victory .'"", ""This time it was the prospect of Silvio Berlusconi becoming prime minister .'"", ""P1 Silvio Berlusconi is on course to win the Italian election .']""]"
2001-05-14,"['[""Silvio Berlusconi is set to become Italy \'s new prime minister today after his conservative coalition appears to have won a clean sweep across in the Italian general election ."", ""The issue explained The Italian elections What the papers say 14.05.2001 : Italian press review Useful links Berlusconi \'s Forza Italia Rutelli \'s coalition Italian interior ministry Italian state television election site"", ""Italy \'s election chaos dominated the front pages of Italian newspapers today , with the delayed emergence of the result forcing commentators to hedge their bets on the extent of Silvio Berlusconi \'s victory ."", ""Would Mr Berlusconi \'s victory put Italy outside today \'s political mainstream in Europe ?"", ""European Union leaders put on a brave face last night as it became clear that Silvio Berlusconi had triumphed over international criticism by decisively winning Italy \'s general election ."", ""The issue explained The Italian elections What the papers say 14.05.2001 : Italian press review Useful links Berlusconi \'s Forza Italia Rutelli \'s coalition Italian interior ministry Italian state television election site"", ""The issue explained The Italian elections What the papers say 14.05.2001 : Italian press review Useful links Berlusconi \'s Forza Italia Rutelli \'s coalition Italian interior ministry Italian state television election site""', '"" I acknowledge the result , which represents a legitimate electoral victory , "" Mr Rutelli told supporters and reporters at a Rome hotel .\', ""The fiercest general election campaign in half a century was expected to produce a narrow win for the media magnate \'s centre - right opposition coalition .""', ""But a high turnout emboldened the government into predicting it would snatch victory thanks to a last - minute surge of voters nervous about handing power to Mr Berlusconi .'"", ""Not in half a century has an Italian election so fascinated and alarmed Europe .'"", ""This time it was the prospect of Silvio Berlusconi becoming prime minister .'"", 'P1 Silvio Berlusconi is on course to win the Italian election .\', ""With turnout approaching 80 % and voters queuing late into the night to cast their ballots , Italy \'s general election was not short on popular participation and drama ."", ""Mr Berlusconi was Italy \'s freshly minted prime minister in 1994 when world leaders trekked to Naples for a United Nations conference on organised crime .""]']"
2001-08-29,"['[""President Ciampi has written to Mrs Grassi to reassure her on the state \'s commitment to the war on organised crime and the deputy interior minister , Antonino D\'Ali , declared the incident closed as he shook hands with her at a ceremony today marking the 10th anniversary of her husband \'s death .""', ""The prime minister has urged his Italian counterpart , Silvio Berlusconi , to clear the way for BG , the British gas group , to build a new terminal for Egyptian natural gas in the port of Brindisi , it emerged yesterday .'"", ""BG confirmed last night that the port of Brindisi had so far refused to allow the development to go ahead but insisted this would have no impact on its plans to export Egyptian liquid natural gas .'"", 'The Mafia is destined to be a delicate issue for the Italian government of Silvio Berlusconi , so it was unwise of his infrastructure minister to suggest in a recent interview that Cosa Nostra would never be defeated .\', ""Pietro Lunardi , one of the seven businessmen in the cabinet and the owner of a leading engineering company , was trying to point out that the existence of organised crime should not be allowed to become an impediment to the government \'s ambitious infrastructure plans .""', ""Tony Blair is understood to have written to Mr Berlusconi last month after a series of bureaucratic rows between Brindisi port officials and provincial authorities .']""]"
2001-09-11,"['[\'In a joint statement , James Wolfensohn , president of the World Bank , and Horst Köhler , managing director of the IMF , said : "" This decision was taken out of deepest respect and sympathy for the families of all those touched by the horrific events of last Tuesday , and in order to dedicate law enforcement personnel fully to the extraordinary and immediate priorities at hand . ""\'', 'The German culture minister , Adrienne Göhler , was under pressure to resign after describing the World Trade Centre towers as "" phallic symbols "" two days after they were destroyed on September 11 .\'', 'He said it would be a disaster if the US response to the September 11 attacks was turned into a "" cultural conflict or even a war of religion between the west and Islam "" .\'', ""The murder and terror of civilians as policy does not begin with the acts of 11 September .'"", 'This is a source of grievance , hate and terrorism is perhaps the most important lesson of 11 September , not the division of the world into rival civilizations , civilized and uncivilized , good and evil .\', ""Addressing the party \'s annual gathering as leader of Germany \'s SPD - a sister party of Labour - Mr Schröder argued that the terrorist attacks on September 11 instead offered a chance of world unity .""', 'Rainer Hertrich , a boss of the European Aeronautic and Defence Company which owns 80 % of Airbus , has been upbeat about prospects for the aircraft manufacturer in both civil and defence sectors despite the negative impact on airlines of September 11 attacks in the US .\', ""Prodi concedes this was not an impressive performance for an organisation seeking to play a more coherent global role - and anxious to temper , if unable to challenge , America \'s unassailable hegemony in the post - September 11 world .""', 'The key this time was the way that the September 11 attacks had transformed terrorism into the common enemy . ""\']']"
2001-09-27,"[""['Silvio Berlusconi reminds us our civilisation has produced democracy and human rights ( Berlusconi breaks ranks over Islam , September 27 ) .'"", ""The Italian prime minister , Silvio Berlusconi , was last night left isolated and humbled on the international stage after European and Muslim statesmen poured scorn on his claim that the world is gearing up for a clash of cultures and that western civilisation is superior to Islam .'"", 'He boasted of the "" supremacy "" and "" superiority "" of western civilisation and called on Europe to recognise its "" common Christian roots "" .\'', 'Silvio Berlusconi claims that the west should be "" confident in the superiority of our civilisation "" over the Muslim world .\'', ""Yet it would be hard to think of a western leader with a less respectable basis for making such a claim .'"", ""Mr Berlusconi is living proof that there is nothing inherently superior about western civilisation .'"", ""John Parry London Berlusconi = civilisation ?']""]"
2001-09-28,"[""['Silvio Berlusconi apologised yesterday for his claim that western civilisation was superior to Islam , but insisted that his words had been twisted and taken out of context .'"", 'Silvio Berlusconi claims that the west should be "" confident in the superiority of our civilisation "" over the Muslim world .\'', ""Mr Berlusconi is living proof that there is nothing inherently superior about western civilisation .'"", ""John Parry London Berlusconi = civilisation ?'"", '"" I am sorry that a few words taken out of the general context may have been badly interpreted and may have offended the sensibilities of my Arab and Muslim friends , "" Mr Berlusconi said in a speech to the Italian senate .\']']"
2001-10-03,"[""['Harsh and prejudiced , the article is also about what patriotism means to Italians today and appears to have struck a chord with many readers .'"", ""The measure was finally approved by the Senate last Wednesday .'"", ""The law , which restricts the way international judiciaries speak to each other , will hamstring magistrates who are seeking financial information from the authorities in Switzerland , where Mr Berlusconi keeps bank accounts which are the subject of corruption investigations .'"", ""Crucial prosecution evidence against the prime minister will now be unusable in court , opponents say .'"", 'Her argument about The Circle seems to be that there are different standards by which "" indigenous "" films and European films should be judged .\'', 'I assume that names such as Makhmalbaf ( Mohsen and Samira ) , Kirostami and Ghobadi mean little to her as she proudly parades her ignorance of Iranian cinema .\', ""Oil dependent , host to the Vatican , and a Mediterranean neighbour of Muslim countries , Italy \'s relations with the Islamic world have long been delicate and controversial .""', 'During the cold war wily politicians such as Giulio Andreotti , Aldo Moro and Bettino Craxi succeeded in maintaining fruitful ties with Middle Eastern regimes that were shunned as rogue states by much of the west .\', ""Therefore , Silvio Berlusconi \'s ill - judged and undiplomatic remarks in Berlin on the presumed superiority of western civilisation over Islam were particularly surprising .""]']"
2001-11-08,"['[\'Whatever decision is finally announced on November 8 the government will get few marks for presentation .\', ""Opponents of Italy \'s prime minister , Silvio Berlusconi , say he has rushed through legislation to get himself off the hook on charges of false accounting and bribing judges .""', ""Mr Berlusconi maintains he is the victim of politically motivated judicial persecution .'"", 'The prime minister recently castigated the judiciary for condemning defendants without proof and for becoming an instrument of power in an undeclared civil war .\', ""Lucio Colletti , who has died of a heart attack aged 76 , was a much - loved philosophy professor at Italian universities who dedicated most of his life to studying and teaching Karl Marx - and ended his days as a parliamentary deputy for the party of premier Silvio Berlusconi , Italy \'s richest capitalist .""', ""Yet in spite of those contradictions , Colletti will be remembered as someone who tried to come to terms with the failure of the communism for which , like so many of his generation , he had held high hopes when fascism was engulfing Europe .'"", ""As a young man eager to study philosophy , he had to wait till the fall of fascism in 1945 before he could enrol at Rome University .']""]"
