1999-09-22,"['[\'"" Well , I could probably do with more than I got last night . ""\'', 'Steve Jobs is tired .\', ""The co - founder and interim CEO of Apple Computer is sitting in an anonymous , grey meeting room in Paris \'s Palais des Sports , playing distractedly with a bottle top , looking every one of his 43 years - and possibly a few more .""', '"" I \\\'ve not slept in two days , "" he says in a weary Californian drawl .\'', 'American computer company bosses are like buses : you wait ages then half a dozen turn up at once .\', ""Even more turned up in Paris last week , including Larry \'s mate Steve Jobs of Apple , and Compaq \'s new head Michael Capellas .""]']"
2000-01-12,"[""['The first grant , dated January 12 , 2000 , was for 10 million option shares .'"", 'With respect to the grant dated January 12 , 2000 , the Board on December 2 , 1999 , authorized a special "" CEO Compensation Committee "" to grant Mr. Jobs up to 15 million shares .\', ""The evidence indicates that the CEO Compensation Committee finalized the terms of the grant on January 12 , 2000 , although the Committee \'s action was memorialized in a UWC transmitted on January 18 , 2000 .""', ""While there was nothing untoward about the grant of 10 m options on 12 January 2000 , the paperwork governing a second tranche - of 7.5 m granted on October 19 2001 - had been falsified .']""]"
2000-07-18,"[""['Apple Computer was last night expected to continue its remarkable turnaround with a jump in profits on the back of the successful iMac desktop computer .'"", ""Apple Computer unveiled its first new product line for nine months yesterday , including a cube - shaped power computer and an updated iMac range for the consumer market .'"", ""Its rival Microsoft was likely to strike a sombre note , analysts said , with earnings growth from its main desktop software knocked by a recent slowdown in PC sales .'"", 'Steve Jobs , wearing his trademark baggy jeans and black polo neck jumper , said the Power Mac G4 Cube combined the power of the group \\\'s business - focused desktop with the "" iMac magic "" of sleek design .\']']"
2001-10-19,"[""['The second grant , dated October 19 , 2001 , was for 7.5 million option shares .'"", ""The grant dated October 19 , 2001 was originally approved at a Board meeting on August 29 , 2001 , with an exercise price of $ 17.83 .'"", ""The grant was dated October 19 , 2001 , with an exercise price of $ 18.30 .'"", ""The approval for the grant was improperly recorded as occurring at a special Board meeting on October 19 , 2001 .'"", 'The approval for the second grant of options "" was improperly recorded as occurring at a special board meeting on October 19 , 2001 .\']']"
2001-12-18,"[""['The terms of the grant , however , were not finalized until December 18 , 2001 .'"", ""The Company has recognized $ 20 million in stock - based compensation expense for this grant , reflecting the difference between the exercise price of $ 18.30 and the share price on December 18 , 2001 of $ 21.01 .'"", 'The Mac community is getting all excited about what Steve Jobs might have in his sack when he turns up at MacExpo in San Francisco in early January .\', ""It \'s pretty much agreed there \'s a new flat - panel iMac in there - but can we expect more ?""]']"
2002-01-07,"['[\'Apple Computer \\\'s chief executive , Steve Jobs , yesterday unveiled a radically redesigned version of the company \\\'s iMac consumer computer , stating that he wanted the new machine to be a "" digital hub "" in millions of homes .\'', 'Mr Jobs yesterday trumpeted over 6 m sales of the original iMac , which he said "" changed the way we look at technology , and had influence way beyond the technology industry "" because of its colourful , all - in - one design , and its then groundbreaking industrial design , which used translucent plastics in its case .\'', ""Apple CEO Steve Jobs will stand up to deliver his eagerly - anticipated keynote address to the MacExpo here at the Moscone convention center .'"", ""The new machine does away with the multicoloured styling of previous versions of the all - in - one computer , with a white dome shaped base unit and a flat panel liquid - crystal display connected by a flexible desk lamp - style arm .'"", '"" There has been a three - year evolution for the iMac , "" Mr Jobs told the MacWorld show in San Francisco . ""\']']"
2002-01-08,"[""['this is the official death of the CRT today .'"", ""The new machine does away with the multicoloured styling of previous versions of the all - in - one computer , with a white dome shaped base unit and a flat panel liquid - crystal display connected by a flexible desk lamp - style arm .'"", '"" There has been a three - year evolution for the iMac , "" Mr Jobs told the MacWorld show in San Francisco . ""\']']"
2002-07-17,"['[""We \'re expecting a few interesting announcements tomorrow at MacWorld in New York , but Steve Jobs \' keynote will be too late for Online \'s print deadlines ."", ""I \'ll be filing to Guardian Unlimited \'s Netnews section tomorrow afternoon , after Apple CEO Steve Jobs has done his sales pitch .""', 'Many of the coolest new functions will be built into the new release of Mac OSX , version 10.2 ( code - named Jaguar , or "" Jagwire "" as Jobs kept calling it today ) , which will be released for £ 99 on August 24 .\'', 'If yesterday \\\'s keynote speech by Apple \\\'s chief executive , Steve Jobs , could be summed up in one word , that word would be "" connectivity "" .\'', 'Certainly , in New York yesterday , Mr Jobs had some hardware to show off : he pulled the wraps off a new 17-inch iMac with his customary flourish .\', ""It is Apple \'s frequent boast - made again yesterday - that nothing exists in the Windows world to match its capabilities in this area ."", ""Yesterday \'s keynote was also unusual for the glimpse the normally secretive Mr Jobs gave into the future of Apple \'s operating system development .""', 'Mr Jobs said that the various functions of Rendezvous shown off yesterday were "" only the start "" of the company \\\'s exploration of the system \\\'s capabilities .\', ""If all this goes a little over your head for now , Apple \'s simplest gadget was also given an easy - to - understand boost yesterday ."", ""Just back from watching Apple chief executive Steve Jobs \' keynote , and very interesting it was too .""', 'We always get excited about the new hardware most - and there was a new £ 1,649 iMac with a 17-inch display unveiled , as predicted by the "" rumour "" sites , and a new 20Gb iPod for £ 399 .\'', ""iPods for Windows users were also promised ; they will use the Musicmatch software to synch up in the same way the MP3 players do with iTunes on the Mac platform .'"", 'Normally , the word would probably be "" hardware "" -\']']"
2003-01-06,"['[\'The keynote had been preceded by gloomy predictions from industry observers and , on Monday , a "" sell "" recommendation from one US investment house which described Apple \\\'s new product pipeline as "" skimpy "" .\'', ""In eWeek , Matthew Rothenberg gives some credence to the Mac Tablet idea .'"", ""The video iPod is being most widely tipped , but CNet has a good round - up of possibilities .'"", ""He is likely to be wearing blue jeans , a black polo - neck top with rolled - up sleeves , and spectacles .'"", 'He may have had a haircut especially for the occasion .\', ""Some of them look a lot like they \'ve camped out here overnight .""]']"
2003-01-07,"['[""The Merc \'s Dan Gillmor , writing from Apple \'s heartland in Silicon Valley , speculates about the old Mac - on - Intel issue in his pre - MacWorld column , while admitting that this is very unlikely to feature in Steve Jobs \'s MacWorld keynote tomorrow .""', ""This is what we know for sure : Apple computer chief executive Steve Jobs will walk onto the stage of the Moscone Centre , San Francisco , at 9 am ( 5 pm GMT ) today .'"", 'But , and this is where things get contradictory , the rumour mill suggests that we should not expect new computers to be announced today .\', ""A summary of Steve Jobs \' speech will appear tonight on Online \'s weblog at onlineblog.com after 8 pm GMT ."", ""... nobody really knows what Steve Jobs is going to say in today \'s keynote , but the queues to get in - which started forming long before 7 am , when I arrived at the Moscone Center - are as long as they always are .""', ""As the crowds filed out of the Moscone centre in San Francisco last night , the principal emotion was one of surprise .'"", ""Yet when Steve Jobs stood up yesterday , three of the Apps remained free , and only iDVD - the software for DVD burning , which is useful only to a small number of Mac users - was locked behind a $ 49 fee .'"", ""Steve Jobs , in his keynote to the Mac community , had pulled rabbit after rabbit out of the hat in his two - hour address .'"", ""He had been widely expected to announce little to excite the crowds at the Macworld show .'"", ""One of the few sure things about this Expo was that Apple was going to charge $ 49 for its iApps bundle - iTunes , iMovie , iPhoto and iDVD ( and possible iSync and iCal ) .'"", ""Both News.com and Thinksecret ran well - founded stories anticipating the change - and sparked a major backlash among Mac users .']""]"
