2006-08-27,"['[\'An apparent suicide bomb ripped through a market in Lashkar Gah , the headquarters of British forces in Helmand , yesterday , killing 17 people and injuring 47 .\', ""Yesterday \'s attack underscored how even the provincial capital is no longer safe .""', ""A British soldier was shot dead on Sunday during an ambush on a base in Musa Qala district , the eight British death this month .'"", ""He was named yesterday as Lance Corporal Jonathan Hetherington , 22 , who served with the 14 Signal Regiment .'"", ""A British soldier was shot dead during clashes with insurgents in northern Helmand yesterday , becoming the eighth British serviceman to die in the country this month .'"", 'The latest British soldier to be killed in action in Afghanistan was named yesterday , as the Ministry of Defence revealed that more than 80 tonnes of munitions were airlifted to the combat zone last week .\', ""A spokeswoman for the Ministry of Defence denied yesterday that there was a logistical crisis caused by planning for a low - level security taskforce which has actually seen some of the army \'s fiercest combat since the 1950s Korean war .""', 'Details of the latest fatality came as the Ministry of Defence confirmed that the Royal Military police are investigating six serious shooting incidents involving British troops in the country .\', ""The attack prompted condemnation from Britain \'s top officer in Afghanistan and a rare Taliban apology .""', ""The man carried explosives into the market opposite a police station in Lashkar Gah , the capital of the southern Helmand province which is a Taliban stronghold where British troops are currently stationed .'"", ""Several children were feared to be among those killed .'"", ""The sixth victim this month in the troubled southern province of Helmand was Lance Corporal Jonathan Hetherington , 22 , from 14 Signal Regiment , based in south Wales , who was shot when Taliban insurgents attacked an outpost in the town of Musa Qala .'"", ""The soldier , who was born in Salisbury , Wiltshire , and grew up in south Wales , joined the army in September 2000 and trained as a radio systems operator .']""]"
2006-09-06,"['[""The deal was struck in advance of today \'s visit by Gen Musharraf to Afghanistan , with whom relations reached a new low this year amid mutual recrimination ."", ""Nato \'s top commander appealed yesterday for helicopters , planes and hundreds of extra troops to reinforce the alliance \'s Afghan force against the Taliban .""', ""Eighteen British armed forces personnel have been killed in Afghanistan this week , including three who died yesterday in clashes with the Taliban in Helmand that left a further 12 troops wounded .'"", ""Nato members meet on Wednesday to consider an urgent request for between 2,000 and 2,500 extra troops to bolster the embattled mission .'"", ""One British soldier and four Afghans killed by a suicide bomb in Kabul September 6'"", ""The unusual agreement saw the government effectively recognising a force of tribal fighters whose leaders have links to the Taliban or al - Qaida .'"", 'Under the deal , the Pakistani army will end its military campaign against the self - declared "" Pakistani Taliban "" - a loose alliance of tribal militias with strong links to the Afghan Islamist guerrillas - in the North Waziristan tribal agency .\'', ""Returning from a visit to Afghanistan , General James Jones admitted he had been taken aback by the ferocity of violence in the south of the country .'"", 'Massoud , who was the closest the country had to a unifying national leader , was killed by an al - Qaida suicide bomb - squad two days before the 9/11 attacks .\', ""Within three months of this death his Northern Alliance forces were in control of the entire country and the Taliban \'s last strong - hold in Kandar had fallen .""', 'International forces in Afghanistan are embroiled in the deadliest military campaign since the Bush administration launched its "" war on terror "" in 2001 , an analysis of casualties revealed today .\', ""Attacks by Taliban insurgents have raised the fatality rate among Nato \'s 18,500-strong International Security Assistance Force ( Isaf ) to an average of five a week - more than twice the death rate coalition forces sustained during the battle for control of Iraq in 2003 , the study found .""', ""The figures put the conflict on a par with the nine - year Soviet war in Afghanistan more than 20 years ago .']""]"
2006-09-07,"['[\'He is taking his demand for "" modest reinforcements "" to a meeting of Nato generals today and tomorrow .\'', 'The article was written in anger , a few days after the murder of one of my colleagues , but I think that the analysis still holds good today .\', ""Nato \'s top commander of operations , General James Jones , acknowledged on Thursday that the alliance had been taken aback by the extent of violence in southern Afghanistan , and urged allies to provide reinforcements ."", ""Second British soldier killed in another clash in the province and a third dies of injuries sustained in a clash the previous week September 7 Two US soldiers among 16 killed when a suicide bomber targets a convoy near the American embassy in Kabul September 9 40 suspected Taliban fighters and one Nato soldier are killed during fighting in Kandahar province \'s Panjwayi district""', ""Returning from a visit to Afghanistan , General James Jones admitted he had been taken aback by the ferocity of violence in the south of the country .'"", '"" We are a little bit surprised at the level of intensity , and that the opposition in some areas are not relying on traditional hit - and - run tactics , "" he said in Belgium .\'', ""Nearly five years after the death of the legendary general Ahmad Shah Massoud , it is worth asking again what the west is trying to achieve in Afghanistan ?'"", 'Massoud , who was the closest the country had to a unifying national leader , was killed by an al - Qaida suicide bomb - squad two days before the 9/11 attacks .\', ""Within three months of this death his Northern Alliance forces were in control of the entire country and the Taliban \'s last strong - hold in Kandar had fallen .""', 'International forces in Afghanistan are embroiled in the deadliest military campaign since the Bush administration launched its "" war on terror "" in 2001 , an analysis of casualties revealed today .\', ""Attacks by Taliban insurgents have raised the fatality rate among Nato \'s 18,500-strong International Security Assistance Force ( Isaf ) to an average of five a week - more than twice the death rate coalition forces sustained during the battle for control of Iraq in 2003 , the study found .""', ""The figures put the conflict on a par with the nine - year Soviet war in Afghanistan more than 20 years ago .'"", ""And so it was with most people in the Muslim world , who were as appalled as anyone else at the carnage of the terrorist attacks on Washington and New York .'"", ""Indeed , when America responded to the attacks , almost no one mourned the fall of the Taliban , who were universally condemned for their fanaticism .'"", 'Colonel Brett Boudreau , speaking at a meeting of Nato \\\'s defence chiefs in Warsaw , said "" 2,000 plus "" troops were needed to combat the deadliest spate of violence since the Taliban regime was ousted in 2001 .\'', ""Less than a year ago Kandahar was a city on the rebound after years of conflict , drought and political isolation .'"", ""Business was booming with an influx of international development aid , shops stayed open late , markets burst with locally grown fruit and traffic snarled hopelessly much of the time .']""]"
2006-09-12,"[""['A formal force generation conference will be held today .'"", 'Asked whether today \\\'s conference would deliver , a Nato official in Brussels said : "" To be honest , we do n\\\'t know .\', ""Nato chief Jaap de Hoop Scheffer \'s public plea today for up to 2,500 additional soldiers to fight alongside British , Canadian and Dutch forces in southern Afghanistan has highlighted deep internal strains in the alliance caused by unexpectedly fierce Taliban resistance in Helmand and Kandahar provinces .""', ""A formal force generation conference will be held today .'"", 'Asked whether today \\\'s conference would deliver , a Nato official in Brussels said : "" To be honest , we do n\\\'t know .\'', 'The UN today called on Nato forces to destroy the booming opium industry in southern Afghanistan , where 3,600 British combat troops are battling a resurgent Taliban .\', ""Speaking today about Nato \'s position on counter - narcotics , Mr Costa said his office had met with Nato to discuss the issue and he met today with the EU external relations commissioner , Benita Ferrero - Waldner ."", ""· Guardian Unlimited \'s Jon Dennis talks to Antonio Maria Costa in today \'s Newsdesk podcast .""', ""Nato was last night trying to head off a full - blown crisis of credibility as allied defence chiefs failed to offer any extra troops to help hard - pressed soldiers fighting Taliban insurgents in Afghanistan .'"", 'Mr Appathurai said yesterday that it could take until Nato defence ministers met on September 28 in Slovenia before offers of extra troops are finally agreed and that deployment could have to wait until October .\', ""The Nato secretary - general \'s appeal followed an unsuccessful attempt to drum up more support from leading members such as France , Germany , Italy and Spain in Warsaw at the weekend ."", ""The Nato secretary - general \'s appeal followed an unsuccessful attempt to drum up more support from leading members such as France , Germany , Italy and Spain in Warsaw at the weekend .""', 'The call was made by Antonio Maria Costa , head of the United Nations Office on Drugs and Crime ( UNODC ) , who said it would be "" very difficult "" to defeat insurgents unless there was a "" robust "" crackdown on drug traffickers .\'', 'He told a news conference in Brussels : "" I call on Nato forces to destroy the heroin labs , disband the open opium bazaars , attack the opium convoys and bring justice to the big traders .\', ""Not many people at Nato \'s Brussels HQ are likely to laugh these days at the old joke that the acronym for the North Atlantic Treaty Organisation actually stands for Now""', 'With commanders on the ground urgently demanding reinforcements , Britain and the US raised the stakes in the struggle to get their Nato partners to provide more forces to defeat the Taliban in what they described as the biggest test facing the alliance in its 57-year history . ""\'', 'No formal offers were made at the table , "" Nato spokesman James Appathurai said after a meeting of national defence chiefs at allied military headquarters in Mons , Belgium .\']']"
2006-11-28,"['[\'George Bush today appealed to Nato countries for more troops in the war in Afghanistan , while Tony Blair urged the alliance to show "" determination "" .\'', ""France and other Nato countries which have been resisting Anglo - US pressure for months to send troops to hotspots in southern Afghanistan last night offered a compromise .'"", ""Until yesterday , France , Germany , Italy and Spain , stationed mainly in the relatively calm north , had refused to send combat reinforcements south , citing national restrictions on their missions .'"", ""A Nato source said that the secretary - general planned last night to ask each country to confirm it would help out in the south in an emergency and that some had already agreed to drop their caveats .'"", 'Or as George Bush boasted in December 2001 : "" Women now come out of their homes from house arrest .\'', 'With Afghanistan set to dominate the Nato summit in the Latvian capital , Riga , both leaders called for a renewed effort to defeat a resurgent Taliban . ""\'', 'To succeed in Afghanistan , Nato allies must provide the forces Nato military commanders require , "" Mr Bush told a joint news conference with the Estonian president , Toomas Hendrik Ilves , in Tallinn on his way to Latvia . ""\'', 'But after two days of talks at the summit in Riga , the prime minister complained that there were still "" gaps "" in Nato deployment and warned member states - notably France and Germany - that they had to live up to their pledges to let their troops be used in conflict areas .\'', 'There was some initial confusion over the exact number of the 32,000 Nato troops in Afghanistan now not subject to the so - called "" national caveats "" which restrict their deployment .\'', 'The deal , under which the countries would now send reinforcements "" in extremis "" , emerged on the first day of the Nato summit in the Latvian capital at which President George Bush urged them to play a full part in the action .\']']"
2006-11-29,"['[\'The battle against the Taliban in Afghanistan is "" winnable "" , Tony Blair declared today , as Nato allies pledged extra forces and greater flexibility in deploying troops to combat zones .\', ""Mr Blair will miss today \'s session of prime minister \'s question time due to the summit .""', ""Two Nato soldiers were killed by a roadside bomb south of Kabul yesterday .'"", ""In a separate development , Nato leaders yesterday took the controversial decision to invite Serbia and Bosnia to take the first step towards joining the transatlantic organisation , despite their failure to hand over wanted war criminals .'"", 'But after two days of talks at the summit in Riga , the prime minister complained that there were still "" gaps "" in Nato deployment and warned member states - notably France and Germany - that they had to live up to their pledges to let their troops be used in conflict areas .\'', 'There was some initial confusion over the exact number of the 32,000 Nato troops in Afghanistan now not subject to the so - called "" national caveats "" which restrict their deployment .\'', 'The deal , under which the countries would now send reinforcements "" in extremis "" , emerged on the first day of the Nato summit in the Latvian capital at which President George Bush urged them to play a full part in the action .\'', ""The US , Britain , Canada and the Netherlands have suffered 90 % of the casualties in Afghanistan , most of them in fierce fighting with the Taliban in the south , where there is a 20 % shortfall in troops .'"", ""The prime minister was speaking to the press at the end of a two - day Nato summit in Latvia which exposed continuing divisions within the 26-member transatlantic organisation over the level of commitment to the Afghanistan venture .'"", ""Doubts about the military operation have grown this year as a result of a resurgence in Taliban operations that has left thousands of Afghans dead , as well as Nato troops .']""]"
2006-12-06,"[""['They were both airlifted to the UK military hospital in Camp Bastion where one , who is not expected to be named until later today , died .'"", 'The Royal Marine killed in a battle with Taliban fighters was today described as an "" outstanding "" serviceman who "" died doing the job he loved "" .\'', ""Two Americans and five Afghans have been killed in a suicide bombing in southern Afghanistan , it was reported today .'"", 'Gen Jackson \\\'s comment came after he used a lecture last night to launch an outspoken attack on the government , warning that strategic failings and "" inadequate "" funding were putting troops at risk .\'', ""It said the marines were injured in an operation with Afghan forces on the outskirts of the village of Garmsir , which Taliban forces had been attacking .'"", ""UK and Afghan forces were attempting to dislodge Taliban forces who have been responsible for attacks on the town in recent days .'"", ""The bomber blew himself up as the men walked out of the US Protection and Investigations security company compound in the Taliban stronghold of Kandahar .'"", ""Three other people were wounded in the attack , which was the sixth suicide bombing in Kandahar province in the last nine days .'"", 'News that the Iraq study group recommends a fresh injection of US combat troops for Afghanistan will come as sweet relief to embattled Nato commanders .\', ""Once the White House \'s proudest foreign policy success , Afghanistan is slowly starting to resemble the sort of quagmire the US is struggling to escape in Iraq ."", ""This year \'s dramatic Taliban resurgence has seen record numbers of suicide attacks and roadside bombs , a booming drugs trade and almost 4,000 deaths including 190 foreign soldiers .""]']"
2006-12-12,"[""['The MPs express their concern after the MoD announced yesterday that a Royal Marine from 42 Commando died in an attack by Taliban forces in Helmand province , southern Afghanistan .'"", 'The embattled Afghan president Hamid Karzai warned yesterday that his country \\\'s enemies "" will burn in hell with us "" if Nato fails to stem a tide of Taliban violence emanating from neighbouring Pakistan .\'', ""MoD names marine killed in clash with Taliban The Royal Marine who died after he was hit by small arms fire during a gun battle with Taliban fighters in southern Afghanistan on Tuesday was named yesterday as 23-year - old Richard Watson , of 42 Commando , from Caterham , Surrey .'"", ""In a hard hitting report reflecting fears in the military about an impending crisis , the MPs question Ministry of Defence claims that it is achieving its objectives in Iraq and Afghanistan .'"", ""Following a private meeting earlier this summer , a number of organisations have pledged to rebuild the 1,800-year - old Bamiyan buddhas in Afghanistan , blown up by the Taliban in 2001 .'"", ""Those leading the effort presented a virtual 3D reconstruction of the larger of the statues to members of the Afghan government , including President Hamid Karzai , in August .'"", ""Mr Karzai made the impassioned outburst in Kandahar , where tensions are running high after a spate of Taliban suicide bombings and angry accusations that British troops shot at least seven civilians .'"", 'Describing himself as a "" man of unbelievable deadly resolve "" , Mr Karzai warned that "" the whole region will run into hell with us "" if the rebellion was not quelled .\'', ""Following a private meeting earlier this summer , a number of organisations have pledged to rebuild the 1,800-year - old Bamiyan buddhas in Afghanistan , blown up by the Taliban in 2001 .'"", ""Those leading the effort presented a virtual 3D reconstruction of the larger of the statues to members of the Afghan government , including President Hamid Karzai , in August .'"", ""I saw Kofi Annan close up in 2001 , in the early part of that year , before the 9/11 attacks .'"", ""I travelled with him for a week round Asia : Pakistan , India , Nepal and Bangladesh - as well as a meeting with a Taliban delegation in Islamabad - and came away with a sense of someone trying to do his best to meet the ridiculously high expectations of his office , someone fundamentally decent .']""]"
2007-01-17,"['[\'Reporters were today shown a video purporting to be Mr Hanif \\\'s interrogation by Afghanistan \\\'s intelligence service . ""\', ""This morning \'s tale of heroism during the recovery of the body of Lance Corporal Mathew Ford after a failed assault on a Taliban stronghold in Afghanistan \'s Helmand province , prompted a discussion on the wider question of why the operation was a failure .""', ""The US defence secretary , Robert Gates , said today he was “ strongly inclined ” to send more troops to Afghanistan after a threefold increase in Taliban attacks in the past four months .'"", 'Pakistan \\\'s interior minister said yesterday the claim was "" totally baseless "" .\'', 'The US defence secretary , Robert Gates , said yesterday he was "" strongly inclined "" to send more troops to Afghanistan after a threefold increase in Taliban attacks in the past four months .\', ""The head of Afghanistan \'s ousted Taliban regime , Mullah Mohammed Omar , lives in the Pakistani city of Quetta under the protection of the country \'s intelligence service , according to a captured Taliban official .""', 'Pakistan , which consistently rejects claims it is sheltering or assisting the Taliban , overthrown by the US - led invasion of Afghanistan in late 2001 , dismissed the latest allegation as "" totally baseless "" .\'', ""In the news report below an editing error caused us to misspell the name of Mathew Ford , the Royal Marine Lance Corporal killed in Afghanistan .'"", ""It was an extraordinary end to a tragic operation .'"", 'The news report clearly describes the objective , taken from the military \\\'s official account of Operation Glacier Jugroom : "" The drama unfolded during a British assault on Jugroom fort , a Taliban base in Garmser , a district of southern Helmand racked by violence .\'', 'I believe that we must do what is necessary in order to sustain the success that we have already attained in Afghanistan , ”\', ""A Taliban spokesman told Afghan agents who captured him that the militia \'s chief , Mullah Omar , lives in Quetta , south - western Pakistan , protected by that country \'s powerful intelligence service .""', '"" I believe that we must do what is necessary in order to sustain the success that we have already attained in Afghanistan , "" Mr Gates said at a press conference in Kabul , adding he would pass on requests for more soldiers from military commanders to the joint chiefs of staff .\'', ""A military intelligence officer told journalists travelling with Mr Gates that insurgent attacks had increased by 300 % since last September , and the defence secretary said Taliban activity had doubled since December , with a further upsurge expected in the spring .']""]"
2007-01-29,"[""['Talks were held in Berlin yesterday on future EU - wide funding .'"", ""Mr Karzai yesterday reiterated his offer of peace talks with the Taliban .'"", '"" I know people in the Taliban - they \\\'re in every village between here and Musa Qala .\'', ""The villagers have no guns , but the Taliban do .'"", ""In the case of David Hicks , Australians ineluctably draw the straight line between him , the Taliban , Islamic bombers and the 88 Aussie dead in Bali .'"", ""More than 1,000 civilians were killed in Afghanistan last year , mostly in attacks by the Taliban and other anti - government forces , a human rights group said today .'"", ""In all , more than 4,400 Afghans died as a result of the war - twice as many as in 2005 and more than in any other year since the Taliban fell in 2001 , according to a report by New York - based Human Rights Watch .'"", ""The report coincided with a two - day international meeting in Berlin to assess the implementation of the Afghanistan compact .'"", 'Overshadowed by President George Bush \\\'s controversial , last - chance bid to salvage American honour in Iraq , the US is mounting a parallel military and reconstruction "" surge "" in Afghanistan ahead of an anticipated Taliban spring offensive .\']']"
