2013-05-09,"[""['All six Republicans on the judiciary committee who are not directly sponsoring the bill voted in favour of amendments on Thursday that would significantly delay legalising 11 million undocumented migrants in the US .'"", ""During the debate on Thursday , a number of Republicans attempted to delay the implementation of an amnesty - like provision until authorities could prove they had fully secured the southern border with Mexico against further illegal entry .'"", ""Committee chairman Patrick Leahy later attempted to paper over the cracks in the consensus , pointing out that the committee had adopted 21 of the 32 amendments offered on Thursday â€ “ almost all with some degree of bipartisan agreement â€ “ but battle lines have been drawn .'"", ""Although a Democrat majority on the Senate committee ensures the mark - p process should proceed without any major opposition measure passing , the initial session on Thursday undermined suggestions that there is broad bipartisan support for the immigration reform bill .'"", 'The scale of the revolution in Republican thinking required to pass comprehensive immigration reform was laid bare in a bumpy first day of debate of a supposedly bipartisan bill in the Senate .\', ""Conservatives such as Texan Ted Cruz clashed with the committee \'s Democrat majority , who accused them of trying to scupper reform entirely .""]']"
2013-09-20,"[""['The original combined bill , passed by the House of Representatives on Friday , is widely seen as a last - ditch Republican effort to block the Affordable Care Act before it is implemented next month by holding government finances to ransom .'"", ""The resolution passed the House of Representatives on Friday , but is the subject of controversy because Republicans tacked on a provision that would defund the non - mandatory elements of the Affordable Care Act .'"", ""But Cruz has dismissed this as defeatism and is calling for Senate Republicans to block passage of the whole budget bill when they vote on Friday or Saturday so as to stop Democrats from stripping out language that would defund Obamacare .'"", ""The resolution passed the House of Representatives on Friday , but is the subject of controversy because Republicans tacked on a provision that would defund the non - mandatory elements of the Affordable Care Act .']""]"
2013-09-22,"[""['After that , Reid is free to introduce an amendment on Sunday to the original budget resolution which strips out the threat to defund Obamacare and only requires 51 votes to pass .'"", ""After that , Reid is free to introduce an amendment on Sunday to the original budget resolution which strips out the threat to defund Obamacare and only requires 51 votes to pass .'"", ""Setting conventional Washington wisdom on its head , Cruz tried to reverse responsibility for the latest budget stand - off in the hope of garnering support from moderate Republicans and limiting growing public anger toward his party .'"", 'The latest twist to the increasingly - surreal Congressional blame game came as Cruz was prevented from resorting to procedural measures that would have frustrated a Democratic plan to "" clean up "" the bill and take out the threat to President Obama \\\'s flagship healthcare reform .\']']"
2013-09-25,"[""['Even the filibuster is pointless because procedures exist that were bound to force Cruz to yield the floor by Wednesday afternoon .'"", ""If his pseudo - filibuster had lasted until 3 pm Wednesday , Cruz would have broken the record for the longest - ever Senate speech set by Strom Thurmond in 1957 in an attempt to prevent passage of the Civil Rights Act .'"", 'Hours before the speech started , Republican Senate leaders Mitch McConnell and John Cornyn refused to back a Cruz plan to block the resolution , opening the way for Democrat majority leader Harry Reid to schedule the first in a series of procedural votes starting on Wednesday afternoon . ""\'', '"" I want to make sure everyone understands : There is no filibuster today , "" declared Reid at the outset of Tuesday \\\'s session .\'', ""On Wednesday afternoon the Senate is scheduled to vote to take up the House bill .'"", '"" I wo n\\\'t take too much time â€ “ the floor here has been well used over the last day or so , "" quipped McCain before the GOP grandee reminded the first - term senator of the struggle put up by Republicans to block the passage of Obama \\\'s healthcare reform in 2009 .\'', ""When he took the floor of the senate at 2:40pm ET on Tuesday , he knew there was no chance of blocking the passage of what is known as a continuing resolution : a motion to maintain funding for the federal government .'"", ""Senior Republicans in the Senate could barely disguise their irritation at Cruz , who hit back in a retaliatory interview with the conservative radio host Rush Limbaugh on Wednesday .'"", 'Texan Republican Ted Cruz talked through the night in a marathon speech against Obamacare , in a show of congressional theatrics devoid anything other than symbolic consequence .\', ""Cruz \'s speech was not technically a filibuster , as it he was merely speaking during a permitted time slot .""', 'In the sense that the Senate is a space for windbags to blow hard , Ted Cruz has over the last two days elevated the institution to within historic reach of its perfect self .\', ""The Texas Republican Ted Cruz may have racked up one of the longest performances in the US Senate , but his 21-hour speech exposed as much about the fault lines in the Republican party as it achieved its stated objective of stirring up opposition to Barack Obama \'s signature health reforms .""', ""Within minutes of sitting down in the Senate to applause from conservative hardliners , Cruz received a public lecture from his fellow Republican , former presidential candidate John McCain , on the need to respect legislation that has been passed in a democratic manner .']""]"
2013-10-01,"['[\'"" We are here to honour our vets , "" she told a crowd at the national mall , which has been fenced off since 1 October .\'', ""Since the launch of the insurance market federal website on 1 October , the rollout of the Affordable Care Act has been beset with problems .'"", ""I arrived at 9 am as planned , with $ 10 in my pocket and a sheet of phone numbers .'"", ""Sonya was missing , her corner space now just a bed of cardboard , a bundle of dirty blankets , broken needles , and a Bible .'"", ""Her kitten was gone , presumably given to a friend to watch , or maybe it fled , scared by the roar of semi - trucks only 10 meters away .']""]"
2013-10-02,"[""['There was never a chance that the resolution would be delayed : Cruz always knew that he would have to give way to a procedural vote on Wednesday .'"", 'A meeting of Senate Republicans on Wednesday turned into an anti - Cruz "" lynch mob "" , according to the New York Times .\'', ""I arrived at 9 am as planned , with $ 10 in my pocket and a sheet of phone numbers .'"", ""Sonya was missing , her corner space now just a bed of cardboard , a bundle of dirty blankets , broken needles , and a Bible .'"", ""Her kitten was gone , presumably given to a friend to watch , or maybe it fled , scared by the roar of semi - trucks only 10 meters away .']""]"
2014-02-13,"[""['Rightwing challengers to Mitch McConnell and John Cornyn , the two most senior Republicans in the Senate , on Thursday pounced on the fact that the duo aided the passage of legislation to increase the Treasuryâ€ ™ s borrowing capacity .'"", ""â€œThat tension has created what some have described as a hole within the Republican party.â€ � However , the internecine warfare engulfing the party was immediately laid bare on Thursday , when Republicans rightwingers seeking to unseat McConnell , the minority leader , and Cornyn , his chief whip , seized on their votes the previous night .'"", ""So now theyâ€ ™ re working toward doing away with the debt limit altogether , â€ � wrote Amy Payne on a Heritage blog on Thursday .'"", ""The Tea Party - aligned senator Mike Lee has defended a controversial decision to force Republican leaders into an embarrassing vote on the debt limit â€ “ a vote that provided ammunition to conservative primary challengers .'"", ""But the action by McConnell and Cornyn was only required because of a procedural motion insisted upon by the Texas senator Ted Cruz .']""]"
2014-03-06,"['[""Today , it \'s blindly invoked as a one - size - fits all solution !""', 'What you would n\\\'t have expected Sloppy cutting and pasting from regular stump speech : America \\\'s awesome , and "" you \\\'re going to hear that from every speaker tonight "" .\'', 'Ted Cruz Highlight Smooth integration of spontaneous audience response to his call to repeal Obamacare : "" Yes we can ! ""\'', 'To which he responded , "" you know along with hope and change , that \\\'s pretty good "" .\'', ""Crowd reaction Three - quarter - filled ballroom , lots of tentative applause for key lines .']""]"
2014-03-08,"[""['The straw poll results were announced at the end of a mostly quiet last day at the Gaylord National Resort and Convention Center in National Harbor , Maryland , a few miles outside Washington .'"", ""By Saturday , most of the potential 2016 presidential candidates had spoken .'"", 'His speech on Saturday was well received , if a touch defensive in its repeated condemnations of the "" PC police "" .\', ""For a second consecutive year , Senator Rand Paul won the Conservative Political Action Conference \'s straw poll for 2016 presidential candidates ."", ""It was n\'t even close .""', ""Paul finished ahead of Texas Senator Ted Cruz by a 20 % margin , winning 31 % of the 2,459 votes cast .']""]"
2014-03-10,"[""['Democratic Senators preparing to lead an all - nighter of climate speeches on Monday admitted a climate change bill would collapse in todayâ€ ™ s Congress â€ “ but said they hoped to prime the politics for 2015 and the 2016 presidential race .'"", ""More than two dozen Democratic Senators signed on to participate in an all - night session of speeches on climate change which was scheduled to run from about 6.30pm on Monday night to the start of the working day on Tuesday .'"", ""Instead , the senators said they planned to spend much of Monday night calling out Republicans in Congress as climate deniers , using the high - visibility moment to help create the political space needed to get a bill rolling .'"", ""Harry Reid , the Senate majority leader , last week defined climate change as the worst problem facing the world today .'"", ""About half of Democrats in the Senate were staying away from Monday nightâ€ ™ s session .'"", ""It is not a filibuster , unlike Septemberâ€ ™ s marathon speech against Obamacare by the Texas Republican Ted Cruz .']""]"
