2001-05-11,"['[""In the past I have been a little bit overawed against the top players and I could n\'t play my best tennis , but today I could see I could do it .""', ""Venus Williams allowed herself to be compared to Tiger Woods , predicted that her conqueror Justine Henin could become world No1 , and headed home to the United States looking relaxed and happy .'"", ""It was not the reaction people had been expecting after a stunning 6 - 1 , 6 - 4 defeat to the 18-year - old Henin in the third round of the German Open .'"", 'It was , though , a result which may give the Wimbledon and US Open champion a better chance of getting nearer to the golfer \\\'s four consecutive grand slams , because it gives her 2 weeks \\\' rest before the French Open , something she may need if she is to survive a fortnight \\\'s grind on the killing red clay with a persistently dodgy knee . ""\'', ""Tiger Woods had few complaints after a four - under - par 66 put him within four strokes of the first - round leader Scott Verplank in the $ 4.5 m ( £ 3.2 m ) Byron Nelson Classic in Texas .'"", '"" I \\\'m very pleased , "" he said after his first competitive round since he won the US Masters a month ago .\'', ""Verplank reeled off eight birdies at Cottonwood Valley - the easier of two courses used for the event - to shoot an eight - under - par 62 .']""]"
2001-06-16,"[""['He was in second place when he teed off on Saturday afternoon .'"", 'On the last day it was Woods who would blink , who would give up the lead and let Bjorn march away with the victory , an enormous amount of satisfaction and his sixth European Tour victory .\', ""I said it down in Dubai : how often does Tiger go into a last day and shoot 72 on a golf course that is n\'t that difficult ? \' said Bjorn . \'""', ""When Stuart Appleby , the 30-year - old Australian who lives in Orlando , Florida , was invited by his fellow resident Tiger Woods to drop by one evening , he naturally assumed it was for dinner .'"", ""Montgomerie was only one behind David Duval , a more realistic challenger for the title but the defending champion and world No1 Tiger Woods was finding life an unaccustomed struggle .'"", ""Tiger Woods and Thomas Bjorn are seeing a lot of each other , and that means a lot to Bjorn .'"", 'Woods is the standard of the contemporary game of golf , so if you find yourself paired with him in a major championship , you must be up to standard .\', ""Last year Bjorn , the Dane who stands fifth in Europe \'s Ryder Cup points table , was anything but up to standard ."", ""Teams from 40 countries around Europe , including Scotland , Wales , Northern Ireland and the Republic of Ireland , are hoping that by the time Tiger Woods tees off in the Open Championship they will be well on the way to a place in the Uefa Cup , which does n\'t start until Cowes Week .""]']"
2001-07-18,"['[\'The championship proper was played over three days - the first two rounds on the Wednesday and Thursday followed by 36 holes on the Friday so that the professionals could get back to their home courses in time to teach the members at the weekend . ""\'', 'Now it is all done for you , "" Musgrove said yesterday .\'', ""Duval started the last day six shots behind Woods in second place .'"", '"" You can look back at Augusta and say it is frustrating that I have not won this golf tournament , "" said Duval yesterday .\'', ""Proper preparation meant that Royal Lytham would have to be experienced in all its conditions .'"", 'Dave Musgrove is a caddie of the old school .\', ""One of them has the chance to step out of Tiger Woods \'s shadow and finally take his place among golf \'s elite .""', 'Duval and Mickelson are the best two US players sharing the dreaded tag of "" best player never to have won a major "" .\']']"
2001-07-19,"['[\'Two of the longest hitters in the world , Tiger Woods and the Argentine Angel Cabrera , are partners in the first round of the 130th Open championship at Royal Lytham and St Annes tomorrow .\', ""Lee Westwood , his regular practice partner , used to reckon the Ulsterman would still be in a bad temper the next day if he had n\'t enjoyed the film the night before .""', 'Top draws 9.01am : T Woods ( US ) , T Levet ( Fr ) and A Cabrera ( Arg ) Tiger Woods will be like the pied piper this morning , but his group is just one of many delectable threesomes and the galleries would be ill advised to ignore Cabrera .\', ""When Musgrove hoists Lyle \'s bag on to his shoulder this afternoon and walks to the first tee he will be making his 40th consecutive appearance at the Open .""', ""Musgrove clearly does not expect his man to repeat any such feats starting today .'"", 'David Duval and Phil Mickelson have a lot to prove when the 130th Open Championship starts today .\', ""Criss - crossed by yesterday \'s moderate breezes , Royal Lytham presented a more stringent test than the Old Course in last year \'s unnatural calm as Woods set off in the company of Angel Cabrera of Argentina and Thomas Levet of France ."", ""Woods \' respect for Lytham was obvious in everything he did yesterday , and most of all in the four perfect shots with which he rescued himself from the traps at the 6th , 11th , 12th and 18th ."", ""Most of yesterday \'s crowd of 32,500 seemed to have turned up with the idea of following game No12 ."", ""That it was blowing a gale and bitterly cold deterred him not at all , nor Adam Scott nor Mark O\'Meara , his playing partners .""', ""Proper preparation meant that Royal Lytham would have to be experienced in all its conditions .'"", ""The long - hitting Argentine showed his calibre this year when he contended for the Masters and eventually slipped to 10th .'"", 'Dave Musgrove is a caddie of the old school .\', ""You will not find him following the strict training regime of Steve Williams , Tiger Woods \'s New Zealand - born bag - carrier , who embarks on a five - mile run and swims 1,000 metres every day ."", ""One of them has the chance to step out of Tiger Woods \'s shadow and finally take his place among golf \'s elite .""', 'Duval and Mickelson are the best two US players sharing the dreaded tag of "" best player never to have won a major "" .\'', 'First round Monty opens with a flourish Despite shooting his way three shots clear of the posse , Colin Montgomerie could not stress enough that his magnificent first round was nothing more than "" a good start . ""\', ""Couples digs deeper into disaster The sight of Fred Couples thrashing around in a 14th hole bunker was the highlight for Royal Lytham \'s more sadistic spectators .""', ""Woods is wayward but on the level Tiger Woods acquainted himself with the : Lytham bunkers and missed putts by millimetres .'"", ""After keeping his feet out of the sand for four days in a row at St Andrews last year , Tiger Woods took no more than 45 minutes to find a bunker at Royal Lytham yesterday .'"", 'As his shot from the 4th tee splashed down beneath the dark , forbidding face of an earthwork inserted to the right of the fairway , a shudder of astonishment ran through the gallery .\', ""The defending champion \'s opening round had started typically enough .""]']"
2001-08-14,"[""['Woods tried to play down the incident at a press conference at the club yesterday , but on his website a story which carries his byline reveals the moment of terror .'"", '"" We were all right , "" he said yesterday , "" we are all still here . ""\'', ""A local guide said yesterday that while bears will not ordinarily attack humans , they may well do so if they are hun gry and also feel that the person concerned is getting between them and their perceived meal .'"", ""He yesterday confessed he had come close to physical burnout and had realised that in the previous 10 weeks he had spent just one night at home .'"", ""That was the reason for three fishing trips , in Ireland , Alaska and Colorado , and yesterday Woods said that while part of their appeal was to get away from the media , there were other considerations .'"", ""But Woods knows the time to buckle down has arrived and he arrived on course at 6 am yesterday to get in 18 holes before the Atlantan heat and humidity kicked in .'"", ""Yesterday Woods , perhaps the longest hitter through the bag in golf , hit a driver off the tee then hooked a three - iron second into the lake that guards the green .'"", 'Greeted yesterday by a reporter who had been to the Walker Cup match , with the words "" Gary Wolstenholme sends his regards , "" Woods winced in mock pain .\'', 'Tiger Woods , intent on rest and relaxation on a fishing trip , was "" chased off the river "" by a hungry nine - foot brown bear earlier this month .\', ""He and his companions Mark O\'Meara and John Cook were in the Alaskan wilderness , reeling in salmon , when the beast appeared out of a forest and , catching scent of a fish they had caught , chased after them .""', 'The party escaped by jumping on to the raft they were using and , aided by a strong current , managed to get away .\', ""Tiger Woods , the man who set all sorts of records in winning four successive major championships , has prepared for this week \'s US PGA championship in what is , for him , a unique fashion .""', ""He has done nothing at all .'"", 'Woods , normally meticulous when it comes to doing his homework for a major , has spent the last week "" hanging out "" with friends in Orlando or simply watching television .\']']"
2002-04-09,"[""['The tens of thousands of plodders and hackers wheezing their way around London in the marathon tomorrow will be able to count among their number the most dominant sportsman of our times .'"", ""USA Today , The New York Times and the Washington Post all plump for members of this much - vaunted quartet , however , there are some golf corespondents who are prepared to look further afield .'"", 'He has the Augustan \\\'s awe of Augusta National and said yesterday : "" This is the greatest place in the world to me , right here , and the members are the best members in the world . ""\'', 'Yeah , "" he said yesterday , "" I can be the poster boy for the high - school geek .\'', ""Tiger Woods ( USA ) 11/4 fav'"", 'Some have questioned his desire since landing last year \\\'s event to complete his controversial "" slam "" , but the simple truth of Tiger \\\'s ( relative ) demise over the last 12 months is his inability to find the fairway from the tee .\'', ""If he gets his driver going anywhere near like the levels of 2000 /1 , expect him to be about six miles in the lead come Sunday evening - the extra 300 yards on the course play straight into his hands .'"", ""It may indicate the dominance of an elite group of golfers , or simply a lack of imagination , but few American sports pundits are prepared to back anyone other than Ernie Els , David Duval , Phil Mickleson or , inevitably enough , Tiger Woods to win the 2002 Augusta Masters .'"", ""Tiger Woods is in no doubt about it .'"", '"" Compared to them I just kinda dink it around . ""\']']"
2002-04-10,"['[\'"" I \\\'ve got to find another 10 yards in length to keep up with these kids today , "" he says .\', ""No 30 , in the last 16 of the Regal Scottish Open 11 days ago , less than 24 hours after a vintage display in the previous round . \'""', ""All we have to hope is that other , less agreeable distractions are settled by April 10 , so that we can all concentrate on the hilarious goings - on planned for the Augusta National golf club .'"", ""Tiger Woods is in no doubt about it .'"", '"" Compared to them I just kinda dink it around . ""\'', ""Olazabal , playing in the group ahead of the world number one and defending champion , hit his second shot to within five feet of the flag on the 575-yard second and holed for an eagle three .'"", 'It took the Spaniard , winner in 1994 and 1999 and second to Woods on the US Tour money list this season , into a share of the early lead with American Scott Verplank .\', ""BST : US unless stated * denotes amateur 1330 Mark O\'Meara , Joe Durant , Robert Allenby ( Aus ) 1341 Sandy Lyle ( GB ) , Stewart Cink , Steve Lowery""', ""1352 Fred Couples , Shingo Katayama ( Japan ) , Tom Pernice 1403 Seve Ballesteros ( Sp ) , Steve Stricker , Kenny Perry 1414 Ian Woosnam ( GB ) , Jim Furyk , Miguel Angel Jimenez ( Sp ) 1425'"", ""Larry Mize , Lee Westwood ( GB ) , Billy Andrade 1436 Tom Watson , * Chez Reavie , Billy Mayfair 1447 Lee Janzen , Tom Kite , Rocco Mediate']""]"
2002-04-13,"[""['Three under par with eight to play when the rain - delayed second round began again yesterday'"", ""With the halfway cut set at three over par , just 45 players survived through to yesterday afternoon .'"", ""Still , he had the good grace to stick around , despite his disappointment , to shake hands with Arnold Palmer who completed his 48th consecutive , and final , Masters just before 11 am yesterday .'"", ""And on Saturday afternoon he made his charge , his 66 equalling his second - lowest score in the tournament and putting him in pole position for the final day .'"", 'The one time Woods failed to commit himself on Saturday , hitting his second shot with a two - iron on the 510-yard 13th hole , he watched the ball squirt , in his word , to the right of the creek guarding the green instead of carrying it , forcing him to save par . ""\'', '"" I strongly think that the gap is closing , "" Sergio Garcia said on Saturday night , after putting himself in contention for the final day , "" and we \\\'re trying to make it even closer . ""\'', ""Yesterday there was still plenty of daylight between Tiger and his would - be rivals as he went in pursuit of his aim of becoming the seventh man to win the Masters three times and only the third , after Jack Nicklaus and Nick Faldo , to win it in two consecutive years .'"", ""His play yesterday was generally more judicious than spectacular , although the round began with a marvellous approach shot from a bunker to the 1st green and appeared to have taken wing with his birdie at the par - five 2nd hole .'"", 'Tiger Woods , impassive as all around him imploded , won his seventh major championship yesterday when , at Augusta National , he successfully defended his US Masters title .\', ""Slowly , streadily and , yes , inevitably , Tiger Woods began , in the immortal words of his President , to \' smoke \'em out \' here in Georgia ."", ""While the world No 1 \'s hit - list included nothing more dangerous than the cream of the European Tour , there is no doubting either that for great stretches of this US Masters the leaderboard has been seriously damaging to local sporting pride ."", ""At one stage the top seven contenders were from outside the United States so that it more closely resembled the leaders of the European Tour \'s monthly medal down at their Wentworth HQ in Surrey than who was doing what at Augusta National , Georgia .""', ""On the practice days Tiger Woods was out at dawn .'"", ""While most of his rivals were still contemplating the prospect of breakfast he was making his final reconnaissance of the changes to the course where , five years ago , he laid the foundations of his legend .'"", ""This time , as usual , he was leaving nothing to chance .'"", ""A final round of 71 , one under par , for a 12-under total of 276 was sufficient to beat Retief Goosen , the US Open champion , by three , Phil Mickelson by four and Jose Maria Olazabal by five .'"", ""He became only the third man to win successive green jackets , the others being Jack Nicklaus and Nick Faldo , and he won , as if he cares , $ 1,008,000 ( £ 725,000 ) .']""]"
2002-04-14,"[""['No one will scrutinise themselves more closely than Padraig when the mud squelches to a halt tonight .'"", 'Woods claimed the seventh major of his career last night and , according to runner - up Retief Goosen , the 26-year - old will only get better . ""\'', '"" You know , "" he said after winning his seventh major championship and his third green jacket at Augusta National late on Sunday , "" that was a tough day .\', ""Boring , they repeated , as Woods held the field at bay throughout Sunday \'s final round of the US Masters , despite expectations that a leader - board packed with talent throughout the tournament would produce an epic finish ."", ""At one stage the top seven contenders were from outside the United States so that it more closely resembled the leaders of the European Tour \'s monthly medal down at their Wentworth HQ in Surrey than who was doing what at Augusta National , Georgia .""', ""On the practice days Tiger Woods was out at dawn .'"", ""A final round of 71 , one under par , for a 12-under total of 276 was sufficient to beat Retief Goosen , the US Open champion , by three , Phil Mickelson by four and Jose Maria Olazabal by five .'"", 'Retief Goosen ( SA )\', ""As if it was n\'t enough to see off the cream of the world \'s golfers at Augusta without breaking sweat , Tiger Woods now has his sights set on achieving a golfing Grand Slam .""', 'Woods has already won all four majors in succession , but not all in the same calendar year .\', ""His feat , completed at last year \'s Masters , became known as the Tiger Slam .""', ""Tiger Woods tried hard to make it sound like a contest .']""]"
2002-05-16,"['[\'Little wonder that he was able to say yesterday with every appearance of sincerity : "" I thoroughly enjoy playing all over the world .\'', 'Yesterday he denied it was ever his ambition to win a grand slam as popularly accepted - all four in a year - although he has been quoted many times in the past as saying he would like to do just that , principally to please his father Earl . ""\'', 'Yesterday he said with a wry smile .\', ""Montgomerie is on painkillers to help ease the ongoing back injury he picked up in Australia at the start of the season , and which forced him to pull out of Thursday \'s Pro - am after just 12 holes .""', 'Tournament directors , sponsors , television companies and the public ( although they are usually least considered ) take a dim view of the absence of sporting superstars and these days Woods is extremely circumspect when it comes to affirming future appearances .\', ""This week \'s tournament is certainly not an event to thrill every fibre of his frame but there are considerable compensations .""', ""Pity poor Tiger Woods , in Germany this week for the Deutsche Bank SAP Open .'"", ""The sponsors have provided only a miserable Maserati for him to drive which , he says , is not a patch on his Porsche back home .'"", ""What a life !']""]"
