2010-02-06,"['[""Assange \'s extradition hearing has been scheduled for 6 - 7 February .""', 'This outlines "" some important issues which will be gone into in detail on 6 and 7 February "" , he said .\'', ""His bail was modified , allowing him to stay at the Frontline Club for journalists in Paddington on 6 and 7 February , so he does not have so far to travel .'"", 'This outlines "" some important issues which will be gone into in detail on February 6 and 7 "" , he said .\'', ""His bail was modified , allowing him to stay at the Frontline Club , in Paddington , on February 6 and 7 so he does not have so far to travel .']""]"
2010-07-29,"[""['The WikiLeaks editor - in - chief Julian Assange said yesterday that the website had contacted the White House — with the New York Times acting as intermediary — to offer US government officials the chance to go through the documents to make sure no innocent people were identified .'"", ""The US defence secretary , Robert Gates , said on 29 July that the release of 90,000 classified documents about the war in Afghanistan endangered Afghan lives .'"", ""Daniel Choike told a pre - trial hearing in Fort Meade , Maryland , that when Manning arrived at the brig on 29 July 2010 , having been arrested in Iraq on suspicion of being the source of the massive WikiLeaks dump of state secrets , he informed his superior officer in the Pentagon that in his opinion Quantico was not the right place for the soldier should his detention last long .'"", 'Daniel Choike , who was commander of the Quantico marine base between 29 July 2010 and 20 April 2011 , when Manning was held there , said he had agreed to keep the soldier on a restrictive "" prevention of injury "" ( PoI ) order because of his "" erratic behaviour , poor judgment in the past and poor family relationships "" .\'', 'The White House has implored WikiLeaks to stop posting secret Afghanistan war documents .\', ""President Obama \'s spokesman , Robert Gibbs , said the war logs jeopardised national security and put the lives of Afghan informants and US soldiers at risk .""', ""WikiLeaks and its editor - in - chief , Julian Assange , have come under attack from US officials and their allies for potentially endangering informants and troops in Afghanistan by posting the texts of thousands of leaked war logs .'"", 'The US defence secretary , Robert Gates , claimed in Washington : "" The battlefield consequences are potentially severe and dangerous for our troops , our allies and Afghan partners , and may well damage our relationships and reputation in that key part of the world . ""\'', ""Gates said sensitive intelligence which could endanger informants had been widely distributed down to junior level in the US army , in a loose policy which might now have to be reconsidered .']""]"
2010-08-09,"['[""While I \'m on the subject , all those who have not read yesterday \'s Open Door piece by Chris Elliott should do so now .""', 'Assange expressed his frustration on the WikiLeaks Twitter feed yesterday .\', ""Yesterday the readers \' editor of the Guardian , Chris Elliott , explained the steps the paper had taken before publishing extracts of the documents .""', 'A Swedish newspaper has claimed that WikiLeaks is not fully protected by Swedish law and so it could be vulnerable to demands to reveal its sources .\', ""According to an article in Sydsvenskan , there are doubts about the validity of WikiLeaks \' belief in the protections offered under Swedish legislation .""', 'The paper quotes HÃ¥kan Rustand , deputy to the acting chancellor of justice , as saying : "" It is too simple to claim that all WikiLeaks sources are totally protected in Sweden . ""\'', 'Human rights groups have urged the whistleblowing website WikiLeaks to remove thousands of names from the leaked Afghanistan war logs over fears of "" deadly ramifications "" for the people identified .\'', ""Five human rights organisations including Amnesty International and the Open Society Institute , have written to WikiLeaks to express their concerns about the biggest leak in US military history , according to the Wall Street Journal .'"", 'The email says : "" We have seen the negative , sometimes deadly ramifications for those Afghans identified as working for or sympathising with international forces .\']']"
2010-08-14,"[""['Investigators have released few details about the allegations against Assange , though a police report showed that both women had met him in connection with a seminar he gave in Stockholm on 14 August .'"", ""Prosecutors have released no details about the allegations against Assange , but police reports leaked to the media showed that both women had met him in connection with a seminar he gave in Stockholm on 14 August .'"", 'The first complainant , a Miss A , said she was the victim of "" unlawful coercion "" on the night of 14 August in Stockholm .\'', ""The claims related to two women who said they had met Assange in connection with a seminar he gave in the Swedish capital on 14 August .'"", 'She said the first complainant , Miss A , said she was victim of "" unlawful coercion "" on the night of 14 August in Stockholm .\'', 'Gemma Lindfield , for the Swedish prosecutors , said the first involved complainant A , who said she was the victim of "" unlawful coercion "" on the night of 14 August in Stockholm .\'', 'She said the first complainant , Miss A , said she was victim of "" unlawful coercion "" on the night of 14 August in Stockholm .\', ""14 August – Assange stayed with the conference organiser at her flat in Södermalm , a former working class area of the city centre that has become Stockholm \'s equivalent of London \'s Islington .""', 'The first complainant , known as Miss A , said she was the victim of "" unlawful coercion "" on the night of 14 August in 2009 in Stockholm .\']']"
2010-08-17,"[""['The alleged rape of Ms W was said to have occurred on the morning of Tuesday 17 August .'"", 'A fourth charge , relating to a Miss W , alleged that on 17 August , he "" improperly exploited "" the fact she was asleep to have sex with her without a condom .\'', ""The fourth charge accused Assange of having sex with a second woman , Miss W , on 17 August without a condom while she was asleep at her Stockholm home .'"", ""The fourth charge accused Assange of having sex with a second woman , Miss W , on 17 August without a condom while she was asleep at her Stockholm home .'"", ""The fourth charge accused Assange of having sex with a second woman , Miss W , on 17 August without a condom while she was asleep at her Stockholm home .'"", ""Three days later , in keeping with his habit of regularly changing addresses , Assange stayed in Enköping , a town 100 miles from Stockholm , with another woman who had also attended his lecture on the importance of truth in a war zone .']""]"
2010-08-18,"[""['On the following day , the charge of rape was dropped and the warrant was rescinded .'"", 'A third charge claimed Assange "" deliberately molested "" Miss A on 18 August .\'', 'The third charge claimed Assange "" deliberately molested "" Miss A on 18 August "" in a way designed to violate her sexual integrity "" .\'', 'The third charge claimed Assange "" deliberately molested "" Miss A on 18 August "" in a way designed to violate her sexual integrity "" .\'', 'The third charge claimed Assange "" deliberately molested "" Miss A on 18 August "" in a way designed to violate her sexual integrity "" .\'', ""Assange left Sweden on 18 August and the women went together to the police the next day .'"", 'A third charge claimed Assange "" deliberately molested "" Miss A on 18 August .\']']"
2010-08-20,"[""['â€ “ was the subject of a Swedish arrest warrant on Friday after separate complaints made by two women .'"", ""The preliminary allegation , made on Friday night , and not further investigated at that stage , was apparently leaked by police to a tabloid in Stockholm , which published dramatic claims on Saturday morning that Assange was to be arrested .'"", 'The Swedish Prosecution Authority todaysaid an "" on - call "" prosecutor issued an arrest warrant for Assange late on Friday , only to see it revoked the next day by a higher - ranked prosecutor who found no grounds to suspect him of rape . ""\'', ""On Friday last week , Ms A and Ms W together approached police in Stockholm and reported that they had been sexually assaulted by Assange .'"", ""The report shows the women filed their complaints together six days later .'"", ""The women filed their complaints together six days later .'"", ""The charges have changed several times since they were first levelled by two women on 20 August in relation to events over the weekend of 13 August .'"", 'The women filed their complaints together six days later , on Friday 20 August .\', ""He told police that he had continued to sleep in Miss A \'s bed for the following week and she had never mentioned a torn condom .""', ""The senior district judge threw out the appeal and ordered his extradition , and a week later Assange appealed to the high court .'"", ""He has to sign in at a local police station every day , he wears an electronic tag that monitors his movements and he has to be back inside the house by 10 pm each night .']""]"
2010-10-21,"['[\'On 21 October , they killed one individual and wounded two others in a silver minibus while on patrol in Kabul .\', ""This weekend \'s release of a second gigantic trove of leaked US military material raises the stakes for two people .""', ""One is Bradley Manning , a 22-year - old dissident American soldier being held in a military prison outside Washington charged with leaking similar material .'"", ""The other is Julian Assange , 39 , the Australian founder of WikiLeaks .'"", ""All information about the deaths caused in any disaster , be it a man - made war or a natural catastrophe , is public information which no state has a right to withhold indefinitely .'"", ""Even in military circles , the latest thinking accepts this view , for a variety of reasons that include its own best interests .'"", ""We argued exactly this point in a recent article in the British Army Review , co - authored with a British Army colonel .'"", ""The US secretary of state , Hillary Clinton , condemned the release of almost 400,000 secret US army field reports by whistleblowing website WikiLeaks claiming the disclosure could put lives at risk .'"", 'Speaking to reporters in Washington before the documents had been posted on the website , Clinton said she condemned "" in the most clear terms the disclosure of any information by individuals and or organisations which puts the lives of United States and its partners \\\' service members and civilians at risk "" .\'', 'Nato \\\'s secretary - general Anders Fogh Rasmussen said the release could create "" a very unfortunate situation "" .\', ""A grim picture of the US and Britain \'s legacy in Iraq has been revealed in a massive leak of American military documents that detail torture , summary executions and war crimes .""', ""Almost 400,000 secret US army field reports have been passed to the Guardian and a number of other international media organisations via the whistleblowing website WikiLeaks .'"", ""The electronic archive is believed to emanate from the same dissident US army intelligence analyst who earlier this year is alleged to have leaked a smaller tranche of 90,000 logs chronicling bloody encounters and civilian killings in the Afghan war .']""]"
2010-10-22,"[""['It has given the army $ 9bn to fight the Taliban and al - Qaida in the tribal belt ; on 22 October the White House announced an extra $ 2bn over the next five years .'"", 'But the US embassy in Rabat noted in a secret cable : "" While Sarkozy was generally well received , there was much gossip in Moroccan salons about a \\\' too relaxed \\\' president slouching comfortably in his chair as he and the king presided over a 22 October signing ceremony at the royal palace in Marrakech .\'', ""One is Bradley Manning , a 22-year - old dissident American soldier being held in a military prison outside Washington charged with leaking similar material .'"", ""We argued exactly this point in a recent article in the British Army Review , co - authored with a British Army colonel .'"", ""The US secretary of state , Hillary Clinton , condemned the release of almost 400,000 secret US army field reports by whistleblowing website WikiLeaks claiming the disclosure could put lives at risk .'"", ""Almost 400,000 secret US army field reports have been passed to the Guardian and a number of other international media organisations via the whistleblowing website WikiLeaks .'"", ""The electronic archive is believed to emanate from the same dissident US army intelligence analyst who earlier this year is alleged to have leaked a smaller tranche of 90,000 logs chronicling bloody encounters and civilian killings in the Afghan war .'"", ""A massive cache of secret US military files passed to the Guardian via the whistleblowing website WikiLeaks has revealed the devastating scale of the human rights abuses committed in the wake of the invasion of Iraq .'"", ""WikiLeaks has passed almost 400,000 secret US army field reports to the Guardian and a range of other media outlets .'"", ""British lawyers said the classified US army field reports embroiled British as well as American forces in an alleged culture of abuse and extrajudicial killings in Iraq .']""]"
2010-10-26,"['[""Today \'s release came after the Guardian pressed for more details of those cases .""', ""The Ministry of Defence today disclosed its version of the incidents after a freedom of information request by the Guardian .'"", ""The conduct of three British military units in Afghanistan has come under serious question after the Ministry of Defence released unprecedented details of incidents in which troops attacked Afghan civilians .'"", ""The disclosure , in response to a request under the Freedom of Information Act made by the Guardian , revealed that of the casualties caused by British forces , two - thirds involved troops from the three units , triggering calls for an inquiry into their behaviour .'"", ""Releasing information about 21 incidents , the MoD revealed that the Coldstream Guards shot four civilians in Kabul over a period of three weeks ; the Royal Marine commandos killed or wounded civilians eight times in six months ; and the third unit , the Rifles , were involved in three incidents last year .'"", 'First and foremost , it is important to understand that this is a serious challenge to our national security , "" he writes .\']']"
