time,Sentences
2010-04-01,"[""President 's reversal of oil drilling ban angers many Dems and some Republicans Hollywood heavyweights threw their star power behind environmental causes on Thursday , advocating for the creation of an Arctic reserve and the protection of animal ..."", ""BP 's share price - which had more than halved since the Deepwater Horizon oil rig explosion in April first triggered the company 's woes - has staged an impressive recovery in recent weeks ."", 'Obama Tries to Buy A Superman Cape', ""`` That 's a lot of ` change to believe in . '""]"
2010-04-02,"[""This `` abominable smell of oil '' as the Guardian reported could be smelt at Land 's End on Good Friday .""]"
2010-04-04,"['Wilson had been due to spend his Easter holidays on the Scilly Isles .', 'The British Museum said the substance involved was molasses , which had not damaged the Easter Island statue .', 'Artists have been inspired by some creatures -- images of the yeti crab , found off Easter Island , has even been emblazoned on skateboards , Snelgrove said .']"
2010-04-05,"['On Easter Monday , the tanker broke into two pieces .', 'The latest five minute news bulletin from BBC World Service .', 'We discuss the calls for BP not to pay dividends to its shareholders and to divert the money to oil spill victims .']"
2010-04-09,"[""In an April 9 letter , BP America 's senior federal affairs director , Margaret D. Laney , wrote to the council that such exemptions should be used in situations where environmental damage is likely to be `` minimal or non-existent . ''"", 'The department of wildlife and fisheries processed applications for 85 such licenses on April 9th , about a week before the spill .', 'Also , according to testimony , a BP well site leader performed a pressure test April 9 on the blowout preventer , and he said it passed .']"
2010-04-15,"['Seated at the witness table in an airport hotel here , he recalled : -- Seeing an April 15 Halliburton report that said there was potential for a minor gas flow problem on the Deepwater rig .', 'Gagliano said he and the BP engineers worked together , late into the night of April 15 , trying to resolve the problem .', 'By the evening of April 15 , Gagliano had a model with 21 centralizers that resolved the gas flow problem .']"
2010-04-16,"['In an e-mail on 16 April , a BP official involved in the decisions explained : `` It will take 10 hours to install them .', ""Later on the same day , another official recognized the risks of proceeding with insufficient centralisers but added : `` Who cares , it 's done , end of story , will probably be fine . ''"", ""KENNER , LA. -- On April 16 , four days before the Deepwater Horizon exploded in a fireball , one of the two `` company men '' who oversaw drilling operations on the oil rig for BP boarded a helicopter and headed for shore ."", ""BP 's senior `` company man '' on board , Ronald Sepulvado , left the rig April 16 to attend blowout-preventer classes and had only a 30-minute overlap with his replacement , Robert Kaluza .""]"
2010-04-17,"['Drilling had been finished on April 17 as the well had been sealed with casing and cement .', 'He said that by April 17 , the well had been completed and the blowout preventer was ready to be moved off site .', 'Flash forward to April 17 , 2010 .', 'Flash forward to April 17 , 2010 .']"
2010-04-18,"['Ronald Sepulvado , who had been working on the Deepwater Horizon for more than seven years , turned off his cellphone after he landed , stopped checking e-mail regularly and did not read an April 18 warning from contractor Halliburton that the well faced a potentially severe gas flow problem .', 'Guide was asked about an April 18 report -- two days before the disaster -- from contractor Halliburton concluding that the well had the potential for a severe gas flow problem .', ""Three days later , he wrote that , with only seven centralizers to center the casing , `` this well is considered to have a SEVERE gas flow problem . ''""]"
2010-04-19,"['News of the appointments came late in a day when a senior official of the BP oil company said that it was siphoning far less oil from the Gulf of Mexico than other officials had said a day earlier , while Louisiana officials gave voice to rising frustration over the pace of the cleanup operation .', ""The new estimate is the equivalent of an Exxon Valdez every four days , and the sixth increase in the government 's oil flow estimates since the Deepwater Horizon crisis 58 days ago ."", ""The Deepwater Horizon explosion according to BP 19 April - ` Bad ' cement pumped down casing to stop gas and oil leaking into welbore 20 April - Gas and oil leak through shoe track barrier and float collar 20 April - Tests carried out on the rig incorrectly suggest pressure is at a safe level"", 'But Bartlit said BP did not have the results of that test before 19 April , when it ordered work crews to begin pumping cement into the well .', 'The results of a fourth Halliburton test - the only one indicating that the cement slurry might have been able to contain the high-pressure pool of oil and gas at the bottom of the Macondo well - were not available until the night of April 19 at the earliest and perhaps not until after the cement was poured , the commission staff said .', 'Case study : Gulf of Mexico oil spill and BP', 'a deepwater oil well exploded in the Gulf of Mexico .']"
