time,Sentences
2008-09-09,"['Then , Sept. 9 , two days after the federal government announced the Fannie Mae and Freddie Mac takeovers , Mason got a call on her cellphone saying the Sept. 11 board meeting to approve grants had been postponed .']"
2008-09-11,"['Of course , the Sept. 11 attacks left a deep scar on the soul of the country and caused immense tragedy .', ""Feinberg , who previously managed the government 's efforts to compensate the families of those killed in the Sept. 11 attacks , will control compensation at seven firms that have received large federal bailouts , including Citigroup , Bank of America , American International Group , General Motors , Chrysler as well as Chrysler Financial and GMAC , which provide loans to auto customers ."", 'Financial Rescues Show That Faith in Free Market Is', 'Shaken Self-reliance .', 'A faith in free markets and a belief that people should have the opportunity to fail or succeed on the basis of their hard work and ingenuity .']"
2008-09-12,"['Today , those objections seem almost quaint .', ""AIG 's failure was a surprise -- the company first went to the government for help Friday -- and its sheer size and complexity made it impossible to quickly prepare for its collapse ."", 'Financial Rescues Show That Faith in Free Market Is', 'Shaken Self-reliance .', 'A faith in free markets and a belief that people should have the opportunity to fail or succeed on the basis of their hard work and ingenuity .']"
2008-09-14,"[""Until Sunday , it was pretty hard to see where Paulson 's impact lay ."", 'Sen. Barack Obama , so steady in public , did not hide his vexation when he summoned his top advisers to meet with him in Chicago on Sept. 14 .', 'The U.S. financial system this weekend faced its gravest crisis in modern times , as regulators resorted to triage on Wall Street to contain the spreading damage from a meltdown in the housing and mortgage market .', ""Two of the world 's biggest investment banks , Merrill Lynch and Lehman Brothers , appeared almost certain to disappear , Merrill into the arms of banking behemoth Bank of America and Lehman into bankruptcy ."", ""American International Group , once the country 's largest insurer , was seeking a financial lifeline .""]"
2008-09-15,"['However things go on Wall Street and financial capitals around the world today , the reworking of the global financial system will continue apace .', ""As of Monday afternoon , Paulson 's bet had generated some scary moments ."", 'When credit-rating agencies downgraded the company Monday , AIG suddenly faced a crunch to come up with $ 14.5 billion to meet its commitments .', 'Why are all the economic geniuses shocked at the collapse of Lehman Brothers -LRB- front page , Sept. 15 -RRB- ?', ""But what we also want to make sure of is , is that the economic system as a whole continues and that ordinary people are able to wake up on Monday and keep doing what they 've been doing ."", 'Five Days That Transformed Wall Street : Sept. 15 - 19 , 2008', 'The U.S. financial system this weekend faced its gravest crisis in modern times , as regulators resorted to triage on Wall Street to contain the spreading damage from a meltdown in the housing and mortgage market .', ""Two of the world 's biggest investment banks , Merrill Lynch and Lehman Brothers , appeared almost certain to disappear , Merrill into the arms of banking behemoth Bank of America and Lehman into bankruptcy ."", ""American International Group , once the country 's largest insurer , was seeking a financial lifeline ."", ""In taking the top job at Treasury two years ago , Hank Paulson said he would n't be content to keep the seat warm ."", ""He was running Goldman Sachs , the preeminent investment bank , and he had no need to come to Washington if he was n't going to make an impact .""]"
2008-09-16,"['-RRB- , chairman of the House Financial Services Committee , to determine whether Federal Reserve Chairman Ben S. Bernanke should retain authority to unilaterally bail out failing firms , as he did Tuesday with a loan of $ 85 billion to insurance giant American International Group .', 'Congressional leaders learned of the rescue late Tuesday during a hastily called meeting in the Capitol with Bernanke and Treasury Secretary Henry M. Paulson Jr. , who explained the deal after it was done .', 'Critics say they have been inconsistent in their reactions to market events -- they allowed Lehman Brothers to collapse over the weekend but bailed out AIG on Tuesday -- leaving the markets uncertain about what the government would do for other firms on the brink .', ""In taking the top job at Treasury two years ago , Hank Paulson said he would n't be content to keep the seat warm ."", 'U.S. Seizes Control of AIG', 'With $ 85 Billion Emergency Loan', 'Invoking extraordinary powers granted after the 1929 stock market crash , the government seized control of the insurance giant American International Group to preserve a crucial bulwark of the global financial system .', 'It is not just that Merrill Lynch agreed to be purchased by Bank of America or that the legendary investment bank Lehman Brothers filed for bankruptcy or that the insurance giant AIG is floundering .', ""It is not even that these events followed the failure of the investment bank Bear Stearns or the government 's takeover of Fannie Mae and Freddie Mac , the largest mortgage lenders ."", 'What Not to Do in a Financial Crisis :']"
2008-09-17,"['Having pumped $ 100 billion into the banking system and lent $ 115 billion more to rescue Bear Stearns and AIG , the Federal Reserve was forced to ask the Treasury yesterday to borrow some extra money to replenish its coffers .', 'Lawmakers on both sides of the aisle expressed concern yesterday that they have had no control over when and how federal money has been used to curb the panic on Wall Street .', ""Regarding the Sept. 17 front-page article on the government bailout of American International Group -LRB- AIG -RRB- , which was published a day after the op-ed column `` No More Creampuffs , '' about the government being willing to let large firms fail : It seems to me that the market is not really free if oil companies get huge tax breaks and financial institutions such as Fannie Mae , Freddie Mac and AIG know that the federal government will bail them out when they make stupid decisions ."", 'U.S. Seizes Control of AIG', 'Invoking extraordinary powers granted after the 1929 stock market crash , the government seized control of the insurance giant American International Group to preserve a crucial bulwark of the global financial system .', 'Wall Street as we know it is kaput .', ""It is not even that these events followed the failure of the investment bank Bear Stearns or the government 's takeover of Fannie Mae and Freddie Mac , the largest mortgage lenders ."", 'What Not to Do in a Financial Crisis :', '-LRB-', 'Lawmakers Left On the Sidelines', 'As Fed , Treasury Take Swift Action', 'The frenetic pace of the financial crisis has forced the Treasury Department and Federal Reserve to make rapid-fire decisions in recent days , leaving Capitol Hill lawmakers effectively impotent -- and frustrated .']"
2008-09-18,"['Republicans in the House have scheduled a news conference for today to protest the string of bailouts that began in March with Wall Street investment bank Bear Stearns and extended in recent weeks to mortgage-finance giants Fannie Mae and Freddie Mac , as well as AIG .', ""In recent years I 've outlined plans that would have helped prevent the problems that we face , and yesterday I proposed the outlines of a plan that would establish a more stable and permanent solution to strengthen our financial system ."", ""I 'm told that Pelosi and Reid last night pressed Secretary Paulson ."", ""And essentially it 's about as detailed as the one paragraph that he had offered yesterday and that I had talked about yesterday and that my -- one of my chief economic advisers , Paulson , had written about several -- excuse me"", 'Last night , Secretary Paulson and Chairman Bernanke and Chairman Cox met with congressional leaders of both parties and they had a very good meeting .', 'Emerging from meeting Thursday night at the Capitol with top officials of the Treasury , the Fed and the SEC , congressional leaders looked like deer caught in the headlights of an oncoming eighteen-wheeler .', 'After A Category 4 Financial Storm Robert Dugger , an economist and hedge-fund partner , says the markets have only just begun to force some financial discipline on the majority of U.S. households .', 'As Fed , Treasury Take Swift Action', 'The frenetic pace of the financial crisis has forced the Treasury Department and Federal Reserve to make rapid-fire decisions in recent days , leaving Capitol Hill lawmakers effectively impotent -- and frustrated .', 'Then-President George W. Bush , center , flanked by Federal Reserve Chairman Ben S. Bernanke , left , Treasury Secretary Henry M. Paulson Jr. and Securities and Exchange Commission head Christopher Cox , asked Congress to put aside partisan differences and enact a historic rescue package .', 'In Crucible of Crisis , Paulson , Bernanke , Geithner Forge a Committee of Three', 'The response to the gravest financial crisis in generations has been engineered to a remarkable degree by a committee of three .', 'From the rescue of Bear Stearns to the takeovers of Fannie Mae , Freddie Mac and American International Group , all the key decisions have been made by Treasury Secretary Henry M. Paulson Jr. , Federal Reserve Chairman Ben S. Bernanke and Timothy F. Geithner , the president of the Federal Reserve Bank of New York .', ""We are , as everybody knows , facing one of the most serious financial crises in this nation 's history ."", 'The events of last week , from the failure of Lehman to the bailout of AIG to the continuing volatility in the market , have not just threatened trading floors and high-rises of Wall Street , but the stability and security of our entire global economy .', 'When newly appointed White House chief of staff Joshua B. Bolten tried to shake up the Bush administration in the spring of 2006 , he spent weeks wooing Goldman Sachs chief executive Henry M. Paulson Jr. to be Treasury secretary .', 'Bolten had personal reasons for thinking Paulson might be a good pick', '-- Bolten himself had worked for the influential investment bank in Europe in the 1990s -- and Paulson eventually gave in to his persistent lobbying .', 'Problems that originated in the credit markets and first showed up in the area of subprime mortgages have spread throughout our financial system .']"
2008-09-19,"['Today , I fully support the efforts of Secretary Paulson and Federal Reserve Chairman Bernanke to work in a bipartisan spirit with Congress to find a solution of this sort .', 'I thank the treasury secretary , Hank Paulson , Federal Reserve Chairman Ben Bernanke and SEC Chairman Chris Cox for joining me today .', ""The Bush administration , Federal Reserve Chairman Ben S. Bernanke and congressional allies launched a major offensive yesterday to persuade lawmakers to support Paulson 's proposal ."", 'Then-President George W. Bush , center , flanked by Federal Reserve Chairman Ben S. Bernanke , left , Treasury Secretary Henry M. Paulson Jr. and Securities and Exchange Commission head Christopher Cox , asked Congress to put aside partisan differences and enact a historic rescue package .', 'In Crucible of Crisis , Paulson , Bernanke , Geithner Forge a Committee of Three', 'From the rescue of Bear Stearns to the takeovers of Fannie Mae , Freddie Mac and American International Group , all the key decisions have been made by Treasury Secretary Henry M. Paulson Jr. , Federal Reserve Chairman Ben S. Bernanke and Timothy F. Geithner , the president of the Federal Reserve Bank of New York .', ""Treasury Secretary Henry M. Paulson Jr. has adapted the Treasury 's traditional powers to deal with the financial crisis ."", '-LRB-', 'Historic Market Bailout Set in Motion']"
2008-09-20,"['By Brenna Maloney and Todd Lindeman , The Washington Post ; Photo by Mary Altaffer , Associated Press - September 20 , 2008', ""And in my view , there 's no need to look beyond Wall Street -- and the halls of power in Washington .""]"
