time,Sentences
2009-03-02,"[""CDC researchers said 98 percent of all flu samples from the H1N1 strain were resistant to Roche AG 's Tamiflu , a pill that can both treat flu and prevent infection .""]"
2009-03-12,"[""Pakistani authorities banned public protests and detained hundreds of lawyers and opposition workers nationwide to prevent them from launching Thursday 's planned '' long march '' towards the capital Islamabad to force President Asif Ali Zardari to reinstate a former Supreme Court judge .""]"
2009-03-17,"[""Greg Gutfeld , host of the Fox News program Red Eye , has apologised to Canada for comments that were made about the country 's military during a show on 17 March .""]"
2009-03-20,"['Many went into hiding according to these reports , vowing to press on with the cross-country motor convoy that will set off from cities in Baluchistan and Sind and then Puinjab on Friday before culminating outside the parliament building in the capital .']"
2009-03-27,"[""Canada 's defense minister Peter MacKay demanded an apology from the presenter before attending a repatriation ceremony for Canadian troops who were killed in Afghanistan last Friday .""]"
2009-03-29,"[""That 's how much I paid Amazon last night when I ordered a Kindle electronic book reader to kick off my plan to document the impact of digital media ."", 'And how can I share sections of the Sunday New York Times with my wife when I swap our print subscription for the Kindle version ?', 'Starting this blog was a costly decision .', 'To be precise , $ 359 .']"
2009-03-30,"[""On Monday , Venezuela 's president Hugo Ch vez announced halting a program that provided free heating oil to low-income US citizens ."", 'Starting this blog was a costly decision .', 'To be precise , $ 359 .']"
2009-04-01,"['But yesterday , Ch vez backtracked and announced that the program was reinstated .', ""London 's mayor had n't uttered a public word about the events of 1 and 2 April until the middle of last week when reporters dragged him off the message of the latest of the themed and therefore more controlled press conferences he favors ."", 'When Ros Atkins , a BBC radio presenter , came back to the UK after working in Mexico City , family and friends avoided him like he had , well , swine flu .', 'After reading his account , we wondered about others who have visited Mexico recently and experienced the same sort of reaction upon returning home .', 'If you have been to Mexico since the outbreak of the H1N1 virus , what was the reaction from loved ones ?']"
2009-04-02,"[""In a statement issued to Fox News today , Gutfeld said his comments `` may have been misunderstood '' and that he did n't intend to disrespect `` the brave men , women and families of the Canadian military '' ."", 'When Ros Atkins , a BBC radio presenter , came back to the UK after working in Mexico City , family and friends avoided him like he had , well , swine flu .', 'After reading his account , we wondered about others who have visited Mexico recently and experienced the same sort of reaction upon returning home .', 'If you have been to Mexico since the outbreak of the H1N1 virus , what was the reaction from loved ones ?']"
2009-04-03,"[""His remarks , made from a platform shared with the Met commissioner , Sir Paul Stephenson , served as a preview for those he made the following day to SunTalk Radio 's jeering hard right foghorn Jon Gaunt , which boiled down to `` our police are wonderful '' and `` the media have overdone it '' .""]"
2009-04-04,"['US : one death , at least 91 confirmed cases The Mexican boy had arrived in the Texan border city of Brownsville on 4 April and developed flu symptoms four days later']"
2009-04-06,"['Early on April 6 , the town of LAquila , central Italy , was struck by a strong earthquake .']"
2009-04-08,"['She went to the Aurelio Valdivieso Hospital in Oaxaca , the state capital , on 8 April but died five days later .']"
