date,text
2010-01-12,"Haiti is part of a large Caribbean island called Hispaniola . 
The Dominican Republic is located to the east of Haiti and covers over half of the island . 
Haiti lies right on the boundary -LRB- boundary : The region where two or more tectonic plates meet . 
It is a zone of intense seismic activity . -RRB- 
of the Caribbean and North American plates . 
There was slippage along a conservative plate boundary -LRB- conservative plate boundary : Areas between two crustal plates that are moving past each other in opposite directions or at different speeds . -RRB- 
that runs through Haiti . 
On 12 January 2010 , a magnitude 7 earthquake hit Haiti at 16:53 local time . 
The earthquake s epicentre was 25 km west of Port-au-Prince , the capital . 
Most people , businesses and services were located in the capital . 
Social impacts of the earthquake -LRB- effects on people -RRB- Economic impacts of the earthquake -LRB- effects on money and jobs -RRB- Many of the effects were immediate or primary , eg injuries from falling buildings . 
Some secondary effects didn t happen until many months later , eg cholera outbreaks . 
The effects of this earthquake were particularly bad because of the following reasons : There were very few earthquake-resistant buildings . 
Buildings and other structures were poorly built . 
The epicentre -LRB- epicentre : The point on the Earth 's surface directly above the focus of an earthquake . -RRB- 
was near to the capital . 
There were few resources to rescue or treat injured people . 
Haiti is a very poor country without the money and resources -LRB- resource : Anything that is useful to people . -RRB- 
It is one of the least developed countries in the world with most Haitians living on $ 2 or less per day , about # 1.30 . 
Because there were few earthquake-resistant buildings -LRB- earthquake resistant buildings : Building designs which help to minimize the effect of earthquakes . -RRB- 
, the devastation was massive . 
Many buildings simply collapsed or were damaged beyond repair . 
Neighbouring Dominican Republic provided emergency water and medical supplies as well as heavy machinery to help with search and rescue underneath the rubble , but most people were left to dig through the rubble by hand . 
Emergency rescue teams arrived from a number of countries , eg Iceland . 
Medical teams began treating the injured temporary field hospitals were set up by organizations like the International Committee of the Red Cross . 
GIS -LRB- GIS : Geographical Information System . 
Electronic maps with layers added to display information about the area . -RRB- 
was used to provide satellite images and maps of the area , to assist aid organizations . 
People from around the world watched the news from Haiti on TV and through social networks . 
Many pledged money over their mobile phones . 
United Nations troops and police were sent to help distribute aid -LRB- aid : The giving of resources or money from one country or donor to another . -RRB- 
Money was pledged by organizations and governments to assist in rebuilding , but only slow progress had been made after one year . 
After one year , there were still 1,300 camps . 
Cash for work programs are paying Haitians to clear rubble . 
Small farmers are being supported so crops can be grown . 
"
2010-01-13,"The Caribbean reacted swiftly to news of the earthquake with initial responses coming from Haiti 's immediate neighbors - the Bahamas and the Dominican Republic . 
The airport outside the Dominican Republic capital , Santo Domingo , became the scene of major activity as planes and helicopters which sent in medical supplies and search and rescue response team . 
Speaking to BBC Caribbean earlier the new Chairman of the Caribbean Community -LRB- Caricom -RRB- , Prime Minister of Dominica Roosevelt Skerrit , called the quake `` gut-wrenching '' . 
Haiti is one of the few non-English speaking members of Caricom . 
Regional leaders pledged immediate assistance with a contingent from the Caribbean Disasters Emergency Management Agency formerly known as Cedera . 
Cdera officials had hoped that regional aid could start arriving in Haiti overnight Wednesday . 
A BBC correspondent in Santo Domingo said Wednesday that priority was being given to planes and helicopters carrying aid to Haiti via the Dominican Republic . 
Caribbean leaders offered their sympathies to the people of Haiti and said they are making available immediate relief and financial assistance to help with the largest natural disaster to hit the country in 200 years . 
Many waited in the streets during Wednesday Speaking to BBC Caribbean , Caricom Secretariat spokesman Leonard Robertson said there was a co-ordinated regional effort underway . 
`` We have very little communication ... to enable us to get a picture apart from what we are seeing on the news media , '' Robertson told BBC Caribbean . 
He said that Caricom and Cdema planned to get representatives on the ground in haiti on Wednesday to assess what was `` most urgently needed '' there . 
Robertson added that the regional groupings then hoped to get relief supplies into Haiti by Thursday or Friday . 
As Haiti 's neighbors lined up to offer support , even the poorer economies pledged large sums to help Haiti , the poorest nation in the Americas region . 
Grenada 's Prime Minister Tillman Thomas told BBC Caribbean that natural disasters such as hurricanes meant the region was best placed to understand Haiti 's immediate needs . 
Another of Haiti 's immediate neighbors , Jamaica , had also felt tremors Tuesday evening on its north-east coast but there have no reports of damage there . 
Jamaica 's Prime Minister Bruce Golding said he planned to go to Haiti on Thursday as his government sought to assess its role in the recovery efforts . 
US-based Haitians to the rescue Hundreds of thousands of Haitians live in the New York area and they are gearing up to donate their money , their goods and their time to help their country get back on its feet . 
But people are trying to help . 
The Haitian Consulate in New York has asked doctors and nurses to volunteer to go to Haiti . 
Mathieu Eugene , the only Haitian born member of the New York City Council , says he has secured an ambulance that will help . 
A major concert is being planned to aid Haiti . . 
Pras , a cousin of Wyclef Jean , and a former member of the Fugees says he will do what he can for his homeland . 
Food and water were the most necessary relief supplies Beyond the Caribbean , the international community geared up to help Haiti with pledges of support coming from all over the world and from international organizations . 
United Nations Secretary General , Ban Ki-Moon , said the damage has been concentrated in Port au Prince . 
The UN also had been forced to check on its own 10-thousand plus staff manning the UN peacekeeping and stabilisation force after their own building had also been damaged by the earthquake . 
Mike Hammer , Chief National Security Council Spokesman for the White House In addition to the joint UN approach , many countries prepared to send their own search and rescue teams as well as supplies for survivors . 
President Obama promised full support from the United States calling the pictures of devastation `` truly heart-wrenching . '' 
Chief National Security Council Spokesman for the White House , Mike Hammer , told BBC Caribbean that President Obama asked his national security team to work out a plan overnight Tuesday . 
He said that American officials were arriving in Haiti Wednesday . 
`` Our main focus is to try to save lives at this time ... and of course co-ordinate efforts -LRB- between countries -RRB- '' , Hammer told BBC Caribbean . 
`` The key here is to get our folks on the ground ... then it 's a matter of co-ordinating to see which assistance that 's most pressing . 
`` We 're talking to President Preval and his folks to determine what 's best and what 's needed . 
The first 24 to 48 hours , 72 hours - do everything to save lives and then , of course , quickly beginning to flow in assistance . . 
to prevent further loss of life . '' 
Haiti 's ambassador to the UK , Raymond Magloire said the rescue operation would be difficult . 
`` Many houses are built on slopes or ravines and it is difficult to recover bodes , '' Magloire told the BBC . 
Magloire also spoke of the follow-up problems which , he said , would include access to food and drinking water and the build-up of dead bodies in the capital . 
The World Bank and the International Monetary Fund all issued statements on their plans to upgrade infrastructure work they had already started in Haiti before the quake . 
"
2010-01-13,"Earthquake aftershocks hit Haiti orphanage A paediatrics nurse who works at an orphanage just outside the capital Port-au-Prince says aftershocks are still happening from Haiti 's huge earthquake . 
The 7.0-magnitude quake , Haiti 's worst in two centuries , struck south of the capital , on Tuesday . 
Susan Westwood from Scotland , says that aftershocks are hitting her building every ten minutes . 
The nurse said she fears that sick children will not have access to drinking water or food . 
"
2010-01-13,"The United Nations says that its headquarters in Haiti has been seriously damaged and many staff are missing after a powerful earthquake hit the country . 
There is no word yet on the number of casualties . 
Note : The photograph on this page was updated in 2011 A cathedral in Port-au-Prince after the earthquake UN officials said some 250 people worked in the headquarters of the peacekeeping mission which has collapsed . 
They said the head of the mission was inside the building and remains unaccounted for , but the earthquake struck around 5 o'clock in the afternoon , so it 's not clear how many others were still present . 
UN troops have surrounded the ruins and are trying to rescue those trapped in the rubble ; other United Nations buildings have also been damaged , but details are scarce because of disrupted communications . 
The peacekeeping force numbers around 11,000 people , including civilian personnel ; it 's located in different parts of the country , and was deployed in 2004 to bring order following an armed insurrection against then president Jean Bertrand Aristide . 
The blow to the UN 's services on the ground may slow relief and rescue efforts for the Haitian people , but its humanitarian department is sending emergency response teams and releasing emergency funds . 
The Secretary General Ban Ki-Moon has said he 's shocked at the scale of the devastation and has made initial contacts to encourage a coordinated international response . 
Barbara Plett , BBC News , New York is still missing and no one has any news of him bits of broken stones , bricks that are left when a building falls down there is not much information and it is hard to obtain people who are employed by the UN to work in offices started to do a job or some work -LRB- in the army or armed forces -RRB- a violent attempt by a group of people to defeat their government and take control of their country using money that has been put aside for serious situations 
"
2010-01-13,"Many feared dead in Haiti quake A major loss of life is feared in Haiti after an earthquake struck , toppling buildings and leaving victims buried under rubble . 
Pictures from Port-au-Prince show some of the damage caused to the capital . 
"
2010-01-13,"What happened in the Haiti quake ? 
Can not play media . 
Sorry , this media is not available in your territory . 
A massive earthquake has struck the Caribbean island of Haiti , killing thousands . 
But what is an earthquake , and why was this one so destructive ? 
Ore finds out the science behind what happened . 
"
2010-01-13,"Bill Clinton appeals for Haiti earthquake aid The United Nations Special Envoy to Haiti , Bill Clinton , has called on member states to pull together to help the quake-hit nation . 
Speaking at the General Assembly in New York , he said the UN had to do everything in its power to assist the relief effort in Haiti . 
"
2010-01-13,"Peter Stevenson is Operations Commander for the UK 's International Search and Rescue Team Emergency crews , charities and the UK government are co-ordinating efforts to help with the rescue operation in Haiti after it was hit by an earthquake . 
The 7.0-magnitude quake that hit south of the Haitian capital Port-au-Prince is feared to have killed thousands of people across the Caribbean country . 
Prime Minister Gordon Brown said he was `` deeply saddened '' by the disaster and pledged whatever support was needed . 
A government spokesman said no British casualties had been reported so far . 
A 61-strong team of firefighters from across the UK has volunteered to fly out to the quake zone . 
The team will be taking specialist equipment and two search dogs . 
But aid from the UK has been delayed after the closure of Gatwick Airport because of the heavy snow and treacherous weather . 
Lincolnshire 's chief fire officer , Mike Thomas , will act as team leader for the whole of the UK response . 
He said many of the team members had helped out in similar situations before and knew what to expect in the rescue operation . 
Douglas Alexander promises UK aid to Haiti `` We know the devastation , risks and shock this can have on a community and we 'll be there to help as best we can , '' he said . 
Greater Manchester firefighter Peter Stevenson , who will work as operation commander when the volunteers arrive in Haiti , said they would work in two teams to search for survivors . 
`` One rescue can take between six and 10 hours , depending on the situation and what the building is made from , '' Mr Stevenson said . 
`` We go totally self-reliant , with several tonnes of equipment so we can work 24 hours a day on at least two separate sites . '' 
The teams will be using heavy breaking equipment , specialist cameras and acoustic listening devices . 
The group includes volunteers from fire and rescue services in Greater Manchester , Lancashire , West Sussex , Kent , the West Midlands , Lincolnshire , Hampshire , and mid and west Wales . 
Cornwall-based international relief charity Shelterbox , which provides survival and shelter equipment in disaster zones , has also mobilised a response team from the UK and the US to assess the aid requirements of victims left homeless by the earthquake . 
The firefighters do not know how long they will have to stay in Haiti but a spokesman for Greater Manchester Fire and Rescue Service said they would only have a `` small window of opportunity '' to try to reach people buried beneath the rubble . 
The earthquake caused buildings to topple , trapping people Mr Brown expressed his sympathy for the victims of the earthquake . 
He said : `` I am deeply saddened and worried about the reported scale of the earthquake in Haiti . 
`` I am sending a message of sympathy and support to President Preval and we are sending a team from the Department for International Development to assess the humanitarian needs . 
`` We stand ready to provide whatever humanitarian assistance is required . '' 
Much of Haiti 's nine million population is impoverished and the disaster comes after years of political instability . 
The country has suffered a number of recent disasters , including hurricanes and storms in 2008 . 
The Department for International Development -LRB- DFID -RRB- is helping to co-ordinate UK aid being sent to Haiti . 
Haiti has moved to the center of the world 's thoughts , and the world 's compassion International Development Secretary Douglas Alexander warned Haiti would not only need help in rescuing individuals , but also in rebuilding damaged infrastructure and restoring vital public services . 
He told the BBC News Channel : `` While it is vital and urgent that we get people on to the ground in terms of rescuing people from the rubble , this is going to be a longer-term endeavor . 
`` That is why the whole international community needs to work together to address the needs that are uncovered as a result of this terrible tragedy . '' 
Save the Children has released # 50,000 and the British Red Cross released # 200,000 from its funds to help in the emergency . 
Christian Aid also launched a # 1m emergency appeal for victims . 
"
2010-01-13,"Jean has urged the international community to `` rise to the occasion '' Haitian-born rap star Wyclef Jean has urged fans to donate to relief efforts in the wake of the huge earthquake that struck the Caribbean state on Tuesday . 
`` Your money will help with relief efforts , '' he wrote on micro-blogging site Twitter . 
`` They need our help - please help if you can . '' 
The former Fugees star has since said he is now on his way to the Caribbean state , via the Dominican Republic . 
`` Pray for the people of Haiti -LRB- and -RRB- me please , '' he posted . 
Jean , 37 , was made a roving ambassador for Haiti in 2007 and provides humanitarian aid and assistance through his Yele Haiti foundation . 
Thousands are feared dead after the 7.0-magnitude quake , which struck south of the capital , Port-au-Prince , on Tuesday . 
On his website , Jean said Haiti had suffered `` a natural disaster of unprecedented proportion ... unlike anything the country has ever experienced . 
`` I can not stress enough what a human disaster this is , and idle hands will only make this tragedy worse . '' 
The singer , who gained fame as a member of hip-hop trio The Fugees , was born in Haiti in 1972 but moved with his family to New York when he was nine . 
"
2010-01-13,"Haiti devastated by massive earthquake `` All of a sudden everything was just falling apart ... there was no place to hide '' A massive 7.0-magnitude earthquake has struck the Caribbean nation of Haiti . 
The extent of the devastation is still unclear but there are fears thousands of people may have died . 
Haiti 's worst quake in two centuries hit south of the capital Port-au-Prince on Tuesday , wrecking the presidential palace , UN HQ and other buildings . 
A `` large number '' of UN personnel were reported missing by the organization . 
Many people have spent the night outside amid fears of more aftershocks . 
The Red Cross says up to three million people have been affected . 
Describing the earthquake as a `` catastrophe '' , Haiti 's envoy to the US said the cost of the damage could run into billions . 
A number of nations , including the US , UK and Venezuela , are gearing up to send aid . 
The quake , which struck about 15km -LRB- 10 miles -RRB- south-west of Port-au-Prince , was quickly followed by two strong aftershocks of 5.9 and 5.5 magnitude . 
The tremor hit at 1653 -LRB- 2153 GMT -RRB- on Tuesday , the US Geological Survey said . 
Phone lines to the country failed shortly afterwards . 
There is still no official word on casualties and the extent of the devastation is only now becoming clearer with dawn breaking . 
China has already indicated in reports in state media that eight of its peacekeepers are buried and feared dead , with another 10 unaccounted for . 
I think hundreds of casualties would be a serious understatement Rachmani Domersant , operations manager , Food for the Poor The AFP news agency quoted the Jordanian army as saying three of its peacekeepers had been killed and 21 wounded . 
The Brazilian army said four of its peacekeepers were killed and a large number were missing . 
A French official told AFP about 200 people were missing in the collapsed Hotel Montana , which is popular with tourists . 
There have also been some reports of looting overnight . 
Rachmani Domersant , an operations manager with the Food for the Poor charity , told Reuters that overnight the capital was in total darkness . 
`` You have thousands of people sitting in the streets with nowhere to go . 
There are people running , crying , screaming . 
`` People are trying to dig victims out with flashlights . 
I think hundreds of casualties would be a serious understatement . '' 
Earlier , bodies white with dust could be seen piled on the back of a pick-up truck as vehicles tried to ferry the injured to hospital . 
Haiti is the poorest country in the western hemisphere and has suffered a number of recent disasters , including four hurricanes and storms in 2008 that killed hundreds . 
In a statement issued in New York , the UN said that its local HQ in Haiti had `` sustained serious damage along with other UN installations '' and `` a large number '' of personnel were missing . 
Carel Pedre , TV and radio presenter , Port-au-Prince I saw a lot of people crying for help , a lot of buildings collapsed , a lot of car damage , a lot of people without help , people bleeding . 
I saw a movie theater , a supermarket , a cybercafe , an apartment building which collapsed . 
Now it 's dark outside , there is no electricity , all the phone networks are down , so there 's no way that people can get in touch with their family and friends . 
There are aftershocks every 15 to 20 minutes . 
They last from three to five seconds . 
The first shock was really strong , people were falling in the streets and buildings collapsed . 
I did n't see any emergency services , the people at the neighborhood were trying to help each other . 
The streets are narrow and there is lot of traffic and everyone is trying to reach family and friends . 
Traffic now is really difficult . 
People do n't know where to go or where to start . 
UN peacekeeping chief Alain Le Roy said it was unclear how many people were in the building . 
The head of the UN mission in Haiti , Hedi Annabi , was reported to have been inside and is unaccounted for . 
French Foreign Minister Bernard Kouchner said he was believed to be dead . 
The UN 's stabilisation mission plays a vital role in ensuring security in Haiti . 
Raymond Joseph , Haiti 's ambassador to the US , said the presidential palace , the tax office , the ministry of commerce and the foreign ministry had all been damaged , but the airport was intact . 
He and Haiti 's ambassador to Mexico , Robert Manuel , both said that President Rene Preval and his wife had survived the quake . 
The World Bank said its local offices were destroyed but most of the staff were accounted for , Reuters reported . 
US President Barack Obama said his `` thoughts and prayers '' were with the people of Haiti and that he expected `` an aggressive , coordinated -LRB- aid -RRB- effort by the US government '' . 
Venezuela says it will send a 50-strong `` humanitarian assistance team '' . 
Population of 10 million people Most live on less than $ 2 a day Democratic rule restored in 2006 Economy in ruins and unemployment is chronic UN peacekeepers deployed - foreign aid seen as vital Massive deforestation has left just 2 % forest Storms and hurricanes in 2008 left almost 800 dead The Inter-American Development Bank said it was immediately approving a $ 200,000 grant for emergency aid . 
The UK said it was mobilising help and was `` ready to provide whatever humanitarian assistance may be required '' . 
Canada , Australia , France and a number of Latin American nations have also said they are mobilising their aid response . 
Pope Benedict XVI has called for a generous response to the `` tragic situation '' in Haiti . 
In the minutes after the quake , Henry Bahn , a visiting official from the US Department of Agriculture , said he had seen houses which had tumbled into a ravine . 
`` Everybody is just totally , totally freaked out and shaken , '' said Mr Bahn , who described the sky as `` just gray with dust '' . 
He said he had been walking to his hotel room when the ground began to shake . 
`` I just held on and bounced across the wall , '' he said . 
`` I just heard a tremendous amount of noise and shouting and screaming in the distance . '' 
Reports on the Twitter message site , which can not yet be verified by the BBC , expressed the chaos in the wake of the quake . 
Tweets from troylivesay spoke of the worst damage being in the Carrefour district , where `` many two and three storey buildings did not make it '' . 
In the immediate aftermath of the quake , a tsunami watch was put out for Haiti , Cuba and the Bahamas , but this was later lifted . 
Have you been affected by the earthquake ? 
If you have any information you wish to share with the BBC you can do so using the form below : You can send pictures and video to yourpics@bbc.co.uk, text them to +447725100100 or if you have a large file you can click here to upload . 
The BBC may edit your comments and not all emails will be published . 
Your comments may be published on any BBC media worldwide . 
"
