time,Sentences
2005-01-04,"['The victims of the tsunami pay the price of war on Iraq US and British aid is dwarfed by the billions both spend on slaughter Tuesday 4 January 2005 08.43 GMT', 'There has never been a moment like it on British television .', ""The Vicar of Dibley , one of our gentler sitcoms , was bouncing along with its usual bonhomie on New Year 's Day when it suddenly hit us with a scene from another world .""]"
2005-01-07,['Turtles Can Fly is released tomorrow .']
2005-01-09,"[""Bush ` the king ' blows $ 50m on coronation President 's lavish inauguration is ` obscene ' when US troops are dying in Iraq war , say critics Sunday 9 January 2005 00.46 GMT It will be one of the biggest parties in American history , but half of the country will be left out ."", 'She had just arrived back in the city to check out her house ; the government had told the people three days earlier that they should start going home .', ""With a price tag of up to $ 50 million , President George W Bush 's inauguration in 11 days ' time will be an unashamed celebration of Red America 's victory over Blue America in last November 's election ."", 'It is going to be the most expensive , most security-obsessed event in the history of Washington DC .']"
2005-01-12,"[""Gen Saadi 's German-born wife Helma told the Guardian last night that she had heard from US sources that Donald Rumsfeld , the US defense secretary , had approved her husband 's release some weeks after the October report was submitted ."", 'Despite the end of the search , President George Bush last night said he remained convinced that he was right to go to war on Saddam .', 'Charles Duelfer , who led the Iraq Survey Group , has returned to the US and will deliver a final report in the spring that will be almost identical to the interim assessment he delivered to Congress last October .', 'That assessment found Saddam had destroyed his last weapons of mass destruction more than 10 years ago , and his capacity to build new ones had been dwindling for years by the time of the second Gulf war .']"
2005-01-13,"[""Iraq Survey Group concludes dictator destroyed weapons years before invasion Thursday 13 January 2005 03.10 GMT The US investigators searching for Saddam Hussein 's alleged weapons of mass destruction have given up the hunt and left Iraq with an appeal to the Pentagon for the release of several Iraqi scientists still being questioned , it was reported yesterday ."", 'Megan Ambuhl , who it emerged yesterday also had a sexual relationship with Graner , told the court interrogators used female guards to sexually humiliate prisoners .', 'That assessment found Saddam had destroyed his last weapons of mass destruction more than 10 years ago , and his capacity to build new ones had been dwindling for years by the time of the second Gulf war .', 'Specialist Charles Graner , who features prominently in some of the most graphic images from the Iraqi prison , had been expected to argue that he had only been following orders .']"
2005-01-14,"['A verdict is expected as early as today .', ""Staff Sergeant Cardenas Alban was sentenced at a court martial yesterday to a year in jail for the murder of a severely wounded Iraqi teenager in a Baghdad slum district during a Shi'ite uprising last year , the US military said ."", 'Last night the US military defended its operations at the site , but said all earth-moving projects had been stopped and it was considering moving troops away to protect the ruins .', 'Specialist Charles Graner , who features prominently in some of the most graphic images from the Iraqi prison , had been expected to argue that he had only been following orders .', 'The damage wrought by the construction of an American military base in the ruins of the ancient city of Babylon must rank as one of the most reckless acts of cultural vandalism in recent memory .', 'The ancient city has been used by US and Polish forces as a military depot for the past two years , despite objections from archaeologists .']"
2005-01-15,"['Cherished monuments defaced and ancient inscribed fragments found in spoil heaps Saturday 15 January 2005 16.18 GMT Iraqi authorities will today take back responsibility for the site of Babylon in a formal handover from the coalition forces .', 'The coalition forces , who officially hand the site back to the Iraqi Ministry of Culture today , have ignored both of these moral responsibilities .', 'US-led forces leave a trail of destruction and contamination in architectural site of world importance Saturday 15 January 2005 16.16 GMT Troops from the US-led force in Iraq have caused widespread damage and severe contamination to the remains of the ancient city of Babylon , according to a damning report released today by the British Museum .', ""The chaos of Iraq is giving rise to a new generation of `` professional '' terrorists who will eventually replace al-Qaida as a global threat , according to a CIA thinktank ."", 'The damage wrought by the construction of an American military base in the ruins of the ancient city of Babylon must rank as one of the most reckless acts of cultural vandalism in recent memory .', ""John Curtis , keeper of the museum 's Ancient Near East department and an authority on Iraq 's many archaeological sites , found `` substantial damage '' on an investigative visit to Babylon last month ."", 'The ancient city has been used by US and Polish forces as a military depot for the past two years , despite objections from archaeologists .', 'How Condoleezza Rice became the most powerful woman in the world']"
2005-01-18,"['British Court Martian Handout\\/PA Images of British soldiers described as shocking and appalling that allegedly show the abuse of Iraqi prisoners were shown to a court martial in Germany yesterday as the long-awaited case of three members of the 1st Battalion the Royal Regiment of Fusiliers got underway .', 'Three Royal Regiment of Fusiliers soldiers are on trial at a court martial this week charged with abusing and sexually humiliating looters they had detained at an aid camp in Basra , southern Iraq , in May 2003 .']"
2005-01-19,"[""Wednesday 19 January 2005 08.47 GMT Photograph no 22 , of a set of 22 , showing Lance Corporal Mark Cooley ` simulating ' a punch to an Iraqi detainee ."", 'Wednesday 19 January 2005 00.03 GMT', 'Speaking ahead of a press conference today , Lance Corporal George Solomou , from the London regiment of the Territorial Army , said : `` I am not going to Iraq , point-blank .', 'Wednesday 19 January 2005 14.24 GMT Photograph number nine of a set of 22 showing Lance Corporal Mark Cooley driving a fork lift truck with an Iraqi detainee bound to it .', 'Photograph : PA A lawyer for one of the British soldiers facing charges of abusing Iraqi detainees today blamed superiors who had called for a crackdown on looters at a British camp .', ""Today Mr Giret told the panel of seven officers who are trying the soldiers that Cpl Kenyon had been described as a `` war hero '' who had saved soldiers ' lives in the conflict ."", 'The court heard today that all the accused were briefed on the law of armed conflict and prisoner of war handling , according to army records .', 'Julia Roberts has a better chance of winning this war Iraq will surrender its soul to America only when the US army has left Wednesday 19 January 2005 00.02 GMT', ""But yesterday 's poll pointed to the deep suspicion of Mr Bush that exists across the world ."", 'Photograph :', 'Three Royal Regiment of Fusiliers soldiers are on trial at a court martial this week charged with abusing and sexually humiliating looters they had detained at an aid camp in Basra , southern Iraq , in May 2003 .', 'GMT Hadi Saleh , international secretary of the Iraqi Federation of Trade Unions', 'World fears new Bush era Blair urges more consensual US approach as poll shows unease in 18 out of 21 nations Thursday 20 January 2005 14.33 GMT George Bush will be sworn in as president of the United States for a second term today in a lavish Washington ceremony , amid mounting international concern that his new administration will make the world a more dangerous place .', 'Fifty-eight per cent of the 22,000 who took part in the poll , commissioned by the BBC World Service , said they expected Mr Bush to have a negative impact on peace and security , compared with only 26 % who considered him a positive force .']"
2005-01-20,"['More than 150,000 people , nearly all Republicans whose tickets are a reward for election work , will pack the Mall to hear Bush take his oath of office on 20 January .', ""A leading Iraqi trade unionist , he fought for workers ' rights and opposed the rule of Saddam Hussein , as well as the recent war Thursday 20 January 2005 00.00"", 'GMT Hadi Saleh , international secretary of the Iraqi Federation of Trade Unions', '-LRB- IFTU -RRB- , who has been murdered aged 55 , was a lifelong fighter for the rights of Iraqi workers to join and form trade unions of their choice and to organise to advance their interests .', 'World fears new Bush era Blair urges more consensual US approach as poll shows unease in 18 out of 21 nations Thursday 20 January 2005 14.33 GMT George Bush will be sworn in as president of the United States for a second term today in a lavish Washington ceremony , amid mounting international concern that his new administration will make the world a more dangerous place .', 'Fifty-eight per cent of the 22,000 who took part in the poll , commissioned by the BBC World Service , said they expected Mr Bush to have a negative impact on peace and security , compared with only 26 % who considered him a positive force .', 'Lumping together wealthy Arabs in west London , poor Punjabis in Birmingham , Bangladeshis from rural Sylhet in Tower Hamlets and middle class Indian Muslims in Leicester , can obscure more than it illuminates , and many familiar problems -LRB- like high unemployment , poor housing and discrimination -RRB- and now mixed in with many less familiar advances -LRB- for example in school results or political clout -RRB- .', 'But one issue hangs over every British Muslim : the sincerely held belief of millions of people that a war is now underway between Islam and the west .']"
2005-01-21,"[""Care , confrontation and compromise are essential weapons Friday 21 January 2005 00.05 GMT For Britain 's 1.6 m Muslims , generalisations are deceptive .""]"
2005-01-22,"['Yesterday it emerged that it was not only British and US forces that are battling abuse charges .', 'Three of the cases concern incidents in which Iraqis were detained by British forces .']"
2005-01-23,"['She refuses to take part in the elections this Sunday , even though rules are in place to ensure that each party includes 25 % women among its candidates .', 'Italian Foreign Ministry officials said they were investigating the report , while Il Manifesto said Sgrena had been working for the paper in Iraq since January 23 and had called in just two hours earlier .', ""From March or April this year , it plans to deploy 18 armed robots to Iraq to help fight the `` war on terror '' ."", 'Since the war , life has badly deteriorated for women in Iraq and girls are being forced to wear the veil again .']"
2005-01-24,"['Monday 24 January 2005 02.16 GMT Plagued by mission fatigue , casualties and a public starting to ask just how long the US plans to keep its soldiers in Iraq , the American army may have come up with a solution : robots .', 'Today there are barely a dozen women present .', ""Her views are so radical in today 's Iraq that she has twice had death threats , always travels with a guard and has a small silver pistol hidden in her purse ."", ""From March or April this year , it plans to deploy 18 armed robots to Iraq to help fight the `` war on terror '' ."", ""Although the robots have a snappy name - Swords , or Special Weapons Observation Reconnaissance Detection Systems - they are n't quite the sleek , cold-blooded androids of I , Robot ."", 'Since the war , life has badly deteriorated for women in Iraq and girls are being forced to wear the veil again .']"
2005-01-26,"['The helicopter went down near Rutba , about 220 miles west of Baghdad , while conducting security operations , the military said in a statement .']"
2005-01-27,"['Arab leaders watch in fear as Shia emancipation draws near Thursday 27 January 2005 00.02 GMT For the first time in centuries , Shias are about to come into their own as the rulers - or at least the politically dominant community - in a key Arab country .', 'In the Arab world , except for Lebanon with its largely Christian population , the rulers of all 22 states have traditionally hailed from the orthodox Sunni majority .']"
2005-01-30,"['I remember going to church on a Sunday and thinking I ought to be sitting with the old ladies now', ""letters@observer.co.uk If you need help using the site : userhelp@guardian.co.uk Call the main Guardian and Observer switchboard : ' I lost my husband in the war but now I 've found a lifeline ' 00.32 GMT on Sunday 30 January 2005"", ""It 's time to bin the past Fred Halliday , a leading expert on international affairs , says we are still infected by Cold War ills : an arrogant West , shabby dictators , naive protests Sunday 30 January 2005"", 'All would find much that is familiar in the world today .', ""With the past few days ' avalanche of spin , you could be forgiven for thinking that on January 30 2005 the US-led occupation of Iraq ended and the people won their freedom and democratic rights ."", 'Seventeen people are killed in three separate attacks in Iraq as insurgents continue their attempts to destabilise the country ahead of the scheduled January 30 elections .', ""' I lost my husband in the war but now I 've found a lifeline ' Jon Robins on a group that aims to get army widows back on their feet by giving vital information and support ` Looking back now I do n't know if I was really coping with my grief or not , ' recalls Samantha Roberts ."", ""` But at the time , I do n't believe you even think about whether you are coping or not . '"", ""Samantha 's husband was the first soldier to die in action in the Iraq war and this time last year the 34-year-old was scarcely out of the press , as a result of a highly personal campaign to uncover the circumstances of her husband 's death ."", '01.25 GMT', 'The thinkers and managers of world hegemony met amid the snow in Davos , Swizerland , last week while the anti-globalisation forces convened in the tropical summer of Porto Alegre , Brazil .']"
2005-01-31,"[""` Murder ' Slur on Our Soldiers '' , it declared , adding : `` Solicitor who yesterday accused British troops of murder went touting for clients in Iraq - and , yes , you 've guessed it , wants legal aid , too . ''"", 'The Qatar-based network has been a constant feature of news reports in the last two years as a result of its coverage of the Iraq war and its aftermath , when terrorist network al-Qaida became the focus of American ire .', 'Crusading in the public interest Phil Shiner became an overnight hate figure for his opposition to British army abuses in Iraq .']"
2005-02-01,"['Tuesday 1 February 2005 14.59 GMT Al-Jazeera has been ranked the fifth most influential brand in the world , behind global icons Apple and Google , in a survey by a worldwide branding consultancy .', 'The network faced controversy again today when it was forced to defend its use of a video that purports to show the shooting down of an RAF Hercules in Iraq , which killed 10 people .', 'However , a spokesman today said such a move was some way off and a feasibility study would be submitted to the Emir of Qatar , the owner of the channel by the end of the year .', ""No amount of spin can conceal Iraqis ' hostility to US occupation Tuesday 1 February 2005 02.38 GMT"", ""The Arab news satellite channel had the fifth largest impact on the lives of 1,984 readers of Interbrand 's Brandchannel.com , behind Apple , Google , Ikea and Starbucks ."", 'The Qatar-based network has been a constant feature of news reports in the last two years as a result of its coverage of the Iraq war and its aftermath , when terrorist network al-Qaida became the focus of American ire .', 'Crusading in the public interest Phil Shiner became an overnight hate figure for his opposition to British army abuses in Iraq .', '00.01 GMT Mention his name and the Ministry of Defense shudders .']"
2005-02-02,"[""Three days later she was told that she and her three-year-old son had six months to vacate their MoD-owned home and that she would have to return nine days ' wages paid to her husband in error ."", 'Tomorrow , he is appealing against the refusal of legal aid for a case to decide whether the nuclear weapons facility at Faslane in Scotland should abide by the Radioactive Substances Act , an issue , he says , which is important for the local community .']"
2005-02-04,"['How the right played the fascism card against Islam Friday 4 February 2005', 'Friday 4 February 2005 15.55 GMT An Italian woman journalist has been kidnapped in Baghdad as she interviewed local people on the street .', ""She was conducting interviews near the university when four gunmen snatched her from her car at about 2pm , the Italian news agency ANSA said in a report after speaking to Sgrena 's interpreter ."", 'Sgrena was kidnapped on 4 February as she interviewed refugees from Falluja near a Baghdad mosque .', '00.03 GMT Fascism is coming back into fashion , at least in the propaganda wars .', 'Iraqi police sources said Giuliana Sgrena , a journalist on the Rome based Il Manifesto paper , was abducted outside Baghdad University .']"
2005-02-07,"['The head of the UN oil-for-food program in Iraq and a senior UN official who dealt with contracts for the program have been suspended following an independent investigation that accused them of misconduct , a UN spokesman said yesterday .']"
2005-02-08,['Tuesday 8 February 2005 00.02 GMT']
