date,text
2009-06-27,"Jackson death was ` not suspicious ' Medical experts say they are not treating the death of pop star Michael Jackson as suspicious . 
But working out the exact reason for Michael 's death could take several weeks , after doctors ordered tests . 
They want to find out what kind of chemicals might have been in his body when he died . 
Michael Jackson 's body has now been given back to his family but there have n't been any details about his funeral yet . 
Police in the US have also spoken to Michael 's personal doctor , Dr Conrad Murray , who was one of the last people to see him alive . 
A spokeswoman said the doctor was not under criminal investigation , but his car is being examined to see if it contains any medication or evidence that may help find out why Michael died . 
People around the world continue to pay tribute to the star . 
On Friday night thousands of fans came together in London 's Trafalgar Square to light candles and sing some of his biggest hits . 
Often called the King of Pop , Jackson will be remembered as one of the greatest entertainers of all time , having sold more than 250 million albums around the world . 
One of those , Thriller , is still the biggest-selling album ever , selling 61 million copies . 
That 's almost one copy for every single person living in the UK . 
"
2009-06-27,"There has been an outpouring of grief around the world There was no sign of foul play in the death of Michael Jackson , coroners who completed a post-mortem on the singer 's body have said . 
But toxicology and other tests have been ordered , and the cause of the 50-year-old 's death could take several weeks to determine . 
Police also want to speak to Jackson 's doctor who witnessed his collapse . 
Jackson 's body has been released to his family but no funeral details have been made public . 
Michael Jackson 's body moved to an `` undisclosed location '' Seven hours after the post-mortem examination was completed , Jackson 's family was allowed to claim his body , seemingly managing to elude the media crowd outside the coroner 's office . 
The body has been taken to an undisclosed location . 
Announcing the results of a three-hour autopsy , Los Angeles County Coroners spokesman Craig Harvey said there had been no indication of any external trauma or foul play , but he said the cause of death had been deferred . 
`` It means that the medical examiner ordered additional testing such as toxicology and other studies , '' Mr Harvey said . 
These would take between four to six weeks , he said . 
`` We know he was taking some prescription medication , '' Mr Harvey said , without specifying which . 
Unconfirmed reports suggest the singer had been taking a daily dose of Demerol , a painkiller also widely known as pethidine . 
Same drug class as morphine Given by tablets or injection Used post-surgery or for childbirth High doses can stop breathing or lead to delirium and seizures Jackson , who had a history of health problems , collapsed at his Los Angeles home around midday on Thursday . 
A recording of the telephone call made to emergency services has been released , in which the caller said Jackson was unconscious and had stopped breathing . 
His personal doctor - who witnessed his collapse - was trying to revive him , the caller said . 
The singer was pronounced dead two hours later at the UCLA medical center . 
Jackson 's brother , Jermaine , said he was believed to have suffered a cardiac arrest . 
Former Jackson family lawyer Brian Oxman told US TV that he had been concerned about the star 's use of pain relief medication . 
Born : August 29 , 1958 , Gary , Indiana , US Also known as : The King of Pop , Wacko Jacko Biggest hits : I Want You Back , Do n't Stop Til You Get Enough , Billie Jean , Bad , Black or White , Earth Song He told ABC 's Good Morning America program that Jackson took prescription pain relief for injuries sustained earlier in his career . 
`` It caused him great pain . 
He just did n't like to feel such discomfort . 
He started taking pain medication . 
It became part of his life , '' he said . 
A spokesman for the Los Angeles Police Department said investigators had briefly spoken to Jackson 's personal doctor , named by US media as Dr Conrad Murray , but they wanted to speak to him again . 
Police also said a car owned by a doctor had been towed away from Jackson 's home . 
A spokeswoman said the doctor was not under criminal investigation , but that the car could contain `` medications or other evidence that may assist the coroner in determining the cause of death '' . 
The star had been due to stage 50 concerts at the O2 arena in London , beginning on 13 July . 
Entertainers , world leaders and fans have continued to pay tribute to the star . 
Across the world , people have been voicing shock and disbelief at the news of his death . 
In Hollywood , thousands of people filed past his star on the Walk of Fame . 
Dr Murray witnessed Jackson 's collapse A White House spokesman said US President Barack Obama considered Jackson a spectacular performer , but said he felt parts of his life were `` sad and tragic '' . 
Former Beatle Paul McCartney described Jackson as a `` massively talented boy-man with a gentle soul '' . 
Jackson began his career as a child in family group The Jackson 5 . 
He went on to achieve global fame as a solo artist with smash hits such as Billie Jean and Bad . 
Thriller , released in 1982 , is the biggest-selling album of all time , shifting 65m copies , according to the Guinness Book of World Records . 
He scored seven UK number ones as a solo artist and won a total of 13 Grammy awards . 
`` For Michael to be taken away from us so suddenly at such a young age , I just do n't have the words , '' said Quincy Jones , who produced Thriller , Bad and Off The Wall . 
`` He was the consummate entertainer and his contributions and legacy will be felt upon the world forever . 
I 've lost my little brother today , and part of my soul has gone with him . '' 
The singer had been dogged by controversy and money trouble in recent years , becoming a virtual recluse . 
He was arrested in 2003 on charges of molesting a 14-year-old boy , but was found not guilty following a five-month trial . 
The star had three children , Michael Joseph Jackson Jr , Paris Michael Katherine Jackson and Prince Michael Jackson II . 
Jackson 's former wife Debbie Rowe is the mother of two of the children , and there is already speculation about who will gain custody of them . 
He is survived by his mother , Katherine , father , Joseph and eight siblings - including Janet , Randy , Jermaine and La Toya Jackson . 
"
2009-06-28,"Jackson family left ` speechless and devastated ' by star 's death Los Angeles police investigating the death of Michael Jackson say they have carried out an `` extensive interview '' with his doctor , Conrad Murray . 
Dr Murray - who was with the singer when he collapsed last Thursday - had provided information that `` will aid the investigation '' , the police said . 
A spokeswoman for Dr Murray insisted he was not a suspect in the case . 
On Sunday the Los Angeles Police Department said they did not intend to speak with him again . 
Michael Jackson 's family are said to be seeking a second autopsy because they still have questions about his death . 
The Los Angeles County Coroner 's office said there was no evidence of foul play after an autopsy on Friday , but gave no cause of death . 
It said the results of toxicology tests could take weeks to come back . 
A spokesman for the coroner 's office said Jackson had taken `` some prescription medication '' , without specifying which . 
Unconfirmed reports suggest the 50-year-old singer had been taking a daily dose of Demerol , a painkiller also widely known as pethidine . 
A woman who worked for Jackson for 17 years - 12 of those as nanny to his children - is quoted as saying he took combinations of drugs . 
`` I had to pump his stomach many times . 
He always mixed so much of it , '' Grace Rwaramba , 42 , said in remarks reported by the Sunday Times . 
`` There was one period that it was so bad that I did n't let the children see him . '' 
Jackson 's body was released to the family on Friday night . 
A spokeswoman for Dr Murray said he had been interviewed for three hours by police on Saturday . 
Dr Murray is doing all he can to help the inquiry , his spokeswoman says Miranda Sevcik said the doctor had `` helped identify the circumstances around the death of the pop icon and clarified some inconsistencies '' . 
`` Investigators said the doctor is in no way a suspect and remains a witness to this tragedy , '' she said . 
She told the BBC Dr Murray `` feels so deeply about his relationship with Michael Jackson that anything he can do to help this investigation come to a resolution , he is doing '' . 
She said Dr Murray had traveled in the ambulance with Jackson after he collapsed last Thursday , had stayed for hours at the hospital comforting the family and would stay in Los Angeles to help with the police inquiry . 
Dr Murray had been hired by Jackson in May to accompany him as he prepared to embark on a gruelling series of 50 concerts in London in July . 
The 51-year-old doctor is said to have tried to resuscitate Jackson until the paramedics arrived . 
Earlier , veteran politician Rev Jesse Jackson , who has been counselling the family , said they had a flurry of questions of their own for Dr Murray . 
`` When did the doctor come ? 
What did he do ? 
Did they inject him , if so with what ? '' 
Born : August 29 , 1958 , Gary , Indiana , US Also known as : The King of Pop , Wacko Jacko Biggest hits : I Want You Back , Do n't Stop Til You Get Enough , Billie Jean , Bad , Black or White , Earth Song The civil rights leader claimed Dr Murray had gone missing in the hours following the singer 's death , which raised `` questions of substance that will not go away until they are answered '' . 
`` He owes it to the family and to the public to say : ` These were the last hours of Michael 's life and here 's what happened ' . '' 
He said the family were `` clearly not satisfied '' with the results of the autopsy so far , `` that 's why there 's been the concern about an independent autopsy ... which anybody would recommend in these circumstances '' . 
Michael Jackson 's father Joseph described his son 's death as `` one of the darkest moments of our lives '' . 
`` It leaves us , his family , speechless and devastated to a point where communication with the outside world seems almost impossible at times , '' he said in a statement . 
There has been a huge outpouring of grief from fans , and tributes have been paid around the world since news of his death broke . 
Sunday 's Black Entertainment Awards show has been turned into a tribute show for Jackson with stars such as Beyonce re-working their performances in honor of the singer . 
There has also been a huge surge in demand for Jackson 's music with the star dominating sales at music retailers and download sites across the world . 
Earlier on Sunday his songs topped Apple 's iTunes download charts in every country except Japan . 
In the UK Jackson scored a posthumous number one album with greatest hits compilation Number Ones , with four other albums reappearing in the top 20 . 
In the singles chart , 43 out of the top 200 singles featured the singer , with Jackson hits accounting for all but one of the new entries in the top 40 . 
"
2009-06-28,"Jackson family left ` speechless and devastated ' by star 's death Relatives of Michael Jackson will seek a second autopsy on the star because they still have unanswered questions about his death , family friends say . 
Veteran politician Rev Jesse Jackson , who has been counselling the family , said they were upset the official cause of death might not be known for weeks . 
He said the family wanted answers from the star 's personal doctor , Conrad Murray , who was with him when he died . 
Coroners ruled out foul play after an initial autopsy on the 50-year-old . 
But they gave no cause of death , saying the results of toxicology tests could take weeks to come back . 
Late on Saturday , a spokeswoman for Dr Murray said that he had met police for a second time , for a three-hour meeting . 
Born : August 29 , 1958 , Gary , Indiana , US Also known as : The King of Pop , Wacko Jacko Biggest hits : I Want You Back , Do n't Stop Til You Get Enough , Billie Jean , Bad , Black or White , Earth Song He met investigators to `` clarify some inconsistencies '' , but police believed `` the doctor is in no way a suspect and remains a witness '' , Miranda Sevcik said . 
The doctor would continue to co-operate fully with the authorities , she said . 
Police confirmed that Dr Murray had been co-operative and had provided information that would assist their investigation . 
But earlier Jesse Jackson said the family had a flurry of questions of their own for Jackson 's personal doctor . 
`` When did the doctor come ? 
What did he do ? 
Did they inject him , if so with what , '' he said . 
The rights leader claimed Dr Murray had gone missing in the hours immediately following the singer 's death , which raised `` questions of substance that will not go away until they are answered '' . 
`` He owes it to the family and to the public to say : ` These were the last hours of Michael 's life and here 's what happened . ' '' 
Jackson , who had a history of health problems , collapsed at his Los Angeles home at about midday on Thursday . 
A recording of the telephone call made to emergency services from his home was released on Friday . 
Jesse Jackson : ` We are hurt ' The caller is heard to say Jackson is unconscious and has stopped breathing , and that a doctor is trying to revive him . 
The singer was pronounced dead at the UCLA medical center two hours after the call was made . 
Jackson 's family have spoken of their grief at his sudden death . 
In a statement issued by his father Joseph Jackson , the star 's relatives called it `` one of the darkest moments of our lives '' . 
`` It leaves us , his family , speechless and devastated to a point where communication with the outside world seems almost impossible at times , '' the statement said . 
The family also thanked fans for their messages of support . 
The Reverend Al Sharpton , a family friend , said that Jackson 's relatives were considering the idea of simultaneous global celebrations to commemorate his life . 
This was because they wanted people to focus on the entertainer 's music rather than his problems , Rev Sharpton said . 
"
2009-06-29,"Doctor ` did not inject ' Jackson Dr Murray is doing all he can to help the inquiry , his spokeswoman says A lawyer for Michael Jackson 's doctor has denied that his client administered painkilling drugs that could have contributed to the singer 's death . 
Edward Chernoff told the Associated Press that Dr Conrad Murray `` had never prescribed Demerol or Oxycontin '' . 
He said any drugs that the physician may have given Jackson were in response to a specific health complaint . 
He said the star still had a faint pulse and was warm when Dr Murray found him in bed on Thursday afternoon . 
Mr Chernoff said : `` He just happened to find him in his bed , and he was n't breathing . '' 
Paramedics were called to Jackson 's Los Angeles mansion while Dr Murray was performing CPR , according to a recording of the 911 call . 
Because Jackson was so frail , Murray `` administered with his hand behind his back to provide the necessary support , '' Chernoff said . 
He denied claims that the doctor may have botched the resuscitation attempt : `` He 's a trained doctor , '' Chernoff said , `` He knows how to administer CPR . '' 
On Sunday , the Los Angeles Police Department said they did not intend to speak to Dr Murray again . 
Michael Jackson 's family are said to be seeking a second autopsy because they still have questions about his death . 
The Los Angeles County Coroner 's office said there was no evidence of foul play after an autopsy on Friday , but gave no cause of death . 
It said the results of toxicology tests could take weeks to come back . 
A spokesman for the coroner 's office said Jackson had taken `` some prescription medication '' , without specifying which . 
Unconfirmed reports suggest the 50-year-old singer had been taking a daily dose of Demerol , a painkiller also widely known as pethidine . 
A woman who worked for Jackson for 17 years - 12 of those as nanny to his children - is quoted as saying he took combinations of drugs . 
`` I had to pump his stomach many times . 
He always mixed so much of it , '' Grace Rwaramba , 42 , said in remarks reported by The Sunday Times . 
`` There was one period that it was so bad that I did n't let the children see him . '' 
Jackson 's body was released to the family on Friday night . 
A spokeswoman for Dr Murray said he had been interviewed for three hours by police on Saturday . 
Miranda Sevcik said the doctor had `` helped identify the circumstances around the death of the pop icon and clarified some inconsistencies '' . 
`` Investigators said the doctor is in no way a suspect and remains a witness to this tragedy , '' she said . 
She told the BBC that Dr Murray `` feels so deeply about his relationship with Michael Jackson that anything he can do to help this investigation come to a resolution , he is doing '' . 
She said Dr Murray had traveled in the ambulance with Jackson after he collapsed last Thursday , had stayed for hours at the hospital comforting the family and would stay in Los Angeles to help with the police inquiry . 
Dr Murray had been hired by Jackson in May to accompany him as he prepared to embark on a gruelling series of 50 concerts in London in July . 
Born : August 29 , 1958 , Gary , Indiana , US Also known as : The King of Pop , Wacko Jacko Biggest hits : I Want You Back , Do n't Stop Til You Get Enough , Billie Jean , Bad , Black or White , Earth Song Earlier , veteran politician Rev Jesse Jackson , who has been counselling the family , said they had a flurry of questions of their own for Dr Murray . 
`` When did the doctor come ? 
What did he do ? 
Did they inject him , if so with what ? '' 
The civil rights leader claimed Dr Murray had gone missing in the hours following the singer 's death , which raised `` questions of substance that will not go away until they are answered '' . 
`` He owes it to the family and to the public to say : ` These were the last hours of Michael 's life and here 's what happened ' . '' 
He said the family were `` clearly not satisfied '' with the results of the autopsy so far , `` that 's why there 's been the concern about an independent autopsy ... which anybody would recommend in these circumstances '' . 
Michael Jackson 's father Joseph described his son 's death as `` one of the darkest moments of our lives '' . 
`` It leaves us , his family , speechless and devastated to a point where communication with the outside world seems almost impossible at times , '' he said in a statement . 
"
2009-06-29,"Stars performed Jackson 5 hits at the start of the show Stars have been celebrating the life of Michael Jackson in Los Angeles . 
Jackson 's father Joe joined celebrities at the annual Black Entertainment Television -LRB- BET -RRB- Awards show , which was hastily changed to honor the singer . 
It is the first big tribute to Jackson , who collapsed and died last week in the city at the age of 50 . 
His family insisted a second autopsy be carried out on his body because of what they said were `` unanswered questions '' over how he died . 
Speaking on the red carpet , Joe Jackson said he had `` a lot of concerns '' over events surrounding his son 's death . 
Joe Jackson attends award ceremony The Los Angeles County Coroner 's office has ruled out foul play but deferred giving a cause of death until the results of toxicology tests come back . 
Unconfirmed reports suggest the singer had been taking a daily dose of Demerol , a painkiller also widely known as pethidine . 
On Saturday police carried out what they said was an extensive interview with Jackson 's personal doctor , Conrad Murray , who was with the singer when he died . 
A spokeswoman for Dr Murray said he was not a suspect in the case . 
He had `` helped identify the circumstances around the death of the pop icon and clarified some inconsistencies '' , she said . 
The BET awards show was turned into a tribute to Jackson , with major stars re-working their performances in honor of the singer . 
Born : August 29 , 1958 , Gary , Indiana , US Also known as : The King of Pop , Wacko Jacko Biggest hits : I Want You Back , Do n't Stop Til You Get Enough , Billie Jean , Bad , Black or White , Earth Song A Jackson 5 medley was performed and host Jamie Foxx attempted the Moonwalk . 
`` No need to be sad . 
We want to celebrate this black man ... We gonna go through all of Michael Jackson , '' he said . 
Winners praised Jackson as they received their awards . 
`` We all know none of us in this in this room would n't be here for Michael Jackson , '' said Lil Wayne , named best male hip-hop star . 
Late in the show Jackson 's sister Janet took the stage to thank fans for their support . 
`` My entire family wanted to be here tonight , but it was just too painful , so they elected me to be here , '' she said . 
Demand for Jackson 's music has surged since his death on Thursday , with the star dominating sales at music retailers and download sites across the world . 
On Sunday his songs topped Apple 's iTunes download charts in every country except Japan . 
In the UK Jackson scored a posthumous number one album with greatest hits compilation Number Ones , with four other albums reappearing in the top 20 . 
In the singles chart , 43 out of the top 200 singles featured the singer , with Jackson hits accounting for all but one of the new entries in the top 40 . 
"
2009-06-29,"Number Ones last topped the UK album chart in 2003 Michael Jackson has topped the UK album chart and made six new entries in the singles top 40 , six years after his last number one . 
Greatest hits album Number Ones rocketed from 121 to the top spot after a surge in sales since the superstar 's death on Thursday . 
The same album earned Jackson his last number one when first released in 2003 . 
Four of his other hit albums also made a reappearance in the top 20 , the Official Charts Company said . 
Thriller , still the biggest-selling album of all time , raced from 179 to number seven , King of Pop reached 14 , Off The Wall got to 17 and The Essential Michael Jackson came in at number 20 . 
Stores have seen a surge in sales of Jackson 's albums A total of 11 Michael Jackson or Jackson Five albums featured in the top 200 . 
In the singles chart , 43 out of the top 200 singles feature the singer , with Jackson hits accounting for all but one of the new entries in the top 40 . 
Overall , Michael Jackson accounted for over 300,000 record sales across singles and albums in just two days this week . 
Music retailers said that although demand for Jackson 's singles had been high since his death , his extensive back catalogue meant that no one song stood out in sales and he was narrowly denied a posthumous entry in the top 10 . 
Man in the Mirror re-entered the charts at number 11 , nearly 20 years after its original release , while Billie Jean got to 25 , Smooth Criminal to 28 , Beat It reached 30 and Earth Song number 38 . 
2 West Ryder Pauper Lunatic Asylum - Kasabian 3 Sunny Side Up - Paolo Nutini 4 The Circus - Take That 5 The Fame - Lady Gaga Jackson 's return to the charts overshadowed electro-pop newcomer La Roux 's new entry at number one in the singles chart with Bulletproof . 
Kasabian also suffered and was knocked off the number one spot in the albums chart with West Ryder Pauper Lunatic Asylum . 
Gennaro Castaldo , of music retailer HMV , told the BBC the estimated demand for Jackson albums was now 80 times greater than the day before he died . 
`` Once we had the announcement of his death people came into our stores and we had large crowds . 
`` Fortunately we had a lot of stock because we had been preparing for the O2 concerts , but sadly we did n't expect to sell them for this reason . '' 
1 Bulletproof - La Roux 2 When Loves Takes Over - David Guetta ft Kelly Rowland 3 Boom Boom Pow - Black Eyed Peas 4 Paparazzi - Lady GaGa Jackson 's albums have dominated sales at music retailers and download sites across the world since his death . 
Earlier on Sunday his songs topped Apple 's iTunes download charts in every country except Japan . 
The star died after suffering a cardiac arrest at his Los Angeles home on Thursday . 
Police investigating the death said they had carried out an `` extensive interview '' with his doctor , Conrad Murray , who was with the singer at the time . 
A spokeswoman for Dr Murray insisted he was not a suspect in the case and the Los Angeles Police Department said they did not intend to speak to him again . 
Jackson 's family are said to be seeking a second autopsy because they still have questions about his death . 
Born : August 29 , 1958 , Gary , Indiana , US Also known as : The King of Pop , Wacko Jacko Biggest hits : I Want You Back , Do n't Stop Til You Get Enough , Billie Jean , Bad , Black or White , Earth Song The Los Angeles County Coroner 's office said there was no evidence of foul play after an autopsy on Friday , but gave no cause of death . 
It said the results of toxicology tests could take weeks to come back . 
Speaking in an interview with Fox News , Michael Jackson 's father , Joe Jackson , said he doubted that stress over the star 's upcoming residency at London 's O2 Arena was a factor in his death . 
He added he thought his son was going to be larger in death than he was in life , but wished he was around to see the public outpouring of affection since he died . 
"
2009-07-22,"It is believed the doctor was at 50-year-old Jackson 's house when he died last month The Houston clinic of Michael Jackson 's doctor has been searched by drug police looking for evidence of manslaughter , his lawyer says . 
Officers from the Drug Enforcement Agency -LRB- DEA -RRB- entered Dr Conrad Murray 's office and removed several items . 
Dr Murray 's spokeswoman told the BBC the raid was `` a surprise to us and it was a surprise to the attorneys '' . 
The doctor , who police say is not a suspect , was at Jackson 's mansion and tried to revive him before he died . 
DEA spokeswoman Violet Szeleczky confirmed a search was carried out but said it was not technically a raid . 
Speaking to the AFP news agency , she said : `` What this is , is the Los Angeles police department have an investigation and they came to the Drug Enforcement Agency , and they asked us to help them effect a state search warrant here . '' 
Dr Murray 's lawyer said he had been helping police with inquiries Dr Murray 's lawyer , Edward Chernoff , confirmed that a search had been carried out . 
`` The search warrant authorised law enforcement to search for and seize items , including documents , they believed constituted evidence of the offence of manslaughter , '' he said in a statement posted on his firm 's website . 
Earlier , Mr Chernoff said his client had been helping police with their inquiries . 
He has already been interviewed twice by police probing Michael Jackson 's death . 
Investigators had asked for medical records in addition to those already provided by Murray . 
`` The coroner wants to clear up the cause of death ; we share that goal , '' said Mr Chernoff in a statement on his law firm 's website on Tuesday . 
Speaking a few days after Jackson 's death , Mr Chernoff denied Dr Murray administered painkilling drugs that could have contributed to the singer 's death . 
Dr Murray is frustrated by negative and often erroneous media reports - he has to walk around 24\/7 with a bodyguard Dr Conrad Murray 's lawyer Edward Chernoff Any drugs his client may have given to Jackson were in response to a specific health complaint , the lawyer added . 
He said the star still had a faint pulse and was warm when Dr Murray found him in bed . 
Mr Chernoff said : `` He just happened to find him in his bed , and he was n't breathing . '' 
Paramedics were called to Jackson 's Los Angeles mansion while Dr Murray was performing CPR , according to a recording of the 911 call . 
Mr Chernoff said in Tuesday 's statement that Dr Murray had since received unwelcome attention from those angry over the singer 's untimely death . 
`` Dr Murray was the last doctor standing when Michael Jackson died and it seems all the fury is directed toward him , '' Mr Chernoff said . 
He added : `` Dr Murray is frustrated by negative and often erroneous media reports - he has to walk around 24\/7 with a bodyguard . 
`` He ca n't operate his practice . 
He ca n't go to work because he is harassed no matter where he goes . '' 
CNN Drugs , documents seized in Jackson doctor raid - 9 hrs ago Miami Herald Manslaughter investigation targets Jackson doctor - 19 hrs ago Philadelphia Inquirer Officials probe Jackson 's doctors in star 's death - 23 hrs ago Citizen . 
"
2009-07-28,"Police raid Jackson doctor 's home Drug police are searching the Las Vegas home of Michael Jackson 's doctor as part of a manslaughter investigation into the singer 's death . 
Dr Conrad Murray , who police say is not a suspect , was at Jackson 's mansion and tried to revive him before he died . 
Assistant Special Agent Michael Flanigan of the Las Vegas branch of the Drug Enforcement Agency -LRB- DEA -RRB- said the operation was likely to take `` a couple of hours '' . 
"
2009-07-29,"Michael Flanagan of the DEA describes the operation Police have searched the Las Vegas home and offices of Michael Jackson 's doctor as part of a manslaughter investigation into the singer 's death . 
Dr Conrad Murray 's lawyer , Edward Chernoff , said officials were looking for the star 's medical records . 
The search is the second in a week following a similar operation at the doctor 's Houston clinic on 22 July . 
Dr Murray , who was with Jackson and tried to revive him before he died , has not been named as a suspect . 
In a statement , Dr Murray 's lawyer Edward Chernoff said the warrant `` authorised investigators to look for medical records relating to Michael Jackson and all of his reported aliases '' . 
He added Dr Murray was present during the search of his home and assisted the officers , who seized mobile phones and a computer hard drive . 
Reports suggest the investigation around Jackson 's death is focusing on his use of powerful painkilling drugs . 
The Drug Enforcement Administration has been involved in the investigation because the agency licenses doctors to administer controlled pharmaceuticals . 
Searches at the clinic and another site rented by Dr Murray in Houston , Texas , were carried out last Wednesday after a warrant was issued by a judge in the city . 
Dr Murray has already been interviewed twice by police The warrant , filed in Harris County District Court , said authorities were looking for `` items constituting evidence of the offence of manslaughter that tend to show that Dr Conrad Murray committed the said criminal offence '' . 
Such charges against a doctor for the death of a patient are extremely rare and require authorities to show there was a reckless action that created a risk of death . 
Items seized during the searches included 27 tablets of the weight loss drug Phentermine , a tablet of the muscle relaxant Clonazepam , two hard drives , notices from the Internal Revenue Service and a registration for controlled substances . 
Police have said Dr Murray is co-operating in the investigation . 
Paramedics were called to Jackson 's Los Angeles mansion while Dr Murray was performing CPR on the singer on the day he died , according to a recording of a 911 call . 
Speaking a few days after Jackson 's 25 June death , Mr Chernoff , denied his client administered painkilling drugs that could have contributed to the singer 's death . 
An official determination of what killed Jackson will not be made until the results of a toxicology report are disclosed . 
"
