time,Sentences
2009-06-27,"['A spokeswoman for Dr Murray said he had been interviewed for three hours by police on Saturday .', 'Late on Saturday , a spokeswoman for Dr Murray said that he had met police for a second time , for a three-hour meeting .', 'A spokeswoman for Dr Murray said he had been interviewed for three hours by police on Saturday .', ""On Saturday police carried out what they said was an extensive interview with Jackson 's personal doctor , Conrad Murray , who was with the singer when he died ."", ""Jackson death was ` not suspicious ' Medical experts say they are not treating the death of pop star Michael Jackson as suspicious ."", 'They want to find out what kind of chemicals might have been in his body when he died .', ""There was no sign of foul play in the death of Michael Jackson , coroners who completed a post-mortem on the singer 's body have said ."", ""Jackson family left ` speechless and devastated ' by star 's death"", ""Los Angeles police investigating the death of Michael Jackson say they have carried out an `` extensive interview '' with his doctor , Conrad Murray ."", ""Jackson family left ` speechless and devastated ' by star 's death Relatives of Michael Jackson will seek a second autopsy on the star because they still have unanswered questions about his death , family friends say ."", 'Veteran politician Rev Jesse Jackson , who has been counselling the family , said they were upset the official cause of death might not be known for weeks .', ""He said the family wanted answers from the star 's personal doctor , Conrad Murray , who was with him when he died .""]"
2009-06-28,"['On Sunday the Los Angeles Police Department said they did not intend to speak with him again .', ""Sunday 's Black Entertainment Awards show has been turned into a tribute show for Jackson with stars such as Beyonce re-working their performances in honor of the singer ."", 'On Sunday , the Los Angeles Police Department said they did not intend to speak to Dr Murray again .', ""On Sunday his songs topped Apple 's iTunes download charts in every country except Japan ."", '28 June 2009 Los Angeles police interview Dr Murray for three hours .', ""Los Angeles police investigating the death of Michael Jackson say they have carried out an `` extensive interview '' with his doctor , Conrad Murray ."", ""Doctor ` did not inject ' Jackson Dr Murray is doing all he can to help the inquiry , his spokeswoman says A lawyer for Michael Jackson 's doctor has denied that his client administered painkilling drugs that could have contributed to the singer 's death ."", 'Stars performed Jackson 5 hits at the start of the show Stars have been celebrating the life of Michael Jackson in Los Angeles .', ""Jackson 's father Joe joined celebrities at the annual Black Entertainment Television -LRB-"", 'Number Ones last topped the UK album chart in 2003 Michael Jackson has topped the UK album chart and made six new entries in the singles top 40 , six years after his last number one .']"
2009-06-29,"[""`` My entire family wanted to be here tonight , but it was just too painful , so they elected me to be here , '' she said ."", 'He said any drugs that the physician may have given Jackson were in response to a specific health complaint .']"
2009-07-21,"[""Mr Chernoff said in Tuesday 's statement that Dr Murray had since received unwelcome attention from those angry over the singer 's untimely death ."", ""Officers from the Drug Enforcement Agency -LRB- DEA -RRB- entered Dr Conrad Murray 's office and removed several items ."", ""Dr Murray 's spokeswoman told the BBC the raid was `` a surprise to us and it was a surprise to the attorneys '' .""]"
2009-07-22,"[""The search is the second in a week following a similar operation at the doctor 's Houston clinic on 22 July ."", 'Searches at the clinic and another site rented by Dr Murray in Houston , Texas , were carried out last Wednesday after a warrant was issued by a judge in the city .', ""It is believed the doctor was at 50-year-old Jackson 's house when he died last month The Houston clinic of Michael Jackson 's doctor has been searched by drug police looking for evidence of manslaughter , his lawyer says ."", ""Officers from the Drug Enforcement Agency -LRB- DEA -RRB- entered Dr Conrad Murray 's office and removed several items ."", ""Dr Murray 's spokeswoman told the BBC the raid was `` a surprise to us and it was a surprise to the attorneys '' .""]"
2009-07-28,"[""On Tuesday , police searched the Las Vegas home and offices of Jackson 's doctor , Conrad Murray , as part of a manslaughter investigation into the singer 's death ."", ""Police raid Jackson doctor 's home Drug police are searching the Las Vegas home of Michael Jackson 's doctor as part of a manslaughter investigation into the singer 's death ."", ""Michael Flanagan of the DEA describes the operation Police have searched the Las Vegas home and offices of Michael Jackson 's doctor as part of a manslaughter investigation into the singer 's death .""]"
2009-07-29,"['29 July 2009 Court documents filed in Nevada show that Dr Murray is heavily in debt , owing more than $ 780,000 -LRB- # 501,000 -RRB- in judgements against him and his medical practice , outstanding mortgage payments on his house , child support and credit cards .', ""Michael Flanagan of the DEA describes the operation Police have searched the Las Vegas home and offices of Michael Jackson 's doctor as part of a manslaughter investigation into the singer 's death ."", ""Dr Conrad Murray 's lawyer , Edward Chernoff , said officials were looking for the star 's medical records ."", ""Jackson was about to start a residency at London 's O2 Arena"", ""The release of Michael Jackson 's autopsy results have been delayed until next week , the Los Angeles County coroner 's office has said ."", ""The results were due to be revealed this week , amid speculation about the possible role prescription drugs played in the singer 's death .""]"
2009-08-18,"[""Dr Conrad Murray speaking on 18 August : I told the truth Bottles of propofol found in Jackson 's house show it had been prescribed by several doctors , not just Conrad Murray , but he remains at the center of the inquiry , our correspondent adds .""]"
2009-08-23,['A preliminary hearing has been scheduled for 23 August .']
2009-08-24,"['Dr Murray told police he had been giving Jackson propofol as part of his treatment for insomnia , according to an affidavit made public on Monday .']"
2009-08-27,"['The singer will be buried on Thursday at the Forest Lawn Memorial Park in Glendale , a suburb of Los Angeles , in a private ceremony .']"
2009-08-29,"[""The burial was initially scheduled to take place on Saturday - on what would have been Jackson 's 51st birthday ."", '29 August 2009', 'Michael Jackson died from cardiac arrest in his rented home', ""Michael Jackson 's death was homicide , primarily caused by the powerful anesthetic Propofol , the Los Angeles coroner has confirmed ."", 'The singer suffered a cardiac arrest at his Los Angeles home in June , aged 50 .']"
2009-09-11,"[""Boxing promoter Frank Maloney feels slightly aggrieved by referee Terry O'Conner 's decision against his boxer John McDermott on Friday night .""]"
2009-09-12,"[""Jeff Stelling on Soccer Saturday , after Phil Thompson mispronounces Abou Diaby 's name ."", 'Torquay fans to Bournemouth supporters at Plainmoor on Saturday .']"
2009-09-16,"[""I 'm glad he was n't here today , otherwise he might have sent me back to Wigan himself ! ''"", 'Steve Claridge on the Sheffield Wednesday -Nottingham Forest game , Football League Show .', 'Hughes and Wenger - best of enemies', ""`` You ask 100 people , 99 will say it 's very bad and the 100th will be Mark Hughes . ''""]"
2009-11-21,"[""Footage of the raid on Dr Murray 's clinic 21 November 2009 Court documents reveal that Dr Murray bought five bottles of propofol in May 2009 , at around the same time he was hired as Jackson 's physician .""]"
2009-12-25,"[""Arsene Wenger crosses Hughes off his Christmas card list after the Manchester City manager defended Emmanuel Adebayor 's alleged stamp on Robin van Persie ."", 'Noel Fleming , England\\/Northern Ireland -RRB- .']"
2010-01-04,"['A preliminary hearing is scheduled to begin on 4 January where it will be decided if there is sufficient evidence to hold Dr Murray for trial .', ""A preliminary hearing is scheduled to begin on 4 January where it will be decided if there is sufficient evidence to try Jackson 's physician , Dr Conrad Murray , on involuntary manslaughter charges .""]"
2010-01-13,['The program was scheduled to be aired in Europe on 13 January .']
2010-02-01,"[""Details of charges will be officially released Monday , the LA district attorney 's office said .""]"
2010-02-05,"['After a week of speculation over the manslaughter charge , Dr Murray had been expected to surrender to authorities last Friday .', 'The announcement came shortly before the doctor had planned to surrender himself at a Los Angeles courthouse .']"
2010-02-08,"[""Dr Murray has denied he caused Michael Jackson 's death Los Angeles prosecutors will file a criminal case against Michael Jackson 's doctor on Monday in connection with the singer 's death , officials say ."", 'Judge Keith Schwartz told Dr Murray on Monday : `` You may not under any circumstances use any anesthetic agents , specifically Propofol .', 'Dr Murray denies any wrongdoing On 8 February , 2010 , Dr Murray appeared in court in Los Angeles and pleaded not guilty to the charge of involuntary manslaughter .', ""The judge told Dr Murray he must not administer anesthetic Michael Jackson 's former doctor has denied a charge of involuntary manslaughter over the singer 's death , at a court in Los Angeles ."", ""Dr Conrad Murray was bailed for $ 75,000 -LRB- # 48,000 -RRB- after pleading not guilty to `` unlawfully , and without malice , killing Michael Joseph Jackson '' ."", 'A judge must decide whether to proceed to trial .']"
2010-03-15,"['The contract with Sony could be worth up to $ 250m if certain conditions are met , the Wall Street Journal reported on Monday , citing sources close to the deal .', 'Michael Jackson estate agrees record Sony music deal Sony has sold 31 million Jackson albums since his death last June The estate of Michael Jackson has agreed the biggest recording deal in history , worth more than $ 200m -LRB-', '-RRB- , with Sony Music , US reports say .']"
2010-03-16,"['More details are expected in an official announcement later on Tuesday , but the contract is reported to include the soundtrack to the recent film , This Is It .', 'Michael Jackson estate agrees record Sony music deal Sony has sold 31 million Jackson albums since his death last June The estate of Michael Jackson has agreed the biggest recording deal in history , worth more than $ 200m -LRB-', '# 133m', '-RRB- , with Sony Music , US reports say .']"
2010-03-19,"['Bosses are offering a # 500 cash prize to the person who submits the winning sample and is asking entrants to attend the park on Friday , 26 , February between 11am and 2pm .']"
2010-03-22,"['Firstly , Thank you Russell for a brilliant recording last night , it was hilarious - 3 hours of non stop laughter - brilliant !', 'In order to see this content you need to have both Javascript enabled and Flash installed .']"
