time,Sentences
2011-03-15,"['LONDON | Tue Mar 15 , 2011 1:48 pm GMT LONDON -LRB- Reuters -RRB- - Leading health charities shunned the launch on Tuesday of a government-led drive to improve public health , accusing ministers of failing to stand up to supermarkets and drinks companies .', ""Japanese Prime Minister Naoto Kan on Tuesday urged people within 30 km -LRB- 18 miles -RRB- of the facility -- a population of 140,000 -- to remain indoors , as authorities grappled with the world 's most serious nuclear accident since the Chernobyl disaster in Ukraine in 1986 ."", 'A Reuters reporter using a Geiger counter showed negligible levels of radiation in the capital late on Tuesday .', 'Kan himself lambasted the operator for taking so long to inform his office about one of the blasts on Tuesday , Kyodo news agency reported .', ""Before Tuesday 's explosion the temperature in Number 4 reactor 's cooling pool was 84 C , higher than normal due to a lack of electricity after the quake , said Hidehiko Nishiyama , chief spokesman of the Nuclear and Industrial Safety Agency ."", ""LONDON | Tue Mar 15 , 2011 4:54 am GMT LONDON -LRB- Reuters -RRB- - Chief executives of public bodies should be forced to justify their salary and have pay docked if they do n't perform , a government-sponsored report recommended on Tuesday ."", ""In Tuesday 's final report , Hutton moves away from this idea ."", ""LONDON | Tue Mar 15 , 2011 3:22 pm GMT LONDON -LRB- Reuters -RRB- - Britain is to overhaul its archaic libel laws to stamp out ` libel tourism ' by wealthy individuals and corporations who flock to British courts to sue for defamation ."", 'The first draft of a bill put forward by ministers on Tuesday proposes reforming current laws to allow courts to strike out trivial claims , and making it harder to bring to court overseas claims that have little connection to Britain .', 'The initiative aims to lower salt content in food and restrict the promotion of alcoholic drinks .', ""Leading supermarkets , fast food firms and drinks companies have signed pledges to co-operate in `` Responsibility Deal '' commitments with the Department of Health ."", 'The operator of the quake-crippled plant said workers were trying to put out the blaze at the building housing the No. 4 reactor of the nuclear facility in Fukushima , 240 km -LRB- 150 miles -RRB-', ""The findings of the `` Fair Pay Review '' are designed to halt a decade -long trend which has seen pay at the top of the public sector grow faster than pay levels at the bottom ."", 'Prime Minister David Cameron asked Will Hutton , a left-leaning commentator and former head of the Work Foundation , to conduct the review last year .', 'Opponents of the current libel laws say they make it too easy for the rich and powerful to bring cases in Britain -- or to use the threat of expensive action to stifle free speech .', ""`` London has become the world 's libel capital .""]"
2011-03-16,"['Winds over the plant will blow from the north along the Pacific coast early on Wednesday and then from the northwest towards the ocean during the day , the Japan Meteorological Agency said .', '-LRB-', 'Reuters']"
2011-03-17,"['An Italian government source told Reuters on Thursday that Italy was ready to make its military bases available to enforce a no-fly zone .', 'Reuters']"
2011-03-18,"['Security forces opened fire on Friday on civilians taking part in a peaceful protest in Deraa demanding the release of 15 schoolchildren detained for writing protest graffiti , political freedoms and an end to corruption .', 'Tens of people arrested on Friday have been released , but scores more were still in jail , activists said .', 'Smaller , possibly coordinated , demonstrations took place after Friday prayers in the central city of Homs and the coastal town of Banias , while a crowd briefly chanted slogans for freedom inside the Ummayad Mosque in Damascus .', ""The three-month-old tide of revolt against Arab rulers seen as repressive , corrupt and unaccountable for unemployment and poverty reached Syria on Friday and gained momentum on Monday as rallies for `` freedom '' spread in the south ."", ""President Bashar al-Assad 's security forces killed four civilians in demonstrations that erupted in the southern city of Deraa on Friday , uncorking the sharpest challenge yet to his 11-year-old rule ."", ""The latest defections seemed to be sparked by Yemen 's bloody response to protests on Friday , when plainclothes snipers killed 52 protesters in Sanaa , prompting Saleh to sack his cabinet and declare a 30-day state of emergency ."", ""Several generals and officials have abandoned Saleh this week after a massacre of pro-democracy demonstrators on Friday On Tuesday , Abdel-Malik Mansour , Yemen 's envoy to the Arab League , told Al Arabiya television he was siding with protesters ."", 'They have gained momentum since gunmen loyal to Saleh opened fire on demonstrators in the capital Sanaa on Friday .', 'The body of one of those killed on Friday was brought to the protesters before burial .', 'The scene at the mosque in the lower income Damascus district of Ruknaldin , recounted to Reuters by worshippers who witnessed it on Friday , was striking in a country where pliant citizens have endured government-dictated sermons for decades .', ""The region , where four protesters have been killed by security forces since Friday , has seen the first non-sectarian protests against the Baath Party since Assad 's late father Hafez al-Assad crushed leftist and Islamist opponents in the 1980s ."", ""Residents of Deraa city , where the demonstrations started on Friday , say they have shaken off humiliation and decades of repression , and broken a ` fear factor ' that had made people suspicious that even close relatives might be informants ."", ""Thousands marched in the funeral chanting calls for freedom , and -- for the first time since protests broke on Friday -- slogans against Iran and Lebanon 's Hezbollah `` Honorable Syrians do n't rely on Iran or Hezbollah , '' they chanted , breaking a taboo of criticizing Syrian foreign policy , which is largely built on an alliance with the Shi'ite Islamic Republic and the armed Shi'ite movement ."", 'More than 220 protesters have been killed since pro- democracy protests erupted on March 18 in the southern city of Deraa , including 21 protesters killed this week in Homs , rights campaigners say .', 'What sparked the revolt was the arrest of 15 youngsters for scrawling anti-government slogans in the southern town of Deraa , where the first three deaths occurred on March 18 .', 'A Western diplomat said 7,000 people had been arrested since the demonstrations broke out on March 18 in Deraa .', ""The country 's protests started in Deraa on 18 March Political parties and protests were banned and the emergency law - in place since 1963 - gave the authorities sweeping powers of arrest ."", 'Human Rights groups say about 1,100 civilians have been killed and thousands arrested since pro-democracy protests began on 18 March .']"
2011-03-19,"[""On Saturday , thousands of mourners called for `` revolution '' at the funeral of two of the protesters ."", 'President Assad is trying to quell an increasingly armed rebellion that sprang from a fierce crackdown on peaceful pro-democracy protests a year ago .', 'DAMASCUS -LRB-']"
2011-03-20,"['DAMASCUS | Sun Mar 20 , 2011 5:23 pm EDT', 'Reuters -RRB- - Crowds set fire to a headquarters of the ruling Baath Party in the Syrian city of Deraa on Sunday , residents said , as the wave of unrest in the Arab world shook even one of its most authoritarian states .', ""Abdul-Rahman al-Iryani , whom Saleh sacked as environment minister on Sunday along with the rest of the cabinet , said on Facebook he was joining `` the revolutionaries . ''"", 'DAMASCUS -LRB-', 'Reuters -RRB- - Four days of protests against corruption and stifling one-party rule have finally brought the Arab uprising to Syria , posing the gravest domestic challenge yet to President Bashar al-Assad .', ""Top generals , ambassadors and some tribes endorsed the goals of Yemen 's anti-government protesters in a glancing blow to President Ali Abdullah Saleh as he strove to withstand demands for his resignation after 32 years in power ."", 'Reuters -RRB- -']"
2011-03-21,"['Reuters -RRB- -', 'Credit : Reuters\\/Yemeni TV via Reuters TV', 'DAMASCUS -LRB- Reuters', '-RRB-']"
2011-03-22,"[""Reuters -RRB- - Yemen 's president said on Tuesday his country would descend into civil war if he were forced to quit and Washington voiced concern about instability in the Arab state that has become an al Qaeda stronghold ."", 'Credit : Reuters\\/Yemeni TV via Reuters TV', 'DAMASCUS -LRB- Reuters', '-RRB-']"
2011-03-23,"['DERAA , Syria | Wed Mar 23 , 2011 7:03 pm EDT DERAA , Syria -LRB- Reuters -RRB- - Syrian forces killed six people on Wednesday in an attack on protesters in a mosque complex in the southern city of Deraa , and later opened fire on hundreds of youths marching in solidarity , witnesses said .', ""The shooting on Wednesday began just after midnight , when security forces attacked protesters in the vicinity of the Omari mosque in the city 's old quarter , the focal point of the Deraa protests , residents said ."", 'The bodies of two people killed in the mosque attack , a man and a woman called Ibtissam Masalmeh , where buried in Deraa on Wednesday .', 'Wednesday , security forces opened fire on hundreds of youths in the southern city of Deraa , witnesses said , killing up to 37 demonstrators according to a hospital official .', 'At least four youths were killed when the security forces intercepted them at the northern entrance of Deraa , witnesses said .', 'Their bodies were seen at a clinic in the city .', 'In all , 14 civilians have been killed by Syrian forces in six days of demonstrations for political freedom and an end to corruption , in a protest movement spreading across the Arab world since a popular uprising in Tunisia late last year .']"
2011-03-24,"['BERLIN\\/PARIS -LRB- Reuters -RRB- - Germany joined a growing number of western nations urging Syria Thursday to prevent violence against protesters after Syrian forces killed up to 37 people a day earlier .', '`` The violence must end immediately .', 'In all , 14 civilians have been killed by Syrian forces in six days of demonstrations for political freedom and an end to corruption , in a protest movement spreading across the Arab world since a popular uprising in Tunisia late last year .']"
