Date results: ,"{'precision': 0.4272300469483568, 'recall': 0.7711864406779662, 'f_score': 0.5498489425981873}"
Final precison Score : ,0.4272300469483568
Final recall Score : ,0.7711864406779662
Final f1 Score : ,0.5498489425981873
Date results: ,"{'precision': 1.0, 'recall': 0.5, 'f_score': 0.6666666666666666}"
Final precison Score : ,0.7136150234741784
Final recall Score : ,0.6355932203389831
Final f1 Score : ,0.608257804632427
Date results: ,"{'precision': 0.32, 'recall': 0.7384615384615385, 'f_score': 0.44651162790697674}"
Final precison Score : ,0.5824100156494523
Final recall Score : ,0.6698826597131682
Final f1 Score : ,0.5543424123906102
Date results: ,"{'precision': 0.1625, 'recall': 0.6190476190476191, 'f_score': 0.25742574257425743}"
Final precison Score : ,0.4774325117370892
Final recall Score : ,0.657173899546781
Final f1 Score : ,0.480113244936522
Date results: ,"{'precision': 0.42857142857142855, 'recall': 0.5454545454545454, 'f_score': 0.4799999999999999}"
Final precison Score : ,0.46766029510395707
Final recall Score : ,0.6348300287283338
Final f1 Score : ,0.4800905959492176
Date results: ,"{'precision': 0.46303501945525294, 'recall': 0.7677419354838709, 'f_score': 0.5776699029126214}"
Final precison Score : ,0.46688941582917304
Final recall Score : ,0.65698201318759
Final f1 Score : ,0.4963538137764516
Date results: ,"{'precision': 0.22510822510822512, 'recall': 0.8813559322033898, 'f_score': 0.3586206896551724}"
Final precison Score : ,0.4323492457261805
Final recall Score : ,0.6890354301898471
Final f1 Score : ,0.4766776531876974
Date results: ,"{'precision': 0.34951456310679613, 'recall': 0.9473684210526315, 'f_score': 0.5106382978723405}"
Final precison Score : ,0.4219949103987575
Final recall Score : ,0.7213270540476951
Final f1 Score : ,0.48092273377327777
Date results: ,"{'precision': 0.18095238095238095, 'recall': 0.8837209302325582, 'f_score': 0.30039525691699603}"
Final precison Score : ,0.39521240712693784
Final recall Score : ,0.7393708180682355
Final f1 Score : ,0.4608641252336909
Date results: ,"{'precision': 0.5972222222222222, 'recall': 0.7288135593220338, 'f_score': 0.6564885496183206}"
Final precison Score : ,0.5972222222222222
Final recall Score : ,0.7288135593220338
Final f1 Score : ,0.6564885496183206
Date results: ,"{'precision': 1.0, 'recall': 0.7, 'f_score': 0.8235294117647058}"
Final precison Score : ,0.7986111111111112
Final recall Score : ,0.714406779661017
Final f1 Score : ,0.7400089806915132
Date results: ,"{'precision': 0.32, 'recall': 0.7384615384615385, 'f_score': 0.44651162790697674}"
Final precison Score : ,0.6390740740740741
Final recall Score : ,0.7224250325945241
Final f1 Score : ,0.6421765297633344
Date results: ,"{'precision': 0.21176470588235294, 'recall': 0.8571428571428571, 'f_score': 0.33962264150943394}"
Final precison Score : ,0.5322467320261438
Final recall Score : ,0.7561044887316073
Final f1 Score : ,0.5665380576998593
Date results: ,"{'precision': 0.55, 'recall': 1.0, 'f_score': 0.7096774193548387}"
Final precison Score : ,0.5357973856209151
Final recall Score : ,0.8048835909852858
Final f1 Score : ,0.5951659300308552
Date results: ,"{'precision': 0.5133333333333333, 'recall': 0.4967741935483871, 'f_score': 0.5049180327868853}"
Final precison Score : ,0.532053376906318
Final recall Score : ,0.7535320247458027
Final f1 Score : ,0.5801246138235269
Date results: ,"{'precision': 0.25170068027210885, 'recall': 0.6271186440677966, 'f_score': 0.3592233009708738}"
Final precison Score : ,0.4920029916728596
Final recall Score : ,0.7354729703632304
Final f1 Score : ,0.548567283416005
Date results: ,"{'precision': 0.34951456310679613, 'recall': 0.9473684210526315, 'f_score': 0.5106382978723405}"
Final precison Score : ,0.4741919381021017
Final recall Score : ,0.7619599016994055
Final f1 Score : ,0.543826160223047
Date results: ,"{'precision': 0.20666666666666667, 'recall': 0.36046511627906974, 'f_score': 0.2627118644067797}"
Final precison Score : ,0.4444669079426089
Final recall Score : ,0.7173493699860349
Final f1 Score : ,0.5125912384656839
Date results: ,"{'precision': 0.5573770491803278, 'recall': 0.576271186440678, 'f_score': 0.5666666666666667}"
Final precison Score : ,0.5573770491803278
Final recall Score : ,0.576271186440678
Final f1 Score : ,0.5666666666666667
Date results: ,"{'precision': 1.0, 'recall': 0.4, 'f_score': 0.5714285714285715}"
Final precison Score : ,0.7786885245901639
Final recall Score : ,0.488135593220339
Final f1 Score : ,0.569047619047619
Date results: ,"{'precision': 0.32, 'recall': 0.7384615384615385, 'f_score': 0.44651162790697674}"
Final precison Score : ,0.6257923497267759
Final recall Score : ,0.5715775749674055
Final f1 Score : ,0.5282022886674049
Date results: ,"{'precision': 0.1625, 'recall': 0.6190476190476191, 'f_score': 0.25742574257425743}"
Final precison Score : ,0.509969262295082
Final recall Score : ,0.5834450859874589
Final f1 Score : ,0.4605081521441181
Date results: ,"{'precision': 0.3333333333333333, 'recall': 0.36363636363636365, 'f_score': 0.34782608695652173}"
Final precison Score : ,0.4746420765027322
Final recall Score : ,0.5394833415172399
Final f1 Score : ,0.4379717391065988
Date results: ,"{'precision': 0.5133333333333333, 'recall': 0.4967741935483871, 'f_score': 0.5049180327868853}"
Final precison Score : ,0.4810906193078324
Final recall Score : ,0.5323651501890977
Final f1 Score : ,0.4491294547199799
Date results: ,"{'precision': 0.24647887323943662, 'recall': 0.5932203389830508, 'f_score': 0.34825870646766166}"
Final precison Score : ,0.44757465558377585
Final recall Score : ,0.5410587485882339
Final f1 Score : ,0.43471934782679156
Date results: ,"{'precision': 0.34951456310679613, 'recall': 0.9473684210526315, 'f_score': 0.5106382978723405}"
Final precison Score : ,0.4353171440241534
Final recall Score : ,0.5918474576462835
Final f1 Score : ,0.4442092165824852
Date results: ,"{'precision': 0.20666666666666667, 'recall': 0.36046511627906974, 'f_score': 0.2627118644067797}"
Final precison Score : ,0.4099115354288771
Final recall Score : ,0.5661383086054821
Final f1 Score : ,0.4240428441185179
Date results: ,"{'precision': 0.35714285714285715, 'recall': 0.5508474576271186, 'f_score': 0.43333333333333335}"
Final precison Score : ,0.35714285714285715
Final recall Score : ,0.5508474576271186
Final f1 Score : ,0.43333333333333335
Date results: ,"{'precision': 1.0, 'recall': 0.15, 'f_score': 0.2608695652173913}"
Final precison Score : ,0.6785714285714286
Final recall Score : ,0.3504237288135593
Final f1 Score : ,0.34710144927536235
Date results: ,"{'precision': 0.32, 'recall': 0.7384615384615385, 'f_score': 0.44651162790697674}"
Final precison Score : ,0.559047619047619
Final recall Score : ,0.4797696653628857
Final f1 Score : ,0.38023817548590044
Date results: ,"{'precision': 0.13846153846153847, 'recall': 0.42857142857142855, 'f_score': 0.20930232558139533}"
Final precison Score : ,0.4539010989010989
Final recall Score : ,0.46697010616502144
Final f1 Score : ,0.3375042130097742
Date results: ,"{'precision': 0.0, 'recall': 0.0, 'f_score': 0}"
Final precison Score : ,0.36312087912087915
Final recall Score : ,0.3735760849320171
Final f1 Score : ,0.27000337040781935
Date results: ,"{'precision': 0.46303501945525294, 'recall': 0.7677419354838709, 'f_score': 0.5776699029126214}"
Final precison Score : ,0.37977323584327477
Final recall Score : ,0.4392703933573261
Final f1 Score : ,0.32128112582528634
Date results: ,"{'precision': 0.20398009950248755, 'recall': 0.6949152542372882, 'f_score': 0.31538461538461543}"
Final precison Score : ,0.35465993065173373
Final recall Score : ,0.47579108776874923
Final f1 Score : ,0.3204387671909048
Date results: ,"{'precision': 0.34951456310679613, 'recall': 0.9473684210526315, 'f_score': 0.5106382978723405}"
Final precison Score : ,0.3540167597086165
Final recall Score : ,0.5347382544292345
Final f1 Score : ,0.34421370852608424
Date results: ,"{'precision': 0.18095238095238095, 'recall': 0.8837209302325582, 'f_score': 0.30039525691699603}"
Final precison Score : ,0.33478738429125704
Final recall Score : ,0.5735141072962705
Final f1 Score : ,0.33934499168063004
